,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,4447710,DBA,北京,2018-04-19 10:57:37,4.8,61921,人人行(借贷宝),人人行科技有限公司,2000人以上,朝阳区,本科,C轮,"移动互联网,金融",116.416771,40.015961,实习,应届毕业生
1,3492615,DBA,北京,2018-04-16 13:41:22,21.0,55446,链家,链家网（北京）科技有限公司,2000人以上,海淀区,本科,C轮,"移动互联网,O2O",116.305514,40.040202,全职,3-5年
2,4447858,DBA,北京,2018-04-19 11:05:49,24.0,311084,REDEFINE,北京瑞地科技有限公司,150-500人,朝阳区,本科,不需要融资,移动互联网,0.0,0.0,全职,3-5年
3,2711000,DBA,上海,2018-04-19 15:06:19,19.0,24995,泛微,上海泛微网络科技股份有限公司,2000人以上,闵行区,本科,上市公司,"移动互联网,企业服务",121.525236,31.080356,全职,3-5年
4,3917459,DBA,上海,2018-04-19 17:09:21,16.0,48223,岱嘉医学,上海岱嘉医学信息系统有限公司,150-500人,长宁区,本科,未融资,医疗健康,121.35433,31.22026,全职,3-5年
5,3081960,DBA,杭州,2018-04-19 15:47:30,13.6,20337,会搜股份,杭州会搜科技有限公司,150-500人,江干区,本科,上市公司,移动互联网,120.25935,30.30846,全职,3-5年
6,4359089,DBA,杭州,2018-04-19 13:29:49,14.0,33618,微贷网,微贷（杭州）金融信息服务有限公司,2000人以上,江干区,本科,C轮,金融,120.210795,30.241803,全职,1-3年
7,3878769,资深DBA,北京,2018-04-18 18:15:27,28.0,75863,石墨文档,武汉初心科技有限公司,50-150人,海淀区,大专,B轮,移动互联网,116.314526,39.982338,全职,3-5年
8,3681780,DBA,杭州,2018-04-18 14:42:22,14.0,9327,铭师堂,杭州铭师堂教育科技发展有限公司,500-2000人,拱墅区,本科,不需要融资,"移动互联网,教育",120.141387,30.320581,全职,3-5年
9,3951693,DBA,北京,2018-04-18 18:20:48,21.0,136978,玖富集团,玖富金科控股集团有限责任公司,2000人以上,朝阳区,本科,C轮,金融,116.481135,39.996731,全职,3-5年
10,4367417,DBA,杭州,2018-04-19 09:58:56,12.8,4840,光云科技,杭州光云科技股份有限公司,500-2000人,滨江区,本科,C轮,"电子商务,数据服务",0.0,0.0,全职,3-5年
11,4260495,DBA,深圳,2018-04-19 10:37:24,16.0,16177,掌贝（云移科技）,广州云移信息科技有限公司,500-2000人,福田区,大专,B轮,"移动互联网,O2O",114.02831138,22.53280362,全职,3-5年
12,3876854,DBA,杭州,2018-04-18 10:09:56,22.0,2380,浙江执御信息技术有限公司,浙江执御信息技术有限公司,2000人以上,拱墅区,本科,B轮,"移动互联网,数据服务",120.11375,30.33331,全职,3-5年
13,4153336,DBA,杭州,2018-04-19 11:27:22,14.0,38306,阿拉丁信息科技,浙江阿拉丁电子商务股份有限公司,150-500人,滨江区,大专,上市公司,移动互联网,120.214164,30.213574,全职,1-3年
14,3826483,DBA,上海,2018-04-18 13:09:57,17.0,129681,票易通,上海云砺信息科技有限公司,150-500人,宝山区,本科,B轮,企业服务,121.40899653,31.31556027,全职,3-5年
15,3739337,DBA,上海,2018-04-19 15:06:20,14.0,24995,泛微,上海泛微网络科技股份有限公司,2000人以上,闵行区,大专,上市公司,"移动互联网,企业服务",121.525236,31.080356,全职,3-5年
16,3698979,DBA,厦门,2018-04-19 15:38:31,14.0,165492,10com,厦门视我科技有限公司,15-50人,思明区,本科,不需要融资,"移动互联网,电子商务",118.078948,24.46038,全职,3-5年
17,4222132,DBA - 中级（3-5年）,成都,2018-04-17 08:25:05,10.8,95229,四川长虹电器股份有限公司,四川长虹电器股份有限公司,2000人以上,高新区,本科,上市公司,硬件,104.063426,30.541304,全职,3-5年
18,4232332,DBA,上海,2018-04-19 11:11:36,17.6,27945,天地汇,上海百及信息科技有限公司,150-500人,闵行区,本科,B轮,"移动互联网,O2O",121.382202,31.179843,全职,5-10年
19,1411977,DBA,上海,2018-04-19 10:21:12,21.0,66311,方付通,上海方付通商务服务有限公司,150-500人,浦东新区,本科,不需要融资,"移动互联网,金融",,,全职,3-5年
20,4439569,DBA,广州,2018-04-18 10:32:30,19.0,20473,广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,2000人以上,白云区,大专,不需要融资,电子商务,113.271506,23.175202,全职,3-5年
21,4002228,DBA,天津,2018-04-19 16:14:58,10.8,31444,神州商龙,天津市神州商龙科技股份有限公司,150-500人,南开区,本科,上市公司,"移动互联网,O2O",117.121911,39.090899,全职,3-5年
22,2780035,DBA,杭州,2018-04-16 17:16:42,14.0,69091,浙报集团,浙江日报报业集团,2000人以上,下城区,本科,不需要融资,"移动互联网,文化娱乐",119.993591,29.993662,全职,3-5年
23,2311729,DBA,深圳,2018-04-19 16:38:50,19.0,16123,云移科技深圳分公司,广州云移信息科技有限公司深圳分公司,150-500人,福田区,本科,B轮,"移动互联网,O2O",114.02831138,22.53280362,全职,3-5年
24,4212298,DBA,杭州,2018-04-18 15:22:36,20.8,38306,阿拉丁信息科技,浙江阿拉丁电子商务股份有限公司,150-500人,滨江区,本科,上市公司,移动互联网,0.0,0.0,全职,3-5年
25,4114097,DBA,北京,2018-04-19 15:07:18,18.4,48622,资产360,北京互连众信科技有限公司,150-500人,朝阳区,本科,B轮,"移动互联网,O2O",116.47,39.934299,全职,3-5年
26,3285371,DBA,重庆,2018-04-17 21:13:55,12.0,14567,重庆易宠科技有限公司,重庆易宠科技有限公司,150-500人,渝北区,本科,B轮,电子商务,106.490205,29.621586,全职,1-3年
27,2642404,DBA,上海,2018-04-19 15:36:21,14.0,142324,旭胜金融信息服务股份有限公司,上海旭胜金融信息服务股份有限公司,150-500人,浦东新区,大专,B轮,金融,121.60522456,31.29906523,全职,3-5年
28,4449329,DBA,深圳,2018-04-19 13:57:34,22.8,7348,深圳市福斯康姆智能科技有限公司,深圳市福斯康姆智能科技有限公司,500-2000人,南山区,大专,A轮,"电子商务,文化娱乐",113.928122,22.568843,全职,3-5年
29,4452300,DBA,北京,2018-04-19 17:46:08,21.0,274701,高济医疗,高济（天津）投资有限公司,150-500人,,本科,不需要融资,"医疗健康,数据服务",,,全职,3-5年
30,2681411,DBA,上海,2018-04-19 15:06:22,17.0,24995,泛微,上海泛微网络科技股份有限公司,2000人以上,闵行区,本科,上市公司,"移动互联网,企业服务",121.525236,31.080356,全职,3-5年
31,2362060,DBA其它,成都,2018-04-18 19:58:55,8.8,95229,四川长虹电器股份有限公司,四川长虹电器股份有限公司,2000人以上,高新区,本科,上市公司,硬件,104.06333013,30.54176969,全职,3-5年
32,4398551,DBA,上海,2018-04-19 14:15:56,12.0,130659,舟恩信息,上海舟恩信息技术有限公司,150-500人,普陀区,本科,不需要融资,移动互联网,121.396746,31.242739,全职,1-3年
33,3565211,DBA,广州,2018-04-18 16:24:38,14.0,30162,公瑾,北京公瑾科技有限公司广州分公司,500-2000人,天河区,本科,B轮,移动互联网,0.0,0.0,全职,3-5年
34,4446704,DBA,成都,2018-04-19 09:55:18,14.0,285677,锦泰保险,锦泰财产保险股份有限公司,500-2000人,武侯区,本科,不需要融资,金融,104.062351,30.553921,全职,3-5年
35,4334395,DBA,北京,2018-04-18 20:56:57,28.0,112992,美篇,南京蓝鲸人网络科技有限公司,50-150人,海淀区,本科,A轮,"移动互联网,社交网络",116.344462,39.976877,全职,5-10年
36,3617854,DBA,北京,2018-04-18 14:42:41,34.0,262476,中化能源科技有限公司,中化石油有限公司,2000人以上,海淀区,本科,不需要融资,"移动互联网,电子商务",116.308811,39.983578,全职,5-10年
37,4299677,DBA,上海,2018-04-19 15:11:45,20.8,347630,万唯金融,上海固锦信息技术有限公司,50-150人,浦东新区,大专,未融资,移动互联网,121.517533,31.227086,全职,3-5年
38,4020212,DBA专家,杭州,2018-04-19 11:01:45,28.0,8169,点我达,点我达网络科技有限公司,500-2000人,下城区,本科,D轮及以上,O2O,120.16579198,30.31569396,全职,5-10年
39,3977854,DBA,佛山,2018-04-17 09:52:51,14.0,52480,百硕,百硕同兴科技（北京）有限公司,150-500人,南海区,本科,不需要融资,"企业服务,金融",113.143441,23.028956,全职,3-5年
40,4017006,DBA,南京,2018-04-17 16:56:24,10.8,191905,通达海,南京通达海信息技术有限公司,500-2000人,鼓楼区,本科,不需要融资,移动互联网,118.770427,32.050262,全职,1-3年
41,3959340,DBA,成都,2018-04-19 17:20:24,21.0,224510,果小美,成都果小美网络科技有限公司,500-2000人,武侯区,大专,C轮,"O2O,生活服务",104.053708,30.581518,全职,5-10年
42,4451428,高级DBA,深圳,2018-04-19 16:40:22,19.0,146746,深圳宜聚网,深圳宜聚互联网金融服务有限公司,2000人以上,福田区,本科,不需要融资,"移动互联网,金融",114.082099,22.543212,全职,5-10年
43,3237183,DBA,杭州,2018-04-19 15:23:11,21.0,3864,51信用卡管家,杭州恩牛网络技术有限公司,500-2000人,西湖区,本科,C轮,"金融,数据服务",120.061872,30.289773,全职,3-5年
44,2793737,DBA,深圳,2018-04-18 09:19:20,19.0,8350,万科物业,万科物业发展有限公司,2000人以上,福田区,本科,不需要融资,"O2O,生活服务",114.062189,22.567856,全职,3-5年
45,2162025,DBA -SQLServer,上海,2018-04-19 15:06:20,19.0,24995,泛微,上海泛微网络科技股份有限公司,2000人以上,闵行区,本科,上市公司,"移动互联网,企业服务",121.525236,31.080356,全职,3-5年
46,4420704,DBA,北京,2018-04-19 14:27:05,21.0,18165,新东方教育行业研究院,北京点石经纬科技有限公司,150-500人,海淀区,大专,B轮,"移动互联网,教育",116.312091,39.980906,全职,3-5年
47,4074160,DBA,北京,2018-04-19 10:17:24,28.0,262476,中化能源科技有限公司,中化石油有限公司,2000人以上,海淀区,不限,不需要融资,"移动互联网,电子商务",0.0,0.0,全职,3-5年
