,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4405161,ETL/数据仓库,北京,2018-04-11 16:32:06,21.0,61921,人人行(借贷宝),人人行科技有限公司,2000人以上,朝阳区,本科,C轮,"移动互联网,金融",116.416771,40.015961,全职,3-5年,"['年底双薪', '节日礼物', '绩效奖金', '岗位晋升']"
1,2778985,ETL工程师,厦门,2018-05-02 18:00:06,8.4,84086,笨鸟社交,厦门笨鸟电子商务有限公司,150-500人,思明区,硕士,B轮,企业服务,118.17196,24.477946,全职,1-3年,"['高新企业', '扁平管理', '五险一金', '股票期权']"
2,3966864,ETL工程师,上海,2018-05-03 09:48:43,9.6,128998,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,浦东新区,本科,不需要融资,"移动互联网,金融",121.531974,31.224473,全职,1-3年,[]
3,4232273,ETL/数仓开发工程师,上海,2018-05-02 09:50:23,20.2,46605,VIP陪练,上海妙克信息科技有限公司,150-500人,杨浦区,本科,B轮,"移动互联网,教育",121.524936,31.273901,全职,5-10年,"['年底双薪', '节日礼物', '绩效奖金', '岗位晋升']"
4,1642612,ETL,杭州,2018-05-02 20:34:23,11.4,72753,美国道富,道富信息科技浙江有限公司,2000人以上,西湖区,本科,上市公司,金融,120.06468298,30.31175225,全职,1-3年,"['年底双薪', '节日礼物', '岗位晋升', '管理规范']"
5,4179604,ETL工程师,杭州,2018-05-02 11:26:32,14.0,23252,兑吧,杭州兑吧网络科技有限公司,500-2000人,西湖区,本科,A轮,移动互联网,120.112127,30.287766,全职,1-3年,"['包午餐晚餐', '奖金多多多', '零食下午茶', '全员出国游']"
6,3781932,ETL,深圳,2018-05-03 08:59:25,16.8,69152,博奥特科技,深圳市博奥特科技有限公司,150-500人,福田区,本科,未融资,"移动互联网,金融",114.063599,22.548153,全职,3-5年,"['绩效奖金', '领导好', '帅哥多', '美女多']"
7,4196939,ETL工程师,杭州,2018-05-03 09:40:55,19.0,103424,乐刻运动,杭州乐刻网络技术有限公司,500-2000人,西湖区,本科,C轮,O2O,120.124134,30.291882,全职,3-5年,"['节日礼物', '股票期权', '带薪年假', '绩效奖金']"
8,4074248,合肥-ETL工程师,合肥,2018-05-02 09:41:15,10.8,102685,神策网络科技,神策网络科技（北京）有限公司,150-500人,蜀山区,本科,C轮,数据服务,117.139191,31.831408,全职,3-5年,"['节日礼物', '年底双薪', '股票期权', '带薪年假']"
9,4475692,ETL工程师,广州,2018-05-03 10:10:31,12.0,112,爱拍原创,广州爱拍网络科技有限公司,150-500人,天河区,本科,D轮及以上,文化娱乐,113.37144,23.123598,全职,3-5年,"['团队牛掰', '企业文化温馨', '绩效奖金丰厚', '内部孵化项目']"
10,4406069,ETL工程师,成都,2018-05-02 10:30:08,14.0,53,聚美优品,北京创锐文化传媒有限公司,2000人以上,高新区,本科,上市公司,电子商务,104.056543,30.53872,全职,3-5年,"['技能培训', '节日礼物', '季度奖金', '岗位晋升']"
11,4481915,ETL工程师,深圳,2018-05-02 12:16:32,14.0,131846,Shopee,深圳虾皮信息科技有限公司,2000人以上,南山区,本科,上市公司,电子商务,113.944704,22.538345,全职,3-5年,"['定期体检', '通讯津贴', '带薪年假', '绩效奖金']"
12,4446059,ETL,郑州,2018-04-18 22:11:55,7.0,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,金水区,本科,不需要融资,移动互联网,113.692124,34.805499,全职,1-3年,"['带薪年假', '计算机软件', '管理规范', '定期体检']"
13,2501881,ETL,上海,2018-05-03 09:47:12,17.0,151036,群星金融,鼎必程（上海）信息技术有限公司,50-150人,浦东新区,本科,B轮,金融,121.475215,31.183898,全职,1-3年,"['年底双薪', '带薪年假', '定期体检', '交通补助']"
14,3805659,ETL工程师,杭州,2018-05-03 10:28:09,14.0,26517,小影APP,杭州趣维科技有限公司,150-500人,西湖区,本科,B轮,"移动互联网,文化娱乐",120.123836,30.272873,全职,1-3年,"['带薪年假', '股票期权', '绩效奖金', '弹性工作']"
15,3984044,ETL,深圳,2018-05-03 08:59:25,12.4,69152,博奥特科技,深圳市博奥特科技有限公司,150-500人,龙岗区,本科,未融资,"移动互联网,金融",114.236947,22.715593,全职,1-3年,"['绩效奖金', '领导好', '帅哥多', '美女多']"
16,3901733,BI、ETL开发,深圳,2018-05-02 22:53:13,14.0,128998,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,福田区,大专,不需要融资,"移动互联网,金融",0.0,0.0,全职,3-5年,[]
17,4026044,ETL工程师,北京,2018-05-03 09:27:55,21.0,136978,玖富集团,玖富金科控股集团有限责任公司,2000人以上,朝阳区,本科,C轮,金融,116.480792,39.99613,全职,3-5年,"['绩效奖金', '免费班车', '五险一金', '部门旅游']"
18,4265183,ETL开发工程师,杭州,2018-05-02 16:52:42,6.8,52954,鸿程系统,浙江鸿程计算机系统有限公司,500-2000人,滨江区,本科,不需要融资,"移动互联网,数据服务",120.15989,30.18499,全职,1-3年,"['年底双薪', '午餐补助', '通讯津贴', '带薪年假']"
19,3348417,ETL,杭州,2018-04-18 13:17:49,10.8,109442,杭州美创科技,杭州美创科技有限公司,150-500人,拱墅区,不限,B轮,"信息安全,数据服务",120.10447,30.305955,全职,不限,"['股票期权', '绩效奖金', '通讯津贴', '岗位晋升']"
20,4359573,ETL工程师,北京,2018-05-02 13:01:57,21.0,64658,热云数据,北京热云科技有限公司,50-150人,朝阳区,本科,B轮,"数据服务,移动互联网",116.47925,39.997199,全职,3-5年,"['节日礼物', '带薪年假', '绩效奖金', '美女多']"
21,4371099,ETL工程师,杭州,2018-05-02 10:02:39,7.0,184600,宸帆电商,杭州宸帆电子商务有限责任公司,500-2000人,滨江区,大专,A轮,"电子商务,文化娱乐",120.194529,30.189078,全职,1-3年,[]
22,4480513,ETL工程师,上海,2018-05-02 14:25:43,16.8,7090,Teambition,上海汇翼信息科技有限公司,150-500人,浦东新区,本科,B轮,"移动互联网,企业服务",121.583532,31.197561,全职,1-3年,"['股票期权', '带薪年假', '节日礼物', '弹性工作']"
23,4214321,ETL研发工程师,广州,2018-05-02 17:57:40,12.0,96929,高奈特,广州市高奈特网络科技有限公司,150-500人,荔湾区,本科,上市公司,"信息安全,其他",113.230905,23.082587,全职,3-5年,"['节日礼物', '带薪年假', '岗位晋升', '扁平管理']"
24,4420990,ETL工程师,深圳,2018-04-27 12:58:24,14.0,5972,4PX,深圳市递四方信息科技有限公司,500-2000人,宝安区,大专,D轮及以上,"移动互联网,电子商务",113.867674,22.567199,全职,1-3年,"['五险一金', '带薪年假', '节日礼物', '定期体检']"
25,4416130,etl,佛山,2018-04-13 11:05:53,8.4,70460,银丰科技,北京银丰新融科技开发有限公司,500-2000人,南海区,大专,不需要融资,"企业服务,数据服务",113.150174,23.059479,全职,1-3年,"['技能培训', '节日礼物', '年底双薪', '带薪年假']"
26,4319060,ETL工程师J10146,北京,2018-05-03 10:39:33,19.0,7600,TalkingData,北京腾云天下科技有限公司,500-2000人,东城区,本科,C轮,移动互联网,116.435341,39.942043,全职,3-5年,"['精英团队', '扁平管理', '海量数据', '弹性工作']"
27,4051031,ETL工程师,北京,2018-04-27 10:03:05,24.0,9895,动动,北京慢点生活科技有限公司,15-50人,朝阳区,本科,B轮,"移动互联网,医疗健康",116.461988,39.927785,全职,3-5年,"['股票期权', '世界顶级团队', '扁平管理', '六险一金']"
28,4488153,数据开发工程师-ETL,北京,2018-05-03 08:54:22,32.0,39468,中体骏彩,北京中体骏彩信息技术有限公司,150-500人,朝阳区,本科,不需要融资,移动互联网,0.0,0.0,全职,5-10年,"['技能培训', '节日礼物', '专项奖金', '带薪年假']"
29,4025307,ETL开发工程师,北京,2018-05-03 09:57:51,28.0,1880,快手,北京达佳互联信息技术有限公司,500-2000人,海淀区,本科,D轮及以上,移动互联网,116.316508,39.984066,全职,1-3年,"['股票期权', '弹性工作', '定期体检', '岗位晋升']"
30,4080989,ETL工程师,深圳,2018-05-03 08:47:12,19.0,69152,博奥特科技,深圳市博奥特科技有限公司,150-500人,南山区,本科,未融资,"移动互联网,金融",113.991222,22.594256,全职,3-5年,"['绩效奖金', '领导好', '帅哥多', '美女多']"
31,4206781,ETL/Mysql/报表开发工程师,上海,2018-04-26 16:15:12,17.0,1403,爱回收,上海悦易网络信息技术有限公司,500-2000人,杨浦区,本科,D轮及以上,"电子商务,O2O",121.510232,31.306388,全职,3-5年,"['节日礼物', '股票期权', '专项奖金', '带薪年假']"
32,3143717,ETL工程师,上海,2018-05-02 10:53:54,11.2,135284,森亿智能,上海森亿医疗科技有限公司,50-150人,浦东新区,本科,A轮,"数据服务,医疗健康",121.602851,31.200685,全职,不限,"['年底双薪', '带薪年假', '交通补助', '扁平管理']"
33,4342142,ETL工程师(华南)J10150,深圳,2018-05-03 10:39:33,21.0,7600,TalkingData,北京腾云天下科技有限公司,500-2000人,南山区,本科,C轮,移动互联网,113.953481,22.52824,全职,3-5年,"['精英团队', '扁平管理', '海量数据', '弹性工作']"
34,3605114,ETL工程师,深圳,2018-05-02 09:27:13,14.0,76881,银盛金融,深圳银盛金融集团有限公司,500-2000人,龙华新区,本科,不需要融资,"移动互联网,金融",114.00893,22.63615,全职,3-5年,"['节日礼物', '带薪年假', '绩效奖金', '年度旅游']"
35,4054446,ETL研发,北京,2018-05-02 11:37:48,25.2,534,京东金融,京东金融,2000人以上,大兴区,本科,上市公司,金融,116.41874886,39.64659178,全职,3-5年,"['供应链金融', '消费金融', '众筹业务', '支付业务']"
36,3790676,ETL开发工程师,南京,2018-05-02 15:13:46,14.0,53992,苏宁易购,南京苏宁软件技术有限公司,2000人以上,玄武区,本科,上市公司,"O2O,移动互联网",118.89237019,32.08490014,全职,3-5年,"['专项奖金', '绩效奖金', '股票期权', '帅哥多']"
37,4356975,ETL开发,上海,2018-04-26 09:53:39,13.2,22862,上海中软华腾软件系统有限公司,上海中软华腾软件系统有限公司,2000人以上,浦东新区,本科,上市公司,"企业服务,金融",121.630382,31.210468,全职,3-5年,"['年底双薪', '绩效奖金', '带薪年假', '定期体检']"
38,4466289,ETL工程师,上海,2018-05-02 09:08:07,18.4,142626,CLPS,上海华钦信息科技股份有限公司,500-2000人,黄浦区,本科,未融资,"数据服务,金融",121.53056,31.217796,全职,3-5年,"['专项奖金', '带薪年假', '定期体检', '交通补助']"
39,4187709,ETL工程师,上海,2018-05-02 17:47:04,19.0,86331,普资金服,上海普资金融信息服务股份有限公司,150-500人,浦东新区,本科,B轮,金融,,,全职,3-5年,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']"
40,4510971,DBA/ETL工程师,佛山,2018-05-03 10:37:36,13.6,21712,旗帜股份,山东旗帜软件股份有限公司,150-500人,,本科,未融资,金融,,,全职,3-5年,"['五险一金', '通讯津贴', '交通补助', '带薪年假']"
41,3555465,ETL,上海,2018-05-03 09:33:54,18.2,71514,百联全渠道电商,百联全渠道电子商务有限公司,500-2000人,黄浦区,大专,不需要融资,"电子商务,O2O",120.993464,30.994061,全职,3-5年,"['节日礼物', '岗位晋升', '五险一金', '午餐补助']"
42,3637663,大数据运维+ETL开发岗位（需要出差）,深圳,2018-05-02 19:16:43,13.6,134042,海致,海致网络技术(北京)有限公司,150-500人,南山区,本科,C轮,"移动互联网,企业服务",113.935394,22.524003,全职,3-5年,"['股票期权', '带薪年假', '弹性工作', '扁平管理']"
43,4428444,ETL工程师,上海,2018-05-02 11:40:31,14.0,97852,上海链家运营管理中心,德佑房地产经纪有限公司,2000人以上,静安区,本科,D轮及以上,"移动互联网,O2O",121.463385,31.230249,全职,1年以下,"['带薪年假', '绩效奖金', '岗位晋升', '年度旅游']"
44,3508041,ETL工程师,南京,2018-04-28 14:19:51,14.0,114530,朗拓软件,苏州朗拓软件有限公司,50-150人,玄武区,本科,未融资,"移动互联网,金融",118.885169,32.095403,全职,3-5年,[]
45,3979867,ETL工程师,深圳,2018-05-02 08:50:58,17.0,69152,博奥特科技,深圳市博奥特科技有限公司,150-500人,南山区,本科,未融资,"移动互联网,金融",113.94386,22.568787,全职,3-5年,"['绩效奖金', '领导好', '帅哥多', '美女多']"
