,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,4176177,高级Hive/Hadoop/Spark大数据研发,北京,2018-04-13 15:21:13,35.0,139755,京东商城,北京京东世纪贸易有限公司,2000人以上,大兴区,本科,上市公司,电子商务,116.562755,39.786489,全职,3-5年
1,4488403,高级数据仓库工程师(Hive),北京,2018-04-29 11:18:39,28.0,5706,洋葱数学,光合新知（北京）科技有限公司,150-500人,朝阳区,不限,C轮,"移动互联网,教育",116.500139,39.991999,全职,3-5年
2,3082634,数据服务工程师（Hive方向）（上海）,上海,2018-04-27 15:56:54,16.8,3864,51信用卡管家,杭州恩牛网络技术有限公司,500-2000人,浦东新区,本科,C轮,"金融,数据服务",121.527241,31.227454,全职,3-5年
3,4226353,高级ETL工程师（hive）,杭州,2018-04-25 16:07:44,19.0,23252,兑吧,杭州兑吧网络科技有限公司,500-2000人,西湖区,本科,A轮,移动互联网,120.112127,30.287766,全职,1-3年
4,3316486,Hive数据开发工程师,北京,2018-04-17 13:36:12,19.0,547,彩讯科技,彩讯科技股份有限公司,500-2000人,东城区,本科,不需要融资,"移动互联网,生活服务",116.419281,39.922902,全职,3-5年
5,4432355,数据仓库工程师（Hive）,上海,2018-04-17 11:07:52,31.0,350044,九路科技,上海九路科技有限公司,15-50人,静安区,本科,未融资,移动互联网、数据服务,121.456878,31.229345,全职,3-5年
6,2717695,高级大数据开发工程师 Hadoop Hive,北京,2018-04-28 09:46:25,26.0,31173,悠易,悠易互通（北京）广告有限公司,150-500人,朝阳区,本科,C轮,广告营销,116.459298,39.918784,全职,3-5年
7,3540906,资深大数据工程师（Scala+Hadoop/Hbase/Hive/Spark）,上海,2018-04-27 10:12:47,27.2,83249,帜讯信息,上海帜讯信息技术股份有限公司,500-2000人,浦东新区,本科,上市公司,"移动互联网,其他",121.603067,31.199867,全职,5-10年
8,4266923,大数据开发工程师（Hive方向）,上海,2018-04-27 15:56:54,17.0,3864,51信用卡管家,杭州恩牛网络技术有限公司,500-2000人,浦东新区,本科,C轮,"金融,数据服务",0.0,0.0,全职,1-3年
9,4368001,数据库开发工程师（Hadoop/Hive）,广州,2018-04-24 15:47:51,7.0,547,彩讯科技,彩讯科技股份有限公司,500-2000人,天河区,本科,不需要融资,"移动互联网,生活服务",113.37388,23.125458,全职,1-3年
