,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,1010172,MySQL,北京,2018-05-03 09:02:34,21.0,147,拉勾网,北京拉勾网络技术有限公司,500-2000人,海淀区,本科,D轮及以上,"企业服务,招聘",116.30738994,39.98231947,全职,3-5年,"['五险一金', '弹性工作', '带薪年假', '免费两餐']"
1,2078700,MySQL,杭州,2018-05-03 09:49:44,19.0,2380,浙江执御信息技术有限公司,浙江执御信息技术有限公司,2000人以上,拱墅区,本科,B轮,"移动互联网,数据服务",120.11374999,30.33331001,全职,1-3年,"['五险一金', '带薪年假', '节日礼物', '年度旅游']"
2,3290526,mysql,杭州,2018-05-02 10:12:06,12.0,56234,小泰科技,浙江小泰科技有限公司,150-500人,滨江区,本科,不需要融资,金融,120.20162523,30.18886428,全职,3-5年,"['全员持股', '技能培训', '互联网氛围', '五险一金']"
3,4482543,mysql DBA,北京,2018-05-03 10:28:06,28.0,61921,人人行(借贷宝),人人行科技有限公司,2000人以上,朝阳区,本科,C轮,"移动互联网,金融",39.897445,116.331398,全职,3-5年,"['年底双薪', '节日礼物', '绩效奖金', '岗位晋升']"
4,862943,MySQL,北京,2018-05-03 09:43:35,14.0,534,京东金融,京东金融,2000人以上,朝阳区,本科,上市公司,金融,116.39031196,40.00087932,全职,3-5年,"['供应链金融', '消费金融', '众筹业务', '支付业务']"
5,4144904,MySQL,北京,2018-05-02 09:28:01,13.2,141955,嘀嗒出行,拼途（北京）信息技术有限公司,150-500人,朝阳区,本科,D轮及以上,"移动互联网,O2O",0.0,0.0,全职,1-3年,"['绩效奖金', '年底双薪', '交通补助', '管理规范']"
6,1865134,数据库DBA/MySql,杭州,2018-05-03 09:53:22,27.2,9689,绿漫科技,绿漫科技有限公司,50-150人,西湖区,本科,不需要融资,移动互联网,120.124783,30.277036,全职,5-10年,"['期权激励', '绩效奖金', '团队活动', '年度旅游']"
7,3849388,MySQL DBA-北京-00110,北京,2018-05-02 15:19:17,14.0,59902,轻易贷,轻易科技有限公司,2000人以上,海淀区,本科,上市公司,金融,116.28085042,40.04555984,全职,3-5年,"['五险一金', '弹性工作', '带薪年假', '每年两次奖金']"
8,3313490,MySQL,深圳,2018-04-25 12:47:01,21.0,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,龙岗区,大专,不需要融资,移动互联网,114.057909,22.642235,全职,3-5年,"['带薪年假', '计算机软件', '管理规范', '定期体检']"
9,3506506,MySQL DBA,北京,2018-04-25 11:19:16,21.0,109,马蜂窝,北京蚂蜂窝网络科技有限公司,500-2000人,朝阳区,本科,D轮及以上,"移动互联网,旅游",116.494721,39.973688,全职,3-5年,"['弹性工作', '扁平管理', '氛围好', '年度体检']"
