,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,3562223,oracle,深圳,2018-04-22 19:28:22,9.8,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,龙岗区,本科,不需要融资,移动互联网,114.060842,22.653991,全职,1-3年,"['带薪年假', '计算机软件', '管理规范', '定期体检']"
1,4400484,数据库管理员|DBA|Oracle,广州,2018-05-03 09:30:59,14.4,52553,海闻科技,海闻科技有限公司,500-2000人,天河区,本科,D轮及以上,"企业服务,金融",113.328789,23.136449,全职,1-3年,"['技能培训', '绩效奖金', '岗位晋升', '5天8小时']"
2,4213551,Oracle开发,上海,2018-05-03 09:48:43,10.8,128998,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,浦东新区,本科,不需要融资,"移动互联网,金融",121.629578,31.210622,全职,3-5年,[]
3,4305034,Oracle工程师,广州,2018-05-01 20:37:36,7.6,53634,广东智源,广东智源信息技术有限公司,50-150人,越秀区,本科,不需要融资,"移动互联网,企业服务",113.27388,23.14427,全职,不限,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']"
4,4494874,oracle开发,成都,2018-04-27 16:19:05,10.8,142626,CLPS,上海华钦信息科技股份有限公司,500-2000人,高新区,本科,未融资,"数据服务,金融",104.071493,30.539235,全职,1-3年,"['专项奖金', '带薪年假', '定期体检', '交通补助']"
5,3795971,Oracle顾问,北京,2018-05-03 09:48:24,21.0,44091,自如网,北京自如友家资产管理有限公司,2000人以上,朝阳区,本科,A轮,"移动互联网,O2O",116.49605,39.97208007,全职,1-3年,"['丰厚年薪', '六险一金', '健康体检', '带薪年假']"
6,4231544,DBA - Oracle,北京,2018-04-26 12:15:03,14.0,101676,金色世纪,北京金色世纪商旅网络科技股份有限公司,500-2000人,大兴区,大专,不需要融资,"电子商务,旅游",116.524999,39.777538,全职,1-3年,"['年底双薪', '专项奖金', '带薪年假', '节日礼物']"
7,1548971,Oracle开发工程师,深圳,2018-05-03 08:50:05,11.0,63500,紫川软件,深圳市紫川软件有限公司,500-2000人,福田区,大专,不需要融资,"电子商务,金融",0.0,0.0,全职,1-3年,"['节日礼物', '年底双薪', '绩效奖金', '岗位晋升']"
8,3785785,oracle工程师,长沙,2018-05-02 15:53:12,7.0,112936,博登信息科技,上海博登信息科技有限公司,15-50人,芙蓉区,大专,未融资,"移动互联网,企业服务",0.0,0.0,全职,3-5年,[]
9,3166475,Oracle开发工程师,广州,2018-04-28 15:10:46,10.6,32684,屈臣氏,武汉屈臣氏个人用品商店有限公司广州分公司,2000人以上,越秀区,大专,D轮及以上,"电子商务,生活服务",113.30915,23.13231,全职,1-3年,"['年底双薪', '带薪年假', '定期体检', '补充商业保险']"
10,4373621,Oracle开发工程师,深圳,2018-04-16 15:34:34,14.0,138346,恒信永利,深圳市恒信永利金融服务有限公司,2000人以上,南山区,大专,不需要融资,金融,113.953478,22.568812,全职,3-5年,"['带薪年假', '节日礼物', '领导好', '弹性工作']"
11,4505817,DBA(oracle)(J10766),上海,2018-05-02 13:44:42,19.0,27155,维信金融科技集团,上海维信荟智金融科技有限公司,2000人以上,虹口区,本科,不需要融资,金融,0.0,0.0,全职,3-5年,"['技能培训', '节日礼物', '年底双薪', '带薪年假']"
12,4473992,Oracle开发工程师,上海,2018-05-02 18:58:39,12.0,101895,星网信通,深圳市星网信通科技有限公司,150-500人,徐汇区,本科,未融资,移动互联网,0.0,0.0,全职,3-5年,"['技能培训', '通讯津贴', '五险一金', '带薪年假']"
13,2413390,Oracle DBA,杭州,2018-05-02 12:13:33,10.8,83552,沃趣科技,杭州沃趣科技股份有限公司,50-150人,滨江区,大专,上市公司,"企业服务,数据服务",120.17566,30.18501,全职,1-3年,"['股票期权', '带薪年假', '绩效奖金', '年度旅游']"
14,4249802,oracle开发工程师,苏州,2018-04-16 09:01:31,7.0,91296,资通电脑,资通电脑股份有限公司,500-2000人,工业园区,大专,上市公司,"移动互联网,企业服务",120.66795,31.295977,全职,不限,"['年底双薪', '专项奖金', '带薪年假', '绩效奖金']"
15,4068051,oracle开发,哈尔滨,2018-04-08 23:05:13,5.6,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,香坊区,本科,不需要融资,移动互联网,126.694975,45.741331,全职,1-3年,"['带薪年假', '计算机软件', '管理规范', '定期体检']"
16,4268530,Oracle开发工程师,上海,2018-05-03 09:03:56,12.0,128998,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,静安区,大专,不需要融资,"移动互联网,金融",,,全职,5-10年,[]
17,3736427,oracle开发工程师,深圳,2018-05-02 15:49:34,15.6,187317,全民通控股,深圳前海全民通金融资本控股集团有限公司,500-2000人,罗湖区,大专,不需要融资,移动互联网,114.139769,22.578967,全职,3-5年,[]
18,3803162,Oracle DBA,上海,2018-05-03 09:36:40,12.0,24995,泛微,上海泛微网络科技股份有限公司,2000人以上,闵行区,本科,上市公司,"移动互联网,企业服务",121.52396,31.07979,全职,1-3年,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']"
19,4443559,DBA(oracle)J10766,上海,2018-04-18 16:16:03,19.0,27155,维信金融科技集团,上海维信荟智金融科技有限公司,2000人以上,虹口区,大专,不需要融资,金融,0.0,0.0,全职,3-5年,"['技能培训', '节日礼物', '年底双薪', '带薪年假']"
20,4325658,oracle中级工程师,上海,2018-04-26 16:54:10,11.2,47026,云和恩墨,云和恩墨（北京）信息技术有限公司,150-500人,黄浦区,不限,不需要融资,数据服务,121.47451,31.214835,全职,3-5年,"['年底双薪', '技能培训', '节日礼物', '带薪年假']"
21,4266767,Oracle DBA工程师,深圳,2018-05-03 09:59:03,12.0,10505,新炬网络,上海新炬网络技术有限公司,500-2000人,福田区,大专,未融资,"移动互联网,数据服务",114.063732,22.541286,全职,1年以下,"['技能培训', '年底双薪', '岗位晋升', '年度旅游']"
22,4393689,Oracle DBA,广州,2018-05-02 14:13:40,11.2,52859,Deckers,广州得克信息咨询有限公司,150-500人,番禺区,本科,上市公司,企业服务,113.340797,22.936828,全职,1-3年,"['年底双薪', '免费班车', '带薪年假', '绩效奖金']"
23,4336559,Senior Oracle DBA,成都,2018-05-02 10:20:35,34.0,29303,活跃网络,活跃网络（成都）有限公司,500-2000人,锦江区,大专,上市公司,移动互联网,104.081405,30.65489,全职,5-10年,"['岗位晋升', '五险一金', '弹性工作', '定期体检']"
24,4397500,oracle dba,北京,2018-05-02 09:29:49,12.0,41603,歌德盈香,歌德盈香股份有限公司,150-500人,大兴区,大专,D轮及以上,"O2O,电子商务",116.533223,39.808059,全职,3-5年,"['免费班车', '带薪年假', '岗位晋升', '年度旅游']"
25,3608614,oracle dba (北京）,北京,2018-05-02 12:13:32,12.0,83552,沃趣科技,杭州沃趣科技股份有限公司,50-150人,朝阳区,大专,上市公司,"企业服务,数据服务",116.383662,40.008309,全职,3-5年,"['股票期权', '带薪年假', '绩效奖金', '年度旅游']"
26,3101477,Oracle应用开发工程师,广州,2018-04-28 15:10:47,10.6,32684,屈臣氏,武汉屈臣氏个人用品商店有限公司广州分公司,2000人以上,越秀区,大专,D轮及以上,"电子商务,生活服务",113.30915,23.13231,全职,1-3年,"['年底双薪', '带薪年假', '定期体检', '补充商业保险']"
27,3342087,Oracle运维工程师,北京,2018-05-02 17:26:50,14.0,88433,北京中铁信,北京中铁信科技有限公司,150-500人,海淀区,本科,不需要融资,其他,0.0,0.0,全职,3-5年,"['带薪年假', '绩效奖金', '年度旅游', '定期体检']"
28,4259494,Oracle技术顾问,苏州,2018-04-16 09:01:34,4.2,91296,资通电脑,资通电脑股份有限公司,500-2000人,工业园区,大专,上市公司,"移动互联网,企业服务",120.66795,31.295977,全职,不限,"['年底双薪', '专项奖金', '带薪年假', '绩效奖金']"
29,3912687,ORacle DBA,郑州,2018-04-17 11:15:26,7.6,294645,元鼎科技,北京元鼎时代科技股份有限公司河南分公司,150-500人,高新区,本科,上市公司,移动互联网,,,全职,3-5年,"['""""']"
30,3851811,oracle开发,广州,2018-04-21 11:35:58,8.2,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,越秀区,本科,不需要融资,移动互联网,0.0,0.0,全职,1-3年,"['带薪年假', '计算机软件', '管理规范', '定期体检']"
31,4194650,Oracle开发工程师,上海,2018-04-28 17:31:48,14.4,128998,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,浦东新区,本科,不需要融资,"移动互联网,金融",121.666906,31.238157,全职,3-5年,[]
32,4463917,ORACLE DBA工程师,广州,2018-05-03 09:59:03,10.0,10505,新炬网络,上海新炬网络技术有限公司,500-2000人,天河区,本科,未融资,"移动互联网,数据服务",113.403911,23.173992,全职,不限,"['技能培训', '年底双薪', '岗位晋升', '年度旅游']"
33,3740761,DBA（oracle方向）,上海,2018-04-27 14:53:22,14.0,24995,泛微,上海泛微网络科技股份有限公司,2000人以上,闵行区,本科,上市公司,"移动互联网,企业服务",121.52396,31.07979,全职,3-5年,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']"
34,3506783,oracle中级运维工程师,北京,2018-05-02 10:33:42,14.0,88433,北京中铁信,北京中铁信科技有限公司,150-500人,海淀区,本科,不需要融资,其他,116.298211,39.947085,全职,3-5年,"['带薪年假', '绩效奖金', '年度旅游', '定期体检']"
35,4500115,Oracle DBA,北京,2018-04-28 15:57:20,17.0,36282,蔓盈科技,上海蔓盈科技有限公司北京朝阳分公司,50-150人,朝阳区,本科,C轮,移动互联网,116.44706,39.971072,全职,3-5年,"['带薪年假', '绩效奖金', '岗位晋升', '管理规范']"
36,3505545,Oracle DBA,北京,2018-05-02 10:21:37,13.2,487,蓝港互动集团,蓝港在线（北京）科技有限公司,500-2000人,朝阳区,本科,上市公司,游戏,116.47493,40.01206006,全职,1-3年,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']"
37,4015454,Oracle DBA (北京驻场）,北京,2018-05-02 12:13:33,12.0,83552,沃趣科技,杭州沃趣科技股份有限公司,50-150人,朝阳区,大专,上市公司,"企业服务,数据服务",0.0,0.0,全职,1-3年,"['股票期权', '带薪年假', '绩效奖金', '年度旅游']"
38,4505417,运维工程师（SQL/Oracle）,杭州,2018-05-02 12:00:54,8.2,127780,孚嘉科技,杭州孚嘉科技有限公司,50-150人,西湖区,大专,A轮,移动互联网,120.154037,30.270924,全职,1-3年,[]
39,3128393,Oracle DBA,北京,2018-04-26 09:10:02,11.2,104882,新锐在线,北京新锐在线科技有限公司,50-150人,西城区,本科,未融资,"移动互联网,企业服务",116.360774,39.918856,全职,3-5年,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']"
40,1552933,Oracle DBA,北京,2018-04-25 18:28:18,10.8,36781,新数科技,北京新数科技有限公司,15-50人,朝阳区,本科,A轮,企业服务,116.43993,40.042345,全职,1-3年,"['技能培训', '股票期权', '带薪年假', '岗位晋升']"
41,4312664,Oracle DBA,上海,2018-04-20 10:33:59,14.0,119451,付临门,上海银嘉金融服务集团有限公司,150-500人,徐汇区,大专,未融资,"移动互联网,金融",0.0,0.0,全职,1-3年,[]
42,4484338,Oracle DBA/数据库管理员,北京,2018-04-28 09:12:42,7.8,280243,北京富讯盈科,北京富讯盈科网络技术有限公司,15-50人,西城区,大专,不需要融资,"移动互联网,电子商务",0.0,0.0,全职,1-3年,[]
43,4447322,北京Oracle开发工程师,北京,2018-04-19 10:35:44,8.2,58615,万思维,北京万思维通信技术有限公司,150-500人,海淀区,大专,不需要融资,移动互联网,116.366128,39.97843,全职,1-3年,"['节日礼物', '带薪年假', '绩效奖金', '岗位晋升']"
44,4466733,ORACLE ERP开发工程师,广州,2018-04-23 16:25:17,4.8,41407,运通四方,运通四方汽配供应链股份有限公司,500-2000人,白云区,大专,上市公司,"电子商务,企业服务",113.406194,23.382338,全职,不限,"['技能培训', '节日礼物', '岗位晋升', '年度旅游']"
45,4077436,oracle开发工程师,郑州,2018-05-02 07:22:36,5.6,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,金水区,本科,不需要融资,移动互联网,113.692124,34.805499,全职,1-3年,"['带薪年假', '计算机软件', '管理规范', '定期体检']"
46,4495321,Oracle开发程序员,上海,2018-05-03 09:04:07,12.0,128998,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,浦东新区,大专,不需要融资,"移动互联网,金融",121.629578,31.210622,全职,1-3年,[]
47,4387623,ORACLE DBA工程师,东莞,2018-05-03 09:59:03,10.8,10505,新炬网络,上海新炬网络技术有限公司,500-2000人,东莞市市辖区,大专,未融资,"移动互联网,数据服务",113.773829,23.031048,全职,1-3年,"['技能培训', '年底双薪', '岗位晋升', '年度旅游']"
48,4496150,DBA工程师（Oracle方向）,北京,2018-04-27 18:33:41,27.8,50651,全时便利,北京全时叁陆伍连锁便利店有限公司,500-2000人,朝阳区,本科,不需要融资,生活服务,116.462257,39.927095,全职,5-10年,"['节日礼物', '技能培训', '带薪年假', '绩效奖金']"
49,4180813,运维工程师（Oracle）,贵阳,2018-04-17 10:09:52,4.8,63153,重庆税友,税友软件集团股份有有限公司重庆分公司,150-500人,云岩区,大专,未融资,企业服务,106.709044,26.576969,全职,1-3年,"['绩效奖金', '年度旅游', '岗位晋升', '管理规范']"
50,4000289,java+oracle开发维护工程师（郑州）,郑州,2018-05-01 20:41:29,7.0,53634,广东智源,广东智源信息技术有限公司,50-150人,郑东新区,本科,不需要融资,"移动互联网,企业服务",113.76174,34.747959,全职,不限,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']"
51,4379436,软件实施工程师（Oracle经验）,武汉,2018-04-08 10:27:21,6.6,294745,北京普罗格-科技供应链,北京普罗格科技股份有限公司,500-2000人,洪山区,大专,不需要融资,"电子商务,企业服务",0.0,0.0,全职,不限,"['午餐补助', '通讯津贴', '定期体检', '周末双休']"
52,1245094,oracle数据开发工程师,南京,2018-04-24 11:56:16,7.6,105459,江苏博融,江苏博融信息技术有限公司,50-150人,鼓楼区,本科,不需要融资,"数据服务,硬件",118.783175,32.086564,全职,1-3年,"['年底双薪', '带薪年假', '绩效奖金', '岗位晋升']"
53,4304825,Oracle数据开发工程师,成都,2018-04-23 17:46:06,12.0,337947,爱奔跑,成都爱奔跑科技有限公司,50-150人,高新区,不限,未融资,移动互联网,,,全职,1-3年,"['""""']"
