,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4405161,ETL/数据仓库,北京,2018-04-11 16:32:06,21.0,61921,人人行(借贷宝),人人行科技有限公司,2000人以上,朝阳区,本科,C轮,"移动互联网,金融",116.416771,40.015961,全职,3-5年,"['年底双薪', '节日礼物', '绩效奖金', '岗位晋升']"
1,4375605,数据仓库,北京,2018-05-02 10:45:31,28.0,34573,省钱快报,北京九州云动科技有限公司,50-150人,东城区,本科,B轮,"移动互联网,电子商务",116.4119,39.947795,全职,3-5年,"['技能培训', '专项奖金', '带薪年假', '绩效奖金']"
2,4481499,数据仓库,北京,2018-05-02 15:41:07,19.0,110502,洋钱罐,北京瓴岳信息技术有限公司,150-500人,朝阳区,本科,不需要融资,"移动互联网,金融",116.460733,39.929643,全职,1-3年,"['14薪', '弹性工作', '零食水果', '午餐晚餐']"
3,4309699,数据仓库,北京,2018-05-02 16:58:21,24.0,23291,美图公司,厦门美图之家科技有限公司,500-2000人,海淀区,本科,上市公司,"移动互联网,硬件",116.330291,39.993117,全职,3-5年,"['节日礼物', '与大牛共事', '福利健全', '五险一金']"
4,3998685,数据仓库,福州,2018-04-28 10:06:58,10.4,141672,合诚,福建合诚信息科技有限公司,50-150人,鼓楼区,本科,未融资,"移动互联网,金融",119.274024,26.076922,全职,3-5年,[]
5,4009869,数据仓库,上海,2018-05-02 16:12:14,21.0,82635,上海华瑞银行,上海华瑞银行股份有限公司,150-500人,浦东新区,本科,不需要融资,金融,121.531673,31.216762,全职,3-5年,"['绩效奖金', '扁平管理', '领导好', '美女多']"
6,4112749,数据仓库工程师,北京,2018-04-25 11:19:15,24.0,109,马蜂窝,北京蚂蜂窝网络科技有限公司,500-2000人,朝阳区,本科,D轮及以上,"移动互联网,旅游",,,全职,3-5年,"['弹性工作', '扁平管理', '氛围好', '年度体检']"
7,3194158,数据仓库工程师,杭州,2018-05-03 09:49:43,20.8,2380,浙江执御信息技术有限公司,浙江执御信息技术有限公司,2000人以上,拱墅区,本科,B轮,"移动互联网,数据服务",120.111989,30.33219,全职,3-5年,"['五险一金', '带薪年假', '节日礼物', '年度旅游']"
8,4322817,数据仓库- BI,广州,2018-04-28 15:10:47,7.2,32684,屈臣氏,武汉屈臣氏个人用品商店有限公司广州分公司,2000人以上,越秀区,大专,D轮及以上,"电子商务,生活服务",0.0,0.0,全职,1-3年,"['年底双薪', '带薪年假', '定期体检', '补充商业保险']"
9,3770339,数据仓库,杭州,2018-04-28 10:15:16,28.0,26564,贝贝网,杭州贝购科技有限公司,500-2000人,江干区,本科,D轮及以上,电子商务,0.0,0.0,全职,3-5年,"['生日趴', '每月腐败基金', '每月补贴', '年度旅游']"
10,4279189,数据仓库工程师,杭州,2018-05-02 09:41:14,15.2,98702,力太科技,浙江力太科技有限公司,150-500人,滨江区,本科,C轮,"移动互联网,其他",120.18125,30.185411,全职,1-3年,"['年底双薪', '股票期权', '专项奖金', '带薪年假']"
11,457896,数据仓库工程师,北京,2018-05-03 10:28:19,28.0,129,陌陌,北京陌陌科技有限公司,500-2000人,朝阳区,本科,上市公司,社交网络,116.4791,39.99522,全职,1-3年,"['岗位晋升', '帅哥多', '管理规范', '技能培训']"
12,4474305,数据仓库工程师（中台）,北京,2018-05-03 10:21:23,24.0,41823,58到家,北京五八到家信息技术有限公司,2000人以上,朝阳区,本科,A轮,"O2O,生活服务",116.416728,40.039781,全职,3-5年,"['节日礼物', '技能培训', '股票期权', '免费班车']"
13,3938349,数据仓库工程师,杭州,2018-05-02 16:50:23,19.0,163852,浮云网络,杭州浮云网络科技有限公司,150-500人,下城区,本科,上市公司,"游戏,移动互联网",120.159794,30.290304,全职,3-5年,"['丰厚年终', '定期体检', '通讯津贴', '午餐补助']"
14,4132928,数据仓库工程师,杭州,2018-05-02 11:29:47,21.0,148393,万家乐科技,杭州万家乐网络科技有限公司,150-500人,西湖区,本科,不需要融资,"移动互联网,金融",120.124799,30.273009,全职,3-5年,"['年底双薪', '绩效奖金', '带薪年假', '定期体检']"
15,4288302,数据仓库工程师,北京,2018-05-03 10:28:06,21.0,61921,人人行(借贷宝),人人行科技有限公司,2000人以上,朝阳区,大专,C轮,"移动互联网,金融",116.416771,40.015961,全职,1-3年,"['年底双薪', '节日礼物', '绩效奖金', '岗位晋升']"
16,4222324,数据仓库-美拍,北京,2018-05-02 10:17:12,21.0,23291,美图公司,厦门美图之家科技有限公司,500-2000人,海淀区,本科,上市公司,"移动互联网,硬件",116.330291,39.993117,全职,1-3年,"['节日礼物', '与大牛共事', '福利健全', '五险一金']"
17,4094653,数据仓库工程师,深圳,2018-05-03 10:16:31,24.0,50285,众禄基金,深圳众禄基金销售股份有限公司,150-500人,罗湖区,本科,上市公司,"移动互联网,金融",114.106642,22.565383,全职,3-5年,"['股票期权', '绩效奖金', '带薪年假', '通讯津贴']"
18,4169163,数据仓库工程师,北京,2018-05-03 09:27:55,21.0,136978,玖富集团,玖富金科控股集团有限责任公司,2000人以上,朝阳区,本科,C轮,金融,116.480792,39.99613,全职,3-5年,"['绩效奖金', '免费班车', '五险一金', '部门旅游']"
19,4132131,数据仓库工程师,杭州,2018-05-03 09:49:30,19.0,8169,点我达,点我达网络科技有限公司,500-2000人,下城区,本科,D轮及以上,O2O,120.16579198,30.31569396,全职,1-3年,"['扁平管理', '弹性工作', '软妹子集中营', '股票期权']"
20,4233689,数据仓库工程师,北京,2018-05-02 15:12:13,21.0,43016,美菜网,北京云杉世界信息技术有限公司,2000人以上,朝阳区,本科,D轮及以上,"电子商务,O2O",116.401057,39.972219,全职,3-5年,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']"
21,3804076,数据仓库工程师,杭州,2018-05-02 09:27:42,19.0,73675,店家科技,杭州店家科技有限公司,50-150人,余杭区,本科,A轮,企业服务,120.004134,30.292225,全职,3-5年,"['年底双薪', '带薪年假', '定期体检', '五险一金']"
22,4499952,数据仓库工程师,北京,2018-05-02 15:41:07,21.0,110502,洋钱罐,北京瓴岳信息技术有限公司,150-500人,朝阳区,本科,不需要融资,"移动互联网,金融",116.460733,39.929643,全职,1-3年,"['14薪', '弹性工作', '零食水果', '午餐晚餐']"
23,4490792,数据仓库工程师,北京,2018-05-02 18:12:17,28.0,82991,数美,北京数美时代科技有限公司,150-500人,朝阳区,本科,B轮,"企业服务,数据服务",116.465953,40.021083,全职,1-3年,"['年底双薪', '大数据', '带薪年假', '通讯津贴']"
24,4380907,数据仓库工程师,北京,2018-05-02 11:10:12,19.0,40459,商汤科技,北京市商汤科技开发有限公司,500-2000人,海淀区,本科,B轮,移动互联网,116.330506,39.994072,全职,不限,"['五险一金', '弹性工作', '丰盛三餐', '发展空间大']"
