,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,3064660,Ruby工程师,上海,2018-04-18 14:31:41,19.0,16303,简书,上海佰集信息科技有限公司,50-150人,徐汇区,本科,B轮,"移动互联网,文化娱乐",121.427791,31.189944,全职,1-3年
1,4352053,ruby工程师,深圳,2018-04-19 11:12:32,21.0,124262,Minieye,深圳佑驾创新科技有限公司,50-150人,南山区,本科,A轮,"硬件,其他",113.952408,22.536121,全职,1-3年
2,4373872,Ruby开发工程师,广州,2018-04-18 17:20:19,14.0,257806,前海易物,前海易物（深圳）电子商务有限公司广州分公司,150-500人,海珠区,大专,A轮,"电子商务,移动互联网",113.404813,23.092222,全职,1-3年
3,1829998,Ruby工程师,上海,2018-04-18 17:01:41,19.0,1860,薄荷,上海薄荷信息科技有限公司,50-150人,,大专,B轮,"移动互联网,电子商务",,,全职,1-3年
4,3843919,Ruby,北京,2018-04-19 09:55:54,13.2,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,本科,B轮,其他,116.357353,39.939211,全职,1-3年
5,3390782,Ruby工程师,北京,2018-03-26 10:58:09,24.8,4188,INK 银客集团,银客未来科技（北京）有限公司,500-2000人,海淀区,本科,C轮,"移动互联网,金融",116.357004,40.045029,全职,5-10年
6,4411813,Ruby 工程师,成都,2018-04-19 11:06:36,14.0,228,Strikingly,"Striking.ly, Inc.",150-500人,武侯区,大专,A轮,移动互联网,104.049298,30.546702,全职,1-3年
7,2532097,Ruby,杭州,2018-04-17 13:17:47,19.0,20091,中电博亚,北京中电博亚科技有限公司,50-150人,西湖区,本科,A轮,"电子商务,游戏",120.122109,30.27455,全职,3-5年
8,4398518,Ruby工程师,上海,2018-04-18 16:34:17,21.0,263738,朝夕网络,上海朝夕网络技术有限公司,15-50人,浦东新区,本科,天使轮,"移动互联网,金融",121.60297,31.200983,全职,3-5年
9,4276050,Ruby工程师,北京,2018-04-18 09:58:57,28.0,8143,途家网,途家网网络技术（北京）有限公司,500-2000人,朝阳区,本科,D轮及以上,"移动互联网,O2O",116.477337,39.954519,全职,1-3年
10,4035265,Ruby研发工程师,上海,2018-04-17 09:03:00,12.0,37031,我奇,上海我奇网络科技有限公司,15-50人,宝山区,不限,未融资,"电子商务,文化娱乐",121.4973,31.340303,全职,1-3年
11,4059435,ruby,上海,2018-04-18 10:17:53,10.8,50417,爱客CRM,上海微问家信息技术有限公司,50-150人,浦东新区,本科,A轮,移动互联网,121.602929,31.199045,全职,1-3年
12,1336758,Ruby开发,深圳,2018-04-18 11:21:59,12.4,109808,灵墨视界,深圳市灵墨视界科技有限公司,15-50人,南山区,本科,不需要融资,移动互联网,113.964358,22.562851,全职,3-5年
13,3732415,Ruby开发工程师,武汉,2018-04-19 09:40:30,14.0,224951,武汉掌中宝,武汉掌中宝网络科技有限公司,50-150人,洪山区,大专,未融资,"移动互联网,游戏",114.32406,30.46954,全职,应届毕业生
14,2086743,Ruby工程师,北京,2018-04-18 17:00:54,14.0,40618,盖娅互娱,北京盖娅互娱网络科技股份有限公司,500-2000人,朝阳区,不限,上市公司,"移动互联网,游戏",116.486103,40.00037806,全职,不限
15,1930557,Ruby 工程师,上海,2018-04-19 11:06:36,21.0,228,Strikingly,"Striking.ly, Inc.",150-500人,,不限,A轮,移动互联网,121.5084,31.30370988,全职,不限
16,3291993,软件开发工程师（ruby）,北京,2018-03-26 10:58:08,21.0,4188,INK 银客集团,银客未来科技（北京）有限公司,500-2000人,海淀区,本科,C轮,"移动互联网,金融",116.357004,40.045029,全职,3-5年
17,4200788,Ruby工程师J10194,北京,2018-04-18 09:58:56,28.0,8143,途家网,途家网网络技术（北京）有限公司,500-2000人,朝阳区,本科,D轮及以上,"移动互联网,O2O",116.477337,39.954519,全职,3-5年
18,4073663,资深ruby工程师,北京,2018-04-19 09:29:04,31.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,本科,B轮,其他,116.357122,39.939268,全职,5-10年
19,1503654,Ruby开发工程师,苏州,2018-04-18 18:19:05,11.2,62816,艾果智能,苏州艾果智能科技有限公司,15-50人,工业园区,大专,不需要融资,"移动互联网,硬件",120.66938168,31.29583399,全职,1-3年
20,3827852,Ruby开发工程师,青岛,2018-04-18 11:50:00,5.6,72176,汉拓,汉拓科技,15-50人,青岛高新技术产业开发区,大专,不需要融资,"移动互联网,O2O",120.287288,36.268004,全职,1-3年
21,4189150,Ruby高级工程师,上海,2018-04-18 20:25:04,19.0,50417,爱客CRM,上海微问家信息技术有限公司,50-150人,浦东新区,本科,A轮,移动互联网,121.602929,31.199045,全职,3-5年
22,4447175,ruby工程师-成都,成都,2018-04-19 10:25:28,9.8,29029,阳光公采,北京阳光公采科技有限公司,50-150人,青羊区,大专,未融资,"移动互联网,分类信息",104.06585,30.657361,全职,1-3年
23,4374898,高级Ruby开发工程师,广州,2018-04-18 10:38:59,17.0,11489,瑞卡连锁租车集团,广州瑞致租车有限公司,500-2000人,海珠区,本科,不需要融资,生活服务,113.325162,23.088532,全职,1-3年
24,4076812,Ruby 工程师,西安,2018-04-09 14:36:02,15.2,107408,AdMaster,精硕科技（北京）股份有限公司,500-2000人,高新技术产业开发区,本科,不需要融资,数据服务,108.882079,34.231096,全职,不限
25,2550526,Ruby 开发,宁波,2018-04-16 09:14:03,11.4,33459,新希望软件,宁波新希望信息技术有限公司,50-150人,江北区,本科,未融资,"企业服务,生活服务",121.56865,29.89842996,全职,1-3年
