,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,3722389,深度学习工程师,杭州,2018-05-02 16:53:28,35.0,225377,zilliz,上海赜睿信息科技有限公司,15-50人,余杭区,本科,A轮,"企业服务,数据服务",120.00536,30.287475,全职,1-3年,"['股票期权', '绩效奖金', '带薪年假', '弹性工作']"
1,4506188,机器学习,北京,2018-05-02 14:21:30,35.0,23039,好大夫在线,互动峰科技(北京)有限公司,500-2000人,朝阳区,本科,D轮及以上,医疗健康,116.50929,39.912321,全职,不限,"['五险一金', '带薪年假', '绩效奖金', '专项奖金']"
2,4508475,机器学习酷,杭州,2018-05-02 17:27:22,28.0,296144,融畅软件,苏州融畅软件科技有限公司,50-150人,拱墅区,本科,未融资,移动互联网,120.108006,30.29291,全职,1-3年,"['""""']"
3,4457349,机器学习,北京,2018-05-03 09:56:36,44.2,129720,DataHunter,北京数猎天下科技有限公司,50-150人,海淀区,本科,A轮,"数据服务,企业服务",116.334661,39.987243,全职,5-10年,"['年底双薪', '交通补助', '带薪年假', '帅哥多']"
4,3927589,机器学习,北京,2018-05-02 18:12:20,28.0,82991,数美,北京数美时代科技有限公司,150-500人,朝阳区,本科,B轮,"企业服务,数据服务",116.465953,40.021083,全职,1-3年,"['年底双薪', '大数据', '带薪年假', '通讯津贴']"
5,3830137,机器学习,北京,2018-05-03 09:16:53,21.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,本科,B轮,其他,116.357353,39.939211,全职,1-3年,"['股票期权', '高成长', '云服务', '高并发']"
6,3965107,深度学习系统工程师,北京,2018-05-02 14:13:16,35.0,1561,Face++,北京旷视科技有限公司,500-2000人,海淀区,本科,C轮,"移动互联网,硬件",116.325436,39.984273,全职,3-5年,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']"
7,4263498,深度学习工程师,广州,2018-05-02 12:02:49,14.0,35507,AI考拉,广州财略金融信息科技有限公司,50-150人,海珠区,不限,A轮,金融,113.32285001,23.09344,全职,不限,"['股票期权', '专项奖金', '带薪年假', '绩效奖金']"
8,3528916,深度学习,北京,2018-05-02 09:14:24,21.0,132091,小白世纪,北京小白世纪网络科技有限公司,15-50人,海淀区,硕士,A轮,移动互联网,116.339673,39.998467,全职,不限,"['专项奖金', '股票期权', '弹性工作', '美女多']"
9,3955805,机器学习,北京,2018-05-02 16:24:37,28.0,37446,APUS Group,北京麒麟合盛科技有限公司,150-500人,朝阳区,本科,B轮,移动互联网,116.480792,39.996,全职,5-10年,"['技能培训', '节日礼物', '丰富的团建', '扁平管理']"
10,4358106,深度学习工程师,北京,2018-05-03 09:50:30,14.0,110239,徐工信息,江苏徐工信息技术股份有限公司,50-150人,海淀区,本科,未融资,"移动互联网,电子商务",116.335774,39.99468,全职,1-3年,"['股票期权', '华为大牛带队', '氛围轻松', '国家级实验室']"
11,3301766,深度学习研究员,杭州,2018-05-02 11:10:20,35.0,34420,图普科技（深度学习图像识别云）,广州图普网络科技有限公司,50-150人,西湖区,博士,A轮,"移动互联网,数据服务",120.126216,30.275486,全职,不限,"['技能培训', '年底双薪', '股票期权', '带薪年假']"
12,2000435,深度学习系统工程师,广州,2018-05-01 22:52:29,32.8,129877,航仕科技,上海航仕企业管理有限公司,150-500人,天河区,本科,C轮,"移动互联网,O2O",113.36663,23.122032,全职,3-5年,"['年底双薪', '午餐补助', '专项奖金', '绩效奖金']"
13,3467607,深度学习工程师,上海,2018-04-28 10:07:14,31.0,52315,Video++,上海极链网络科技有限公司,150-500人,黄浦区,硕士,C轮,"数据服务,文化娱乐",121.506201,31.211158,全职,3-5年,"['节日礼物', '绩效奖金', '岗位晋升', '五险一金']"
14,4452384,机器学习,北京,2018-04-27 14:58:33,36.0,80093,云游九州,北京云游九州空间科技有限公司,15-50人,海淀区,硕士,天使轮,数据服务、企业服务,116.35319,40.016308,全职,不限,"['股票期权', '专项奖金', '带薪年假', '定期体检']"
15,4227674,深度学习工程师,北京,2018-05-02 16:53:27,35.0,225377,zilliz,上海赜睿信息科技有限公司,15-50人,海淀区,本科,A轮,"企业服务,数据服务",116.314526,39.982338,全职,3-5年,"['股票期权', '绩效奖金', '带薪年假', '弹性工作']"
16,4312446,机器学习,北京,2018-05-03 09:16:54,48.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,硕士,B轮,其他,116.357353,39.939211,全职,5-10年,"['股票期权', '高成长', '云服务', '高并发']"
17,3926873,深度学习工程师,杭州,2018-05-02 18:12:22,28.0,82991,数美,北京数美时代科技有限公司,150-500人,余杭区,本科,B轮,"企业服务,数据服务",119.97175,30.334556,全职,1-3年,"['年底双薪', '大数据', '带薪年假', '通讯津贴']"
18,2180502,深度学习研究员,广州,2018-05-02 11:10:19,35.0,34420,图普科技（深度学习图像识别云）,广州图普网络科技有限公司,50-150人,天河区,博士,A轮,"移动互联网,数据服务",113.37311,23.1231,全职,不限,"['技能培训', '年底双薪', '股票期权', '带薪年假']"
19,4109738,机器学习,北京,2018-05-02 09:03:15,21.0,57353,中移在线服务有限公司,中移在线服务有限公司,2000人以上,西城区,硕士,不需要融资,移动互联网,0.0,0.0,全职,3-5年,[]
20,3483729,深度学习工程师,上海,2018-04-27 00:38:09,28.0,142027,海深科技,海深科技（宁波）有限公司,15-50人,浦东新区,硕士,A轮,"移动互联网,电子商务",121.61288,31.206933,全职,1-3年,[]
21,1662019,深度学习专家,上海,2018-05-02 12:17:34,20.0,98800,竹间智能科技(上海)有限公司,竹间智能科技（上海）有限公司,150-500人,徐汇区,硕士,B轮,"移动互联网,其他",121.41698505,31.17523207,全职,3-5年,"['年底双薪', '股票期权', '带薪年假', '绩效奖金']"
22,3865141,深度学习工程师,武汉,2018-05-02 10:32:58,11.2,265439,魅瞳科技,武汉魅瞳科技有限公司,15-50人,东湖新技术开发区,本科,天使轮,数据服务,114.406404,30.479206,全职,3-5年,"['绩效奖金', '专项奖金', '股票期权', '年终分红']"
23,2610695,高级深度学习,深圳,2018-05-02 09:42:11,28.0,158669,行云智能,行云智能（深圳）技术有限公司,15-50人,南山区,硕士,天使轮,"移动互联网,硬件",113.922225,22.534201,全职,不限,"['年终分红', '绩效奖金', '专项奖金', '带薪年假']"
24,4116769,深度学习软件工程师,北京,2018-05-02 10:01:09,28.0,75182,缤果盒子,北京缤歌网络科技有限公司,500-2000人,朝阳区,硕士,B轮,"移动互联网,O2O",116.480206,39.997039,全职,1-3年,"['股票期权', '带薪年假', '扁平管理', '领导好']"
25,4133409,深度学习,北京,2018-05-02 14:19:55,38.0,329,网易,网易（杭州）有限公司,2000人以上,海淀区,硕士,上市公司,"电子商务,移动互联网",115.99339,39.99426,全职,3-5年,"['节日礼物', '技能培训', '免费班车', '带薪年假']"
26,3305565,深度学习工程师/深度学习专家,深圳,2018-05-01 22:52:28,42.0,129877,航仕科技,上海航仕企业管理有限公司,150-500人,南山区,本科,C轮,"移动互联网,O2O",113.993578,22.99368,全职,3-5年,"['年底双薪', '午餐补助', '专项奖金', '绩效奖金']"
27,4378690,高级算法工程师-深度学习,北京,2018-05-02 09:44:08,26.0,236405,曜辉科技,北京曜辉信息科技有限公司,15-50人,朝阳区,本科,未融资,"移动互联网,企业服务",116.465953,40.021083,全职,1-3年,"['弹性工作', '领导好', '扁平管理', '快速成长']"
28,4213663,深度学习工程师,北京,2018-04-28 18:45:33,21.0,243838,羿娲科技,北京羿娲科技有限公司,15-50人,海淀区,本科,天使轮,"硬件,移动互联网",116.333786,39.988063,全职,3-5年,"['绩效奖金', '带薪年假', '全年14薪', '弹性工作']"
29,3913185,深度学习研发工程师,上海,2018-05-02 15:53:39,24.0,189579,Versa,上海懿天网络科技有限公司,15-50人,徐汇区,硕士,A轮,"移动互联网,文化娱乐",121.445213,31.178716,全职,5-10年,"['年底双薪', '股票期权', '帅哥多', '扁平管理']"
30,4191763,深度学习工程师,深圳,2018-05-02 16:53:28,35.0,225377,zilliz,上海赜睿信息科技有限公司,15-50人,南山区,本科,A轮,"企业服务,数据服务",113.943551,22.548179,全职,3-5年,"['股票期权', '绩效奖金', '带薪年假', '弹性工作']"
31,3830104,机器学习,北京,2018-05-03 09:16:53,38.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,本科,B轮,其他,116.357353,39.939211,全职,3-5年,"['股票期权', '高成长', '云服务', '高并发']"
32,1474891,高级深度学习,杭州,2018-05-02 11:10:19,22.8,34420,图普科技（深度学习图像识别云）,广州图普网络科技有限公司,50-150人,西湖区,硕士,A轮,"移动互联网,数据服务",120.126216,30.275486,全职,1-3年,"['技能培训', '年底双薪', '股票期权', '带薪年假']"
33,4222425,深度学习实习生,深圳,2018-05-02 09:42:11,5.6,158669,行云智能,行云智能（深圳）技术有限公司,15-50人,南山区,本科,天使轮,"移动互联网,硬件",113.922225,22.534201,实习,应届毕业生,"['年终分红', '绩效奖金', '专项奖金', '带薪年假']"
