,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,3830080,自然语言处理,北京,2018-04-28 13:39:11,21.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,本科,B轮,其他,116.357353,39.939211,全职,1-3年
1,3944112,NLP,北京,2018-04-26 19:31:34,28.0,82991,数美,北京数美时代科技有限公司,150-500人,朝阳区,本科,B轮,"企业服务,数据服务",116.465953,40.021083,全职,1-3年
2,3972208,NLP/自然语言处理,北京,2018-04-29 01:21:47,26.0,7835,金山办公软件,北京金山软件有限公司,2000人以上,海淀区,本科,上市公司,移动互联网,116.32274,40.036741,全职,3-5年
3,2547720,自然语言处理,北京,2018-04-24 09:12:58,38.0,50702,美团点评,北京三快在线科技有限公司,2000人以上,朝阳区,本科,D轮及以上,"移动互联网,O2O",116.487501,40.008268,全职,3-5年
4,1003615,自然语言处理,北京,2018-04-28 11:09:37,35.0,50604,roobo,北京智能管家科技有限公司,150-500人,东城区,本科,B轮,移动互联网,116.433221,39.920718,全职,3-5年
5,3643203,自然语言处理,北京,2018-04-27 14:21:48,31.0,48188,普强信息,普强信息技术（北京）有限公司,150-500人,海淀区,不限,C轮,数据服务,116.245368,40.072979,全职,不限
6,4493205,自然语言处理工程师,大连,2018-04-27 13:37:45,13.6,40112,华宇,华宇（大连）信息服务有限公司,500-2000人,甘井子区,本科,上市公司,数据服务,121.47543,38.96132,全职,不限
7,4376614,自然语言处理研究员,北京,2018-04-26 13:03:08,42.0,195855,转转,北京转转精神科技有限责任公司,500-2000人,海淀区,本科,A轮,"移动互联网,生活服务",116.360315,40.039775,全职,3-5年
8,3949550,自然语言处理工程师,深圳,2018-04-28 10:34:47,24.8,56,卖座网,深圳市华宇讯科技有限公司,500-2000人,南山区,本科,B轮,"移动互联网,电子商务",113.9422,22.54878,全职,3-5年
9,2429497,自然语言处理,长沙,2018-04-28 08:53:44,16.8,139603,阡寻,长沙阡寻信息科技有限公司,15-50人,岳麓区,硕士,A轮,数据服务,112.882369,28.230937,全职,1-3年
10,4135884,自然语言处理工程师,杭州,2018-04-27 14:42:13,24.0,134830,杭州明霖,杭州明霖信息技术有限公司,500-2000人,滨江区,本科,不需要融资,社交网络,120.213168,30.211897,全职,3-5年
11,4413545,自然语言处理研发工程师(NLP),北京,2018-04-25 11:19:16,26.0,109,马蜂窝,北京蚂蜂窝网络科技有限公司,500-2000人,朝阳区,本科,D轮及以上,"移动互联网,旅游",39.897445,116.331398,全职,1-3年
12,3761835,自然语言处理,北京,2018-04-28 10:52:34,28.0,128115,爱狄特,北京爱狄特信息科技有限公司,150-500人,东城区,硕士,不需要融资,"数据服务,其他",116.44223134,39.93624601,全职,3-5年
13,4501461,自然语言处理工程师,厦门,2018-04-28 18:32:29,33.0,84086,笨鸟社交,厦门笨鸟电子商务有限公司,150-500人,思明区,本科,B轮,企业服务,118.174043,24.48295,全职,1-3年
14,2387410,自然语言处理,北京,2018-04-28 13:33:53,33.0,57049,InnoTREE,北京因果树网络科技有限公司,50-150人,海淀区,本科,B轮,金融,116.30678995,39.98443439,全职,3-5年
15,4312490,自然语言处理,北京,2018-04-28 13:39:11,42.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,硕士,B轮,其他,116.357353,39.939211,全职,5-10年
16,3850751,自然语言处理,北京,2018-04-26 19:31:38,28.0,82991,数美,北京数美时代科技有限公司,150-500人,朝阳区,本科,B轮,"企业服务,数据服务",116.465953,40.021083,全职,1-3年
17,4501476,自然语言处理工程师,深圳,2018-04-28 18:37:12,33.0,84086,笨鸟社交,厦门笨鸟电子商务有限公司,150-500人,南山区,本科,B轮,企业服务,0.0,0.0,全职,1-3年
18,4310247,NLP自然语言处理,上海,2018-04-28 16:08:09,19.0,144037,眸事网,上海脉豪商务信息咨询有限公司,150-500人,虹口区,本科,天使轮,"移动互联网,企业服务",120.993464,30.994061,全职,1-3年
19,3569377,自然语言处理工程师,北京,2018-04-28 13:33:53,35.0,57049,InnoTREE,北京因果树网络科技有限公司,50-150人,海淀区,本科,B轮,金融,116.306683,39.984791,全职,不限
20,4031459,自然语言处理工程师,北京,2018-04-28 13:02:28,21.0,16869,朗播网,北京博智天下信息技术有限公司,150-500人,海淀区,本科,B轮,教育,116.31287,40.03445,全职,3-5年
21,3716636,自然语言处理工程师,厦门,2018-04-28 17:47:15,14.0,9251,美柚,厦门美柚信息科技有限公司,500-2000人,思明区,硕士,D轮及以上,移动互联网,118.17884,24.48956,全职,1-3年
22,3934471,NLP工程师,杭州,2018-04-28 11:54:02,21.0,59928,盈盈理财,杭州盈纳控股集团有限公司,500-2000人,下城区,本科,A轮,移动互联网,0.0,0.0,全职,1-3年
23,4096659,策略算法高级工程师- 智能交互/NLP,北京,2018-04-28 10:42:18,35.0,50702,美团点评,北京三快在线科技有限公司,2000人以上,朝阳区,本科,D轮及以上,"移动互联网,O2O",116.488126,40.008776,全职,3-5年
24,3856719,自然语言处理工程师,深圳,2018-04-27 15:18:46,14.0,41889,脑洞科技,深圳市脑洞科技有限公司,50-150人,南山区,本科,不需要融资,"移动互联网,教育",113.94063,22.54108,全职,1-3年
25,1837975,自然语言处理工程师,北京,2018-04-28 11:09:37,38.0,50604,roobo,北京智能管家科技有限公司,150-500人,东城区,本科,B轮,移动互联网,116.433221,39.920718,全职,3-5年
26,2105186,自然语言处理,北京,2018-04-28 11:01:53,21.0,3038,Gridsum 国双,北京国双科技有限公司,500-2000人,海淀区,本科,上市公司,"数据服务,企业服务",116.33175,39.97599007,全职,3-5年
27,3426370,自然语言处理工程师,上海,2018-04-28 09:51:04,19.0,14983,游族网络,上海游族信息技术有限公司,500-2000人,徐汇区,不限,上市公司,"移动互联网,游戏",39.897445,116.331398,全职,3-5年
28,3953080,自然语言处理研发工程师,深圳,2018-04-28 10:18:36,21.0,281631,深圳讴谱科技有限公司,深圳讴谱科技有限公司,15-50人,南山区,本科,不需要融资,信息安全 数据服务,113.950656,22.556557,全职,3-5年
29,2209361,自然语言处理,北京,2018-04-26 17:49:12,28.0,142470,蓦然认知科技,北京蓦然认知科技有限公司,50-150人,海淀区,硕士,A轮,移动互联网,116.351887,40.009524,全职,1-3年
30,4365342,NLP,北京,2018-04-27 16:26:18,42.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,硕士,B轮,其他,116.357122,39.939268,全职,3-5年
31,3047541,自然语言处理,武汉,2018-04-22 15:37:25,16.8,87751,烽火普天,武汉烽火普天信息技术有限公司,50-150人,东湖新技术开发区,本科,A轮,企业服务、数据服务,,,全职,不限
32,3596193,自然语言处理工程师,北京,2018-04-27 11:21:05,43.0,173658,逸途科技,逸途（北京）科技有限公司,50-150人,朝阳区,硕士,A轮,"移动互联网,旅游",116.490632,39.985193,全职,不限
33,3953076,自然语言处理研发工程师,深圳,2018-04-28 10:23:39,11.2,281631,深圳讴谱科技有限公司,深圳讴谱科技有限公司,15-50人,南山区,本科,不需要融资,信息安全 数据服务,113.950656,22.556557,全职,1-3年
34,3068179,自然语言处理工程师,北京,2018-04-28 09:55:52,35.0,56363,安易信,北京安易信科技有限公司,50-150人,海淀区,本科,上市公司,"金融,数据服务",116.351057,39.977249,全职,3-5年
35,3121353,自然语言处理研究员,北京,2018-04-27 16:24:25,35.0,50604,roobo,北京智能管家科技有限公司,150-500人,东城区,硕士,B轮,移动互联网,116.433221,39.920718,全职,1-3年
36,3591061,自然语言处理工程师,上海,2018-04-28 09:48:26,28.0,259846,源杉FIR.ai,源杉信息技术（上海）有限公司,15-50人,杨浦区,硕士,天使轮,"数据服务,金融",121.50694,31.30379,全职,3-5年
37,3219496,自然语言处理/机器学习工程师,北京,2018-04-28 10:09:48,35.0,98197,Moka,北京希瑞亚斯科技有限公司,50-150人,海淀区,本科,A轮,企业服务,116.313161,39.984635,全职,3-5年
38,4496259,自然语言处理工程师,广州,2018-04-27 18:56:52,19.0,205097,赛酷睿,广州市赛酷睿电子科技有限公司,2000人以上,白云区,本科,不需要融资,移动互联网,113.271506,23.175202,全职,1-3年
39,4312503,自然语言处理工程师,杭州,2018-04-27 09:54:51,19.0,35559,亲宝宝,杭州点望科技有限公司,150-500人,西湖区,硕士,B轮,"移动互联网,社交网络",120.097412,30.266811,全职,1-3年
40,4484070,自然语言处理工程师,大连,2018-04-27 13:34:42,15.2,40112,华宇,华宇（大连）信息服务有限公司,500-2000人,甘井子区,硕士,上市公司,数据服务,121.453687,38.965028,全职,1-3年
41,1891476,自然语言处理（上下文）,北京,2018-04-26 16:56:17,35.0,23004,图灵机器人,北京光年无限科技有限公司,150-500人,,硕士,B轮,移动互联网,116.31137083,40.02771557,全职,3-5年
42,4019036,NLP工程师,深圳,2018-04-28 10:34:45,25.2,56,卖座网,深圳市华宇讯科技有限公司,500-2000人,南山区,本科,B轮,"移动互联网,电子商务",113.9422,22.54878,全职,3-5年
43,4500780,自然语言处理研究员,北京,2018-04-28 16:52:00,24.8,1650,联想集团,联想（北京）有限公司,2000人以上,海淀区,硕士,上市公司,"移动互联网,数据服务",116.29846,40.0534,全职,3-5年
44,3361816,自然语言处理工程师,北京,2018-04-28 14:47:12,28.0,67118,达闼科技,达闼科技（北京）有限公司,150-500人,朝阳区,硕士,B轮,移动互联网,116.48016019,39.99690009,全职,1-3年
45,4462478,NLP,北京,2018-04-27 16:26:17,21.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,硕士,B轮,其他,116.357122,39.939268,全职,1-3年
46,3595281,NLP工程师,北京,2018-04-27 11:21:05,21.0,173658,逸途科技,逸途（北京）科技有限公司,50-150人,朝阳区,硕士,A轮,"移动互联网,旅游",116.490632,39.985193,全职,1-3年
47,4222179,NLP工程师,北京,2018-04-26 11:00:29,24.0,123070,零秒科技,北京零秒科技有限公司,15-50人,海淀区,硕士,A轮,"移动互联网,企业服务",116.308446,40.055569,全职,1-3年
48,4002100,NLP工程师,武汉,2018-04-29 01:21:47,21.0,7835,金山办公软件,北京金山软件有限公司,2000人以上,洪山区,本科,上市公司,移动互联网,114.42532,30.456379,全职,1-3年
49,3850689,NLP工程师,北京,2018-04-26 19:31:33,28.0,82991,数美,北京数美时代科技有限公司,150-500人,朝阳区,本科,B轮,"企业服务,数据服务",116.465953,40.021083,全职,1-3年
50,4246414,自然语言处理工程师,苏州,2018-04-25 09:41:54,21.0,94,思必驰科技,苏州思必驰信息科技有限公司,150-500人,工业园区,硕士,C轮,企业服务,120.723343,31.324036,全职,3-5年
51,2960555,自然语言处理/数据挖掘工程师,北京,2018-04-27 12:19:45,28.0,4510,春雨移动健康,北京春雨天下软件有限公司,150-500人,海淀区,硕士,C轮,移动互联网,116.351825,40.00853,全职,3-5年
52,4014923,自然语言处理工程师,北京,2018-04-26 10:37:19,35.0,172285,猎户星空,北京猎户星空科技有限公司,150-500人,朝阳区,本科,A轮,"移动互联网,硬件",116.458741,39.932851,全职,不限
