,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4096763,语音识别,北京,2018-04-28 13:39:11,38.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,硕士,B轮,其他,116.357353,39.939211,全职,3-5年,"['股票期权', '高成长', '云服务', '高并发']"
1,3473723,语音识别研究员,上海,2018-04-30 22:38:04,35.0,3422,英语流利说,上海流利说信息技术有限公司,500-2000人,杨浦区,硕士,C轮,"移动互联网,教育",121.50712,31.265662,全职,不限,"['弹性工作', '五险一金', '年度旅游', '年底双薪']"
2,4286288,语音识别专家,北京,2018-04-28 10:07:03,42.0,7030,触宝,上海触乐信息科技有限公司,150-500人,朝阳区,硕士,D轮及以上,"移动互联网,数据服务",116.454668,39.919657,全职,3-5年,"['管理扁平', '发展空间大', '行业独角兽', '带薪年假病假']"
3,4281281,语音识别工程师,北京,2018-04-26 19:31:35,35.0,82991,数美,北京数美时代科技有限公司,150-500人,朝阳区,硕士,B轮,"企业服务,数据服务",116.465953,40.021083,全职,1-3年,"['年底双薪', '大数据', '带薪年假', '通讯津贴']"
4,4501389,语音识别工程师,北京,2018-04-28 18:14:25,34.0,81904,创优天下,北京创优天下网络科技有限公司,50-150人,海淀区,本科,天使轮,"教育,游戏",116.323585,39.964647,全职,3-5年,"['带薪年假', '绩效奖金', '扁平管理', '管理规范']"
5,3745292,语音识别,苏州,2018-04-26 14:01:18,21.0,56995,意能通,苏州意能通信息技术有限公司,50-150人,工业园区,硕士,A轮,移动互联网,120.744999,31.269057,全职,3-5年,"['股票期权', '弹性工作', '扁平管理', '快速发展']"
6,3562714,语音识别工程师J10012,北京,2018-04-28 17:21:17,38.0,1880,快手,北京达佳互联信息技术有限公司,500-2000人,海淀区,硕士,D轮及以上,移动互联网,116.330747,39.9947,全职,不限,"['股票期权', '弹性工作', '定期体检', '岗位晋升']"
7,2875958,语音识别工程师,北京,2018-04-28 17:56:29,38.0,36031,一起科技,上海一起作业信息科技有限公司,500-2000人,朝阳区,本科,D轮及以上,"移动互联网,教育",116.486624,40.000825,全职,1-3年,"['节日礼物', '岗位晋升', '扁平管理', '领导好']"
8,3130150,语音识别工程师,北京,2018-04-27 16:24:24,38.0,50604,roobo,北京智能管家科技有限公司,150-500人,东城区,本科,B轮,移动互联网,116.433221,39.920718,全职,3-5年,"['年底双薪', '节日礼物', '技能培训', '年度旅游']"
9,4327267,语音识别工程师,苏州,2018-04-25 09:41:54,21.0,94,思必驰科技,苏州思必驰信息科技有限公司,150-500人,工业园区,硕士,C轮,企业服务,120.723343,31.324036,全职,1-3年,"['年底双薪', '五险一金', '弹性工作', '年度旅游']"
10,3583621,语音识别工程师,北京,2018-04-28 15:56:54,26.0,8103,汽车之家,北京车之家信息技术有限公司,2000人以上,海淀区,本科,上市公司,"移动互联网,文化娱乐",116.311989,39.979473,全职,1-3年,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']"
11,3842170,数据挖掘工程师-语音识别,北京,2018-04-26 10:45:34,28.0,136443,马上金融,马上消费金融股份有限公司,2000人以上,朝阳区,本科,不需要融资,"金融,移动互联网",116.47826581,39.91290348,全职,3-5年,"['股票期权', '年终分红', '绩效奖金', '带薪年假']"
12,4362134,语音识别工程师,杭州,2018-04-25 17:05:00,29.0,272694,一知智能,杭州一知智能科技有限公司,15-50人,萧山区,硕士,天使轮,"移动互联网,数据服务",0.0,0.0,全职,不限,"['股票期权', '带薪年假', '通讯津贴', '午餐补助']"
13,3657996,语音识别工程师,上海,2018-04-28 10:53:03,20.0,98800,竹间智能科技(上海)有限公司,竹间智能科技（上海）有限公司,150-500人,徐汇区,硕士,B轮,"移动互联网,其他",121.41768,31.17509986,全职,不限,"['年底双薪', '股票期权', '带薪年假', '绩效奖金']"
14,3684958,语音识别工程师—-声学模型方向,北京,2018-04-27 14:21:48,9.6,48188,普强信息,普强信息技术（北京）有限公司,150-500人,海淀区,本科,C轮,数据服务,116.245368,40.072979,实习,应届毕业生,"['节日礼物', '股票期权', '带薪年假', '岗位晋升']"
15,4096764,语音识别,北京,2018-04-28 13:39:11,21.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,硕士,B轮,其他,116.357353,39.939211,全职,1-3年,"['股票期权', '高成长', '云服务', '高并发']"
16,4166938,语音识别工程师--声学模型方向,北京,2018-04-27 11:59:33,14.0,48188,普强信息,普强信息技术（北京）有限公司,150-500人,海淀区,硕士,C轮,数据服务,116.245368,40.072979,全职,1-3年,"['节日礼物', '股票期权', '带薪年假', '岗位晋升']"
17,4014812,语音识别解码器,北京,2018-04-26 10:37:20,35.0,172285,猎户星空,北京猎户星空科技有限公司,150-500人,朝阳区,硕士,A轮,"移动互联网,硬件",116.458741,39.932851,全职,不限,"['年度旅游', '弹性工作', '领导好', '五险一金']"
18,3944494,语音识别工程师,北京,2018-04-24 20:10:05,42.0,62,字节跳动,北京字节跳动科技有限公司,2000人以上,海淀区,硕士,C轮,"移动互联网,数据服务",116.332602,39.971268,全职,3-5年,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']"
19,3683082,语音识别工程师,苏州,2018-04-24 18:00:56,21.0,8288,网龙网络有限公司,福建网龙计算机网络信息技术有限公司,2000人以上,工业园区,硕士,上市公司,"移动互联网,教育",120.732665,31.264799,全职,1-3年,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']"
