,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,3698465,BI工程师,上海,2018-04-28 14:47:13,12.0,128998,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,徐汇区,本科,不需要融资,"移动互联网,金融",121.462683,31.1871,全职,1-3年
1,601730,BI工程师,深圳,2018-04-28 10:44:36,13.2,63500,紫川软件,深圳市紫川软件有限公司,500-2000人,南山区,大专,不需要融资,"电子商务,金融",113.937987,22.523392,全职,3-5年
2,4305000,BI工程师,广州,2018-04-26 09:17:17,10.8,57590,七乐康,广州七乐康药业连锁有限公司,500-2000人,荔湾区,本科,C轮,"电子商务,医疗健康",113.23803,23.101751,全职,1-3年
3,4483456,BI工程师,杭州,2018-04-28 16:05:53,14.0,256558,备胎控股集团,浙江备胎网络科技有限公司,2000人以上,拱墅区,本科,B轮,"移动互联网,金融",120.118342,30.336031,全职,1-3年
4,4500449,BI工程师,北京,2018-04-28 16:35:45,21.0,62,字节跳动,北京字节跳动科技有限公司,2000人以上,海淀区,本科,C轮,"移动互联网,数据服务",39.971268,39.971268,全职,1-3年
5,4085671,BI工程师,深圳,2018-04-28 09:32:23,14.0,149492,深圳市彩生活服务集团有限公司,深圳市彩生活服务集团有限公司,2000人以上,龙华新区,本科,上市公司,"移动互联网,生活服务",114.031905,22.614888,全职,1-3年
6,4475163,BI工程师,深圳,2018-04-28 14:51:27,14.0,131846,Shopee,深圳虾皮信息科技有限公司,2000人以上,南山区,本科,上市公司,电子商务,113.944704,22.538345,全职,1-3年
7,4260712,BI工程师,广州,2018-04-25 16:23:46,12.0,22862,上海中软华腾软件系统有限公司,上海中软华腾软件系统有限公司,2000人以上,天河区,本科,上市公司,"企业服务,金融",113.348937,23.118704,全职,1-3年
8,4292521,BI工程师,上海,2018-04-27 10:22:33,14.4,25317,金证股份,深圳市金证科技股份有限公司,2000人以上,徐汇区,本科,上市公司,金融,121.456306,31.18335,全职,3-5年
9,4233465,BI工程师,长沙,2018-04-28 11:55:15,12.0,7382,中和农信,中和农信项目管理有限公司,2000人以上,岳麓区,本科,不需要融资,"移动互联网,金融",112.876209,28.228419,全职,3-5年
10,3843594,BI工程师,深圳,2018-04-28 09:21:56,14.0,15265,我来贷WeLab,深圳卫盈智信科技有限公司,500-2000人,南山区,本科,B轮,金融,113.94212,22.50907,全职,1-3年
11,3010496,BI工程师,上海,2018-04-27 09:30:16,16.0,47956,厚本金融,上海厚本金融信息服务有限公司,2000人以上,黄浦区,本科,A轮,金融,121.478246,31.205847,全职,1-3年
12,3770239,BI工程师,杭州,2018-04-28 10:15:15,28.0,26564,贝贝网,杭州贝购科技有限公司,500-2000人,江干区,本科,D轮及以上,电子商务,0.0,0.0,全职,3-5年
13,4348732,BI工程师,深圳,2018-04-28 09:22:23,14.4,144343,轻松到家,深圳市轻松到家科技股份有限公司,50-150人,南山区,本科,B轮,O2O,113.938721,22.524652,全职,不限
14,4073061,BI工程师,上海,2018-04-27 14:44:17,10.8,18655,大搜车,杭州大搜车汽车服务有限公司,500-2000人,长宁区,本科,D轮及以上,"移动互联网,O2O",121.423533,31.211817,全职,3-5年
