,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,3950601,全栈工程师,北京,2018-04-16 14:01:44,28.0,1561,Face++,北京旷视科技有限公司,500-2000人,海淀区,本科,C轮,"移动互联网,硬件",NaN,NaN,全职,不限
1,4266528,全栈工程师,北京,2018-04-18 14:03:21,21.6,136978,玖富集团,玖富金科控股集团有限责任公司,2000人以上,朝阳区,本科,C轮,金融,116.480792,39.99613,全职,5-10年
2,4292809,全栈工程师,广州,2018-04-19 10:24:05,6.2,53634,广东智源,广东智源信息技术有限公司,50-150人,越秀区,本科,不需要融资,"移动互联网,企业服务",113.27388,23.14427,全职,不限
3,4327096,全栈工程师,上海,2018-04-19 09:13:22,12.0,55405,店达信息,上海店达信息技术有限公司,500-2000人,浦东新区,本科,B轮,"电子商务,O2O",121.584877,31.193497,全职,1-3年
4,4230179,全栈工程师,上海,2018-04-19 09:32:59,36.0,6044,拍拍贷,上海拍拍贷金融信息服务有限公司,2000人以上,浦东新区,不限,上市公司,金融,0.0,0.0,全职,3-5年
5,3975356,全栈工程师,北京,2018-04-19 09:06:26,25.2,89428,SURVEY,北京视维腾越科技有限公司,150-500人,海淀区,本科,未融资,"移动互联网,电子商务",116.32244,39.95744,全职,5-10年
6,2748004,全栈工程师,杭州,2018-04-18 20:51:49,19.0,86350,程序员客栈,杭州势然网络科技有限公司,15-50人,余杭区,本科,天使轮,"企业服务,其他",120.005318,30.287448,全职,5-10年
7,3840356,全栈工程师,北京,2018-04-11 14:33:04,28.0,254799,小鹏汽车,广州小鹏汽车科技有限公司,150-500人,朝阳区,不限,A轮,"移动互联网,硬件",116.479874,39.987108,全职,10年以上
8,3737997,全栈工程师,上海,2018-04-18 10:19:30,20.0,98800,竹间智能科技(上海)有限公司,竹间智能科技（上海）有限公司,150-500人,徐汇区,本科,B轮,"移动互联网,其他",121.417459,31.175027,全职,3-5年
9,4375955,全栈工程师,北京,2018-04-18 17:16:28,14.0,118204,美丽屋,北京美丽屋资产管理有限公司,500-2000人,丰台区,本科,B轮,生活服务,116.283989,39.834911,全职,1-3年
10,3482531,全栈工程师,上海,2018-04-17 17:44:41,28.0,56746,贝米钱包,上海贝涛金融信息服务有限公司,50-150人,徐汇区,本科,A轮,金融,121.446889,31.204067,全职,3-5年
11,4069257,全栈工程师,上海,2018-04-19 11:13:23,24.0,299367,戎磐网络,上海戎磐网络科技有限公司,15-50人,长宁区,大专,天使轮,信息安全、移动互联网,121.402458,31.202883,全职,不限
12,3109077,全栈工程师,杭州,2018-04-18 20:24:00,28.0,153849,蚂蚁金服集团,支付宝(杭州)信息技术有限公司,2000人以上,西湖区,硕士,B轮,"金融,移动互联网",120.125788,30.272627,全职,3-5年
13,4292223,全栈工程师,上海,2018-04-17 16:33:17,21.6,86167,新核云,上海纽酷信息科技有限公司,50-150人,徐汇区,本科,A轮,"移动互联网,企业服务",121.467262,31.192769,全职,3-5年
14,3939479,全栈工程师,武汉,2018-04-18 09:20:35,19.0,7835,金山办公软件,北京金山软件有限公司,2000人以上,东湖新技术开发区,本科,上市公司,移动互联网,114.42532,30.456379,全职,3-5年
15,3796275,全栈工程师,北京,2018-04-16 14:01:42,21.0,1561,Face++,北京旷视科技有限公司,500-2000人,海淀区,本科,C轮,"移动互联网,硬件",116.325436,39.984273,全职,3-5年
16,4197093,全栈工程师,厦门,2018-04-19 09:58:12,14.0,25205,吉比特,厦门吉比特网络技术股份有限公司,150-500人,思明区,本科,上市公司,游戏,118.17933,24.49018,全职,5-10年
17,4056752,全栈工程师,上海,2018-04-18 17:41:04,10.8,18469,联璧集团,上海联璧电子科技（集团）有限公司,500-2000人,松江区,本科,B轮,"移动互联网,O2O",121.161028,31.047255,全职,1-3年
18,3948469,全栈工程师,深圳,2018-04-18 09:41:13,21.0,158669,行云智能,行云智能（深圳）技术有限公司,15-50人,南山区,本科,天使轮,"移动互联网,硬件",113.922225,22.534201,全职,不限
