,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,3068698,cocos2d-x开发工程师,深圳,2018-05-02 11:32:50,22.0,206984,有爱互动,北京有爱互娱科技有限公司,150-500人,南山区,大专,B轮,游戏,113.944304,22.54904,全职,3-5年,"['年底双薪', '带薪年假', '节日礼物', '弹性工作']"
1,2901484,cocos2d-x开发工程师,深圳,2018-05-02 13:37:08,11.2,42627,中青宝,深圳中青宝互动网络股份有限公司,500-2000人,南山区,大专,上市公司,"移动互联网,游戏",113.993578,22.99368,全职,1-3年,"['节日礼物', '年底双薪', '带薪年假', '提供工作三餐']"
2,3995120,Cocos2d-x开发工程师,广州,2018-05-02 15:38:10,15.2,132056,小妖传媒,广州小妖传媒有限公司,15-50人,天河区,不限,未融资,"移动互联网,社交网络",0.0,0.0,全职,1-3年,"['绩效奖金', '工作时间弹性', '环境高大上', '社保齐全']"
3,2991345,cocos2d-x,成都,2018-05-03 09:49:22,10.8,21537,聚梦,成都聚梦科技有限公司,50-150人,高新区,大专,不需要融资,游戏,104.055698,30.586649,全职,1-3年,"['年底双薪', '带薪年假', '节日礼物', '五险一金']"
4,3817372,Cocos2dx开发工程师,北京,2018-05-02 09:56:19,17.0,117002,新创娱游,北京新创娱游科技有限公司,50-150人,海淀区,本科,不需要融资,游戏,116.303292,40.054299,全职,3-5年,"['年底双薪', '无限水果零食', '股票期权', '年度旅游']"
5,2546780,COCOS2D-X,北京,2018-05-02 09:48:46,17.8,4286,竞技世界,竞技世界（北京）网络技术有限公司,500-2000人,海淀区,本科,不需要融资,"移动互联网,游戏",116.31202811,40.03723008,全职,1-3年,"['节日礼物', '技能培训', '年底双薪', '年度旅游']"
6,4135010,cocos2dx开发,广州,2018-05-02 11:39:57,12.0,93656,火舞游戏,广州火舞软件开发股份有限公司,150-500人,天河区,大专,上市公司,游戏,112.993461,22.994261,全职,1-3年,"['年底双薪', '专项奖金', '带薪年假', '年终分红']"
7,4028076,cocos2d-x开发工程师,广州,2018-05-02 11:29:34,10.8,160121,X-MEN,广州艾克斯曼网络科技有限公司,150-500人,天河区,大专,不需要融资,游戏,113.400444,23.119884,全职,1-3年,"['年底双薪', '技能培训', '管理规范', '五险一金']"
8,4110202,Cocos2d-x 开发工程师,北京,2018-05-03 09:39:14,17.0,67961,云派游戏,云派互联科技（北京）有限公司,50-150人,朝阳区,本科,不需要融资,"移动互联网,游戏",116.417035,40.031998,全职,1-3年,"['年底双薪', '绩效奖金', '年度旅游', '弹性工作']"
9,4211494,Cocos2d-x开发工程师,北京,2018-05-03 09:32:55,14.0,88,木瓜移动,北京木瓜移动科技有限公司,150-500人,海淀区,本科,B轮,移动互联网,116.353717,40.015752,全职,1-3年,"['五险一金', '岗位晋升', '技能培训', '定期体检']"
10,3817974,Cocos2d-x,北京,2018-05-02 15:48:50,21.0,95651,玩吧,北京默契破冰科技有限公司,50-150人,东城区,本科,B轮,"移动互联网,社交网络",116.436939,39.940498,全职,3-5年,"['去他的考勤', '高手云集', '股票期权', '年底N薪']"
11,3651730,cocos2d-x开发工程师,深圳,2018-05-02 14:22:28,14.0,16589,禅游,深圳市禅游科技股份有限公司,150-500人,南山区,大专,B轮,游戏,113.993578,22.99368,全职,1-3年,"['绩效奖金', '年底双薪', '五险一金', '带薪年假']"
12,4355168,cocos2dx开发,广州,2018-05-03 09:41:19,14.0,55237,漫灵软件,广州市漫灵软件有限公司,150-500人,天河区,本科,未融资,移动互联网,113.375657,23.132664,全职,1-3年,"['节日礼物', '年底双薪', '带薪年假', '绩效奖金']"
13,4412312,cocos2dx,北京,2018-05-02 19:12:12,21.0,124192,闲徕互娱,北京闲徕互娱网络科技有限公司,500-2000人,朝阳区,大专,不需要融资,游戏,116.414211,40.032234,全职,5-10年,"['年底双薪', '股票期权', '带薪年假', '专项奖金']"
14,1716590,COCOS2D-X,上海,2018-05-02 15:07:30,14.0,26211,游奇网络,上海游奇网络有限公司,150-500人,浦东新区,本科,不需要融资,游戏,121.53042961,31.21771981,全职,1-3年,"['五险一金', '带薪年假', '交通补助', '年终分红']"
