,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4426886,Flash设计师,广州,2018-04-28 14:16:39,6.4,271701,贪玩游戏,江西贪玩信息技术有限公司广州分公司,500-2000人,天河区,大专,D轮及以上,游戏,113.368584,23.113076,全职,应届毕业生,"['带薪年假', '定期体检', '年度旅游', '五险一金']"
1,2792375,Flash开发工程师,上海,2018-04-28 09:51:02,8.0,14983,游族网络,上海游族信息技术有限公司,500-2000人,徐汇区,本科,上市公司,"移动互联网,游戏",39.897445,116.331398,全职,1-3年,"['五险一金', '岗位晋升', '弹性工作', '扁平管理']"
2,1190162,Flash设计师,厦门,2018-04-28 09:26:23,6.2,26742,趣游（厦门）科技有限公司,趣游（厦门）科技有限公司,150-500人,湖里区,本科,不需要融资,移动互联网,118.15669643,24.52427144,全职,不限,"['绩效奖金', '年底双薪', '五险一金', '带薪年假']"
3,4466745,Flash开发工程师,北京,2018-04-23 16:26:09,17.2,280,畅游,北京畅游天下网络技术有限公司,2000人以上,石景山区,大专,上市公司,"移动互联网,游戏",116.205484,39.909728,全职,1-3年,"['节日礼物', '技能培训', '带薪年假', '岗位晋升']"
4,3519693,Flash设计,北京,2018-04-27 11:19:34,5.6,219965,青果灵动,北京青果灵动科技股份有限公司,150-500人,朝阳区,不限,不需要融资,游戏,116.538389,39.913014,全职,不限,"['专项奖金', '带薪年假', '年终分红', '定期体检']"
5,4068801,Flash开发工程师,杭州,2018-04-28 11:52:33,18.2,114739,游卡桌游,杭州游卡网络技术有限公司,500-2000人,西湖区,大专,不需要融资,"游戏,移动互联网",120.116811,30.290398,全职,3-5年,"['品牌IP', '福利健全', '稳定平台', '创业文化']"
6,3707796,flash设计师,北京,2018-04-28 12:08:35,5.8,150256,思享时代（北京）科技有限公司,思享时代（北京）科技有限公司,150-500人,朝阳区,本科,不需要融资,"移动互联网,社交网络",116.41135,39.969418,全职,不限,"['国内外旅行', '水果下午茶', '8天带薪假期', '免费自助晚餐']"
7,3995499,flash开发工程师,上海,2018-04-26 15:12:13,17.0,232470,上海傲梦网络科技有限公司,上海傲梦网络科技有限公司,150-500人,长宁区,不限,B轮,教育,121.359916,31.220034,全职,3-5年,"['绩效奖金', '带薪年假', '弹性工作', '帅哥多']"
8,2785975,flash实习,北京,2018-04-29 11:18:41,3.4,5706,洋葱数学,光合新知（北京）科技有限公司,150-500人,朝阳区,大专,C轮,"移动互联网,教育",116.500139,39.991999,实习,应届毕业生,"['产品领先行业', '关注学习本源', '明星跨界团队', '股票期权']"
9,2997151,高级flash开发,北京,2018-04-29 00:05:04,21.0,107435,熊猫直播,上海熊猫互娱文化有限公司北京分公司,500-2000人,朝阳区,本科,未融资,"移动互联网,文化娱乐",116.48016,39.9969,全职,3-5年,"['年底双薪', '带薪年假', '午餐补助', '绩效奖金']"
10,3818726,Flash动画师,北京,2018-05-01 10:45:59,7.0,28795,汽车头条,北京智阅网络科技有限公司,150-500人,朝阳区,本科,上市公司,"移动互联网,文化娱乐",116.496602,39.960579,全职,1-3年,"['绩效奖金', '年终分红', '专项奖金', '五险一金']"
11,3546867,Flash设计师,广州,2018-04-25 10:39:18,5.6,589,多益网络,广州多益网络股份有限公司,500-2000人,萝岗区,不限,不需要融资,"移动互联网,游戏",113.505122,23.161058,全职,不限,"['扁平化管理', '现象级产品']"
12,2618284,Flash动画师,成都,2018-04-26 09:13:26,5.6,4178,凯奇谷,北京凯奇谷信息技术股份有限公司,150-500人,高新区,不限,上市公司,"移动互联网,游戏",104.048199,30.585378,全职,不限,"['技能培训', '股票期权', '年度旅游', '岗位晋升']"
13,3804084,Flash动画开发工程师,西安,2018-04-26 09:08:45,4.8,35691,博导前程,北京博导前程信息技术有限公司,150-500人,高新技术产业开发区,大专,上市公司,"电子商务,教育",108.885527,34.187259,全职,1-3年,"['年底双薪', '绩效奖金', '带薪年假', '通讯津贴']"
14,4204917,flash动画师,上海,2018-04-28 15:54:39,6.2,64177,飞碟说,飞碟视界传媒科技（上海）有限公司,50-150人,闵行区,大专,B轮,"移动互联网,文化娱乐",121.270094,31.215457,全职,不限,"['节日礼物', '年度旅游', '每天水果', '免费班车']"
15,4178023,Flash/Ui特效师,厦门,2018-04-28 17:58:45,7.0,26742,趣游（厦门）科技有限公司,趣游（厦门）科技有限公司,150-500人,湖里区,不限,不需要融资,移动互联网,118.156696,24.524271,全职,不限,"['绩效奖金', '年底双薪', '五险一金', '带薪年假']"
16,4388183,Flash AS3开发,上海,2018-04-28 09:51:01,14.4,14983,游族网络,上海游族信息技术有限公司,500-2000人,徐汇区,不限,上市公司,"移动互联网,游戏",39.897445,116.331398,全职,1-3年,"['五险一金', '岗位晋升', '弹性工作', '扁平管理']"
17,4114516,Flash实习生,北京,2018-04-27 17:33:43,2.8,5706,洋葱数学,光合新知（北京）科技有限公司,150-500人,朝阳区,不限,C轮,"移动互联网,教育",116.501588,39.99314,实习,应届毕业生,"['产品领先行业', '关注学习本源', '明星跨界团队', '股票期权']"
18,2229958,Flash动画师,北京,2018-04-30 17:53:16,7.0,4178,凯奇谷,北京凯奇谷信息技术股份有限公司,150-500人,朝阳区,不限,上市公司,"移动互联网,游戏",116.462495,39.900399,全职,不限,"['技能培训', '股票期权', '年度旅游', '岗位晋升']"
19,1132401,Flash设计师,广州,2018-04-24 10:30:53,3.8,60828,原创动力,广东原创动力文化传播有限公司,150-500人,越秀区,不限,不需要融资,文化娱乐,113.2965375,23.14255793,全职,不限,"['节日礼物', '技能培训', '带薪年假', '年度旅游']"
20,4482348,Flash设计 实习生,无锡,2018-04-30 15:37:44,4.8,233304,燃网络,南京网燃网络科技有限公司,少于15人,崇安区,大专,未融资,"移动互联网,游戏",120.307543,31.571228,全职,1年以下,[]
21,2972395,Flash设计师,杭州,2018-04-24 14:19:29,5.6,56938,超级课堂,杭州秀铂网络科技有限公司,150-500人,西湖区,大专,A轮,"移动互联网,教育",119.993591,29.993662,全职,不限,"['技能培训', '绩效奖金', '年度旅游', '岗位晋升']"
