,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4323837,JavaScript开发工程师,深圳,2018-05-03 09:20:11,7.0,65521,泽林信息,深圳市泽林信息咨询有限公司,500-2000人,南山区,大专,不需要融资,教育,113.953534,22.542215,全职,1-3年,"['节日礼物', '技能培训', '绩效奖金', '年度旅游']"
1,1208072,JavaScript,北京,2018-05-02 15:41:46,22.0,84656,皇包车,北京纯粹旅行有限公司,150-500人,朝阳区,本科,C轮,"移动互联网,旅游",116.48500999,39.90082006,全职,1-3年,"['带薪年假', '绩效奖金', '岗位晋升', '年度旅游']"
2,4341193,Javascript开发,广州,2018-05-02 15:39:45,6.2,290905,广州楠天,广州楠天网络科技有限公司,15-50人,天河区,大专,不需要融资,移动互联网,113.398974,23.121974,全职,1-3年,[]
3,2220407,JS工程师,深圳,2018-05-03 09:48:48,21.0,45668,XMind,XMind Ltd,50-150人,南山区,本科,不需要融资,移动互联网,113.952514,22.535885,全职,3-5年,"['年底双薪', '股票期权', '带薪年假', '扁平管理']"
4,4093535,js开发工程师,厦门,2018-05-02 16:16:10,10.8,221200,玩美,厦门玩美网络科技有限公司,15-50人,思明区,大专,未融资,"游戏,移动互联网",118.193405,24.492305,全职,1-3年,"['五险一金', '全勤奖', '周末双休', '加班补贴']"
5,4317140,Javascript开发工程师,深圳,2018-05-02 09:37:48,19.0,8332,任子行,任子行网络技术股份有限公司,500-2000人,南山区,本科,上市公司,移动互联网,113.907091,22.54964,全职,5-10年,"['年终奖金', '绩效奖金', '年度旅游', '美女多']"
6,1372408,JavaScript开发工程师,无锡,2018-04-28 14:19:58,9.0,3246,帆软软件,南京帆软软件有限公司,500-2000人,崇安区,本科,不需要融资,数据服务,120.303926,31.57652,全职,不限,"['技能培训', '股票期权', '带薪年假', '年度旅游']"
7,2852345,JavaScript开发工程师,成都,2018-04-30 09:46:54,21.0,147086,二次元动漫,成都二次元动漫有限公司,150-500人,高新区,本科,不需要融资,"移动互联网,文化娱乐",104.061158,30.577731,全职,5-10年,"['带薪年假', '年度旅游', '弹性工作', '节日礼物']"
8,4506996,javascript,北京,2018-05-02 15:26:55,12.0,224310,N+互联,北京恩家网络科技有限公司,15-50人,海淀区,本科,天使轮,"移动互联网,企业服务",116.310195,40.039018,全职,3-5年,[]
9,3689075,Javascript 工程师 （杭州）,杭州,2018-05-03 09:38:31,14.0,34872,奇志信息科技,广州奇志信息科技有限公司,15-50人,西湖区,本科,A轮,移动互联网,120.124737,30.27873,全职,1-3年,"['年底双薪', '带薪年假', '岗位晋升', '扁平管理']"
10,2390770,JavaScript,广州,2018-05-01 09:17:03,11.2,123018,正峰电子,广州正峰电子科技有限公司,50-150人,番禺区,本科,不需要融资,"O2O,移动互联网",113.36672117,22.94769301,全职,1-3年,"['专项奖金', '年底双薪', '年终分红', '带薪年假']"
11,2587188,Node.js/JavaScript,北京,2018-05-03 09:30:56,21.0,70634,彩视,迅捷联动（北京）科技有限公司,15-50人,朝阳区,本科,A轮,移动互联网,116.451267,39.96072,全职,3-5年,"['技能培训', '年底双薪', '股票期权', '带薪年假']"
12,3527943,高级JS开发工程师,北京,2018-05-02 11:14:48,22.0,105775,全民彩,北京全民星彩科技有限公司,150-500人,丰台区,本科,不需要融资,移动互联网,116.30422,39.826358,全职,5-10年,"['通讯津贴', '五险一金', '午餐补助', '带薪年假']"
13,1672682,javascript工程师,北京,2018-04-27 19:25:32,26.0,107423,瓜子二手车直卖网,车好多旧机动车经纪(北京)有限公司,2000人以上,海淀区,本科,C轮,O2O,116.29905,40.042709,全职,3-5年,"['带薪年假', '弹性工作', '免费班车', '美女多']"
14,2877781,JavaScript,东莞,2018-05-02 13:32:03,7.0,123088,世界货,世界货科技（深圳）有限公司,少于15人,东莞市市辖区,大专,天使轮,"电子商务,移动互联网",113.774925,23.034399,全职,不限,"['弹性工作', '扁平管理', '五险一金', '带薪年假']"
15,4322695,JavaScript工程师(东莞),东莞,2018-05-03 09:20:11,6.2,65521,泽林信息,深圳市泽林信息咨询有限公司,500-2000人,东莞市市辖区,大专,不需要融资,教育,113.739182,23.025818,全职,1-3年,"['节日礼物', '技能培训', '绩效奖金', '年度旅游']"
16,4367066,Javascript 工程师 (深圳）,深圳,2018-05-03 09:38:44,14.0,34872,奇志信息科技,广州奇志信息科技有限公司,15-50人,南山区,本科,A轮,移动互联网,113.95356,22.541623,全职,1-3年,"['年底双薪', '带薪年假', '岗位晋升', '扁平管理']"
17,4480387,JS开发工程师,西安,2018-04-25 14:48:40,10.8,123777,通力互联,北京通力互联技术服务有限公司,2000人以上,高新技术产业开发区,本科,不需要融资,"电子商务,企业服务",108.841437,34.209271,全职,1-3年,"['绩效奖金', '交通补助', '定期体检', '通讯津贴']"
18,4080295,Javascript工程师,北京,2018-04-28 16:09:57,12.0,29013,尚层装饰,尚层装饰（北京）有限公司,2000人以上,朝阳区,大专,D轮及以上,生活服务,115.99339,39.99426,全职,3-5年,"['绩效奖金', '专项奖金', '年底双薪', '五险一金']"
19,2211812,JavaScript,重庆,2018-05-02 14:05:09,13.2,102530,允升科技,重庆允升科技有限公司,50-150人,大渡口区,本科,A轮,"电子商务,企业服务",106.488052,29.462773,全职,3-5年,"['大牛带队', '扁平管理', '岗位晋升', '技术氛围']"
20,2578769,Javascript工程师,长沙,2018-04-27 10:53:39,10.8,29579,辰运软件,长沙辰运软件有限公司,150-500人,岳麓区,大专,不需要融资,移动互联网,112.882957,28.230098,全职,3-5年,"['年底双薪', '技能培训', '绩效奖金', '年度旅游']"
21,3284882,JS高级开发工程师,济南,2018-05-03 08:48:46,13.2,67576,车满满,车满满（北京）信息技术有限公司,150-500人,高新区,本科,B轮,移动互联网,117.141711,36.662479,全职,3-5年,"['业内第一', '技能培训', '股票期权', '弹性工作']"
22,2509546,前端+js开发,北京,2018-05-02 10:42:58,19.0,28659,奥琦玮,奥琦玮信息科技（北京）有限公司,150-500人,,本科,B轮,"移动互联网,O2O",116.35127082,40.0613464,全职,3-5年,"['年底双薪', '带薪年假', '交通补助', '定期体检']"
23,4328873,JavaScript 开发工程师,德阳,2018-05-02 09:03:41,4.8,135279,竹芒科技,广汉竹芒科技有限公司,15-50人,广汉市,本科,不需要融资,移动互联网,104.265584,30.977798,全职,1-3年,"['养老保险', '医疗保险', '失业保险', '工伤保险']"
24,3879692,JavaScript 工程师,北京,2018-05-02 09:36:30,21.0,196335,快乐迭代,快乐迭代（北京）网络科技有限公司,15-50人,东城区,本科,A轮,"移动互联网,社交网络",116.417314,39.947277,全职,3-5年,"['股票期权', '年终奖', '扁平管理', '管理规范']"
25,3847392,JavaScript资深工程师/技术经理,北京,2018-05-03 09:16:53,28.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,本科,B轮,其他,116.357353,39.939211,全职,5-10年,"['股票期权', '高成长', '云服务', '高并发']"
26,4503522,javascript 开发工程师,苏州,2018-05-01 22:32:50,7.8,258961,异方软件,苏州市异方软件开发有限公司,少于15人,姑苏区,本科,未融资,"游戏,移动互联网",120.626331,31.300198,全职,1-3年,"['年底双薪', '绩效奖金', '带薪年假', '午餐补助']"
27,4504223,Javascript工程师,武汉,2018-05-02 10:25:59,10.8,333609,华砺智行,华砺智行（武汉）科技有限公司,15-50人,武汉经济技术开发区,本科,A轮,"移动互联网,硬件",114.18288,30.498674,全职,3-5年,"['""""']"
