,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,4423927,html5工程师,上海,2018-04-28 09:58:18,17.0,2380,浙江执御信息技术有限公司,浙江执御信息技术有限公司,2000人以上,长宁区,大专,B轮,"移动互联网,数据服务",121.35308,31.221759,全职,3-5年
1,1996010,html5,深圳,2018-04-26 08:53:54,17.0,103077,智慧享联,深圳市智慧享联网络技术有限公司,150-500人,南山区,大专,不需要融资,"移动互联网,O2O",113.948626,22.52751599,全职,3-5年
2,4404292,HTML5,广州,2018-04-27 18:18:24,9.8,142626,CLPS,上海华钦信息科技股份有限公司,500-2000人,天河区,本科,未融资,"数据服务,金融",113.332464,23.134217,全职,3-5年
3,4489096,HTML5开发,大连,2018-04-29 09:14:37,4.8,135169,饭饭1080&deg;直采平台,大连饭饭网络科技股份有限公司,500-2000人,沙河口区,大专,不需要融资,"电子商务,移动互联网",121.596796,38.916318,全职,1-3年
4,4488181,HTML5开发工程师,深圳,2018-04-26 15:39:15,14.0,96442,享多多,深圳市享多多网络技术有限公司,50-150人,南山区,大专,不需要融资,移动互联网,113.917506,22.495086,全职,3-5年
5,3937141,HTML5开发工程师,广州,2018-04-28 09:45:14,10.8,160121,X-MEN,广州艾克斯曼网络科技有限公司,150-500人,天河区,大专,不需要融资,游戏,113.400444,23.119884,全职,1-3年
6,4404281,HTML5开发工程师,深圳,2018-04-28 17:55:00,17.8,175085,海南新浪爱问普惠科技有限公司,海南新浪爱问普惠科技有限公司,50-150人,南山区,本科,未融资,金融,113.937903,22.545151,全职,5-10年
7,4122643,HTML5 开发工程师,上海,2018-04-20 18:17:12,16.8,211701,大金科技,安徽立品网络科技有限公司,150-500人,嘉定区,大专,不需要融资,"移动互联网,数据服务",0.0,0.0,全职,3-5年
8,4177303,HTML5开发,广州,2018-04-28 15:10:46,16.8,32684,屈臣氏,武汉屈臣氏个人用品商店有限公司广州分公司,2000人以上,越秀区,本科,D轮及以上,"电子商务,生活服务",39.897445,116.331398,全职,3-5年
9,4299080,HTML5开发工程师,深圳,2018-04-27 09:54:18,16.8,270,博雅互动,深圳市东方博雅科技有限公司,500-2000人,南山区,本科,上市公司,"移动互联网,游戏",113.993578,22.99368,全职,3-5年
10,919478,HTML5资深开发师,上海,2018-04-28 15:29:39,15.2,48988,雅其信息技术（上海）有限公司,雅其信息技术（上海）有限公司,50-150人,普陀区,本科,不需要融资,"移动互联网,广告营销",121.414112,31.235788,全职,1-3年
11,3970656,HTML5开发工程师,苏州,2018-04-16 09:09:30,14.0,8583,瑞翼,苏州瑞翼信息技术有限公司,150-500人,吴中区,本科,不需要融资,移动互联网,120.732879,31.265064,全职,3-5年
12,1480556,HTML5,厦门,2018-04-26 17:45:44,8.4,86867,步云科技,厦门步云信息科技有限公司,15-50人,湖里区,大专,不需要融资,"移动互联网,O2O",118.16113,24.525084,全职,1-3年
13,4413506,HTML5开发,广州,2018-04-28 10:11:40,12.4,93656,火舞游戏,广州火舞软件开发股份有限公司,150-500人,天河区,大专,上市公司,游戏,112.993461,22.994261,全职,1-3年
14,3545016,HTML5开发工程师,深圳,2018-04-28 15:57:59,8.4,210962,智物科技,深圳市智物科技有限公司,15-50人,宝安区,本科,天使轮,"生活服务,O2O",113.804258,22.674844,全职,1-3年
15,4122677,HTML5 开发工程师,大连,2018-04-20 18:17:11,16.8,211701,大金科技,安徽立品网络科技有限公司,150-500人,西岗区,大专,不需要融资,"移动互联网,数据服务",121.612325,38.914687,全职,3-5年
16,522396,HTML5,深圳,2018-04-28 10:20:10,9.8,26399,云图TV,珠海云迈网络科技有限公司,50-150人,南山区,本科,A轮,移动互联网,113.90878594,22.54904639,全职,1-3年
17,1250713,HTML5,长沙,2018-04-19 10:51:20,7.6,91446,纳联科技,长沙纳联网络科技有限公司,15-50人,天心区,大专,天使轮,"移动互联网,广告营销",112.972041,28.15041,全职,1-3年
18,4457256,HTML5,深圳,2018-04-27 13:07:30,11.2,23403,长亮科技,深圳市长亮科技股份有限公司,2000人以上,福田区,本科,上市公司,企业服务,0.0,0.0,全职,3-5年
19,4463424,HTML5开发工程师,上海,2018-04-23 11:18:25,12.0,53717,信息发展,上海中信信息发展股份有限公司,500-2000人,普陀区,本科,上市公司,"电子商务,企业服务",121.389092,31.235726,全职,3-5年
20,3971211,HTML5开发工程师,广州,2018-04-26 11:20:34,38.0,166288,悄悄科技,广州市悄悄科技有限公司,50-150人,天河区,本科,不需要融资,"移动互联网,社交网络",113.319822,23.126231,全职,5-10年
21,3844595,HTML5开发工程师,北京,2018-04-28 11:58:03,14.0,141955,嘀嗒出行,拼途（北京）信息技术有限公司,150-500人,朝阳区,本科,D轮及以上,"移动互联网,O2O",116.473119,40.019247,全职,应届毕业生
22,4127510,前端/Html5开发工程师,福州,2018-04-28 10:31:53,7.6,175982,福建日报新媒体,福建报业新媒体发展有限公司,50-150人,鼓楼区,大专,未融资,"移动互联网,电子商务",119.299179,26.100988,全职,1-3年
23,4395148,HTML5开发工程师,北京,2018-04-27 15:22:52,14.0,227588,借啊,北京慧融天下信息科技有限公司,50-150人,朝阳区,本科,A轮,"移动互联网,金融",116.452403,39.912949,全职,1-3年
24,4151312,HTML5开发工程师（城西）,成都,2018-04-28 10:42:48,12.0,41710,四川商通实业有限公司,四川商通实业有限公司,150-500人,武侯区,本科,A轮,电子商务,0.0,0.0,全职,3-5年
25,3993477,HTML5开发工程师,广州,2018-04-27 10:39:08,11.2,46944,云智易,广州云湾信息技术有限公司,50-150人,海珠区,本科,B轮,"移动互联网,硬件",113.32924,23.07899,全职,1-3年
26,4443680,HTML5工程师,广州,2018-04-28 10:33:40,9.8,123777,通力互联,北京通力互联技术服务有限公司,2000人以上,天河区,本科,不需要融资,"电子商务,企业服务",113.350994,23.119632,全职,1-3年
27,4391877,Html5开发工程师,广州,2018-04-09 18:33:20,10.8,126248,创娱网络,广州创娱网络科技有限公司,500-2000人,天河区,大专,上市公司,移动互联网,113.371417,23.123497,全职,1-3年
28,2274194,HTML5工程师,广州,2018-04-28 17:38:51,17.0,658,三七互娱,三七互娱（上海）科技有限公司,2000人以上,天河区,本科,上市公司,游戏,112.993461,22.994261,全职,3-5年
29,2511417,html5,深圳,2018-04-25 10:52:06,21.0,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,龙岗区,大专,不需要融资,移动互联网,114.069975,22.659042,全职,5-10年
30,4122676,HTML5 开发工程师,长沙,2018-04-20 18:17:11,16.8,211701,大金科技,安徽立品网络科技有限公司,150-500人,雨花区,大专,不需要融资,"移动互联网,数据服务",0.0,0.0,全职,3-5年
31,1798483,html5,深圳,2018-04-28 11:36:35,11.2,33128,花儿绽放网络科技,深圳花儿绽放网络科技股份有限公司,50-150人,南山区,本科,上市公司,"移动互联网,广告营销",113.940802,22.523714,全职,1-3年
32,4467695,HTML5开发工程师—杭州,杭州,2018-04-27 11:39:31,14.4,23291,美图公司,厦门美图之家科技有限公司,500-2000人,西湖区,本科,上市公司,"移动互联网,硬件",39.897445,116.331398,全职,1-3年
33,3985046,PHP工程师/PHP架构师/html5开发工程师,长沙,2018-04-28 14:15:04,12.6,248708,长沙奇热,长沙奇热信息科技有限公司,150-500人,天心区,大专,B轮,"移动互联网,其他",112.98562,28.162508,全职,3-5年
34,4095927,HTML5程序,广州,2018-04-28 17:38:52,12.0,658,三七互娱,三七互娱（上海）科技有限公司,2000人以上,天河区,本科,上市公司,游戏,112.993461,22.994261,全职,应届毕业生
35,2070757,html5,上海,2018-04-28 16:33:40,16.8,42899,小蚁,上海小蚁科技有限公司,150-500人,浦东新区,本科,C轮,"移动互联网,硬件",121.60033681,31.20751133,全职,3-5年
36,4177343,HTML5开发工程师,深圳,2018-04-26 09:30:43,12.0,80590,易仓,深圳市易仓科技有限公司,150-500人,南山区,大专,未融资,"移动互联网,电子商务",113.9565,22.578788,全职,3-5年
37,4446673,HTML5开发工程师,上海,2018-04-25 17:51:52,28.0,181489,极盛科技,珠海横琴极盛科技有限公司,500-2000人,浦东新区,本科,上市公司,"移动互联网,金融",121.531728,31.216657,全职,1-3年
38,4425713,HTML5开发工程师,北京,2018-04-27 16:01:31,13.2,56048,菠萝理财,北京朴素磐石投资管理有限公司,15-50人,朝阳区,本科,B轮,金融,116.37025,40.012978,全职,1-3年
39,4146335,HTML5,深圳,2018-04-12 15:19:32,12.0,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,龙华新区,大专,不需要融资,移动互联网,0.0,0.0,全职,1-3年
40,4440326,HTML/HTML5设计师,广州,2018-04-27 18:18:24,9.8,142626,CLPS,上海华钦信息科技股份有限公司,500-2000人,天河区,本科,未融资,"数据服务,金融",113.332464,23.134217,全职,1-3年
41,4357479,HTML5开发工程师,无锡,2018-04-20 08:44:14,4.8,323850,微趣,无锡微趣电子商务有限公司,15-50人,滨湖区,大专,未融资,"移动互联网,电子商务",120.245419,31.546955,全职,1-3年
42,2208140,html5,广州,2018-04-26 17:44:06,9.6,122959,广州李子网络科技有限公司,广州李子网络科技有限公司,15-50人,天河区,大专,不需要融资,"移动互联网,电子商务",113.320574,23.118856,全职,3-5年
43,4249982,HTML5开发工程师,广州,2018-04-26 10:02:16,12.0,47228,Toreal,广州禾易广告有限公司,50-150人,越秀区,本科,未融资,"移动互联网,广告营销",113.31153,23.13185,全职,1-3年
