,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,2664788,ASP程序开发,重庆,2018-04-25 15:03:43,8.4,162527,零刻度科技,重庆市零刻度科技有限公司,少于15人,万州区,不限,未融资,"移动互联网,电子商务",108.38863,30.801478,全职,不限,[]
1,2029488,C#/ASP/.net系统开发工程师,佛山,2018-04-11 11:43:58,7.0,110898,新宝电器,广东新宝电器股份有限公司,2000人以上,,大专,上市公司,其他,,,全职,1-3年,"['年底双薪', '专项奖金', '带薪年假', '提供住宿']"
2,4130590,asp/.net开发工程师,长春,2018-04-03 08:37:55,7.6,318169,亿网互联,吉林省亿网互联科技有限公司,150-500人,高新开发区,大专,A轮,移动互联网 电子商务,125.239007,43.801652,全职,3-5年,[]
3,1583816,ASP / .net 程序员,深圳,2018-04-24 15:08:00,7.0,36976,中国基金报,《中国基金报》社有限公司,50-150人,福田区,大专,未融资,文化娱乐,,,全职,应届毕业生,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']"
4,4282595,Asp.net 开发人员,北京,2018-05-02 13:53:47,10.8,337164,清大东方消防学校,清大东方教育科技集团有限公司,500-2000人,朝阳区,大专,不需要融资,教育,116.50215,39.893703,全职,3-5年,"['带薪年假', '午餐补助', '交通补助', '节日礼物']"
5,3255572,ASP.NET开发攻城狮,北京,2018-05-02 18:02:26,10.8,71684,资质管家,资质管家（北京）信息技术有限公司,50-150人,海淀区,本科,不需要融资,电子商务,116.307466,39.984319,全职,1-3年,"['技能培训', '绩效奖金', '年度旅游', '管理规范']"
6,3866919,asp.net高级开发工程师,广州,2018-05-02 13:53:05,14.4,285012,广州健联,广州健联科技有限公司,50-150人,白云区,大专,A轮,"移动互联网,电子商务",113.254971,23.186808,全职,5-10年,"['帅哥多', '年度旅游', '弹性工作', '美女多']"
7,3219785,ASP.NET 软件工程师,重庆,2018-04-30 09:04:47,6.2,211235,艾姆诗,深圳市艾姆诗数码科技有限公司重庆分公司,500-2000人,九龙坡区,大专,未融资,"移动互联网,电子商务",106.4874,29.533566,全职,3-5年,"['年度旅游', '节日礼物', '美女多', '技能培训']"
8,4029396,Asp.Net软件工程师,广州,2018-05-03 09:22:06,8.4,158991,广州市云润大数据,广州市云润大数据服务有限公司,150-500人,天河区,大专,A轮,"数据服务,移动互联网",113.388807,23.125946,全职,1-3年,[]
9,3729438,高级.Net开发（Asp.net）,上海,2018-05-03 09:25:03,14.4,22862,上海中软华腾软件系统有限公司,上海中软华腾软件系统有限公司,2000人以上,浦东新区,本科,上市公司,"企业服务,金融",121.635159,31.222879,全职,3-5年,"['年底双薪', '绩效奖金', '带薪年假', '定期体检']"
10,4339964,asp.net开发工程师（B/S）,成都,2018-04-27 16:05:35,12.0,247420,唐源电气,成都唐源电气股份有限公司,150-500人,武侯区,本科,不需要融资,其他,103.972951,30.628924,全职,3-5年,"['带薪年假', '专项奖金', '年度旅游', '节日礼物']"
11,2827162,ASP.Net开发工程师,广州,2018-05-02 09:13:47,12.6,171993,数夫软件,广州数夫软件科技有限公司,150-500人,天河区,大专,未融资,移动互联网,113.372471,23.126201,全职,1-3年,[]
12,4037559,ASP.NET 高级工程师,成都,2018-05-02 10:05:06,9.6,267146,绘意,成都绘意动画制作有限公司,50-150人,高新区,大专,不需要融资,"游戏,移动互联网",104.061686,30.576766,全职,3-5年,"['年底双薪', '午餐补助', '节日礼物', '五险一金']"
13,4284011,ASP.NET 软件工程师,苏州,2018-05-02 21:45:09,7.0,92257,云力体育,苏州云力体育科技有限公司,少于15人,工业园区,大专,未融资,"移动互联网,社交网络",120.729976,31.257142,全职,1-3年,"['股票期权', '扁平管理', '五险一金', '弹性工作']"
14,4505694,ASP.NET Core 开发实习生（招聘产品方向,杭州,2018-05-02 13:19:23,3.8,71294,博客园,上海有程信息技术有限公司,少于15人,西湖区,大专,未融资,其他,120.080966,30.129497,实习,应届毕业生,"['五险一金', '弹性工作', '苹果开发机', '技术驱动']"
15,2664854,ASP开发助理,重庆,2018-04-25 15:03:43,2.4,162527,零刻度科技,重庆市零刻度科技有限公司,少于15人,万州区,不限,未融资,"移动互联网,电子商务",108.38863,30.801478,全职,不限,[]
16,3866848,asp.net初级开发工程师,广州,2018-05-02 13:53:05,6.8,285012,广州健联,广州健联科技有限公司,50-150人,白云区,大专,A轮,"移动互联网,电子商务",113.254971,23.186808,全职,1-3年,"['帅哥多', '年度旅游', '弹性工作', '美女多']"
17,4484867,asp.net 软件工程师,长沙,2018-04-26 10:22:32,7.6,373686,天杰软件科技,长沙天杰软件科技有限公司,15-50人,岳麓区,大专,未融资,"信息安全,数据服务",112.914375,28.211458,全职,3-5年,"['""""']"
18,4404570,ASP.NET 开发工程师,上海,2018-05-02 09:55:54,10.8,122425,兽耳科技,上海兽耳网络科技有限公司,15-50人,浦东新区,大专,天使轮,"移动互联网,文化娱乐",0.0,0.0,全职,1-3年,"['年度旅游', 'ACG', '二刺源', '冻鳗']"
19,3345644,asp.net技术员,广州,2018-04-28 09:43:40,14.0,97873,昂鼎信息,广州昂鼎信息科技有限公司,15-50人,越秀区,不限,不需要融资,移动互联网,113.309639,23.118185,全职,5-10年,"['专项奖金', '带薪年假', '绩效奖金', '岗位晋升']"
20,3826572,ASP.NET(C#)开发工程师,深圳,2018-05-02 17:59:30,10.8,282973,杰源网络,深圳市杰源网络信息有限公司,50-150人,南山区,大专,未融资,移动互联网 信息安全,113.940874,22.545705,全职,3-5年,"['绩效奖金', '带薪年假', '通讯津贴', '年度旅游']"
21,4272945,asp.net实习生,天津,2018-04-10 11:51:37,2.8,338918,北京展望未来科技有限公司,北京展望未来科技有限公司,15-50人,西青区,大专,未融资,"移动互联网,硬件",,,全职,不限,"['""""']"
22,4509540,C#/asp.net/net 软件工程师,东莞,2018-05-02 20:12:47,9.8,276183,当下云厨,深圳市当下云厨网络科技有限公司,50-150人,东莞市市辖区,大专,A轮,移动互联网,0.0,0.0,全职,1-3年,"['""""']"
23,4396547,asp.net工程师,成都,2018-05-02 14:37:51,8.8,267147,游技网络,成都游技网络科技有限公司,50-150人,双流区,大专,不需要融资,"移动互联网,企业服务",104.069204,30.546203,全职,3-5年,[]
24,3417802,ASP.NET,上海,2018-05-02 13:07:04,19.0,49527,路路由,上海路路由信息技术有限公司,150-500人,浦东新区,大专,A轮,"移动互联网,O2O",121.552154,31.210786,全职,3-5年,"['节日礼物', '专项奖金', '带薪年假', '绩效奖金']"
25,4029839,asp.net,福州,2018-04-29 18:54:07,8.4,302395,畅游世界,福州市畅游世界网络科技有限公司,少于15人,台江区,本科,不需要融资,"移动互联网,游戏",119.279336,26.060703,全职,不限,"['带薪年假', '绩效奖金', '定期体检', '专项奖金']"
26,4504686,Asp.Net棋牌后台网站工程师（广州分公司）,广州,2018-05-02 11:00:19,8.4,375786,蓝波万,深圳蓝波万网络科技有限公司,50-150人,番禺区,大专,未融资,游戏 文化娱乐,113.363925,22.977373,全职,1-3年,"['""""']"
27,4014022,asp.net实习生,南昌,2018-04-27 10:22:26,1.4,310113,维悟科技,南昌市维悟科技有限公司,少于15人,青山湖区,不限,未融资,"移动互联网,企业服务",115.842078,28.741182,全职,应届毕业生,[]
28,3405018,急聘ASP.NET（C#）开发,北京,2018-05-02 18:02:27,11.2,71684,资质管家,资质管家（北京）信息技术有限公司,50-150人,海淀区,本科,不需要融资,电子商务,116.307466,39.984319,全职,1-3年,"['技能培训', '绩效奖金', '年度旅游', '管理规范']"
29,4420210,asp.net开发工程师,上海,2018-05-02 18:02:16,8.8,70575,机锋科技,上海机锋信息科技有限公司,50-150人,虹口区,不限,B轮,"移动互联网,电子商务",,,全职,3-5年,"['节日礼物', '技能培训', '年度旅游', '岗位晋升']"
