,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,3198092,delphi开发工程师,广州,2018-05-02 13:43:46,14.0,35283,广州惠侨,广州惠侨计算机科技有限公司,150-500人,越秀区,大专,上市公司,移动互联网,113.314638,23.126929,全职,1-3年,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']"
1,2377449,delphi开发工程师,北京,2018-05-02 11:19:37,10.8,56462,好价,北京好价网络科技有限公司,50-150人,朝阳区,本科,不需要融资,"电子商务,医疗健康",116.45992325,39.89791567,全职,1-3年,"['产品能造血', '弹性工作', '岗位晋升', '通讯津贴']"
2,2138687,高级Delphi软件开发,上海,2018-05-02 15:00:46,21.0,7988,海鼎,上海海鼎信息工程股份有限公司,500-2000人,闵行区,本科,不需要融资,企业服务,121.51732,31.07683984,全职,3-5年,"['节日礼物', '带薪年假', '绩效奖金', '岗位晋升']"
3,2910513,Delphi开发工程师,广州,2018-05-02 17:21:55,10.8,123829,易达科技,广州易达建信科技开发有限公司,150-500人,天河区,大专,不需要融资,企业服务,113.344598,23.141189,全职,3-5年,"['绩效奖金', '带薪年假', '岗位晋升', '节日礼物']"
4,2789536,Delphi开发工程师,西安,2018-05-02 16:36:57,8.2,113698,秦学教育集团,陕西伊顿文化发展有限公司,500-2000人,雁塔区,不限,A轮,"教育,O2O",108.906363,34.225457,全职,3-5年,[]
5,4242236,Delphi开发工程师,上海,2018-04-28 17:14:09,15.2,23348,中通快递,上海中通吉网络技术有限公司,2000人以上,青浦区,大专,上市公司,电子商务,121.205232,31.227724,全职,3-5年,"['绩效奖金', '五险一金', '带薪年假', '免费班车']"
6,3865583,Delphi,广州,2018-04-24 15:36:16,12.4,67439,方图智能,珠海方图智能科技有限公司,15-50人,天河区,本科,A轮,"硬件,移动互联网",113.406907,23.152106,全职,1-3年,[]
7,2857002,Delphi软件开发工程师,深圳,2018-05-02 15:21:51,10.4,113830,深圳安仕达公司,深圳市安仕达管理软件有限公司,50-150人,南山区,不限,不需要融资,"移动互联网,硬件",113.917083,22.495897,全职,1-3年,[]
8,4146419,Delphi软件开发工程师,天津,2018-05-02 13:40:17,9.8,304385,乐信科技,乐信科技（天津）有限公司,少于15人,滨海新区,大专,未融资,"移动互联网,企业服务",0.0,0.0,全职,1-3年,"['午餐补助', '交通补助', '定期体检', '绩效奖金']"
9,4484683,delphi开发工程师,东莞,2018-05-02 08:38:21,10.2,109982,国新实业,深圳市国新实业有限公司,150-500人,东莞市市辖区,大专,未融资,"电子商务,生活服务",114.165583,22.685765,全职,3-5年,"['带薪年假', '定期体检', '绩效奖金', '节日礼物']"
10,2618444,Delphi开发工程师,济南,2018-04-23 09:11:02,7.6,5650,北京中科恒业,北京中科恒业科技有限公司,50-150人,天桥区,本科,未融资,医疗健康,117.009514,36.68659,全职,1-3年,"['绩效奖金', '专项奖金', '五险一金', '通讯津贴']"
11,4488622,Delphi软件开发工程师,北京,2018-04-26 16:12:25,8.4,44202,万里红,北京万里红科技股份有限公司,150-500人,海淀区,本科,不需要融资,移动互联网,116.335308,39.953179,全职,不限,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']"
12,4192568,DELPHI开发工程师,厦门,2018-04-09 14:24:56,8.8,331468,美亚通,厦门美易通软件科技有限公司,15-50人,湖里区,大专,未融资,"移动互联网,医疗健康",118.185694,24.489609,全职,5-10年,"['""""']"
13,4313373,Delphi开发工程师,广州,2018-05-02 08:40:58,10.8,111435,广东智慧电子公司,广东智慧电子信息产业股份有限公司,150-500人,天河区,大专,A轮,其他,113.37212,23.123945,全职,1-3年,"['岗位晋升', '五险一金', '绩效奖金', '带薪年假']"
14,1229880,Delphi开发工程师,杭州,2018-04-19 16:54:59,8.4,51365,浙江深大智能科技有限公司,浙江深大智能科技有限公司,500-2000人,西湖区,本科,B轮,"移动互联网,旅游",,,全职,3-5年,"['特斯拉开回家', '帅哥美女多', '高大上办公区', '免费旅游']"
15,2960196,Delphi开发工程师,广州,2018-04-24 15:36:16,12.4,67439,方图智能,珠海方图智能科技有限公司,15-50人,天河区,本科,A轮,"硬件,移动互联网",113.406907,23.152106,全职,3-5年,[]
16,39128,软件工程师-Delphi方向,上海,2018-05-02 15:00:45,9.8,7988,海鼎,上海海鼎信息工程股份有限公司,500-2000人,闵行区,本科,不需要融资,企业服务,121.515142,31.079384,全职,不限,"['节日礼物', '带薪年假', '绩效奖金', '岗位晋升']"
17,2787890,Delphi 软件开发工程师,深圳,2018-05-02 15:21:52,11.4,113830,深圳安仕达公司,深圳市安仕达管理软件有限公司,50-150人,南山区,不限,不需要融资,"移动互联网,硬件",113.917083,22.495897,全职,1-3年,[]
18,4390842,Delphi工程师（软件）,广州,2018-05-02 17:13:30,6.8,344908,广州高通影像技术有限公司,广州高通影像技术有限公司,50-150人,越秀区,大专,未融资,移动互联网,113.311531,23.136034,全职,1-3年,"['""""']"
19,3737847,高级delphi开发,成都,2018-05-02 11:03:00,9.6,277007,友加畅捷,成都友加畅捷科技有限公司,50-150人,成华区,大专,未融资,"信息安全,数据服务",104.138273,30.644119,全职,3-5年,[]
