,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,2472534,Hadoop,杭州,2018-04-27 09:48:38,26.0,2380,浙江执御信息技术有限公司,浙江执御信息技术有限公司,2000人以上,拱墅区,本科,B轮,"移动互联网,数据服务",120.113688,30.332881,全职,3-5年,"['五险一金', '带薪年假', '节日礼物', '年度旅游']"
1,1090967,Hadoop工程师,杭州,2018-04-27 10:45:47,19.0,16319,电魂网络,杭州电魂网络科技股份有限公司,500-2000人,滨江区,本科,上市公司,游戏,120.214912,30.186691,全职,3-5年,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']"
2,2332731,Hadoop工程师,北京,2018-05-01 10:21:05,38.0,57049,InnoTREE,北京因果树网络科技有限公司,50-150人,海淀区,本科,B轮,金融,116.30668252,39.98479142,全职,3-5年,"['技能培训', '节日礼物', '股票期权', '带薪年假']"
3,3022338,Hadoop工程师,深圳,2018-04-28 10:44:36,12.6,63500,紫川软件,深圳市紫川软件有限公司,500-2000人,福田区,大专,不需要融资,"电子商务,金融",0.0,0.0,全职,1-3年,"['节日礼物', '年底双薪', '绩效奖金', '岗位晋升']"
4,3325318,Hadoop研发工程师,北京,2018-04-26 19:31:34,35.0,82991,数美,北京数美时代科技有限公司,150-500人,朝阳区,本科,B轮,"企业服务,数据服务",116.465953,40.021083,全职,1-3年,"['年底双薪', '大数据', '带薪年假', '通讯津贴']"
5,3306810,hadoop开发工程师,深圳,2018-04-28 17:16:25,17.0,128998,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,福田区,本科,不需要融资,"移动互联网,金融",114.055036,22.52153,全职,3-5年,[]
6,1367462,Hadoop,南京,2018-04-28 14:19:57,9.0,3246,帆软软件,南京帆软软件有限公司,500-2000人,玄武区,本科,不需要融资,数据服务,118.80634999,32.04586002,全职,应届毕业生,"['技能培训', '股票期权', '带薪年假', '年度旅游']"
7,4290697,hadoop开发工程师,杭州,2018-04-28 10:15:16,23.6,26564,贝贝网,杭州贝购科技有限公司,500-2000人,江干区,本科,D轮及以上,电子商务,0.0,0.0,全职,3-5年,"['生日趴', '每月腐败基金', '每月补贴', '年度旅游']"
8,3320405,Hadoop开发工程师,上海,2018-04-26 11:00:37,26.0,107408,AdMaster,精硕科技（北京）股份有限公司,500-2000人,普陀区,本科,不需要融资,数据服务,121.39233,31.2319,全职,3-5年,[]
9,4388266,Hadoop开发工程师,上海,2018-04-26 16:15:11,20.8,1403,爱回收,上海悦易网络信息技术有限公司,500-2000人,杨浦区,本科,D轮及以上,"电子商务,O2O",121.99341,30.994275,全职,3-5年,"['节日礼物', '股票期权', '专项奖金', '带薪年假']"
10,3933258,Hadoop,南京,2018-04-28 10:02:31,16.8,110239,徐工信息,江苏徐工信息技术股份有限公司,50-150人,雨花台区,本科,未融资,"移动互联网,电子商务",118.780402,32.040704,全职,3-5年,"['股票期权', '华为大牛带队', '氛围轻松', '国家级实验室']"
11,1410779,Hadoop工程师,深圳,2018-04-28 13:21:02,19.0,917,极光,深圳市和讯华谷信息技术有限公司,150-500人,南山区,本科,D轮及以上,"移动互联网,数据服务",113.908321,22.550048,全职,3-5年,"['五险一金', '文体活动', '团建旅游', '美味晚餐']"
12,4442387,Hadoop工程师,北京,2018-04-19 15:48:15,24.0,9669,北京蓝汛,北京蓝汛通信技术有限责任公司,150-500人,朝阳区,本科,上市公司,企业服务,116.500805,39.992127,全职,3-5年,"['五险一金', '通讯津贴', '带薪年假', '交通补助']"
13,3046040,hadoop工程师,广州,2018-04-19 09:49:32,14.0,20473,广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,2000人以上,白云区,本科,不需要融资,电子商务,113.271506,23.175202,全职,1-3年,"['项目奖金', '绩效奖金', '年终奖', '五险一金']"
14,4051021,Hadoop工程师,重庆,2018-04-27 15:20:49,10.8,14567,重庆易宠科技有限公司,重庆易宠科技有限公司,150-500人,渝北区,本科,B轮,电子商务,106.490205,29.621586,全职,3-5年,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']"
15,1640337,Hadoop开发工程师,杭州,2018-04-28 10:12:53,17.0,2380,浙江执御信息技术有限公司,浙江执御信息技术有限公司,2000人以上,拱墅区,本科,B轮,"移动互联网,数据服务",,,全职,3-5年,"['五险一金', '带薪年假', '节日礼物', '年度旅游']"
16,3285521,（急招）大数库hadoop开发工程师,深圳,2018-04-28 17:16:23,17.0,128998,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,福田区,本科,不需要融资,"移动互联网,金融",114.055036,22.52153,全职,3-5年,[]
17,1542274,Hadoop,北京,2018-04-28 09:46:24,24.0,31173,悠易,悠易互通（北京）广告有限公司,150-500人,朝阳区,本科,C轮,广告营销,116.459324,39.918852,全职,3-5年,"['节日礼物', '技能培训', '绩效奖金', '年度旅游']"
18,3478203,Hadoop工程师,苏州,2018-04-27 11:18:12,10.8,62831,明略数据,北京明略软件系统有限公司,150-500人,相城区,本科,C轮,数据服务,120.614029,31.351158,全职,3-5年,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']"
19,3720767,HADOOP,深圳,2018-04-12 15:19:31,22.2,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,龙华新区,大专,不需要融资,移动互联网,114.064492,22.674035,全职,5-10年,"['带薪年假', '计算机软件', '管理规范', '定期体检']"
20,4433353,Hadoop平台开发工程师,北京,2018-04-27 10:27:56,22.8,13171,秒针系统,秒针信息技术有限公司,500-2000人,朝阳区,本科,D轮及以上,"数据服务,广告营销",116.48001,39.997249,全职,3-5年,"['六险一金', '年底双薪', '绩效奖金', '完成E轮融资']"
21,3819833,Hadoop 工程师,北京,2018-04-28 15:56:54,19.0,8103,汽车之家,北京车之家信息技术有限公司,2000人以上,海淀区,本科,上市公司,"移动互联网,文化娱乐",116.311989,39.979473,全职,5-10年,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']"
22,4253674,Hadoop开发工程师,北京,2018-04-25 12:34:01,28.0,5832,新浪微博,微梦创科网络科技（中国）有限公司,2000人以上,海淀区,本科,上市公司,移动互联网,0.0,0.0,全职,5-10年,"['年底双薪', '专项奖金', '股票期权', '五险一金']"
23,3154028,Hadoop开发,上海,2018-04-27 10:50:12,19.0,71514,百联全渠道电商,百联全渠道电子商务有限公司,500-2000人,黄浦区,本科,不需要融资,"电子商务,O2O",120.993464,30.994061,全职,3-5年,"['节日礼物', '岗位晋升', '五险一金', '午餐补助']"
24,2502880,Hadoop开发,上海,2018-04-28 09:21:12,17.8,36849,新蛋信息技术（中国）有限公司,新蛋信息技术（中国）有限公司,500-2000人,长宁区,本科,不需要融资,电子商务,0.0,0.0,全职,3-5年,"['技能培训', '节日礼物', '年底双薪', '带薪年假']"
