,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,4128071,node.js开发,上海,2018-04-28 13:23:43,16.8,1738,有鱼金融科技,上海彩亿信息技术有限公司,500-2000人,徐汇区,本科,B轮,"移动互联网,金融",121.404254,31.164469,全职,3-5年
1,4401330,Node.js开发工程师,杭州,2018-04-28 09:37:42,21.0,8169,点我达,点我达网络科技有限公司,500-2000人,下城区,不限,D轮及以上,O2O,120.16619,30.315801,全职,3-5年
2,3938926,Node.js研发工程师,北京,2018-04-28 15:08:30,21.0,587,伙伴网,伙伴聚力（北京）科技有限公司,50-150人,海淀区,本科,A轮,企业服务,116.30932105,40.03650509,全职,3-5年
3,4075205,Node.js开发工程师,北京,2018-04-29 13:33:31,17.0,40898,玩心游戏,玩心（上海）网络科技有限公司,50-150人,朝阳区,本科,A轮,"移动互联网,游戏",116.467542,39.994632,全职,3-5年
4,3920526,Node.js工程师,广州,2018-04-30 12:52:33,11.2,22450,MAKA,深圳格莱珉文化传播有限公司广州分公司,50-150人,海珠区,本科,A轮,"企业服务,移动互联网",113.32377,23.09642,全职,1-3年
5,946389,Node.js开发工程师,深圳,2018-04-28 14:17:15,14.0,15737,友好速搭,亿众骏达网络科技（深圳）有限公司,50-150人,南山区,不限,A轮,"企业服务,电子商务",113.94167,22.554075,全职,1-3年
6,4207131,Node.js,上海,2018-04-28 09:14:16,17.0,51396,上业科技,上海上业信息科技股份有限公司,150-500人,闵行区,大专,未融资,"移动互联网,教育",121.521661,31.079885,全职,3-5年
7,4495393,node.js开发工程师,上海,2018-04-27 17:10:10,19.0,15257,美味不用等,美味不用等（上海）信息科技股份有限公司,500-2000人,浦东新区,本科,C轮,"移动互联网,O2O",121.582533,31.203457,全职,1-3年
8,4022223,Node.js开发工程师,上海,2018-04-28 14:33:51,17.8,231013,赏赏科技,上海赏赏科技有限公司,少于15人,静安区,本科,不需要融资,"金融,分类信息",121.442947,31.279272,全职,3-5年
9,3482557,Node.js开发工程师,上海,2018-04-28 15:14:41,24.8,56746,贝米钱包,上海贝涛金融信息服务有限公司,50-150人,徐汇区,本科,A轮,金融,121.446889,31.204067,全职,3-5年
