,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,3840356,全栈工程师,北京,2018-04-29 19:20:49,28.0,254799,小鹏汽车,广州小鹏汽车科技有限公司,150-500人,朝阳区,不限,A轮,"移动互联网,硬件",116.479874,39.987108,全职,10年以上
1,2748004,全栈工程师,杭州,2018-04-28 15:22:38,19.0,86350,程序员客栈,杭州势然网络科技有限公司,15-50人,余杭区,本科,天使轮,"企业服务,其他",120.005318,30.287448,全职,5-10年
2,4266528,全栈工程师,北京,2018-04-28 14:50:55,21.6,136978,玖富集团,玖富金科控股集团有限责任公司,2000人以上,朝阳区,本科,C轮,金融,116.480792,39.99613,全职,5-10年
3,3482531,全栈工程师,上海,2018-04-28 15:14:41,28.0,56746,贝米钱包,上海贝涛金融信息服务有限公司,50-150人,徐汇区,本科,A轮,金融,121.446889,31.204067,全职,3-5年
4,4230179,全栈工程师,上海,2018-04-26 09:53:38,36.0,6044,拍拍贷,上海拍拍贷金融信息服务有限公司,2000人以上,浦东新区,不限,上市公司,金融,0.0,0.0,全职,3-5年
5,2475763,全栈工程师,北京,2018-04-30 01:54:26,7.0,102022,江山如画网络科技,北京江山如画网路科技有限责任公司,少于15人,海淀区,本科,天使轮,"移动互联网,社交网络",116.2605395,39.90695045,全职,1-3年
6,4292809,全栈工程师,广州,2018-04-27 19:27:03,6.2,53634,广东智源,广东智源信息技术有限公司,50-150人,越秀区,本科,不需要融资,"移动互联网,企业服务",113.27388,23.14427,全职,不限
7,3737997,全栈工程师,上海,2018-04-28 10:53:02,20.0,98800,竹间智能科技(上海)有限公司,竹间智能科技（上海）有限公司,150-500人,徐汇区,本科,B轮,"移动互联网,其他",121.417459,31.175027,全职,3-5年
8,4292223,全栈工程师,上海,2018-04-27 10:17:55,21.6,86167,新核云,上海纽酷信息科技有限公司,50-150人,徐汇区,本科,A轮,"移动互联网,企业服务",121.467262,31.192769,全职,3-5年
9,4502531,全栈工程师,北京,2018-04-30 09:58:00,20.6,299126,九星数宇,北京九星数宇网络科技有限公司,15-50人,海淀区,本科,天使轮,"金融,数据服务",116.302899,40.046188,全职,5-10年
10,444742,全栈工程师,西安,2018-04-28 16:32:19,8.4,11783,Wisdom Garden,西安智园软件开发管理有限公司,50-150人,高新技术产业开发区,不限,A轮,教育,108.86659122,34.18545581,全职,1-3年
11,4375955,全栈工程师,北京,2018-04-26 17:47:07,14.0,118204,美丽屋,北京美丽屋资产管理有限公司,500-2000人,丰台区,本科,B轮,生活服务,116.283989,39.834911,全职,1-3年
12,3358391,全栈工程师,北京,2018-04-28 11:08:58,28.0,93760,助理来也,北京来也网络科技有限公司,50-150人,海淀区,本科,B轮,移动互联网,116.325472,39.984253,全职,1-3年
13,4258099,全栈工程师,上海,2018-04-24 14:21:46,14.0,153969,阔盈科技,上海阔盈网络科技股份有限公司,15-50人,虹口区,大专,不需要融资,移动互联网,121.491574,31.254616,全职,不限
14,4334707,全栈工程师,北京,2018-04-29 01:21:47,19.0,7835,金山办公软件,北京金山软件有限公司,2000人以上,海淀区,本科,上市公司,移动互联网,116.32274,40.036741,全职,3-5年
15,3975356,全栈工程师,北京,2018-04-27 19:52:25,25.2,89428,SURVEY,北京视维腾越科技有限公司,150-500人,海淀区,本科,未融资,"移动互联网,电子商务",116.32244,39.95744,全职,5-10年
16,4478848,全栈工程师,北京,2018-04-28 17:21:18,28.0,1880,快手,北京达佳互联信息技术有限公司,500-2000人,海淀区,本科,D轮及以上,移动互联网,116.316508,39.984066,全职,1-3年
17,4327096,全栈工程师,上海,2018-04-23 12:58:06,12.0,55405,店达信息,上海店达信息技术有限公司,500-2000人,浦东新区,本科,B轮,"电子商务,O2O",121.584877,31.193497,全职,1-3年
18,4395160,全栈工程师,武汉,2018-04-18 10:26:53,24.0,132108,伴伴,北京一一万物科技有限公司,50-150人,洪山区,本科,天使轮,"移动互联网,社交网络",113.993569,30.993672,全职,3-5年
19,4469249,全栈工程师,北京,2018-04-28 10:02:10,26.0,221215,9-A-M,站坐（宁波）智能科技有限公司,15-50人,海淀区,本科,A轮,"数据服务,企业服务",116.30899,39.981654,全职,3-5年
20,3605434,全栈工程师,杭州,2018-04-28 11:43:30,21.0,68457,依图科技,上海依图信息技术有限公司,150-500人,西湖区,不限,C轮,数据服务,120.100748,30.270038,全职,不限
21,3796275,全栈工程师,北京,2018-04-26 14:35:03,21.0,1561,Face++,北京旷视科技有限公司,500-2000人,海淀区,本科,C轮,"移动互联网,硬件",116.325436,39.984273,全职,3-5年
22,4349938,全栈工程师,北京,2018-04-28 16:21:39,17.0,83710,iHealth,北京爱和健康科技有限公司,150-500人,海淀区,本科,不需要融资,"移动互联网,医疗健康",116.335913,40.027648,全职,3-5年
23,4223389,全栈工程师,北京,2018-04-28 11:46:07,28.0,6996,智融集团,北京智融时代科技有限公司,150-500人,海淀区,本科,C轮,金融,116.345834,39.977454,全职,3-5年
24,4497761,全栈工程师,厦门,2018-04-28 10:48:31,11.2,200828,巨虎网络,厦门巨虎网络科技有限公司,15-50人,湖里区,本科,不需要融资,"生活服务,金融",118.182187,24.484159,全职,不限
25,3632757,全栈工程师,上海,2018-04-27 09:30:17,17.8,47956,厚本金融,上海厚本金融信息服务有限公司,2000人以上,黄浦区,本科,A轮,金融,121.478246,31.205847,全职,1-3年
26,4060579,全栈工程师,杭州,2018-04-28 10:18:12,24.8,140340,WISH CHINA,上海薇仕网络科技有限公司,50-150人,西湖区,本科,D轮及以上,电子商务,120.125433,30.272932,全职,1-3年
27,3948469,全栈工程师,深圳,2018-04-26 16:22:56,21.0,158669,行云智能,行云智能（深圳）技术有限公司,15-50人,南山区,本科,天使轮,"移动互联网,硬件",113.922225,22.534201,全职,不限
28,4197093,全栈工程师,厦门,2018-04-27 10:05:47,14.0,25205,吉比特,厦门吉比特网络技术股份有限公司,150-500人,思明区,本科,上市公司,游戏,118.17933,24.49018,全职,5-10年
29,4013395,全栈工程师,武汉,2018-04-28 14:01:52,14.0,115706,忆年,武汉市追忆那年网络科技有限公司,50-150人,洪山区,不限,A轮,"移动互联网,社交网络",114.418082,30.466992,全职,不限
30,3771799,全栈工程师,北京,2018-04-26 14:35:03,28.0,1561,Face++,北京旷视科技有限公司,500-2000人,海淀区,本科,C轮,"移动互联网,硬件",116.325436,39.984273,全职,3-5年
31,3939479,全栈工程师,武汉,2018-04-26 17:16:04,19.0,7835,金山办公软件,北京金山软件有限公司,2000人以上,东湖新技术开发区,本科,上市公司,移动互联网,114.42532,30.456379,全职,3-5年
32,4483064,全栈工程师,北京,2018-04-25 18:20:23,21.0,5832,新浪微博,微梦创科网络科技（中国）有限公司,2000人以上,海淀区,本科,上市公司,移动互联网,0.0,0.0,全职,3-5年
33,4056752,全栈工程师,上海,2018-04-26 15:59:57,10.8,18469,联璧集团,上海联璧电子科技（集团）有限公司,500-2000人,松江区,本科,B轮,"移动互联网,O2O",121.161028,31.047255,全职,1-3年
34,4191923,全栈工程师,北京,2018-04-24 20:15:33,21.0,311775,主线科技,北京主线科技有限公司,15-50人,海淀区,本科,天使轮,"移动互联网,硬件",116.335867,39.998785,全职,不限
35,4389092,全栈工程师,上海,2018-04-28 11:05:24,21.0,93760,助理来也,北京来也网络科技有限公司,50-150人,徐汇区,本科,B轮,移动互联网,121.436525,31.188523,全职,3-5年
36,4323258,全栈工程师,北京,2018-04-26 17:15:13,46.0,546,新片场,北京新片场传媒股份有限公司,150-500人,东城区,本科,D轮及以上,"移动互联网,文化娱乐",116.406275,39.939385,全职,3-5年
37,4333251,全栈工程师,北京,2018-04-19 17:38:11,28.0,173284,印象笔记,艾沃诺特（北京）科技有限公司,150-500人,朝阳区,本科,D轮及以上,"移动互联网,企业服务",116.487867,39.999765,全职,不限
38,3341436,全栈工程师,上海,2018-04-27 10:11:02,21.0,111529,居然之家,北京居然之家投资控股集团有限公司,2000人以上,浦东新区,本科,不需要融资,"电子商务,O2O",121.532405,31.218458,全职,不限
39,4417104,全栈工程师,厦门,2018-04-26 18:10:27,16.8,23291,美图公司,厦门美图之家科技有限公司,500-2000人,思明区,本科,上市公司,"移动互联网,硬件",118.179899,24.489558,全职,3-5年
40,4003928,全栈工程师,北京,2018-04-26 16:14:08,28.0,107408,AdMaster,精硕科技（北京）股份有限公司,500-2000人,海淀区,本科,不需要融资,数据服务,116.357186,40.042672,全职,3-5年
41,4474801,全栈工程师,深圳,2018-04-24 16:50:56,26.0,153033,英思奇,深圳市英思奇信息咨询有限公司,50-150人,宝安区,本科,未融资,"移动互联网,电子商务",113.859696,22.57025,全职,3-5年
42,4262526,全栈工程师,北京,2018-04-26 14:46:43,21.0,3786,宜信,普信恒业科技发展（北京）有限公司,2000人以上,朝阳区,本科,上市公司,金融,0.0,0.0,全职,3-5年
43,4009732,全栈工程师,北京,2018-04-28 10:15:27,24.8,148646,领主,北京领主科技有限公司,15-50人,海淀区,本科,A轮,"移动互联网,社交网络",116.333885,39.987693,全职,3-5年
44,4410849,全栈工程师,太原,2018-04-28 15:20:13,8.8,63993,优逸客,山西优逸客科技有限公司,50-150人,小店区,本科,不需要融资,移动互联网,112.993426,37.994263,全职,5-10年
45,3950601,全栈工程师,北京,2018-04-26 14:35:02,28.0,1561,Face++,北京旷视科技有限公司,500-2000人,海淀区,本科,C轮,"移动互联网,硬件",NaN,NaN,全职,不限
46,4479409,全栈工程师,北京,2018-04-26 14:57:25,28.0,202637,微量分贝 HEARD,北京微量分贝科技有限公司,15-50人,朝阳区,本科,A轮,"移动互联网,企业服务",116.474786,39.907258,全职,5-10年
47,4069257,全栈工程师,上海,2018-04-25 09:39:24,24.0,299367,戎磐网络,上海戎磐网络科技有限公司,15-50人,长宁区,大专,天使轮,信息安全、移动互联网,121.402458,31.202883,全职,不限
48,4448743,全栈工程师,北京,2018-04-28 10:49:57,20.8,138547,大腿科技,大腿（北京）科技有限公司,15-50人,朝阳区,本科,天使轮,"教育,游戏",116.459833,39.905611,全职,3-5年
49,4483711,全栈工程师,上海,2018-04-27 14:14:47,25.2,4760,唯品会,唯品会（中国）有限公司,2000人以上,闵行区,本科,上市公司,电子商务,0.0,0.0,全职,5-10年
50,998356,全栈工程师,深圳,2018-04-26 13:56:43,28.0,21406,Coding,深圳市扣钉网络科技有限公司,50-150人,南山区,本科,B轮,数据服务,0.0,0.0,全职,3-5年
51,2547377,全栈工程师,北京,2018-04-28 10:17:07,21.0,126031,Datatist,上海画龙信息科技有限公司,15-50人,海淀区,本科,A轮,"数据服务,广告营销",116.308891,39.980691,全职,5-10年
52,3927671,全栈工程师,北京,2018-04-27 17:52:38,19.0,203384,樱桃,山东丽波电子科技有限公司,15-50人,朝阳区,大专,B轮,电子商务,116.494339,39.976137,全职,3-5年
53,3992159,全栈工程师,上海,2018-04-25 18:12:08,13.6,152109,上海才宝网络科技有限公司,上海才宝网络科技有限公司,50-150人,杨浦区,本科,不需要融资,游戏,121.510237,31.308186,全职,3-5年
54,2596519,全栈工程师,北京,2018-04-17 11:16:53,26.0,93974,Game.com,你好世界（北京）科技有限公司,15-50人,朝阳区,本科,不需要融资,移动互联网,116.46068,39.905255,全职,1-3年
