,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4508428,搜索算法酷,杭州,2018-05-02 17:23:06,28.0,296144,融畅软件,苏州融畅软件科技有限公司,50-150人,拱墅区,本科,未融资,移动互联网,120.108006,30.29291,全职,3-5年,"['""""']"
1,1925863,搜索算法,上海,2018-05-03 09:09:21,19.0,78369,欧电云,上海欧电云信息科技有限公司,150-500人,浦东新区,本科,B轮,"电子商务,企业服务",121.581977,31.197071,全职,3-5年,"['试用期全薪', '定期体检', '五险一金', '弹性工作']"
2,1829854,搜索算法工程师,上海,2018-05-02 16:24:29,25.2,30830,哔哩哔哩,上海幻电信息科技有限公司,2000人以上,浦东新区,本科,上市公司,"移动互联网,文化娱乐",121.52479993,31.2398197,全职,不限,"['带薪年假', '绩效奖金', '交通补助', '午餐补助']"
3,4142922,搜索算法/策略工程师,上海,2018-05-02 17:41:40,25.2,1499,学霸君,上海谦问万答吧云计算科技有限公司,150-500人,杨浦区,本科,C轮,"移动互联网,教育",121.51123519,31.30683942,全职,3-5年,"['帅哥多', '美女多', '股票期权', '年底双薪']"
4,4277196,搜索算法工程师,杭州,2018-05-02 15:47:09,24.8,10359,酷家乐,杭州群核信息技术有限公司,500-2000人,拱墅区,不限,D轮及以上,移动互联网,120.108647,30.293154,全职,3-5年,"['两次加薪', '弹性工作', '期权丰厚', '两次晋升']"
5,3856033,搜索算法工程师,北京,2018-05-02 15:01:19,24.0,57049,InnoTREE,北京因果树网络科技有限公司,50-150人,海淀区,本科,B轮,金融,116.306683,39.984791,全职,不限,"['技能培训', '节日礼物', '股票期权', '带薪年假']"
6,4033318,搜索算法工程师,北京,2018-05-02 11:00:47,45.0,4760,唯品会,唯品会（中国）有限公司,2000人以上,朝阳区,本科,上市公司,电子商务,0.0,0.0,全职,5-10年,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']"
7,4501442,搜索算法工程师,厦门,2018-05-02 18:00:05,28.0,84086,笨鸟社交,厦门笨鸟电子商务有限公司,150-500人,思明区,本科,B轮,企业服务,118.174043,24.48295,全职,1-3年,"['高新企业', '扁平管理', '五险一金', '股票期权']"
8,4036648,蚂蚁金服-搜索算法工程师/机器学习专家,杭州,2018-04-11 15:17:41,28.0,153849,蚂蚁金服集团,支付宝(杭州)信息技术有限公司,2000人以上,西湖区,本科,B轮,"金融,移动互联网",120.125788,30.272627,全职,不限,"['年底双薪', '带薪年假', '股票期权', '绩效奖金']"
9,4155351,搜索算法工程师,北京,2018-05-02 12:12:27,42.0,129068,阿博茨科技,北京阿博茨科技有限公司,50-150人,海淀区,本科,A轮,移动互联网,116.353717,40.015752,全职,3-5年,"['五天工作制', '带薪假期', '健康午餐', '体育课']"
10,4407856,搜索算法,北京,2018-05-02 14:47:12,35.0,262067,博美科技,北京博美科技有限公司,150-500人,海淀区,不限,未融资,"电子商务,移动互联网",116.337742,39.992894,全职,不限,[]
11,3167431,搜索算法工程师,北京,2018-05-01 20:08:49,35.0,62,字节跳动,北京字节跳动科技有限公司,2000人以上,海淀区,本科,C轮,"移动互联网,数据服务",116.332602,39.971268,全职,1-3年,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']"
12,4293004,优酷-搜索算法工程师,北京,2018-05-02 16:41:08,21.6,216917,阿里文娱,大鱼快乐有限公司,2000人以上,海淀区,本科,上市公司,"文化娱乐,移动互联网",116.312183,39.981536,全职,3-5年,"['年底双薪', '股票期权', '绩效奖金', '定期体检']"
13,2370585,搜索算法,杭州,2018-04-12 13:56:25,19.0,329,网易,网易（杭州）有限公司,2000人以上,滨江区,本科,上市公司,"电子商务,移动互联网",120.19229922,30.18797694,全职,3-5年,"['节日礼物', '技能培训', '免费班车', '带薪年假']"
14,4340092,搜索算法工程师,北京,2018-04-16 18:20:47,38.0,8103,汽车之家,北京车之家信息技术有限公司,2000人以上,海淀区,本科,上市公司,"移动互联网,文化娱乐",116.311989,39.979473,全职,3-5年,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']"
15,4479181,搜索算法,杭州,2018-04-27 14:20:28,47.0,296144,融畅软件,苏州融畅软件科技有限公司,50-150人,滨江区,本科,未融资,移动互联网,120.158023,30.179989,全职,3-5年,"['""""']"
16,4240450,搜索算法工程师,杭州,2018-05-02 15:47:08,21.0,10359,酷家乐,杭州群核信息技术有限公司,500-2000人,拱墅区,本科,D轮及以上,移动互联网,120.108647,30.293154,全职,1-3年,"['两次加薪', '弹性工作', '期权丰厚', '两次晋升']"
17,4346758,搜索研发/搜索算法工程师,上海,2018-05-02 17:54:08,28.0,6542,小红书,行吟信息科技（上海）有限公司,500-2000人,黄浦区,本科,C轮,"生活服务,电子商务",121.474566,31.215085,全职,1-3年,"['年度旅游', '节日礼物', '专项奖金', '带薪年假']"
18,4309599,搜索算法工程师,北京,2018-05-02 14:20:02,21.0,328,考拉FM,众联智领科技（北京）有限公司,150-500人,海淀区,本科,C轮,移动互联网,116.30456,39.986608,全职,1-3年,"['全额五险一金', '员工活动丰富', '产品创新', '互联网音频']"
19,2399016,搜索算法工程师/技术专家,北京,2018-05-02 10:20:35,33.0,50702,美团点评,北京三快在线科技有限公司,2000人以上,,本科,D轮及以上,"移动互联网,O2O",116.48762151,40.00609607,全职,3-5年,"['技能培训', '绩效奖金', '岗位晋升', '领导好']"
20,4118455,搜索算法专家,北京,2018-05-02 12:12:27,42.0,129068,阿博茨科技,北京阿博茨科技有限公司,50-150人,海淀区,本科,A轮,移动互联网,116.353717,40.015752,全职,5-10年,"['五天工作制', '带薪假期', '健康午餐', '体育课']"
21,3687241,搜索算法工程师,北京,2018-04-24 13:37:29,28.0,70,宝宝树,宝宝树（北京）信息技术有限公司,500-2000人,朝阳区,硕士,D轮及以上,社交网络,115.99339,39.99426,全职,1-3年,"['商业医疗保险', '股票期权', '带薪年假', '扁平管理']"
22,4038473,搜索算法工程师,北京,2018-05-02 08:59:21,28.0,1730,一下科技,炫一下（北京）科技有限公司,500-2000人,朝阳区,本科,D轮及以上,"移动互联网,文化娱乐",116.48919426,39.999364,全职,1-3年,"['带薪年假', '绩效奖金', '岗位晋升', '管理规范']"
23,4398413,搜索算法工程师,北京,2018-04-27 19:24:47,25.2,10369,完美世界,完美世界（北京）软件科技发展有限公司,2000人以上,朝阳区,本科,上市公司,"移动互联网,游戏",116.42886,40.005201,全职,1-3年,"['绩效奖金', '五险一金', '带薪年假', '年度旅游']"
24,4431825,搜索算法负责人,北京,2018-05-02 10:45:32,34.0,34573,省钱快报,北京九州云动科技有限公司,50-150人,东城区,硕士,B轮,"移动互联网,电子商务",116.4119,39.947795,全职,3-5年,"['技能培训', '专项奖金', '带薪年假', '绩效奖金']"
25,4431713,搜索算法工程师-厦门,厦门,2018-04-17 10:27:18,21.0,23291,美图公司,厦门美图之家科技有限公司,500-2000人,思明区,本科,上市公司,"移动互联网,硬件",118.180597,24.489868,全职,不限,"['节日礼物', '与大牛共事', '福利健全', '五险一金']"
26,4305491,搜索算法工程师,北京,2018-04-27 11:18:12,19.0,62831,明略数据,北京明略软件系统有限公司,150-500人,海淀区,本科,C轮,数据服务,0.0,0.0,全职,1-3年,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']"
27,4501470,搜索算法工程师（深圳）,深圳,2018-05-02 18:00:05,28.0,84086,笨鸟社交,厦门笨鸟电子商务有限公司,150-500人,南山区,本科,B轮,企业服务,0.0,0.0,全职,1-3年,"['高新企业', '扁平管理', '五险一金', '股票期权']"
28,4352610,搜索算法工程师,北京,2018-04-25 12:21:38,21.0,355321,天工矩阵,北京天工矩阵信息技术有限公司,50-150人,大兴区,本科,A轮,"电子商务,企业服务",116.350816,39.762254,全职,3-5年,"['带薪年假', '绩效奖金', '公司培训', '专项奖金']"
29,3901609,推荐/搜索算法工程师,广州,2018-04-19 09:49:33,19.0,20473,广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,2000人以上,白云区,硕士,不需要融资,电子商务,113.271506,23.175202,全职,3-5年,"['项目奖金', '绩效奖金', '年终奖', '五险一金']"
30,4493775,搜索算法,杭州,2018-04-27 14:39:26,24.0,296144,融畅软件,苏州融畅软件科技有限公司,50-150人,拱墅区,本科,未融资,移动互联网,120.111661,30.336712,全职,1-3年,"['""""']"
31,3369770,搜索算法工程师,上海,2018-05-02 09:45:03,27.2,50702,美团点评,北京三快在线科技有限公司,2000人以上,长宁区,本科,D轮及以上,"移动互联网,O2O",121.424421,31.212351,全职,3-5年,"['技能培训', '绩效奖金', '岗位晋升', '领导好']"
32,3893699,搜索算法研究员-厦门,厦门,2018-04-23 15:36:33,21.0,23291,美图公司,厦门美图之家科技有限公司,500-2000人,思明区,本科,上市公司,"移动互联网,硬件",39.897445,116.331398,全职,不限,"['节日礼物', '与大牛共事', '福利健全', '五险一金']"
33,4222340,搜索算法开发工程师-平台事业部,北京,2018-04-27 18:30:06,26.0,1970,去哪儿网,北京趣拿软件科技有限公司,2000人以上,海淀区,本科,不需要融资,移动互联网,116.30572973,39.97727051,全职,3-5年,"['技能培训', '节日礼物', '带薪年假', '无息住房贷款']"
34,3862946,高级搜索算法工程师,上海,2018-05-02 20:36:13,24.8,49363,Coupang,韩领网络科技（上海）有限公司,150-500人,浦东新区,本科,不需要融资,"移动互联网,O2O",121.60192,31.20621,全职,不限,"['年底双薪', '技能培训', '绩效奖金', '年度旅游']"
35,4118493,搜索算法,广州,2018-05-02 17:18:53,26.0,250149,哆啦科技,广州哆啦信息科技有限公司,50-150人,海珠区,本科,A轮,"电子商务,移动互联网",113.314738,23.096588,全职,不限,"['年底双薪', '股票期权', '午餐补助', '扁平管理']"
36,3415278,资深搜索算法工程师,杭州,2018-05-02 09:27:46,21.0,329,网易,网易（杭州）有限公司,2000人以上,滨江区,本科,上市公司,"电子商务,移动互联网",120.192295,30.188393,全职,3-5年,"['节日礼物', '技能培训', '免费班车', '带薪年假']"
37,3999181,搜索算法工程师,北京,2018-04-23 20:24:08,38.0,3328,好未来,北京世纪好未来教育科技有限公司,2000人以上,海淀区,本科,上市公司,"移动互联网,教育",116.316949,39.983015,全职,3-5年,"['上市公司', '领军企业', '五险一金', '住福计划']"
38,4495632,搜索算法高级工程师,北京,2018-04-27 17:32:25,38.0,8103,汽车之家,北京车之家信息技术有限公司,2000人以上,海淀区,本科,上市公司,"移动互联网,文化娱乐",116.311989,39.979473,全职,3-5年,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']"
39,2116195,搜索算法,北京,2018-04-25 10:00:34,24.0,1686,爱奇艺,北京爱奇艺科技有限公司,2000人以上,朝阳区,本科,D轮及以上,"广告营销,文化娱乐",116.63682446,39.98832845,全职,不限,"['绩效奖金', '五险一金', '交通补助', '带薪年假']"
40,2168285,搜索算法,北京,2018-04-09 10:29:09,58.0,2494,凤凰网,凤凰飞扬（北京）新媒体信息技术有限公司,2000人以上,朝阳区,本科,上市公司,移动互联网,116.49195008,40.00530985,全职,3-5年,"['免费班车', '八险一金', '各色型男', '过节大礼包']"
41,4100708,搜索算法高级工程师,北京,2018-05-02 14:20:02,35.0,328,考拉FM,众联智领科技（北京）有限公司,150-500人,海淀区,本科,C轮,移动互联网,116.30456,39.986608,全职,3-5年,"['全额五险一金', '员工活动丰富', '产品创新', '互联网音频']"
42,3876455,高级搜索算法工程师,北京,2018-04-25 19:56:39,28.0,6927,OPPO,广东欧珀移动通信有限公司,2000人以上,海淀区,本科,不需要融资,移动互联网,116.306343,39.981797,全职,3-5年,"['丰厚年终', '扁平管理', '追求极致', '本分']"
43,4492879,高级搜索算法工程师/架构师,北京,2018-04-27 12:01:33,49.0,91,阿里巴巴—高德,高德软件有限公司,2000人以上,朝阳区,本科,上市公司,移动互联网,116.473575,39.992958,全职,3-5年,"['弹性工作', '帅哥多', '美女多', '五险一金']"
44,4271668,高级搜索算法工程师/专家,北京,2018-04-23 17:36:30,38.0,86294,阿里巴巴IoT事业部,阿里巴巴YunOS事业部,2000人以上,朝阳区,本科,上市公司,移动互联网,116.487867,39.999765,全职,3-5年,"['年底双薪', '专项奖金', '带薪年假', '绩效奖金']"
45,4431753,搜索算法工程师-北京,北京,2018-04-17 10:29:46,21.0,23291,美图公司,厦门美图之家科技有限公司,500-2000人,海淀区,本科,上市公司,"移动互联网,硬件",116.330291,39.993117,全职,不限,"['节日礼物', '与大牛共事', '福利健全', '五险一金']"
46,3868174,高级搜索算法工程师,上海,2018-04-26 16:56:00,27.2,49363,Coupang,韩领网络科技（上海）有限公司,150-500人,浦东新区,本科,不需要融资,"移动互联网,O2O",116.472822,40.002222,全职,5-10年,"['年底双薪', '技能培训', '绩效奖金', '年度旅游']"
47,2629628,搜索算法高级工程师/技术专家,北京,2018-05-02 10:20:35,38.0,50702,美团点评,北京三快在线科技有限公司,2000人以上,朝阳区,本科,D轮及以上,"移动互联网,O2O",116.48762151,40.00609607,全职,3-5年,"['技能培训', '绩效奖金', '岗位晋升', '领导好']"
48,4339911,高级搜索算法工程师（搜索组）,北京,2018-04-16 11:06:48,34.0,8103,汽车之家,北京车之家信息技术有限公司,2000人以上,海淀区,本科,上市公司,"移动互联网,文化娱乐",116.311989,39.979473,全职,3-5年,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']"
49,4320278,搜索算法专家,北京,2018-05-01 23:50:03,24.0,1686,爱奇艺,北京爱奇艺科技有限公司,2000人以上,海淀区,本科,D轮及以上,"广告营销,文化娱乐",116.313228,39.983752,全职,3-5年,"['绩效奖金', '五险一金', '交通补助', '带薪年假']"
