,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,2419951,精准推荐,北京,2018-05-02 10:27:51,49.0,53398,小年糕,北京小年糕互联网技术有限公司,50-150人,海淀区,本科,B轮,移动互联网,116.358353,39.96483895,全职,3-5年,[]
1,2914790,推荐/搜索开发工程师,南京,2018-04-27 10:12:33,14.0,32179,南京领添,南京领添信息技术有限公司,500-2000人,雨花台区,大专,C轮,"移动互联网,电子商务",118.75546,31.973879,全职,1-3年,"['节日礼物', '股票期权', '带薪年假', '绩效奖金']"
2,3736091,推荐系统工程师,北京,2018-04-25 11:19:15,28.0,109,马蜂窝,北京蚂蜂窝网络科技有限公司,500-2000人,朝阳区,本科,D轮及以上,"移动互联网,旅游",39.897445,116.331398,全职,3-5年,"['弹性工作', '扁平管理', '氛围好', '年度体检']"
3,4507998,推荐系统工程师,北京,2018-05-02 17:55:34,28.0,72720,茄子快传,北京快乐茄信息技术有限公司,150-500人,海淀区,本科,B轮,移动互联网,116.288106,40.046807,全职,3-5年,"['技能培训', '领导好', '美女多', '帅哥多']"
4,3623279,推荐／机器学习算法工程师,北京,2018-05-02 13:24:44,35.0,27749,淡蓝网Blued,北京蓝城兄弟信息技术有限公司,150-500人,朝阳区,硕士,D轮及以上,"移动互联网,社交网络",116.470484,39.899806,全职,不限,"['股票期权', '五险一金', '带薪年假', '节日礼物']"
5,4014970,推荐系统工程师,北京,2018-05-02 11:32:27,35.0,284128,NewsJet,北京智分科技有限公司,50-150人,海淀区,本科,不需要融资,移动互联网,116.351631,39.977163,全职,3-5年,"['年底双薪', '免费两餐', 'Geek范', '免费健身']"
6,4211414,推荐系统工程师,北京,2018-05-02 20:12:36,49.0,929,最右,北京小川在线网络技术有限公司,150-500人,海淀区,本科,B轮,移动互联网,116.368056,39.980092,全职,3-5年,"['技能培训', '连续创业团队', '年度旅游', '扁平管理']"
7,3901609,推荐/搜索算法工程师,广州,2018-04-19 09:49:33,19.0,20473,广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,2000人以上,白云区,硕士,不需要融资,电子商务,113.271506,23.175202,全职,3-5年,"['项目奖金', '绩效奖金', '年终奖', '五险一金']"
8,4294333,推荐系统工程师,北京,2018-05-02 16:41:08,21.6,216917,阿里文娱,大鱼快乐有限公司,2000人以上,海淀区,本科,上市公司,"文化娱乐,移动互联网",116.312183,39.981536,全职,3-5年,"['年底双薪', '股票期权', '绩效奖金', '定期体检']"
9,3309000,推荐/搜索系统后台研发工程师,北京,2018-04-30 20:23:40,26.0,6542,小红书,行吟信息科技（上海）有限公司,500-2000人,朝阳区,本科,C轮,"生活服务,电子商务",116.488635,40.003335,全职,不限,"['年度旅游', '节日礼物', '专项奖金', '带薪年假']"
10,2482925,推荐系统工程师,杭州,2018-04-12 08:59:58,19.0,26248,丁香园,观澜网络（杭州）有限公司,500-2000人,滨江区,本科,D轮及以上,"医疗健康,企业服务",120.202258,30.188678,全职,不限,"['扁平管理', '弹性工作', '期权']"
11,3215823,算法工程师-推荐方向,厦门,2018-04-28 17:47:15,14.0,9251,美柚,厦门美柚信息科技有限公司,500-2000人,思明区,本科,D轮及以上,移动互联网,118.17884,24.48956,全职,1-3年,"['绩效奖金', '股票期权', '年底双薪', '专项奖金']"
12,3700685,搜索/推荐工程师,上海,2018-05-02 09:59:55,31.0,22851,洋码头,上海洋码头网络技术有限公司,500-2000人,静安区,不限,C轮,"移动互联网,电子商务",121.438449,31.290987,全职,5-10年,"['年底双薪', '五险一金', '节日礼物', '年度旅游']"
13,4282934,搜索推荐-研发工程师,北京,2018-04-27 10:15:20,26.0,168991,老虎证券,北京优虎商务服务有限公司,150-500人,朝阳区,本科,B轮,"移动互联网,金融",116.460172,39.952787,全职,1-3年,"['绩效奖金', '年底双薪', '带薪年假', '定期体检']"
14,2252918,精准推荐,北京,2018-04-27 11:09:15,27.6,115818,无限向量（北京）科技有限公司,无限向量（北京）科技有限公司,50-150人,朝阳区,本科,A轮,移动互联网,116.47405191,39.954088,全职,3-5年,[]
15,3132299,推荐/搜索系统后台研发工程师,上海,2018-04-24 10:14:13,21.0,6542,小红书,行吟信息科技（上海）有限公司,500-2000人,黄浦区,本科,C轮,"生活服务,电子商务",121.474566,31.215085,全职,不限,"['年度旅游', '节日礼物', '专项奖金', '带薪年假']"
16,4504301,数据挖掘与推荐工程师,福州,2018-05-02 10:33:05,12.0,153712,西瓜集,福州西瓜文化传播有限公司,15-50人,仓山区,大专,不需要融资,"移动互联网,企业服务",119.265751,26.029796,全职,1-3年,[]
17,4431148,推荐系统工程师,北京,2018-05-01 19:43:00,28.0,344221,尊嘉金融,尊嘉金融控股有限公司,50-150人,朝阳区,本科,不需要融资,移动互联网、金融,116.447714,39.971234,全职,3-5年,"['""""']"
18,4092764,推荐系统工程师,北京,2018-05-02 11:22:28,24.0,59251,映客,北京蜜莱坞网络科技有限公司,500-2000人,朝阳区,本科,C轮,"移动互联网,文化娱乐",0.0,0.0,全职,3-5年,"['年底双薪', '专项奖金', '股票期权', '带薪年假']"
19,4323236,推荐系统工程师,北京,2018-04-27 19:24:47,24.8,10369,完美世界,完美世界（北京）软件科技发展有限公司,2000人以上,朝阳区,本科,上市公司,"移动互联网,游戏",116.42886,40.005201,全职,1-3年,"['绩效奖金', '五险一金', '带薪年假', '年度旅游']"
20,4258065,推荐/广告算法工程师-平台事业部J12502,北京,2018-04-27 18:30:07,29.0,1970,去哪儿网,北京趣拿软件科技有限公司,2000人以上,海淀区,本科,不需要融资,移动互联网,116.30572973,39.97727051,全职,1-3年,"['技能培训', '节日礼物', '带薪年假', '无息住房贷款']"
21,3544806,推荐系统开发工程师,北京,2018-05-02 11:15:23,19.0,23398,极课大数据,江苏曲速教育科技有限公司,150-500人,朝阳区,大专,B轮,教育、移动互联网,116.459955,39.957419,全职,3-5年,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']"
22,4306293,精准推荐工程师,北京,2018-05-02 14:29:12,36.0,21732,FitTime睿健时代,北京飞拓互联科技有限公司,150-500人,朝阳区,本科,C轮,"移动互联网,社交网络",116.488426,40.000182,全职,1-3年,"['绩效奖金', '岗位晋升', '股票期权', '扁平管理']"
23,3506793,新加坡 - 高级策略产品经理 （推荐逻辑）,深圳,2018-05-02 12:16:32,28.0,131846,Shopee,深圳虾皮信息科技有限公司,2000人以上,南山区,不限,上市公司,电子商务,113.945758,22.537062,全职,5-10年,"['定期体检', '通讯津贴', '带薪年假', '绩效奖金']"
24,4137249,推荐系统开发工程师,杭州,2018-04-27 14:42:13,24.0,134830,杭州明霖,杭州明霖信息技术有限公司,500-2000人,滨江区,本科,不需要融资,社交网络,120.213168,30.211897,全职,3-5年,"['带薪年假', '弹性工作', '美女多', '节日礼物']"
25,4429646,搜索&amp;推荐架构师,北京,2018-05-02 16:18:55,38.0,2474,滴滴出行,北京嘀嘀无限科技发展有限公司,2000人以上,海淀区,硕士,不需要融资,移动互联网,116.238822,40.068734,全职,5-10年,"['弹性工作', '节日礼物', '岗位晋升', '技能培训']"
26,3546033,推荐系统开发工程师,北京,2018-05-02 17:11:02,28.0,212939,一览科技,北京一览科技有限公司,150-500人,朝阳区,本科,B轮,"移动互联网,文化娱乐",116.465903,40.020713,全职,3-5年,"['股票期权', '弹性工作', '领导好', '扁平管理']"
27,4431735,推荐负责人,北京,2018-05-02 10:45:31,34.0,34573,省钱快报,北京九州云动科技有限公司,50-150人,东城区,硕士,B轮,"移动互联网,电子商务",116.4119,39.947795,全职,3-5年,"['技能培训', '专项奖金', '带薪年假', '绩效奖金']"
28,3516755,推荐算法,北京,2018-05-02 18:12:19,28.0,82991,数美,北京数美时代科技有限公司,150-500人,朝阳区,本科,B轮,"企业服务,数据服务",116.465953,40.021083,全职,1-3年,"['年底双薪', '大数据', '带薪年假', '通讯津贴']"
