,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,4399609,图像处理,北京,2018-04-19 09:55:55,28.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,博士,B轮,其他,116.357353,39.939211,全职,3-5年
1,2567485,图像处理与分析算法工程师,杭州,2018-04-18 09:30:27,19.0,35559,亲宝宝,杭州点望科技有限公司,150-500人,西湖区,硕士,B轮,"移动互联网,社交网络",120.097412,30.266811,全职,1-3年
2,4304663,图像处理工程师,杭州,2018-04-19 08:52:28,20.8,57350,微拍堂,杭州微拍堂文化创意有限公司,150-500人,西湖区,硕士,A轮,移动互联网,120.12658,30.2784,全职,3-5年
3,3419176,图像处理工程师,北京,2018-04-16 16:03:32,28.0,129,陌陌,北京陌陌科技有限公司,500-2000人,朝阳区,大专,上市公司,社交网络,115.99339,39.99426,全职,3-5年
4,3943432,【OpenCV/图像处理/图像算法工程师】,武汉,2018-04-18 11:29:39,14.0,277312,微晟,微晟（武汉）技术有限公司,15-50人,洪山区,本科,不需要融资,"移动互联网,硬件",114.412546,30.500298,全职,1-3年
5,4249164,图像处理工程师,北京,2018-04-17 09:45:20,21.0,21474,必要商城,珠海随变科技有限公司,50-150人,朝阳区,本科,不需要融资,电子商务,115.99339,39.99426,全职,3-5年
6,4423925,图像处理工程师,济南,2018-04-16 09:47:32,12.0,104298,北明软件,北明软件有限公司,2000人以上,高新区,本科,上市公司,"移动互联网,数据服务",117.141711,36.662479,全职,1-3年
7,3678626,图像处理工程师,北京,2018-04-18 10:32:25,35.0,329,网易,网易（杭州）有限公司,2000人以上,海淀区,硕士,上市公司,"电子商务,移动互联网",115.99339,39.99426,全职,3-5年
8,4160993,图像处理,上海,2018-04-17 09:14:21,21.0,150654,信号旗,信号旗智能科技（上海）有限公司,15-50人,浦东新区,硕士,A轮,数据服务,121.605683,31.178004,全职,3-5年
9,4329981,图像处理,杭州,2018-03-27 13:39:18,7.0,34309,上佰电商,杭州上佰电子商务有限公司,150-500人,西湖区,不限,未融资,电子商务,0.0,0.0,全职,1-3年
10,3787671,图像处理工程师,北京,2018-04-16 09:45:33,27.6,122827,连心医疗,北京连心医疗科技有限公司,50-150人,海淀区,硕士,A轮,"移动互联网,医疗健康",116.330346,39.993743,全职,1-3年
11,4412127,图像处理,昆明,2018-04-12 15:44:29,7.0,300659,匠品科技,匠品科技（深圳）有限公司,15-50人,官渡区,本科,天使轮,"移动互联网,电子商务",102.725917,25.025756,全职,不限
12,4334071,图像处理工程师/实习生,北京,2018-04-11 20:16:19,24.0,39934,每日优鲜,北京每日优鲜电子商务有限公司,500-2000人,朝阳区,本科,C轮,"移动互联网,电子商务",116.479363,39.986108,全职,3-5年
13,3597682,图像处理工程师,北京,2018-04-18 09:37:08,19.0,28393,爱云校,北京修齐治平科技有限公司,500-2000人,朝阳区,本科,C轮,"教育,数据服务",116.481459,39.99646,全职,1-3年
14,3979817,图像处理Leader,北京,2018-04-12 11:34:18,35.0,62831,明略数据,北京明略软件系统有限公司,150-500人,海淀区,硕士,C轮,数据服务,116.330747,39.9947,全职,3-5年
15,4277943,图像处理专家,南京,2018-03-30 10:22:45,37.0,19875,vivo,维沃移动通信有限公司,2000人以上,雨花台区,本科,未融资,移动互联网,118.742866,31.988081,全职,5-10年
16,3979791,图像处理工程师,北京,2018-04-12 11:34:18,28.0,62831,明略数据,北京明略软件系统有限公司,150-500人,海淀区,硕士,C轮,数据服务,116.330747,39.9947,全职,1-3年
17,4439272,计算机视觉及图像处理,深圳,2018-04-18 10:12:44,21.0,35996,顺丰科技有限公司,顺丰科技有限公司,500-2000人,南山区,本科,不需要融资,"移动互联网,电子商务",113.937987,22.523392,全职,3-5年
18,4296430,图像处理工程师/实习生,北京,2018-04-11 20:16:19,7.0,39934,每日优鲜,北京每日优鲜电子商务有限公司,500-2000人,朝阳区,本科,C轮,"移动互联网,电子商务",116.479363,39.986108,全职,应届毕业生
19,3965388,计算机视觉/图像处理工程师,北京,2018-04-17 15:49:33,28.0,303915,创智臻视,北京创智臻视科技有限公司,15-50人,海淀区,硕士,天使轮,"信息安全,数据服务",,,全职,不限
20,4049772,图像处理工程师,北京,2018-04-18 16:26:45,24.0,291761,环球农宝,北京环球农宝智能科技有限公司,15-50人,海淀区,本科,天使轮,"企业服务,硬件",0.0,0.0,全职,1-3年
21,2235144,全景图像处理工程师,北京,2018-04-19 09:48:29,29.0,113761,企鹅创新,企鹅创新（北京）科技有限公司,15-50人,,本科,天使轮,"硬件,移动互联网",116.4800105,39.99724951,全职,3-5年
22,4179631,软件工程师（图像处理）,深圳,2018-04-18 09:22:39,28.0,168101,CTAccel联捷科技,联捷计算科技（深圳）有限公司,50-150人,福田区,本科,A轮,"移动互联网,数据服务",114.062476,22.534205,全职,1-3年
