,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,3830137,机器学习,北京,2018-04-19 09:55:55,21.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,本科,B轮,其他,116.357353,39.939211,全职,1-3年
1,4384322,机器学习/数据挖掘工程师,北京,2018-04-08 17:58:48,14.0,55446,链家,链家网（北京）科技有限公司,2000人以上,海淀区,本科,C轮,"移动互联网,O2O",116.305611,40.04018,实习,应届毕业生
2,3927589,机器学习,北京,2018-04-18 14:48:09,28.0,82991,数美,北京数美时代科技有限公司,150-500人,朝阳区,本科,B轮,"企业服务,数据服务",116.465953,40.021083,全职,1-3年
3,4289805,机器学习工程师,北京,2018-04-18 10:51:41,38.0,21732,FitTime睿健时代,北京飞拓互联科技有限公司,150-500人,朝阳区,本科,C轮,"移动互联网,社交网络",116.488426,40.000182,全职,3-5年
4,4416469,机器学习,北京,2018-04-19 10:09:49,25.2,129720,DataHunter,北京数猎天下科技有限公司,50-150人,海淀区,本科,A轮,"数据服务,企业服务",116.334661,39.987243,全职,3-5年
5,4139461,机器学习工程师,北京,2018-04-19 10:23:01,19.0,67235,小站教育,上海业霆网络科技有限公司,500-2000人,海淀区,硕士,C轮,"移动互联网,教育",116.325573,39.984031,全职,3-5年
6,4109738,机器学习,北京,2018-04-18 15:35:50,21.0,57353,中移在线服务有限公司,中移在线服务有限公司,2000人以上,西城区,硕士,不需要融资,移动互联网,0.0,0.0,全职,3-5年
7,4395664,数据挖掘/机器学习,北京,2018-04-17 19:24:42,21.0,110502,洋钱罐,北京瓴岳信息技术有限公司,150-500人,朝阳区,本科,不需要融资,"移动互联网,金融",116.460733,39.929643,全职,1-3年
8,4048062,机器学习/深度学习算法专家,北京,2018-04-16 16:14:32,48.0,50702,美团点评,北京三快在线科技有限公司,2000人以上,朝阳区,本科,D轮及以上,"移动互联网,O2O",116.488946,40.00658,全职,3-5年
9,4311454,机器学习工程师,成都,2018-04-19 10:31:41,21.0,152987,大地量子,成都天地量子科技有限公司,15-50人,高新区,硕士,天使轮,数据服务,104.065745,30.546973,全职,1-3年
10,3993690,机器学习工程师,北京,2018-04-19 09:27:32,19.0,54374,普林科技,北京至信普林科技有限公司,50-150人,海淀区,硕士,A轮,数据服务,116.302304,39.986014,全职,应届毕业生
11,2002202,机器学习工程师,广州,2018-04-19 10:18:03,39.2,129877,航仕科技,上海航仕企业管理有限公司,150-500人,天河区,本科,C轮,"移动互联网,O2O",113.36663,23.122032,全职,3-5年
12,3005369,机器学习,上海,2018-04-17 10:38:22,28.0,97604,太美医疗科技,嘉兴太美医疗科技有限公司,150-500人,徐汇区,硕士,C轮,移动互联网,121.404808,31.165281,全职,1-3年
13,4083679,机器学习工程师（偏工程）,上海,2018-04-18 10:45:25,21.0,27962,星环科技,星环信息科技（上海）有限公司,150-500人,徐汇区,本科,C轮,数据服务,121.41044957,31.17032939,全职,不限
14,2788784,机器学习工程师,北京,2018-04-19 10:07:17,42.0,151782,爱特曼科技,北京爱特曼科技有限公司,15-50人,海淀区,不限,A轮,"移动互联网,数据服务",116.348614,39.973592,全职,3-5年
15,3830104,机器学习,北京,2018-04-19 09:55:55,38.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,本科,B轮,其他,116.357353,39.939211,全职,3-5年
16,3606124,机器学习/数据挖掘工程师 - 新房研发部,北京,2018-04-02 19:57:56,28.0,55446,链家,链家网（北京）科技有限公司,2000人以上,海淀区,本科,C轮,"移动互联网,O2O",116.30561083,40.04018018,全职,1-3年
17,4389651,算法/机器学习,北京,2018-04-17 19:24:42,21.0,110502,洋钱罐,北京瓴岳信息技术有限公司,150-500人,朝阳区,本科,不需要融资,"移动互联网,金融",116.460733,39.929643,全职,1-3年
18,4122449,机器学习,北京,2018-04-17 15:58:16,28.0,5706,洋葱数学,光合新知（北京）科技有限公司,150-500人,朝阳区,本科,C轮,"移动互联网,教育",116.500139,39.991999,全职,3-5年
19,4111643,机器学习总监,北京,2018-04-19 09:56:23,56.0,254694,创新工场AI工程院,创新工场（北京）企业管理股份有限公司,50-150人,海淀区,本科,未融资,移动互联网,116.314242,39.984625,全职,5-10年
20,4118858,机器学习专家,北京,2018-04-18 10:38:47,78.0,21732,FitTime睿健时代,北京飞拓互联科技有限公司,150-500人,朝阳区,博士,C轮,"移动互联网,社交网络",116.488426,40.000182,全职,3-5年
21,4027876,机器学习专家,杭州,2018-04-18 10:26:23,38.0,8169,点我达,点我达网络科技有限公司,500-2000人,下城区,硕士,D轮及以上,O2O,120.16579198,30.31569396,全职,1-3年
22,3311732,机器学习研发工程师,深圳,2018-04-19 10:28:35,28.0,195436,Finogeeks,珠海凡泰极客科技有限责任公司,50-150人,南山区,硕士,A轮,"金融,社交网络",113.930476,22.533013,全职,不限
23,2721511,机器学习工程师,北京,2018-03-26 10:58:13,28.0,4188,INK 银客集团,银客未来科技（北京）有限公司,500-2000人,海淀区,硕士,C轮,"移动互联网,金融",116.357004,40.045029,全职,3-5年
24,3955805,机器学习,北京,2018-04-18 13:55:34,28.0,37446,APUS Group,北京麒麟合盛科技有限公司,150-500人,朝阳区,本科,B轮,移动互联网,116.480792,39.996,全职,5-10年
25,4223809,机器学习,北京,2018-04-18 13:56:27,24.8,29496,闪银奇异,北京闪银奇异科技有限公司,500-2000人,朝阳区,硕士,D轮及以上,"移动互联网,金融",116.466601,39.93431,全职,3-5年
26,4377952,机器学习研究员,北京,2018-04-18 10:41:55,42.0,195855,转转,北京转转精神科技有限责任公司,500-2000人,海淀区,本科,A轮,"移动互联网,生活服务",116.360315,40.039775,全职,3-5年
27,3419114,机器学习工程师-政企事业部,北京,2018-04-19 09:27:32,18.4,54374,普林科技,北京至信普林科技有限公司,50-150人,海淀区,本科,A轮,数据服务,116.302304,39.986014,全职,应届毕业生
28,3813295,深度/机器学习,北京,2018-04-19 10:00:48,35.0,210070,深睿医疗,北京深睿博联科技有限责任公司,50-150人,海淀区,硕士,B轮,"移动互联网,医疗健康",116.312183,39.981536,全职,不限
29,4142676,机器学习/数据挖掘工程师/专家,杭州,2018-04-18 10:09:55,28.0,2380,浙江执御信息技术有限公司,浙江执御信息技术有限公司,2000人以上,拱墅区,硕士,B轮,"移动互联网,数据服务",120.11362,30.33344,全职,3-5年
30,4259600,机器学习,北京,2018-04-19 09:29:05,28.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,硕士,B轮,其他,116.357122,39.939268,全职,1-3年
31,4384336,机器学习/数据挖掘工程师,上海,2018-04-08 17:59:56,14.0,55446,链家,链家网（北京）科技有限公司,2000人以上,静安区,本科,C轮,"移动互联网,O2O",121.462774,31.231214,实习,应届毕业生
32,4179568,机器学习工程师,北京,2018-04-18 10:38:42,68.0,21732,FitTime睿健时代,北京飞拓互联科技有限公司,150-500人,朝阳区,博士,C轮,"移动互联网,社交网络",116.488426,40.000182,全职,5-10年
33,4395674,机器学习/人工智能,北京,2018-04-17 19:24:43,21.0,110502,洋钱罐,北京瓴岳信息技术有限公司,150-500人,朝阳区,本科,不需要融资,"移动互联网,金融",116.460733,39.929643,全职,1-3年
34,4444383,机器学习工程师,广州,2018-04-18 17:13:29,14.0,159990,创数纪,北京创数纪信息技术有限责任公司,15-50人,天河区,本科,天使轮,"移动互联网,数据服务",113.33822,23.139324,全职,1-3年
35,3626897,机器学习工程师,珠海,2018-04-18 10:18:26,22.8,143715,石方科技,珠海市石方科技有限公司,15-50人,香洲区,硕士,A轮,信息安全,113.518202,22.253226,全职,1-3年
36,4345951,机器学习-算法工程师,北京,2018-04-17 10:54:35,22.8,236405,曜辉科技,北京曜辉信息科技有限公司,15-50人,朝阳区,本科,未融资,"移动互联网,企业服务",116.465953,40.021083,全职,1-3年
37,4384681,机器学习-金融事业部,北京,2018-04-16 16:35:36,28.0,1970,去哪儿网,北京趣拿软件科技有限公司,2000人以上,海淀区,硕士,不需要融资,移动互联网,116.305723,39.977523,全职,3-5年
38,3444401,机器学习工程师,杭州,2018-04-18 14:48:10,28.0,82991,数美,北京数美时代科技有限公司,150-500人,余杭区,本科,B轮,"企业服务,数据服务",120.002035,30.27563,全职,1-3年
39,3122212,机器学习/深度学习算法研究员/专家,北京,2018-04-18 19:57:41,31.0,50702,美团点评,北京三快在线科技有限公司,2000人以上,朝阳区,本科,D轮及以上,"移动互联网,O2O",116.486654,40.007208,全职,3-5年
40,3419057,机器学习工程师-金融事业部,北京,2018-04-19 09:27:31,18.4,54374,普林科技,北京至信普林科技有限公司,50-150人,海淀区,硕士,A轮,数据服务,116.303685,39.985863,全职,应届毕业生
41,4131019,机器学习工程师,北京,2018-04-18 20:04:03,28.0,72720,茄子快传,北京快乐茄信息技术有限公司,150-500人,海淀区,本科,B轮,移动互联网,116.288106,40.046807,全职,3-5年
42,3688820,机器学习研究员,上海,2018-04-17 15:45:30,58.0,89076,HYPEREAL,上海拆名晃信息科技有限公司,50-150人,徐汇区,硕士,C轮,"游戏,硬件",121.391995,31.173019,全职,5-10年
43,3282378,机器学习工程师,上海,2018-04-18 10:19:30,20.0,98800,竹间智能科技(上海)有限公司,竹间智能科技（上海）有限公司,150-500人,徐汇区,硕士,B轮,"移动互联网,其他",121.41768,31.17509986,全职,不限
