,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4325680,功能测试,北京,2018-05-03 10:10:08,7.0,41030,小肚皮App,北京九识佳科技有限公司,15-50人,朝阳区,本科,A轮,移动互联网,116.473011,39.912032,全职,1-3年,"['年度旅游', '美女CEO', '五险一金', '午餐补助']"
1,3461147,功能测试,上海,2018-05-02 18:37:37,10.4,204644,上海灿福信息科技发展集团有限公司,上海灿福信息科技发展集团有限公司,150-500人,长宁区,本科,不需要融资,"移动互联网,数据服务",121.430635,31.220408,全职,1-3年,"['年底双薪', '带薪年假', '定期体检', '租房补贴']"
2,4023547,功能测试,北京,2018-05-03 09:54:04,17.0,168991,老虎证券,北京优虎商务服务有限公司,150-500人,朝阳区,大专,B轮,"移动互联网,金融",116.460172,39.952787,全职,1-3年,"['绩效奖金', '年底双薪', '带薪年假', '定期体检']"
3,4459039,功能测试,北京,2018-05-02 09:34:09,12.4,5812,用友,用友网络科技股份有限公司,2000人以上,海淀区,本科,上市公司,"企业服务,数据服务",116.238822,40.068734,全职,1-3年,"['技能培训', '节日礼物', '免费班车', '岗位晋升']"
4,4369617,功能测试工程师,北京,2018-05-02 10:05:21,12.0,1992,有利网,北京弘合柏基金融信息服务有限责任公司,500-2000人,朝阳区,本科,A轮,金融,116.456076,39.948051,全职,1-3年,"['岗位晋升', '股票期权', '绩效奖金', '定期体检']"
5,3923488,功能测试工程师,广州,2018-05-02 14:40:23,14.0,284199,云联国骥,广东云联国骥投资管理有限公司,500-2000人,海珠区,本科,不需要融资,电子商务,113.385147,23.102207,全职,3-5年,"['带薪年假', '餐费补贴', '交通补贴', '通讯补贴']"
6,4165257,功能测试工程师,广州,2018-05-03 08:40:34,7.2,62627,广东亿迅,广东亿迅科技有限公司,2000人以上,越秀区,本科,不需要融资,移动互联网,39.897445,116.331398,全职,3-5年,"['技能培训', '节日礼物', '年底双薪', '带薪年假']"
7,3477949,功能测试工程师,上海,2018-05-02 10:47:19,12.0,128998,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,黄浦区,本科,不需要融资,"移动互联网,金融",121.502295,31.22147,全职,5-10年,[]
8,4366341,功能测试工程师,大连,2018-04-27 13:34:42,5.6,40112,华宇,华宇（大连）信息服务有限公司,500-2000人,甘井子区,本科,上市公司,数据服务,121.47543,38.96132,全职,不限,"['技能培训', '节日礼物', '绩效奖金', '年度旅游']"
9,4357041,功能测试,上海,2018-04-26 09:53:38,13.6,22862,上海中软华腾软件系统有限公司,上海中软华腾软件系统有限公司,2000人以上,浦东新区,本科,上市公司,"企业服务,金融",121.668796,31.238697,全职,3-5年,"['年底双薪', '绩效奖金', '带薪年假', '定期体检']"
