,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4510063,性能测试,北京,2018-05-03 09:21:27,14.0,24988,EasyStack,北京易捷思达科技发展有限公司,150-500人,海淀区,本科,C轮,数据服务,0.0,0.0,全职,1-3年,"['股票期权', '五险一金', '弹性工作', '节日礼物']"
1,2604732,性能测试(J10136),成都,2018-05-03 09:24:36,10.8,7551,客如云,客如云科技（北京）股份有限公司,500-2000人,高新区,本科,C轮,"移动互联网,O2O",104.068546,30.540117,全职,3-5年,"['股票期权', '专项奖金', '岗位晋升', '扁平管理']"
2,3410938,性能测试,杭州,2018-05-02 10:01:44,19.0,2380,浙江执御信息技术有限公司,浙江执御信息技术有限公司,2000人以上,拱墅区,不限,B轮,"移动互联网,数据服务",120.11362,30.33344,全职,3-5年,"['五险一金', '带薪年假', '节日礼物', '年度旅游']"
3,3298505,性能测试,上海,2018-05-02 11:07:44,12.0,128998,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,徐汇区,大专,不需要融资,"移动互联网,金融",121.456306,31.18335,全职,3-5年,[]
4,690896,性能测试,大连,2018-05-02 17:17:23,5.6,57118,Liferay 大连,大连来锐软件有限公司,50-150人,高新园区,本科,不需要融资,其他,121.5310701,38.86338023,全职,应届毕业生,"['技能培训', '年底双薪', '带薪年假', '岗位晋升']"
5,2257932,性能测试,北京,2018-05-02 10:33:43,11.2,88433,北京中铁信,北京中铁信科技有限公司,150-500人,海淀区,本科,不需要融资,其他,116.29834953,39.9470402,全职,1-3年,"['带薪年假', '绩效奖金', '年度旅游', '定期体检']"
6,4013043,性能测试,深圳,2018-05-02 12:01:18,13.6,50241,Symbio-Freeborders,信必优(深圳)信息技术有限公司,2000人以上,福田区,大专,未融资,"移动互联网,电子商务",0.0,0.0,全职,3-5年,"['节日礼物', '年底双薪', '带薪年假', '年度旅游']"
7,3924822,性能测试工程师,北京,2018-05-02 16:19:36,25.2,36162,作业盒子,北京作业盒子科技有限公司,500-2000人,朝阳区,本科,C轮,"移动互联网,教育",116.480284,39.996202,全职,3-5年,"['技能培训', '年底双薪', '节日礼物', '年度旅游']"
8,2840633,性能测试,上海,2018-05-02 13:06:51,14.0,1738,有鱼金融科技,上海彩亿信息技术有限公司,500-2000人,徐汇区,本科,B轮,"移动互联网,金融",121.40437233,31.16440487,全职,1-3年,"['股票期权', '年底双薪', '五险一金', '带薪年假']"
9,3520461,性能测试研发工程师,北京,2018-05-02 12:36:03,17.0,26557,锤子科技,锤子科技（北京）股份有限公司,500-2000人,朝阳区,本科,B轮,"移动互联网,硬件",116.486846,40.000873,全职,3-5年,"['绩效奖金', '年底双薪', '五险一金', '带薪年假']"
10,1947346,性能测试,上海,2018-05-02 11:49:01,8.2,24995,泛微,上海泛微网络科技股份有限公司,2000人以上,闵行区,本科,上市公司,"移动互联网,企业服务",121.525236,31.080356,全职,1-3年,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']"
11,3864527,性能测试工程师,北京,2018-05-03 09:27:55,26.0,136978,玖富集团,玖富金科控股集团有限责任公司,2000人以上,朝阳区,本科,C轮,金融,116.480792,39.99613,全职,3-5年,"['绩效奖金', '免费班车', '五险一金', '部门旅游']"
12,3576614,性能测试工程师,昆明,2018-05-02 15:13:06,5.6,157269,EMQ,杭州小莉科技有限公司,15-50人,,本科,天使轮,"数据服务,硬件",102.67845,25.062193,全职,不限,"['股票期权', '午餐补助', '交通补助', '年底双薪']"
13,1842976,性能测试,北京,2018-05-02 10:50:25,10.8,104947,国美控股集团,国美控股集团有限公司,2000人以上,朝阳区,大专,不需要融资,"移动互联网,电子商务",116.46679296,39.95926006,全职,3-5年,[]
