,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,3837617,手机测试,武汉,2018-04-30 13:46:53,5.6,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,东湖新技术开发区,本科,不需要融资,移动互联网,114.541465,30.48937,全职,不限
1,478557,手机测试,北京,2018-04-26 10:32:40,10.8,51856,学部,北京易易信息技术有限公司,15-50人,海淀区,本科,天使轮,"移动互联网,教育",116.33742155,39.97853847,全职,1-3年
2,3660730,手机测试,成都,2018-04-27 16:21:37,5.2,65761,成都博为峰,成都博为峰软件技术有限公司,500-2000人,锦江区,大专,天使轮,"企业服务,教育",104.089636,30.647758,全职,应届毕业生
3,4501517,手机测试工程师,西安,2018-04-28 18:52:24,9.8,194932,优克联,深圳优克云联科技有限公司,500-2000人,高新技术产业开发区,本科,A轮,移动互联网,108.879751,34.213613,全职,3-5年
4,2601334,手机测试工程师,北京,2018-04-28 14:47:12,17.8,67118,达闼科技,达闼科技（北京）有限公司,150-500人,朝阳区,本科,B轮,移动互联网,116.48016019,39.99690009,全职,3-5年
5,3594682,手机测试工程师,北京,2018-04-27 14:34:52,14.0,37446,APUS Group,北京麒麟合盛科技有限公司,150-500人,朝阳区,本科,B轮,移动互联网,116.311326,40.027722,全职,1-3年
6,4439101,手机测试,上海,2018-04-23 16:17:58,5.4,36631,企顺,上海企顺信息系统有限公司,150-500人,浦东新区,大专,未融资,企业服务,0.0,0.0,全职,1年以下
7,4385245,手机测试专员,常州,2018-04-08 20:38:25,2.4,360595,天喻通讯,新北区三井天喻通讯器材经营部,少于15人,新北区,不限,未融资,移动互联网,119.973534,31.815779,兼职,不限
8,1360000,手机测试工程师,杭州,2018-04-08 10:03:02,8.4,109556,锦宣,杭州锦宣网络科技有限公司,15-50人,西湖区,不限,不需要融资,"移动互联网,O2O",0.0,0.0,全职,不限
9,3710300,中高级手机测试工程师,南京,2018-04-23 14:59:43,7.6,202494,蔚来科技,北京蔚来无限科技有限公司,150-500人,玄武区,本科,未融资,"移动互联网,金融",0.0,0.0,全职,1-3年
10,1760776,手机测试,无锡,2018-04-25 10:03:07,5.8,94579,上海星共科技有限公司无锡分公司,上海星共科技有限公司无锡分公司,15-50人,南长区,不限,A轮,移动互联网,120.31270032,31.54869885,全职,1-3年
11,4199046,手机测试工程师,西安,2018-04-28 14:24:40,7.6,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,高新技术产业开发区,本科,不需要融资,移动互联网,0.0,0.0,全职,1-3年
12,4191485,手机测试工程师,深圳,2018-04-27 12:02:19,14.0,194932,优克联,深圳优克云联科技有限公司,500-2000人,南山区,本科,A轮,移动互联网,0.0,0.0,全职,3-5年
