,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4490134,游戏测试,北京,2018-05-02 09:51:45,6.2,13241,互爱(北京)科技有限公司,互爱(北京)科技有限公司,500-2000人,海淀区,本科,C轮,"移动互联网,游戏",116.337417,39.981921,全职,1-3年,"['五险一金', '岗位晋升', '帅哥多', '弹性工作']"
1,3650444,游戏测试,深圳,2018-05-02 14:22:29,12.0,16589,禅游,深圳市禅游科技股份有限公司,150-500人,南山区,本科,B轮,游戏,113.993578,22.99368,全职,3-5年,"['绩效奖金', '年底双薪', '五险一金', '带薪年假']"
2,4339529,游戏测试,深圳,2018-05-03 09:52:10,6.2,44314,冰川网络,深圳冰川网络股份有限公司,500-2000人,南山区,本科,上市公司,游戏,113.93654,22.543735,全职,1-3年,"['节日礼物', '免费班车', '带薪年假', '绩效奖金']"
3,2668809,游戏测试员,成都,2018-05-02 14:29:08,3.8,144307,雨墨游戏,成都雨墨科技有限公司,150-500人,高新区,大专,不需要融资,"游戏,移动互联网",104.07539022,30.53873057,全职,1-3年,"['带薪年假', '定期体检', '年底双薪', '丰厚项目奖金']"
4,3782348,游戏测试,上海,2018-05-02 09:42:59,2.4,164978,拾梦文化,拾梦文化发展（上海）有限公司,50-150人,闵行区,大专,未融资,"游戏,移动互联网",121.3928,31.170044,实习,应届毕业生,"['股票期权', '绩效奖金', '节日礼物', '弹性工作']"
5,3944509,游戏测试,苏州,2018-05-02 09:13:20,4.8,243708,木子木网络,昆山木子木网络科技有限公司,15-50人,昆山市,大专,未融资,游戏,121.148172,31.288881,全职,1-3年,[]
6,1565626,游戏测试,厦门,2018-05-02 10:34:39,4.8,47683,厦门梦加,厦门梦加网络科技股份有限公司,150-500人,思明区,不限,D轮及以上,"移动互联网,游戏",118.09478657,24.46319282,全职,1-3年,"['技能培训', '年底双薪', '绩效奖金', '年度旅游']"
7,3100924,游戏测试,珠海,2018-05-02 09:56:14,4.8,122930,文景科技,珠海文景科技有限公司,50-150人,香洲区,大专,不需要融资,游戏,113.51913,22.253112,全职,1-3年,[]
8,4133749,游戏测试,深圳,2018-05-02 09:46:13,8.4,206935,奇乐互娱,深圳市奇乐互娱科技有限公司,15-50人,宝安区,大专,不需要融资,"移动互联网,游戏",113.864422,22.574423,全职,1-3年,"['绩效奖金', '带薪年假', '交通补助', '年度旅游']"
9,2497910,游戏测试,上海,2018-05-02 11:34:08,7.0,139740,天戏互娱,上海天戏互娱科技股份有限公司,50-150人,徐汇区,大专,上市公司,游戏,120.993998,30.99343,全职,1-3年,[]
10,3907308,游戏测试师,广州,2018-05-02 11:18:18,7.0,265858,赐麓网络,上海赐麓网络科技有限公司,150-500人,天河区,大专,B轮,"移动互联网,游戏",113.379844,23.121693,全职,1-3年,[]
11,4506568,游戏测试工程师,深圳,2018-05-02 17:04:48,6.8,267723,汇玩科技,汇玩（深圳）科技有限公司,少于15人,南山区,不限,不需要融资,游戏,113.951606,22.537717,全职,不限,"['绩效奖金', '专项奖金', '年终分红', '年度旅游']"
12,4195881,游戏测试,西安,2018-04-25 15:09:29,8.4,144191,BOO!,西安逆袭网络科技有限公司,50-150人,雁塔区,本科,A轮,"移动互联网,社交网络",108.880936,34.22484,全职,1-3年,"['扁平化管理', '弹性工作制', '健身福利', '设备补助']"
13,3654675,游戏测试,厦门,2018-05-03 09:34:36,4.2,26742,趣游（厦门）科技有限公司,趣游（厦门）科技有限公司,150-500人,湖里区,不限,不需要融资,移动互联网,118.156696,24.524271,全职,1-3年,"['绩效奖金', '年底双薪', '五险一金', '带薪年假']"
14,2801424,游戏测试,北京,2018-05-03 09:57:56,8.4,4286,竞技世界,竞技世界（北京）网络技术有限公司,500-2000人,海淀区,本科,不需要融资,"移动互联网,游戏",116.312028,40.03723,全职,1-3年,"['节日礼物', '技能培训', '年底双薪', '年度旅游']"
15,3574198,游戏测试员（2018应届生）,成都,2018-05-02 18:00:23,3.8,144307,雨墨游戏,成都雨墨科技有限公司,150-500人,武侯区,大专,不需要融资,"游戏,移动互联网",104.07539022,30.53873057,实习,应届毕业生,"['带薪年假', '定期体检', '年底双薪', '丰厚项目奖金']"
16,3944518,游戏测试,上海,2018-05-02 09:13:20,4.8,243708,木子木网络,昆山木子木网络科技有限公司,15-50人,嘉定区,大专,未融资,游戏,121.227007,31.273282,全职,1-3年,[]
17,3782001,游戏测试工程师,广州,2018-05-03 09:47:34,8.4,658,三七互娱,三七互娱（上海）科技有限公司,2000人以上,天河区,大专,上市公司,游戏,112.993461,22.994261,全职,1-3年,"['绩效奖金', '五险一金', '通讯津贴', '交通补助']"
18,3146346,游戏测试工程师,上海,2018-05-02 17:58:56,5.6,206418,逗屋网络,上海逗屋网络科技有限公司,50-150人,静安区,大专,B轮,游戏,121.438431,31.282085,全职,不限,[]
19,1770800,游戏测试,上海,2018-04-28 18:34:00,5.6,76949,鲸歌网络,上海鲸歌网络科技有限公司,15-50人,浦东新区,大专,A轮,"移动互联网,游戏",121.62834992,31.20841944,全职,1-3年,"['技能培训', '节日礼物', '年底双薪', '股票期权']"
20,3908421,游戏测试工程师,北京,2018-05-02 10:42:30,13.2,4286,竞技世界,竞技世界（北京）网络技术有限公司,500-2000人,海淀区,本科,不需要融资,"移动互联网,游戏",116.312136,40.037381,全职,3-5年,"['节日礼物', '技能培训', '年底双薪', '年度旅游']"
21,4338196,游戏测试工程师,福州,2018-05-03 09:59:03,10.0,173334,龙腾简合,福州龙腾简合网络技术有限公司,150-500人,台江区,大专,未融资,"游戏,移动互联网",119.278028,26.059516,全职,3-5年,[]
22,4302925,游戏测试,厦门,2018-05-03 09:07:50,5.8,9547,4399,四三九九网络股份有限公司,2000人以上,思明区,大专,不需要融资,"移动互联网,游戏",118.178308,24.488943,全职,1-3年,"['带薪年假', '免费班车', '节日礼物', '技能培训']"
23,4305254,游戏测试工程师,武汉,2018-05-02 15:40:08,4.8,218085,乐其互动,乐其互动（武汉）网络科技有限公司,50-150人,洪山区,大专,未融资,游戏,114.410314,30.482621,全职,1-3年,"['年底双薪', '年终分红', '带薪年假', '节日福利']"
24,3370602,游戏测试,深圳,2018-05-02 16:01:18,4.8,117896,天天嗨玩,深圳天天嗨玩网络科技有限公司,15-50人,南山区,本科,A轮,游戏,113.947858,22.534571,全职,不限,"['年终分红', '扁平管理', '岗位晋升', '空间大']"
25,4506439,APP手游/游戏测试员,南京,2018-05-02 14:46:43,3.8,233304,燃网络,南京网燃网络科技有限公司,少于15人,秦淮区,大专,未融资,"移动互联网,游戏",118.788719,32.049374,全职,不限,[]
26,3495892,游戏测试,成都,2018-05-02 13:58:03,5.2,65761,成都博为峰,成都博为峰软件技术有限公司,500-2000人,锦江区,大专,天使轮,"企业服务,教育",104.089636,30.647758,实习,不限,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']"
27,2433791,游戏测试,广州,2018-05-03 09:52:57,7.0,120175,祺曜互娱,海南祺曜互动娱乐有限公司,150-500人,天河区,大专,不需要融资,游戏,113.384912,23.118062,全职,1-3年,"['交通补助', '带薪年假', '定期体检', '绩效奖金']"
28,4287659,游戏测试工程师,广州,2018-05-02 17:23:29,10.8,56211,雷音科技,广州雷音网络科技有限公司,50-150人,天河区,大专,不需要融资,"移动互联网,游戏",113.323844,23.096432,全职,3-5年,"['技能培训', '绩效奖金', '年度旅游', '岗位晋升']"
29,3979442,游戏测试工程师,北京,2018-05-02 15:48:49,11.2,95651,玩吧,北京默契破冰科技有限公司,50-150人,东城区,本科,B轮,"移动互联网,社交网络",116.433486,39.940836,全职,1-3年,"['去他的考勤', '高手云集', '股票期权', '年底N薪']"
30,2651045,游戏测试（喜爱打游戏）,成都,2018-05-02 13:58:03,4.8,65761,成都博为峰,成都博为峰软件技术有限公司,500-2000人,锦江区,大专,天使轮,"企业服务,教育",104.089636,30.647758,全职,不限,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']"
31,4462744,游戏测试工程师,深圳,2018-05-02 13:36:50,7.6,42627,中青宝,深圳中青宝互动网络股份有限公司,500-2000人,南山区,本科,上市公司,"移动互联网,游戏",113.953448,22.52841,全职,1-3年,"['节日礼物', '年底双薪', '带薪年假', '提供工作三餐']"
32,2428659,游戏测试,北京,2018-05-02 18:39:17,6.6,31314,天锋网络,北京天锋网络科技有限公司,150-500人,朝阳区,大专,C轮,游戏,116.467425,40.018337,全职,3-5年,"['专项奖金', '带薪年假', '岗位晋升', '年度旅游']"
33,4115374,游戏测试工程师,杭州,2018-05-01 20:25:38,9.8,23599,触手,杭州开迅科技有限公司,150-500人,西湖区,本科,D轮及以上,移动互联网,120.059508,30.286594,全职,1-3年,"['年底双薪', '五险一金', '通讯津贴', '带薪年假']"
34,4433000,游戏测试工程师,广州,2018-05-03 09:41:19,7.0,55237,漫灵软件,广州市漫灵软件有限公司,150-500人,天河区,大专,未融资,移动互联网,113.375657,23.132664,全职,1-3年,"['节日礼物', '年底双薪', '带薪年假', '绩效奖金']"
35,3153848,游戏测试工程师,上海,2018-05-02 09:55:38,7.2,14983,游族网络,上海游族信息技术有限公司,500-2000人,徐汇区,不限,上市公司,"移动互联网,游戏",39.897445,116.331398,全职,1-3年,"['五险一金', '岗位晋升', '弹性工作', '扁平管理']"
