,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,3949675,硬件测试工程师,北京,2018-04-28 14:53:20,19.0,126957,北京算云联科,北京算云联科科技有限公司,150-500人,海淀区,本科,不需要融资,"移动互联网,硬件",116.308144,40.045415,全职,5-10年
1,3936657,硬件测试工程师,北京,2018-04-28 14:53:32,14.0,14093,瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,朝阳区,本科,不需要融资,"移动互联网 ,企业服务",116.459244,39.949945,全职,3-5年
2,4307358,硬件测试工程师,广州,2018-04-26 18:25:58,9.6,267972,飞库智能,广东飞库科技有限公司,15-50人,海珠区,本科,不需要融资,硬件,113.384064,23.102148,全职,3-5年
3,4239380,硬件测试工程师,北京,2018-04-25 08:26:51,12.0,166854,嘉楠捷思,北京嘉楠捷思信息技术有限公司,150-500人,海淀区,本科,A轮,硬件,116.287983,40.046896,全职,3-5年
4,4295076,硬件测试工程师,武汉,2018-04-28 14:22:08,7.0,68524,编程猫,深圳点猫科技有限公司,150-500人,洪山区,本科,B轮,"移动互联网,教育",114.406728,30.477141,全职,1-3年
5,4155854,硬件测试工程师,广州,2018-04-28 09:45:17,10.8,38655,白云电气,白云电气集团有限公司,2000人以上,白云区,本科,上市公司,企业服务,113.3353,23.29826,全职,1年以下
6,4237188,硬件测试工程师,广州,2018-04-28 10:01:21,6.6,11527,蓝鸽集团,蓝鸽集团有限公司,500-2000人,白云区,本科,不需要融资,"移动互联网,企业服务",0.0,0.0,全职,1年以下
7,3671353,硬件测试主管,广州,2018-04-28 09:39:41,14.0,37398,亚美,广州亚美信息科技有限公司,150-500人,天河区,大专,不需要融资,移动互联网,113.347222,23.143984,全职,3-5年
8,4255122,硬件测试,北京,2018-04-16 14:43:51,14.0,139755,京东商城,北京京东世纪贸易有限公司,2000人以上,大兴区,本科,上市公司,电子商务,116.50601,39.793232,全职,5-10年
9,4206833,硬件测试工程师,深圳,2018-04-26 14:43:09,17.8,308188,华润物业科技,华润物业科技服务有限公司,2000人以上,南山区,本科,不需要融资,生活服务,113.952907,22.541476,全职,3-5年
10,4110765,硬件测试工程师,杭州,2018-04-25 10:09:48,5.8,122248,杭州昊方控制,杭州昊方控制设备有限公司,50-150人,余杭区,本科,不需要融资,其他,119.992137,30.276456,全职,1-3年
11,4493140,硬件测试工程师,苏州,2018-04-27 13:22:00,11.2,30997,科达,苏州科达科技股份有限公司,2000人以上,高新区,本科,上市公司,文化娱乐,120.524496,31.294245,全职,3-5年
12,4295657,硬件测试工程师,深圳,2018-04-28 10:48:58,14.0,62152,速腾聚创,深圳市速腾聚创科技有限公司,50-150人,南山区,本科,B轮,"移动互联网,硬件",113.965727,22.581303,全职,5-10年
13,4351661,硬件测试,杭州,2018-04-26 14:35:38,6.8,344535,交大微联杭州分公司,北京交大微联科技有限公司杭州分公司,50-150人,西湖区,大专,不需要融资,其他,120.125573,30.291512,全职,1-3年
14,4473002,硬件测试工程师,北京,2018-04-27 10:37:14,17.0,172285,猎户星空,北京猎户星空科技有限公司,150-500人,朝阳区,不限,A轮,"移动互联网,硬件",116.536746,39.931514,全职,3-5年
15,4084897,硬件测试工程师,深圳,2018-04-26 15:15:54,10.8,38079,GYENNO,深圳市臻络科技有限公司,50-150人,南山区,本科,B轮,医疗健康,113.943777,22.528995,全职,3-5年
16,4107489,硬件测试工程师,北京,2018-04-28 17:05:58,11.2,288177,哈弗租赁,哈弗汽车租赁有限公司,50-150人,丰台区,本科,不需要融资,移动互联网,116.284766,39.825028,全职,不限
17,4187028,硬件测试工程师,深圳,2018-04-28 14:45:16,14.0,217263,Darma,深圳市大耳马科技有限公司,50-150人,南山区,本科,A轮,"移动互联网,医疗健康",113.958713,22.543467,全职,1-3年
18,4365833,硬件测试工程师,东莞,2018-04-27 11:21:08,9.0,5794,一加手机,深圳市万普拉斯科技有限公司,500-2000人,东莞市市辖区,本科,未融资,电子商务,113.751765,23.020536,全职,1年以下
19,986593,硬件测试工程师,北京,2018-04-26 18:04:12,12.0,47865,飞驰镁物,飞驰镁物（北京）信息服务有限公司,150-500人,朝阳区,大专,B轮,"移动互联网,数据服务",116.510752,39.894157,全职,3-5年
20,4004636,硬件测试工程师,杭州,2018-03-30 15:45:09,14.0,171980,Rokid,芋头科技（杭州）有限公司,150-500人,西湖区,本科,B轮,"电子商务,移动互联网",0.0,0.0,全职,3-5年
21,4129994,硬件测试工程师,北京,2018-04-25 15:17:34,12.0,44749,ofo,东峡大通（北京）管理咨询有限公司,2000人以上,海淀区,本科,D轮及以上,移动互联网,116.310072,39.984547,全职,1-3年
22,4189927,硬件测试,北京,2018-03-31 03:00:32,6.2,331626,广信鸿业,北京广信鸿业科技有限公司,少于15人,朝阳区,不限,未融资,其他 信息安全,116.503439,39.887369,全职,不限
23,3764246,硬件测试工程师J11222,北京,2018-04-16 15:42:40,21.0,2696,G7,北京汇通天下物联科技有限公司,500-2000人,海淀区,本科,C轮,"移动互联网,数据服务",116.26564,40.03987007,全职,5-10年
24,4414019,硬件测试工程师,北京,2018-04-25 10:39:52,19.0,83580,地平线机器人,北京地平线信息技术有限公司,150-500人,海淀区,本科,A轮,"移动互联网,硬件",116.31561,39.983413,全职,3-5年
25,4501390,硬件测试工程师,西安,2018-04-28 18:14:31,12.0,194932,优克联,深圳优克云联科技有限公司,500-2000人,高新技术产业开发区,本科,A轮,移动互联网,108.879751,34.213613,全职,不限
26,4426287,硬件测试工程师,上海,2018-04-26 11:39:18,14.0,26785,芒果tv,湖南快乐阳光互动娱乐传媒有限公司,500-2000人,浦东新区,本科,B轮,文化娱乐,0.0,0.0,全职,1-3年
27,3696968,硬件测试主管,深圳,2018-04-27 10:22:20,14.0,141645,Immotor易马达科技,深圳易马达科技有限公司,150-500人,宝安区,本科,A轮,"硬件,移动互联网",113.927322,22.576979,全职,5-10年
28,3312865,硬件测试,福州,2018-04-04 09:49:44,5.6,208517,新大陆自动识别,福建新大陆自动识别技术有限公司,2000人以上,马尾区,本科,不需要融资,"硬件,电子商务",0.0,0.0,全职,1-3年
29,4500798,硬件测试工程师,深圳,2018-04-28 16:53:46,7.2,200548,万兆通,深圳市万兆通光电技术有限公司,50-150人,宝安区,大专,不需要融资,"电子商务,O2O",113.922627,22.575776,全职,1-3年
30,4498409,高级硬件测试工程师,深圳,2018-04-28 11:44:29,9.6,166781,智神信息技术,桂林智神信息技术有限公司,500-2000人,福田区,本科,未融资,"移动互联网,企业服务",114.027021,22.52845,全职,3-5年
31,2786124,硬件测试工程师,深圳,2018-04-28 11:24:57,14.6,29929,斐讯通信,上海斐讯数据通信技术有限公司,2000人以上,南山区,本科,未融资,"数据服务,硬件",113.934837,22.560367,全职,3-5年
32,4369944,硬件测试工程师,深圳,2018-04-03 20:21:20,9.6,17617,Makeblock,深圳市创客工场科技有限公司,150-500人,南山区,本科,B轮,硬件,114.005457,22.595734,全职,3-5年
33,4188142,硬件测试工程师,苏州,2018-04-03 12:04:34,8.4,30997,科达,苏州科达科技股份有限公司,2000人以上,高新区,大专,上市公司,文化娱乐,120.524421,31.294314,全职,1-3年
34,4383670,硬件测试工程师,深圳,2018-04-27 12:22:45,12.0,239050,有个机器人,上海有个机器人有限公司,15-50人,龙华新区,大专,A轮,"硬件,其他",114.018752,22.662548,全职,1-3年
35,3221596,OPL-硬件测试工程师,上海,2018-04-25 11:53:05,14.0,165,UCloud,上海优刻得信息科技有限公司,500-2000人,杨浦区,大专,D轮及以上,"数据服务,企业服务",121.99341,30.994275,全职,1-3年
