,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4262714,自动化测试,上海,2018-05-03 09:04:07,12.0,128998,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,浦东新区,本科,不需要融资,"移动互联网,金融",121.666906,31.238157,全职,3-5年,[]
1,4366973,自动化测试,杭州,2018-05-02 09:23:18,10.8,88499,火石创造,杭州费尔斯通科技有限公司,50-150人,滨江区,本科,A轮,医疗健康,119.993591,29.993662,全职,3-5年,"['股票期权', '弹性工作', '扁平管理', 'HSMAP']"
2,1796145,自动化测试工程师,西安,2018-05-03 09:47:04,7.6,118198,西安卓派信息科技有限公司,西安卓派信息科技有限公司,50-150人,高新技术产业开发区,不限,B轮,"O2O,其他",108.88432979,34.21327988,全职,1-3年,"['年底双薪', '交通补助', '带薪年假', '节日礼物']"
3,4510180,自动化测试(益海-乙方),深圳,2018-05-03 09:35:55,11.2,50241,Symbio-Freeborders,信必优(深圳)信息技术有限公司,2000人以上,南山区,本科,未融资,"移动互联网,电子商务",113.944718,22.54615,全职,3-5年,"['节日礼物', '年底双薪', '带薪年假', '年度旅游']"
4,4110111,自动化测试工程师,北京,2018-05-03 09:16:54,13.6,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,本科,B轮,其他,116.357353,39.939211,全职,3-5年,"['股票期权', '高成长', '云服务', '高并发']"
5,4510102,自动化测试工程师,西安,2018-05-03 09:25:40,9.8,74495,JETTECH,上海捷科智诚科技有限公司,500-2000人,灞桥区,本科,上市公司,"金融,其他",109.075398,34.398308,全职,1-3年,"['技能培训', '节日礼物', '带薪年假', '领导好']"
6,4059533,自动化测试工程师,上海,2018-05-02 20:19:10,14.4,50417,爱客CRM,上海微问家信息技术有限公司,50-150人,浦东新区,本科,A轮,移动互联网,121.602929,31.199045,全职,3-5年,"['节日礼物', '绩效奖金', '岗位晋升', '年度旅游']"
7,3614909,自动化测试工程师,北京,2018-05-02 14:53:59,19.0,179,她理财,北京新工场投资顾问有限公司,50-150人,朝阳区,本科,A轮,"移动互联网,金融",116.47297,39.90786007,全职,3-5年,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']"
8,4322606,自动化测试工程师,北京,2018-05-02 18:12:22,21.0,82991,数美,北京数美时代科技有限公司,150-500人,朝阳区,本科,B轮,"企业服务,数据服务",116.465953,40.021083,全职,1-3年,"['年底双薪', '大数据', '带薪年假', '通讯津贴']"
9,3334714,自动化测试,武汉,2018-05-02 09:04:24,13.2,33790,深瞐科技,北京深瞐科技有限公司,50-150人,东湖新技术开发区,本科,B轮,信息安全、数据服务,114.40964,30.456048,全职,1-3年,"['技能培训', '岗位晋升', '管理规范', '定期体检']"
10,4506069,自动化测试工程师,北京,2018-05-02 14:09:29,19.0,23391,百度文学,北京幻想纵横网络技术有限公司,150-500人,朝阳区,本科,未融资,移动互联网,116.41592,40.035624,全职,3-5年,"['绩效奖金', '年底双薪', '五险一金', '带薪年假']"
11,4507669,自动化测试工程师,北京,2018-05-03 08:46:02,17.0,5812,用友,用友网络科技股份有限公司,2000人以上,海淀区,本科,上市公司,"企业服务,数据服务",39.897445,116.331398,全职,3-5年,"['技能培训', '节日礼物', '免费班车', '岗位晋升']"
12,4097331,自动化测试,成都,2018-05-02 09:01:00,12.0,2548,易我科技,成都易我科技开发有限责任公司,50-150人,高新区,大专,不需要融资,"移动互联网,游戏",103.99341,30.994233,全职,3-5年,"['节日礼物', '技能培训', '绩效奖金', '岗位晋升']"
13,3349984,自动化测试工程师,上海,2018-05-03 09:55:22,21.0,228,Strikingly,"Striking.ly, Inc.",150-500人,杨浦区,不限,A轮,移动互联网,121.99341,30.994275,全职,不限,"['国际化团队', '开放的氛围', '扁平管理', '乐于分享']"
14,3935733,自动化测试,大连,2018-05-02 10:17:08,10.6,142626,CLPS,上海华钦信息科技股份有限公司,500-2000人,高新园区,本科,未融资,"数据服务,金融",121.51373,38.847258,全职,3-5年,"['专项奖金', '带薪年假', '定期体检', '交通补助']"
15,4510073,自动化测试（益海嘉里-乙方）,深圳,2018-05-03 09:22:23,11.6,50241,Symbio-Freeborders,信必优(深圳)信息技术有限公司,2000人以上,南山区,大专,未融资,"移动互联网,电子商务",113.944718,22.54615,全职,3-5年,"['节日礼物', '年底双薪', '带薪年假', '年度旅游']"
16,4510084,自动化测试工程师,北京,2018-05-03 09:23:35,11.2,74495,JETTECH,上海捷科智诚科技有限公司,500-2000人,朝阳区,本科,上市公司,"金融,其他",116.481276,39.997067,全职,1-3年,"['技能培训', '节日礼物', '带薪年假', '领导好']"
17,4268472,自动化测试工程师,上海,2018-05-03 09:04:07,12.0,128998,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,浦东新区,大专,不需要融资,"移动互联网,金融",121.629578,31.210622,全职,3-5年,[]
18,4202723,自动化测试,北京,2018-05-02 18:52:42,14.0,5706,洋葱数学,光合新知（北京）科技有限公司,150-500人,朝阳区,不限,C轮,"移动互联网,教育",116.500139,39.991999,全职,1-3年,"['产品领先行业', '关注学习本源', '明星跨界团队', '股票期权']"
19,2189483,自动化测试,北京,2018-05-02 09:28:02,10.8,141955,嘀嗒出行,拼途（北京）信息技术有限公司,150-500人,朝阳区,本科,D轮及以上,"移动互联网,O2O",116.473119,40.019247,全职,1-3年,"['绩效奖金', '年底双薪', '交通补助', '管理规范']"
20,1306791,自动化测试,北京,2018-05-03 09:11:50,19.0,8877,AA租车,先锋智道（北京）科技有限公司,2000人以上,朝阳区,本科,不需要融资,"移动互联网,O2O",116.49344601,39.97552406,全职,3-5年,"['全额五险一金', '补充医疗', '弹性工时', '工作居住证']"
21,3924820,自动化测试工程师,北京,2018-05-02 16:19:36,25.2,36162,作业盒子,北京作业盒子科技有限公司,500-2000人,朝阳区,本科,C轮,"移动互联网,教育",116.480284,39.996202,全职,3-5年,"['技能培训', '年底双薪', '节日礼物', '年度旅游']"
22,3492734,自动化测试工程师,杭州,2018-05-02 15:06:38,14.0,71931,车国,浙江车国网络科技有限公司,2000人以上,江干区,本科,不需要融资,"移动互联网,O2O",120.20925,30.241525,全职,3-5年,"['节日礼物', '股票期权', '带薪年假', '年度旅游']"
23,3435603,自动化测试开发,武汉,2018-05-02 14:43:46,7.0,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,东湖新技术开发区,本科,不需要融资,移动互联网,114.408157,30.477419,全职,1-3年,"['带薪年假', '计算机软件', '管理规范', '定期体检']"
24,3804810,自动化测试工程师,北京,2018-05-03 09:27:55,24.0,136978,玖富集团,玖富金科控股集团有限责任公司,2000人以上,朝阳区,本科,C轮,金融,116.480792,39.99613,全职,5-10年,"['绩效奖金', '免费班车', '五险一金', '部门旅游']"
25,4084262,自动化测试及开发,上海,2018-05-02 10:14:01,14.4,142626,CLPS,上海华钦信息科技股份有限公司,500-2000人,浦东新区,本科,未融资,"数据服务,金融",121.59819964,31.21080018,全职,1-3年,"['专项奖金', '带薪年假', '定期体检', '交通补助']"
26,3143599,自动化测试工程师,北京,2018-05-02 09:28:34,12.0,62029,一起考教师,北京清众教育科技有限公司,50-150人,海淀区,本科,A轮,"移动互联网,教育",116.296582,39.967659,全职,1-3年,"['股票期权', '岗位晋升', '扁平管理', '五险一金']"
27,3666907,自动化测试工程师,杭州,2018-05-02 11:24:11,19.0,83866,华院数据,华院数据技术（上海）有限公司,500-2000人,上城区,本科,C轮,"企业服务,数据服务",39.897445,116.331398,全职,3-5年,"['带薪年假', '绩效奖金', '定期体检', '通讯津贴']"
28,4281539,自动化测试工程师,广州,2018-05-03 09:17:32,12.0,30162,公瑾,北京公瑾科技有限公司广州分公司,500-2000人,天河区,本科,B轮,移动互联网,0.0,0.0,全职,1-3年,"['年底双薪', '带薪年假', '年度旅游', '五险一金']"
29,4049174,自动化测试工程师,北京,2018-05-02 15:36:09,19.0,40459,商汤科技,北京市商汤科技开发有限公司,500-2000人,海淀区,本科,B轮,移动互联网,116.330506,39.994072,全职,3-5年,"['五险一金', '弹性工作', '丰盛三餐', '发展空间大']"
30,4510078,自动化测试工程师,杭州,2018-05-03 09:22:37,9.8,74495,JETTECH,上海捷科智诚科技有限公司,500-2000人,江干区,本科,上市公司,"金融,其他",120.161936,30.258617,全职,1-3年,"['技能培训', '节日礼物', '带薪年假', '领导好']"
31,3855437,自动化测试开发工程师,上海,2018-05-03 09:48:44,11.2,128998,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,徐汇区,本科,不需要融资,"移动互联网,金融",121.462683,31.1871,全职,3-5年,[]
32,3858115,自动化测试工程师,北京,2018-05-02 17:51:17,19.0,83585,XSKY,星辰天合（北京）数据科技有限公司,150-500人,海淀区,本科,B轮,企业服务,116.28944,39.96065,全职,3-5年,"['股票期权', '带薪年假', '绩效奖金', '定期体检']"
33,3928841,自动化测试工程师,杭州,2018-05-03 09:15:29,14.0,211574,TELETRAAN,浙江天垂科技有限公司,15-50人,滨江区,本科,天使轮,"数据服务,企业服务",120.211816,30.20856,全职,3-5年,"['全新MAC', '24+显示器', '硅谷工作机会', '股票期权']"
34,3829889,自动化测试工程师,南京,2018-05-02 10:58:22,11.2,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,雨花台区,本科,不需要融资,移动互联网,118.767867,31.986663,全职,3-5年,"['带薪年假', '计算机软件', '管理规范', '定期体检']"
35,3548859,自动化测试,上海,2018-04-27 18:40:25,12.6,14093,瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,闵行区,本科,不需要融资,"移动互联网 ,企业服务",121.390411,31.164691,全职,1-3年,"['高薪', '节日礼物', '弹性工作', '带薪年假']"
36,2731119,自动化测试,深圳,2018-05-03 09:54:52,9.6,24574,赛意,广州赛意信息科技股份有限公司,2000人以上,龙华新区,大专,上市公司,"硬件,企业服务",114.06449,22.674036,全职,3-5年,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']"
