,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,3965144,黑盒测试工程师,杭州,2018-04-28 16:14:48,8.8,289100,藤木网络,杭州藤木网络科技有限公司,50-150人,滨江区,大专,天使轮,游戏,120.167866,30.193404,全职,1-3年
1,1623326,黑盒测试,北京,2018-04-26 19:44:23,10.8,83585,XSKY,星辰天合（北京）数据科技有限公司,150-500人,海淀区,本科,B轮,企业服务,116.28943989,39.96064966,全职,3-5年
2,2487381,黑盒测试,上海,2018-04-27 14:53:22,8.8,24995,泛微,上海泛微网络科技股份有限公司,2000人以上,闵行区,本科,上市公司,"移动互联网,企业服务",121.52396,31.07979,全职,1-3年
3,2506694,黑盒测试工程师,上海,2018-04-26 17:55:16,14.4,41194,泰为,泰为信息科技（上海）有限公司,150-500人,长宁区,本科,上市公司,移动互联网,121.39854,31.20641,全职,3-5年
4,1478032,黑盒测试,北京,2018-04-09 09:25:23,12.0,84656,皇包车,北京纯粹旅行有限公司,150-500人,朝阳区,大专,C轮,"移动互联网,旅游",116.473397,39.900794,全职,3-5年
5,4325633,黑盒测试,北京,2018-04-30 10:01:25,7.0,41030,小肚皮App,北京九识佳科技有限公司,15-50人,朝阳区,本科,A轮,移动互联网,116.473011,39.912032,全职,1-3年
6,4327567,黑盒测试,上海,2018-04-27 09:57:08,12.0,77924,课课,上海课课网络科技有限公司,15-50人,杨浦区,本科,天使轮,"移动互联网,教育",121.527881,31.301241,全职,3-5年
7,3105963,黑盒测试,上海,2018-04-02 09:16:15,5.8,202691,苏测,苏州市软件评测中心有限公司,500-2000人,闸北区,本科,不需要融资,"移动互联网,企业服务",121.469882,31.250952,全职,不限
8,4384841,游戏测试-黑盒测试,北京,2018-04-18 17:15:54,4.8,159593,玄霄,北京玄霄科技有限公司,50-150人,朝阳区,大专,不需要融资,"游戏,文化娱乐",116.509734,39.911114,全职,1-3年
9,4463784,黑盒测试,深圳,2018-04-27 09:38:03,8.2,307481,店匠,深圳店匠科技有限公司,15-50人,宝安区,大专,A轮,"电子商务,企业服务",113.916573,22.582022,全职,1-3年
10,4295777,黑盒测试工程师,广州,2018-04-04 14:33:29,10.8,188507,虎牙信息,广州虎牙信息科技有限公司,500-2000人,番禺区,本科,B轮,"社交网络,游戏",39.897445,116.331398,全职,1-3年
11,4115867,黑盒测试,深圳,2018-04-12 09:11:28,6.8,70667,比茨信息,大连比茨信息技术有限公司,150-500人,南山区,大专,未融资,招聘,113.948041,22.53842,全职,不限
12,4432675,黑盒测试工程师-赴商汤科,北京,2018-04-27 11:56:39,7.6,189022,微创,上海微创软件股份有限公司北京分公司,2000人以上,海淀区,本科,上市公司,"移动互联网,电子商务",116.329299,39.995312,全职,不限
13,4335946,游戏黑盒测试,北京,2018-04-27 16:15:25,7.0,68595,梦启科技,梦启（北京）科技有限公司,50-150人,昌平区,本科,A轮,"移动互联网,游戏",116.313041,40.069028,全职,1-3年
14,4003046,黑盒测试工程师（医疗器械行业方向）,上海,2018-04-19 12:57:46,6.8,95585,上海滔瑞信息技术有限公司,上海滔瑞信息技术有限公司,15-50人,浦东新区,本科,未融资,其他,121.616096,31.103132,全职,不限
15,2260277,黑盒测试,上海,2018-04-27 14:53:27,6.8,24995,泛微,上海泛微网络科技股份有限公司,2000人以上,闵行区,本科,上市公司,"移动互联网,企业服务",121.52396,31.07979,全职,1-3年
16,4020301,资深黑盒测试工程师,杭州,2018-04-28 16:14:47,17.0,289100,藤木网络,杭州藤木网络科技有限公司,50-150人,滨江区,本科,天使轮,游戏,0.0,0.0,全职,3-5年
17,2567621,高级黑盒测试工程师,上海,2018-04-26 17:31:58,14.0,41194,泰为,泰为信息科技（上海）有限公司,150-500人,长宁区,本科,上市公司,移动互联网,121.39854,31.20641,全职,3-5年
18,4333987,（2019届实习生）黑盒测试工程师,广州,2018-04-04 14:33:28,4.8,188507,虎牙信息,广州虎牙信息科技有限公司,500-2000人,番禺区,本科,B轮,"社交网络,游戏",39.897445,116.331398,实习,应届毕业生
19,2232991,黑盒测试工程师,上海,2018-04-27 14:53:26,6.8,24995,泛微,上海泛微网络科技股份有限公司,2000人以上,闵行区,本科,上市公司,"移动互联网,企业服务",121.52396,31.07979,全职,1-3年
20,2452821,黑盒测试工程师,上海,2018-04-27 14:53:22,7.6,24995,泛微,上海泛微网络科技股份有限公司,2000人以上,闵行区,本科,上市公司,"移动互联网,企业服务",121.52396,31.07979,全职,1-3年
21,2702881,web端黑盒测试工程师,上海,2018-04-27 14:53:24,8.8,24995,泛微,上海泛微网络科技股份有限公司,2000人以上,闵行区,本科,上市公司,"移动互联网,企业服务",121.52396,31.07979,全职,1-3年
22,1987327,黑盒测试（OA）,上海,2018-04-27 17:14:21,7.0,24995,泛微,上海泛微网络科技股份有限公司,2000人以上,闵行区,本科,上市公司,"移动互联网,企业服务",121.525236,31.080356,全职,1-3年
