,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,3965107,深度学习系统工程师,北京,2018-04-18 14:28:58,35.0,1561,Face++,北京旷视科技有限公司,500-2000人,海淀区,本科,C轮,"移动互联网,硬件",116.325436,39.984273,全职,3-5年
1,3830137,机器学习,北京,2018-04-19 09:55:55,21.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,本科,B轮,其他,116.357353,39.939211,全职,1-3年
2,4306344,深度学习工程师,北京,2018-04-18 10:45:34,36.0,21732,FitTime睿健时代,北京飞拓互联科技有限公司,150-500人,朝阳区,大专,C轮,"移动互联网,社交网络",116.488426,40.000182,全职,1-3年
3,2000435,深度学习系统工程师,广州,2018-04-19 10:18:04,32.8,129877,航仕科技,上海航仕企业管理有限公司,150-500人,天河区,本科,C轮,"移动互联网,O2O",113.36663,23.122032,全职,3-5年
4,4263498,深度学习工程师,广州,2018-04-18 15:11:25,14.0,35507,AI考拉,广州财略金融信息科技有限公司,50-150人,海珠区,不限,A轮,金融,113.32285001,23.09344,全职,不限
5,2180502,深度学习研究员,广州,2018-04-18 10:02:53,35.0,34420,图普科技（深度学习图像识别云）,广州图普网络科技有限公司,50-150人,天河区,博士,A轮,"移动互联网,数据服务",113.37311,23.1231,全职,不限
6,3865141,深度学习工程师,武汉,2018-04-19 10:32:37,11.2,265439,魅瞳科技,武汉魅瞳科技有限公司,15-50人,东湖新技术开发区,本科,天使轮,数据服务,114.406404,30.479206,全职,3-5年
7,3927589,机器学习,北京,2018-04-18 14:48:09,28.0,82991,数美,北京数美时代科技有限公司,150-500人,朝阳区,本科,B轮,"企业服务,数据服务",116.465953,40.021083,全职,1-3年
8,4133409,深度学习,北京,2018-04-18 14:57:04,38.0,329,网易,网易（杭州）有限公司,2000人以上,海淀区,硕士,上市公司,"电子商务,移动互联网",115.99339,39.99426,全职,3-5年
9,4416469,机器学习,北京,2018-04-19 10:09:49,25.2,129720,DataHunter,北京数猎天下科技有限公司,50-150人,海淀区,本科,A轮,"数据服务,企业服务",116.334661,39.987243,全职,3-5年
10,4378690,高级算法工程师-深度学习,北京,2018-04-17 10:54:35,26.0,236405,曜辉科技,北京曜辉信息科技有限公司,15-50人,朝阳区,本科,未融资,"移动互联网,企业服务",116.465953,40.021083,全职,1-3年
11,4279124,深度学习工程师,杭州,2018-04-18 15:14:03,24.0,344288,杭州智团,杭州智团信息技术有限公司,15-50人,滨江区,本科,不需要融资,医疗健康,,,全职,3-5年
12,4109738,机器学习,北京,2018-04-18 15:35:50,21.0,57353,中移在线服务有限公司,中移在线服务有限公司,2000人以上,西城区,硕士,不需要融资,移动互联网,0.0,0.0,全职,3-5年
13,3483729,深度学习工程师,上海,2018-04-08 00:10:14,28.0,142027,海深科技,海深科技（宁波）有限公司,15-50人,浦东新区,硕士,A轮,"移动互联网,电子商务",,,全职,1-3年
14,3331309,视觉跟踪/深度学习工程师,杭州,2018-04-19 10:28:58,19.0,207780,Obsbot寻影,睿魔智能科技（东莞）有限公司,15-50人,余杭区,本科,天使轮,"硬件,其他",119.997112,30.275874,全职,1-3年
