,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,2354262,arm-linux软件开发,杭州,2018-04-27 09:50:07,11.2,35980,车纷享,杭州车厘子智能科技有限公司,150-500人,滨江区,大专,不需要融资,移动互联网,120.211816,30.20856,全职,3-5年
1,4363555,arm开发,厦门,2018-04-03 00:19:03,7.0,139430,厦门华蔚,厦门华蔚物联网科技有限公司,少于15人,湖里区,本科,天使轮,硬件,118.126144,24.549509,全职,1-3年
2,4193534,软件开发工程师（ARM方向）,北京,2018-04-25 10:39:53,28.0,83580,地平线机器人,北京地平线信息技术有限公司,150-500人,海淀区,本科,A轮,"移动互联网,硬件",116.31561,39.983413,全职,1-3年
3,3547859,ARM软件开发工程师,北京,2018-04-16 12:14:09,14.0,141931,otureo,泓图睿语（北京）科技有限公司,15-50人,海淀区,本科,天使轮,其他,115.99339,39.99426,全职,1-3年
4,1430984,ARM软件开发工程师,青岛,2018-04-11 16:41:08,10.2,112945,青岛鼎信,青岛鼎信通讯股份有限公司,2000人以上,市南区,本科,上市公司,其他,120.41589179,36.07643627,全职,不限
5,4091175,ARM嵌入式软件工程师,深圳,2018-04-25 18:07:15,14.0,122732,视维科技,深圳市视维科技股份有限公司,150-500人,南山区,本科,不需要融资,"硬件,其他",113.926028,22.549224,全职,3-5年
6,4388007,ARM高级工程师,上海,2018-04-19 10:29:18,12.0,360396,powerruler,上海庞络智能科技有限公司,15-50人,浦东新区,本科,不需要融资,"移动互联网,硬件",121.605852,31.261639,全职,1-3年
7,3581027,ARM硬件工程师,深圳,2018-04-28 10:58:08,10.8,25396,环球漫游,北京环球友邻科技有限公司,500-2000人,南山区,本科,不需要融资,移动互联网,113.941525,22.554,全职,3-5年
8,3822464,嵌入式软件工程师（ARM）,北京,2018-04-24 17:14:00,7.6,135416,中科紫鑫,北京中科紫鑫科技有限责任公司,50-150人,大兴区,本科,未融资,其他,116.542601,39.800007,全职,应届毕业生
9,4079484,MCU&amp; ARM高级软件工程师,佛山,2018-04-24 15:00:10,14.0,271057,视觉支点,广东视觉支点医疗影像技术有限公司,15-50人,禅城区,本科,不需要融资,"医疗健康,硬件",113.056146,23.029178,全职,1年以下
10,4022449,嵌入式开发工程师-ARM,北京,2018-04-12 09:47:34,26.0,64710,精彩乐现,北京精彩乐现科技有限公司,15-50人,海淀区,本科,B轮,"移动互联网,硬件",116.325578,40.052726,全职,3-5年
11,3297166,STM32/ARM物联网产品研发,广州,2018-04-24 00:48:42,7.0,59652,准捷车联网,广州准捷电子科技有限公司,15-50人,天河区,大专,不需要融资,移动互联网、硬件,113.401124,23.167805,全职,不限
12,3955124,ARM/FPGA/DSP/嵌入式软件工程师,长沙,2018-04-23 14:21:21,28.0,302425,湖南双菱,湖南双菱电子科技有限公司,50-150人,岳麓区,大专,未融资,"移动互联网,硬件",112.887361,28.209311,全职,3-5年
13,4000961,算法优化工程师（ARM方向）,杭州,2018-04-26 18:31:13,16.8,305247,虹软,虹亚（南京）多媒体科技有限公司,500-2000人,西湖区,硕士,不需要融资,"移动互联网,信息安全",120.11626,30.290358,全职,3-5年
14,1838010,嵌入式开发工程师（单片机/ARM方向）,武汉,2018-04-23 10:04:11,7.2,129945,有为信息,深圳市有为信息技术发展有限公司,150-500人,东湖新技术开发区,本科,不需要融资,"移动互联网,硬件",114.41687552,30.49291782,全职,1-3年
15,3994603,嵌入式软件工程师（Arm linux方向）,上海,2018-04-28 10:48:58,28.0,104800,方芝维,上海方芝维信息科技有限公司,50-150人,闵行区,大专,不需要融资,生活服务,121.514423,31.077523,全职,5-10年
