,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,1584957,FPGA开发,西安,2018-04-27 15:35:27,12.0,36760,Nova科技,西安诺瓦电子科技有限公司,500-2000人,高新技术产业开发区,本科,未融资,"硬件,数据服务",108.88411854,34.22448332,全职,3-5年
1,3594245,FPGA开发工程师,深圳,2018-04-26 16:22:56,14.0,158669,行云智能,行云智能（深圳）技术有限公司,15-50人,南山区,本科,天使轮,"移动互联网,硬件",113.922225,22.534201,全职,不限
2,3774609,FPGA开发工程师,杭州,2018-04-27 10:38:32,10.8,139581,非白,杭州非白三维科技有限公司,15-50人,余杭区,本科,A轮,移动互联网,120.003645,30.291943,全职,不限
3,4470820,FPGA工程师,深圳,2018-04-27 20:20:37,14.0,122682,普渡科技,深圳市普渡科技有限公司,15-50人,南山区,本科,A轮,"硬件,其他",113.948019,22.543784,全职,1-3年
4,4490613,FPGA开发工程师岗,北京,2018-04-26 20:30:43,28.0,534,京东金融,京东金融,2000人以上,大兴区,本科,上市公司,金融,116.567849,39.791051,全职,3-5年
5,4091585,FPGA开发工程师,广州,2018-04-10 14:18:45,12.0,50784,蓝盾信息安全技术股份有限公司,蓝盾信息安全技术股份有限公司,500-2000人,天河区,大专,上市公司,信息安全,113.37394,23.11910001,全职,1-3年
6,3959861,FPGA开发（实习/兼职）,北京,2018-04-26 18:08:18,3.8,148933,深思考人工智能机器人,深思考人工智能机器人科技（北京）有限公司,50-150人,海淀区,硕士,天使轮,"移动互联网,企业服务",116.30906,40.040429,实习,应届毕业生
7,4435519,FPGA开发工程师,广州,2018-04-30 14:35:56,9.6,307716,艾特智能,广州艾特智能科技有限公司,少于15人,天河区,本科,未融资,"移动互联网,数据服务",113.385214,23.126063,全职,不限
8,3846119,FPGA工程师,上海,2018-04-28 10:40:29,19.0,30809,上海广拓信息技术有限公司,上海广拓信息技术有限公司,150-500人,闸北区,本科,未融资,硬件,121.458958,31.241934,全职,1-3年
9,4246773,FPGA工程师,苏州,2018-04-25 11:55:33,14.0,30997,科达,苏州科达科技股份有限公司,2000人以上,高新区,硕士,上市公司,文化娱乐,120.524496,31.294245,全职,1-3年
10,3172488,FPGA工程师,成都,2018-04-23 13:36:53,9.6,206526,鑫图光电,福州鑫图光电有限公司,50-150人,高新区,本科,不需要融资,"硬件,其他",104.05568,30.586697,全职,3-5年
11,2793515,FPGA工程师,深圳,2018-04-28 10:48:59,15.2,62152,速腾聚创,深圳市速腾聚创科技有限公司,50-150人,南山区,本科,B轮,"移动互联网,硬件",113.965861,22.580768,全职,3-5年
12,4486294,FPGA工程师,北京,2018-04-28 10:41:10,22.8,236936,原始空气,加丁（天津）科技有限公司,50-150人,朝阳区,本科,天使轮,"硬件,移动互联网",116.423428,39.980945,全职,1-3年
13,3377011,FPGA研发工程师,北京,2018-04-27 09:58:51,17.8,150030,北京瑞友,北京瑞友科技股份有限公司,2000人以上,朝阳区,本科,上市公司,"移动互联网,电子商务",116.484736,40.009825,全职,1-3年
14,4416312,FPGA 开发工程师,珠海,2018-04-13 11:20:09,10.8,203647,耐能 Kneron,深圳市耐能人工智能有限公司,15-50人,香洲区,本科,A轮,"企业服务,数据服务",113.492789,22.224443,全职,3-5年
15,4383286,FPGA开发工程师,北京,2018-04-08 16:33:01,28.0,36760,Nova科技,西安诺瓦电子科技有限公司,500-2000人,海淀区,本科,未融资,"硬件,数据服务",116.273961,39.956479,全职,3-5年
16,4054387,FPGA工程师,北京,2018-04-28 14:25:10,28.0,263738,朝夕网络,上海朝夕网络技术有限公司,15-50人,海淀区,本科,天使轮,"移动互联网,金融",116.235138,40.069931,全职,1-3年
17,3338448,FPGA开发工程师,深圳,2018-04-28 08:38:44,10.8,208359,合智同科技,深圳市合智同科技有限公司,少于15人,南山区,本科,未融资,"硬件,其他",113.919361,22.533083,全职,1-3年
18,4204084,FPGA开发工程师,北京,2018-04-18 14:42:12,21.0,40459,商汤科技,北京市商汤科技开发有限公司,500-2000人,海淀区,不限,B轮,移动互联网,116.330506,39.994072,全职,不限
19,1800952,FPGA开发,深圳,2018-04-28 10:04:28,14.0,128547,超节点,超节点创新科技（深圳）有限公司,15-50人,南山区,本科,不需要融资,"硬件,其他",113.970622,22.583731,全职,3-5年
20,3962258,FPGA开发工程师,北京,2018-04-27 09:58:51,17.8,150030,北京瑞友,北京瑞友科技股份有限公司,2000人以上,朝阳区,本科,上市公司,"移动互联网,电子商务",116.484736,40.009825,全职,不限
21,4500409,FPGA工程师,珠海,2018-04-28 16:32:51,12.0,33865,网博科技,珠海网博信息科技股份有限公司,150-500人,香洲区,本科,上市公司,"移动互联网,招聘",113.56843,22.24851,全职,1-3年
22,4404579,FPGA开发／验证工程师,杭州,2018-04-11 15:49:00,10.8,346588,Raymax,浙江锐文科技有限公司,15-50人,余杭区,本科,天使轮,"信息安全,硬件",120.017969,30.280435,全职,1-3年
23,4141876,FPGA开发工程师,武汉,2018-04-25 09:22:15,10.8,129029,烽火科技&middot;虹旭信息技术有限公司,武汉虹旭信息技术有限责任公司,150-500人,江夏区,本科,不需要融资,"信息安全,数据服务",114.416715,30.428291,全职,1-3年
24,3543079,高级FPGA研发工程师,北京,2018-04-28 09:19:28,24.0,181493,开拓天际,北京开拓天际科技有限公司,50-150人,海淀区,本科,A轮,"数据服务,信息安全",116.353207,39.977309,全职,3-5年
25,4052764,FPGA开发工程师,深圳,2018-04-27 11:40:38,21.0,225377,zilliz,上海赜睿信息科技有限公司,15-50人,南山区,硕士,A轮,"企业服务,数据服务",113.943551,22.548179,全职,3-5年
26,2861432,FPGA工程师,武汉,2018-04-26 11:11:52,12.0,172991,睿视智觉,睿视智觉（厦门）科技有限公司,15-50人,东湖新技术开发区,本科,A轮,数据服务,114.394661,30.517349,全职,1-3年
27,4496641,FPGA工程师,深圳,2018-04-27 21:43:44,19.6,34237,超固态科技,深圳成谷科技有限公司,150-500人,龙岗区,本科,A轮,硬件,114.216859,22.719675,全职,3-5年
28,3998510,FPGA开发工程师,北京,2018-04-24 17:14:09,10.8,135416,中科紫鑫,北京中科紫鑫科技有限责任公司,50-150人,大兴区,本科,未融资,其他,116.542601,39.800007,全职,1-3年
29,1568442,FPGA工程师,长沙,2018-04-27 10:13:39,8.2,53172,华诺星空,湖南华诺星空电子技术有限公司,150-500人,岳麓区,本科,A轮,"硬件,其他",112.89870478,28.21466355,全职,3-5年
