,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,3625333,PCB工程师,北京,2018-04-26 15:57:59,21.0,26557,锤子科技,锤子科技（北京）股份有限公司,500-2000人,朝阳区,本科,B轮,"移动互联网,硬件",116.486846,40.000873,全职,3-5年
1,4095778,PCB设计工程师,西安,2018-04-27 18:24:38,8.4,167047,Huatek,西安华讯科技有限责任公司,150-500人,高新技术产业开发区,大专,未融资,"电子商务,移动互联网",108.868327,34.194173,全职,3-5年
2,3957699,PCB工程师,广州,2018-04-27 13:46:50,7.6,155062,广州多浦乐电子,广州多浦乐电子科技有限公司,150-500人,萝岗区,本科,未融资,"硬件,其他",,,全职,3-5年
3,3940764,PCB工程师,杭州,2018-04-25 15:11:15,7.6,301360,浙江恒荣,浙江恒荣物产股份有限公司,50-150人,西湖区,大专,不需要融资,金融、教育,120.064967,30.306157,全职,1-3年
4,4427188,PCB工程师,杭州,2018-04-16 15:22:39,12.6,125001,杭途科技,杭州杭途科技有限公司,50-150人,西湖区,本科,不需要融资,"数据服务,硬件",119.993591,29.993662,全职,3-5年
5,3874318,项目经理/PCB工程师,深圳,2018-04-27 09:23:29,14.0,10941,和而泰,深圳和而泰智能控制股份有限公司,2000人以上,南山区,本科,上市公司,移动互联网,113.954321,22.537693,全职,5-10年
6,4066273,PCB系统工程师／主管／经理,上海,2018-04-25 17:45:04,21.0,3430,青声网络,上海青声网络科技有限公司,150-500人,黄浦区,本科,C轮,"移动互联网,文化娱乐",121.474254,31.213007,全职,3-5年
7,4461821,互连PCB设计工程师,深圳,2018-04-22 19:40:22,11.2,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,龙岗区,本科,不需要融资,移动互联网,0.0,0.0,全职,3-5年
8,3987822,PCB工程师,南京,2018-04-04 10:39:40,10.8,83782,华捷艾米,南京华捷艾米软件科技有限公司,50-150人,雨花台区,本科,A轮,"移动互联网,游戏",118.768154,31.975173,全职,应届毕业生
9,4403739,PCB硬件工程师,上海,2018-04-23 17:17:12,18.2,224510,果小美,成都果小美网络科技有限公司,500-2000人,徐汇区,本科,C轮,"O2O,生活服务",121.442349,31.185137,全职,3-5年
10,3822810,PCB layout工程师,深圳,2018-04-24 09:12:39,16.8,144396,恒大珠三角公司,恒大地产集团珠三角房地产开发有限公司,2000人以上,南山区,本科,上市公司,"移动互联网,生活服务",113.943073,22.518898,全职,3-5年
11,3822146,PCB/PCBA维修技术员,深圳,2018-04-27 11:59:06,4.8,205309,赛维,深圳赛维智慧系统技术有限公司,15-50人,宝安区,不限,天使轮,"电子商务,硬件",113.861542,22.642768,全职,1-3年
12,4440679,PCB layout工程师,惠州,2018-04-18 11:43:48,8.8,221266,德赛西威,惠州市德赛西威汽车电子股份有限公司,2000人以上,惠城区,大专,上市公司,"硬件,其他",114.346003,23.044989,全职,3-5年
13,4245018,PCB抄板/抄板工程师,深圳,2018-04-02 15:14:50,4.8,340251,联兆电子,深圳市联兆电子有限公司,150-500人,龙岗区,不限,未融资,硬件,114.058319,22.631632,全职,1年以下
14,3282231,PCB Layout Engineer/PCB布线,上海,2018-04-02 14:06:50,8.4,84280,创享桥,创享桥信息科技（上海）有限公司,15-50人,黄浦区,不限,未融资,"移动互联网,硬件",121.4823,31.20077,全职,1-3年
15,4066151,PCB系统工程师／主管／经理,杭州,2018-04-25 17:45:03,21.0,3430,青声网络,上海青声网络科技有限公司,150-500人,余杭区,本科,C轮,"移动互联网,文化娱乐",120.021972,30.275323,全职,3-5年
16,4403448,PCB资深硬件工程师,上海,2018-04-23 17:17:12,21.0,224510,果小美,成都果小美网络科技有限公司,500-2000人,徐汇区,本科,C轮,"O2O,生活服务",121.442349,31.185137,全职,5-10年
17,3861800,PCB设计工程师（石家庄，社招）,石家庄,2018-04-26 09:16:44,3.8,289593,同步电子,石家庄同步电子科技有限公司,50-150人,新华区,大专,不需要融资,硬件,114.454749,38.072488,全职,不限
18,1360094,PCB工艺 (pcb layout工程师）,成都,2018-04-17 16:43:57,7.0,97878,成都万创,成都万创科技有限责任公司,50-150人,武侯区,大专,上市公司,"移动互联网,硬件",103.98592536,30.63141743,全职,1-3年
19,4217104,PCB Layout工程师,合肥,2018-04-25 16:04:46,10.4,328164,中科智链,安徽中科智链信息科技有限公司,15-50人,庐阳区,本科,未融资,"移动互联网,硬件",117.273938,31.9239,全职,1-3年
20,4444007,PCB外贸业务员,深圳,2018-04-18 16:47:06,5.8,364416,富腾茂电子,深圳市富腾茂电子有限公司,15-50人,南山区,大专,A轮,硬件,113.920038,22.494927,全职,1-3年
21,3928757,PCB Layout工程师,上海,2018-04-23 15:03:43,8.8,47235,GVIM,上海逻迅信息科技有限公司,15-50人,徐汇区,大专,未融资,"硬件,数据服务",121.40483,31.164588,全职,1-3年
22,4031294,PCB layout工程师,广州,2018-04-26 22:32:37,8.8,67853,广州维德,广州维德科技有限公司,150-500人,天河区,本科,不需要融资,其他,113.33793,23.15779,全职,1-3年
23,4422878,PCB Layout工程师,上海,2018-04-25 09:14:20,10.8,365584,北京翼扬,北京翼扬创新科技有限公司,150-500人,浦东新区,大专,未融资,其他,121.793003,30.983674,全职,3-5年
24,4168239,PCB制图工程师,北京,2018-04-17 09:40:51,7.0,329424,凌天控股,北京凌天世纪控股股份有限公司,150-500人,通州区,大专,上市公司,"移动互联网,其他",116.559653,39.73432,全职,1-3年
25,3595868,pcb layout 工程师,深圳,2018-04-27 17:00:33,14.0,194989,罗丹贝尔,深圳市罗丹贝尔科技有限公司面试邀请,50-150人,龙岗区,本科,不需要融资,"硬件,数据服务",114.059422,22.603619,全职,3-5年
26,3935709,PCB layout工程师,上海,2018-04-27 09:24:57,8.4,138300,乐野网络科技,上海乐野网络科技有限公司,50-150人,浦东新区,大专,未融资,移动互联网,121.607365,31.243542,全职,1-3年
27,4405515,PCB硬件工程师,北京,2018-04-26 13:15:12,19.0,3494,触景无限,触景无限科技（北京）有限公司,50-150人,海淀区,本科,B轮,"移动互联网,硬件",116.312921,40.038413,全职,3-5年
28,4189381,PCB Layout工程师,广州,2018-04-17 18:17:36,12.0,157637,robustel,广州鲁邦通物联网科技有限公司,150-500人,天河区,本科,未融资,"硬件,数据服务",113.407289,23.150758,全职,3-5年
29,4367828,PCB Layout工程师,深圳,2018-04-23 11:14:33,7.0,343755,瀚强科技,深圳市瀚强科技股份有限公司,50-150人,龙华新区,大专,未融资,其他,114.064309,22.674311,全职,3-5年
30,4285114,PCB Layout工程师,上海,2018-04-09 13:32:25,6.8,197333,云宣科技,上海云宣科技有限公司,15-50人,闸北区,大专,未融资,"硬件,移动互联网",121.444473,31.266042,全职,1-3年
31,3041831,PCB绘图员,深圳,2018-04-27 09:02:23,4.2,195972,龙芯世纪,深圳市龙芯世纪科技有限公司,50-150人,福田区,大专,未融资,硬件,114.083376,22.538705,全职,不限
32,4438658,PCB设计工程师（天津）,天津,2018-04-26 09:16:44,4.2,289593,同步电子,石家庄同步电子科技有限公司,50-150人,河东区,大专,不需要融资,硬件,117.231257,39.136237,全职,应届毕业生
33,4487131,PCB设计工程师,成都,2018-04-26 14:23:07,10.4,113359,新拓尼克,新新拓尼克（北京）科技研发中心有限公司,150-500人,高新区,本科,不需要融资,"硬件,企业服务",104.063426,30.541304,全职,3-5年
34,4350485,PCB layout工程师,杭州,2018-03-30 11:01:22,8.2,353258,杭州速利科技有限公司,杭州速利科技有限公司,15-50人,江干区,本科,A轮,硬件,120.233204,30.266666,全职,1-3年
35,4363216,PCB设计工程师,深圳,2018-04-02 20:43:39,14.0,257278,Flexiv Robotics,上海非夕机器人科技有限公司,15-50人,南山区,本科,A轮,"硬件,移动互联网",113.953272,22.541164,全职,3-5年
36,4274809,硬件工程师（PCB Layout方向）,厦门,2018-04-17 10:14:07,6.8,255017,汇通集团,福建汇通集团有限公司,50-150人,思明区,大专,不需要融资,"移动互联网,金融",118.12078,24.480903,全职,1-3年
37,3693468,硬件PCB设计,成都,2018-04-28 10:45:12,10.8,235197,皓图智能,成都皓图智能科技有限责任公司,15-50人,成华区,本科,A轮,"其他,移动互联网",104.10839,30.67449,全职,3-5年
38,4347913,嵌入式硬件工程师（PCB）,珠海,2018-04-27 10:38:56,8.8,63443,4DAGE,珠海市四维时代网络科技有限公司,50-150人,香洲区,本科,B轮,移动互联网,113.598285,22.363155,全职,不限
39,4224973,PCB Layout工程师,北京,2018-04-08 09:44:04,17.0,141018,人加HUMANPLUS,人加智能机器人技术（北京）有限公司,15-50人,海淀区,本科,A轮,硬件,116.314242,39.984625,全职,3-5年
40,4464230,PCB layout 工程师,北京,2018-04-23 12:33:25,19.0,267286,韵动体感,北京韵动体感科技有限公司,少于15人,朝阳区,本科,天使轮,硬件,116.443108,39.92147,全职,5-10年
41,2952837,嵌入式硬件 PCB电路设计与开发,北京,2018-04-19 15:47:56,10.8,170833,安路普,安路普（北京）汽车技术有限公司,50-150人,昌平区,本科,不需要融资,"其他,数据服务",116.256651,40.144493,全职,1-3年
42,3861775,PCB设计工程师（石家庄，校招）,石家庄,2018-04-26 09:16:44,3.8,289593,同步电子,石家庄同步电子科技有限公司,50-150人,新华区,大专,不需要融资,硬件,114.454749,38.072488,全职,应届毕业生
