,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,1701284,单片机,广州,2018-04-19 13:58:47,10.8,123018,正峰电子,广州正峰电子科技有限公司,50-150人,番禺区,本科,不需要融资,"O2O,移动互联网",113.362857,22.942582,全职,3-5年
1,2131025,单片机/嵌入式软件工程师,深圳,2018-04-28 10:28:41,14.0,102547,智芯,深圳智芯数据服务有限公司,50-150人,宝安区,大专,A轮,其他,113.86292,22.56705,全职,3-5年
2,1655171,单片机,广州,2018-04-27 17:03:42,10.8,122456,广州中卡,广州中卡智能科技有限公司,50-150人,天河区,不限,不需要融资,"硬件,教育",,,全职,1-3年
3,4334338,单片机实习生,厦门,2018-04-28 10:45:47,4.8,1561,Face++,北京旷视科技有限公司,500-2000人,集美区,本科,C轮,"移动互联网,硬件",118.065268,24.590834,实习,应届毕业生
4,3583914,单片机,杭州,2018-04-19 08:36:39,7.0,230732,茂葳科技,杭州茂葳科技有限公司,15-50人,下沙,不限,不需要融资,"硬件,信息安全",120.324724,30.292353,全职,不限
5,2147821,单片机,广州,2018-04-24 15:46:39,5.6,77904,乐博乐博机器人学校,北京乐博乐博教育科技有限公司广州天河华晟校区,150-500人,天河区,大专,A轮,教育,113.34249965,23.13652989,全职,不限
6,1368795,单片机,深圳,2018-04-27 09:58:36,7.0,91213,佳思德,佳思德（深圳）科技有限公司,50-150人,南山区,本科,未融资,"硬件,其他",113.930537,22.549093,全职,3-5年
7,4499698,单片机工程师,无锡,2018-04-29 15:22:42,4.8,233304,燃网络,南京网燃网络科技有限公司,少于15人,崇安区,大专,未融资,"移动互联网,游戏",120.307543,31.571228,全职,1年以下
8,4365238,硬件单片机,苏州,2018-04-03 11:21:37,6.8,357652,苏州天亿达,苏州天亿达科技有限公司,50-150人,工业园区,本科,未融资,"移动互联网,其他",120.832399,31.365366,全职,1-3年
9,3437795,单片机/stm32/硬件工程师/嵌入式硬件工程师,北京,2018-04-08 16:17:19,6.8,47084,思普瑞特,北京思普瑞特科技发展有限公司,150-500人,海淀区,本科,不需要融资,"移动互联网,电子商务",0.0,0.0,全职,1-3年
10,3879341,单片机工程师,东莞,2018-04-21 09:23:58,6.8,289695,泰克威科技,东莞泰克威科技有限公司,500-2000人,东莞市市辖区,大专,未融资,硬件,114.074259,22.991975,全职,1-3年
11,4392483,单片机软/硬件开发实习生,广州,2018-04-09 21:08:47,4.2,209972,广州星鸟科技,广州星鸟电子科技有限公司,150-500人,番禺区,大专,不需要融资,移动互联网、数据服务,113.311267,23.017786,全职,不限
12,4489459,单片机工程师,北京,2018-04-26 17:13:49,11.2,145544,游尔机器人,游尔（北京）机器人科技股份有限公司,15-50人,海淀区,本科,天使轮,移动互联网,115.99339,39.99426,全职,3-5年
13,4382092,单片机工程师,长沙,2018-04-08 14:58:45,6.2,350318,品信生物工程,湖南品信生物工程有限公司,15-50人,岳麓区,本科,未融资,医疗健康,,,全职,1-3年
14,4484049,单片机工程师,广州,2018-04-26 09:19:07,10.8,35242,畅联信息科技有限公司,广州畅联科技有限公司,15-50人,萝岗区,大专,不需要融资,"移动互联网,O2O",113.436093,23.162472,全职,1-3年
15,3143053,单片机工程师,珠海,2018-04-17 14:00:17,8.8,206070,珠海市鼎芯科技有限公司,珠海市鼎芯科技有限公司,50-150人,香洲区,本科,不需要融资,"移动互联网,其他",113.564803,22.370609,全职,1-3年
16,4401002,单片机工程师,宁波,2018-04-11 10:18:43,5.2,360504,久婵物联,宁波久婵物联科技有限公司,50-150人,鄞州区,大专,未融资,数据服务 硬件,121.5463,29.809227,全职,不限
17,2607873,单片机工程师,深圳,2018-04-25 15:17:10,7.6,139485,深圳市超维实业有限公司,深圳市超维实业有限公司,50-150人,宝安区,大专,未融资,电子商务,113.90229,22.736154,全职,1-3年
18,4320654,单片机开发工程师,北京,2018-04-28 14:53:20,14.0,126957,北京算云联科,北京算云联科科技有限公司,150-500人,海淀区,本科,不需要融资,"移动互联网,硬件",116.308144,40.045415,全职,3-5年
19,3199379,单片机工程师,上海,2018-04-26 19:51:33,8.4,198442,millwonder,上海米哇达信息科技有限公司,15-50人,长宁区,大专,未融资,"硬件,移动互联网",121.396335,31.205251,全职,1-3年
20,3271066,单片机工程师,北京,2018-04-07 18:22:22,7.0,219091,拿云,北京拿云致象科技发展有限公司,少于15人,大兴区,大专,未融资,"教育,硬件",116.343965,39.791365,实习,不限
21,2897317,单片机研发工程师,成都,2018-04-25 09:23:49,10.8,179046,亿盟恒信,成都亿盟恒信科技有限公司,50-150人,高新区,本科,A轮,"移动互联网,电子商务",104.071589,30.539977,全职,1-3年
22,3540464,单片机软件工程师,深圳,2018-04-28 10:35:41,10.8,130870,Xeno Dynamics,深圳市奇诺动力科技有限公司,15-50人,南山区,本科,A轮,"硬件,医疗健康",113.962475,22.580679,全职,不限
23,4494178,单片机工程师,重庆,2018-04-27 15:15:53,7.6,181241,一厘米科技,重庆一厘米科技有限公司,15-50人,渝中区,本科,未融资,"硬件,移动互联网",106.532784,29.576661,全职,1-3年
24,4350507,单片机工程师,杭州,2018-03-30 11:02:59,7.2,353258,杭州速利科技有限公司,杭州速利科技有限公司,15-50人,江干区,本科,A轮,硬件,120.233204,30.266666,全职,1-3年
25,4489815,单片机工程师,深圳,2018-04-26 17:44:46,7.0,313554,慧佳智能,深圳市慧佳鼎云科技有限公司,少于15人,龙岗区,大专,未融资,"移动互联网,硬件",114.126118,22.643729,全职,1-3年
26,1970338,电子工程师/单片机工程师,北京,2018-04-16 14:17:05,10.8,84981,思瑞德,北京思瑞德医疗器械有限公司,50-150人,大兴区,本科,B轮,"医疗健康,硬件",116.542265,39.800981,全职,1-3年
27,4120977,单片机软件工程师,深圳,2018-04-27 20:20:36,19.0,122682,普渡科技,深圳市普渡科技有限公司,15-50人,南山区,本科,A轮,"硬件,其他",113.948019,22.543784,全职,1-3年
28,4457003,单片机工程师,北京,2018-04-20 15:06:19,7.6,216631,北京超维世纪科技有限公司,北京超维世纪科技有限公司,15-50人,大兴区,大专,A轮,"移动互联网,信息安全",116.525602,39.782283,全职,1-3年
29,4353951,单片机研发,淄博,2018-03-30 17:42:12,5.6,340323,黑星科技,山东黑星电子科技有限公司,少于15人,张店区,不限,未融资,移动互联网、企业服务,118.048915,36.806421,全职,应届毕业生
30,4441004,单片机开发工程师,惠州,2018-04-18 12:13:57,9.8,221266,德赛西威,惠州市德赛西威汽车电子股份有限公司,2000人以上,惠城区,本科,上市公司,"硬件,其他",114.346003,23.044989,全职,1-3年
31,4272402,单片机软件工程师,广州,2018-04-18 11:13:15,12.0,299705,芬尼,广东芬尼科技股份有限公司,500-2000人,南沙区,本科,不需要融资,"硬件,其他",113.391044,22.797858,全职,3-5年
32,4499519,单片机开发工程师,上海,2018-04-28 14:58:41,7.6,188193,国内智能IT研发领域领军者!,上海怡胜信息科技有限公司,150-500人,浦东新区,大专,不需要融资,"移动互联网,电子商务",121.622052,31.128116,全职,不限
33,3577626,单片机软件工程师,深圳,2018-04-25 13:13:23,12.0,85008,独尊科技,深圳市独尊科技开发有限公司,15-50人,南山区,大专,未融资,"移动互联网,其他",113.993578,22.99368,全职,不限
34,2827917,单片机工程师,深圳,2018-04-26 09:53:51,9.8,131076,英倍达,深圳市英倍达科技有限公司,15-50人,南山区,大专,不需要融资,"移动互联网,硬件",113.949525,22.566899,全职,3-5年
