,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,3941847,射频工程师,西安,2018-04-28 14:24:40,14.0,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,高新技术产业开发区,本科,不需要融资,移动互联网,108.841747,34.207933,全职,1-3年
1,4493696,射频工程师,杭州,2018-04-27 14:33:07,19.0,34315,涂鸦智能,杭州涂鸦信息技术有限公司,150-500人,西湖区,不限,B轮,"移动互联网,硬件",119.993591,29.993662,全职,3-5年
2,4239501,射频工程师,东莞,2018-04-23 17:25:45,21.0,6927,OPPO,广东欧珀移动通信有限公司,2000人以上,东莞市市辖区,本科,不需要融资,移动互联网,0.0,0.0,全职,1-3年
3,2730254,射频工程师,深圳,2018-04-28 10:28:42,17.0,102547,智芯,深圳智芯数据服务有限公司,50-150人,宝安区,本科,A轮,其他,113.993578,22.99368,全职,1-3年
4,3435708,射频工程师,北京,2018-04-26 15:57:59,14.0,26557,锤子科技,锤子科技（北京）股份有限公司,500-2000人,朝阳区,本科,B轮,"移动互联网,硬件",116.486846,40.000873,全职,3-5年
5,4438435,高级射频工程师,上海,2018-04-27 20:12:44,17.0,143423,小燕科技,上海小燕科技有限公司,15-50人,浦东新区,本科,A轮,"硬件,移动互联网",121.99403,30.993438,全职,3-5年
6,3046865,射频工程师,东莞,2018-04-26 15:06:04,35.0,145439,星火教育,苏州市星暨火教育科技有限公司,500-2000人,东莞市市辖区,本科,不需要融资,"教育,其他",113.751765,23.020536,全职,3-5年
7,4500127,射频工程师(一),南京,2018-04-28 15:58:32,17.0,371790,江苏无线电厂,江苏无线电厂有限公司,500-2000人,秦淮区,硕士,不需要融资,"硬件,其他",118.802097,31.99276,全职,不限
8,4460877,射频工程师,广州,2018-04-26 11:11:08,13.2,2604,美的集团-厨房电器,广东美的厨房电器制造有限公司,2000人以上,番禺区,硕士,上市公司,硬件,113.384129,22.937244,全职,1-3年
9,4325428,射频工程师,珠海,2018-04-27 10:25:06,12.0,33865,网博科技,珠海网博信息科技股份有限公司,150-500人,香洲区,大专,上市公司,"移动互联网,招聘",113.56843,22.24851,全职,3-5年
10,4116789,硬件射频工程师,广州,2018-04-28 15:37:46,14.4,31465,乐源数字,广东乐源数字技术有限公司,150-500人,萝岗区,本科,A轮,"移动互联网 ,电子商务",113.495432,23.154434,全职,5-10年
11,4327367,射频工程师,深圳,2018-04-28 10:40:06,10.8,61162,智志高新,深圳市智志高新科技开发有限公司,500-2000人,龙华新区,本科,不需要融资,硬件,114.044008,22.618987,全职,3-5年
12,4457606,射频工程师,北京,2018-04-25 11:44:21,12.4,31556,吉视汇通,北京吉视汇通科技有限责任公司,50-150人,丰台区,本科,A轮,硬件,115.99339,39.99426,全职,3-5年
13,4330549,射频工程师,上海,2018-04-26 10:46:27,22.4,175557,便利蜂,便利蜂商贸有限公司,2000人以上,闵行区,本科,不需要融资,"移动互联网,生活服务",121.324982,31.193378,全职,5-10年
14,917565,射频工程师,长沙,2018-04-27 10:13:39,5.6,53172,华诺星空,湖南华诺星空电子技术有限公司,150-500人,岳麓区,本科,A轮,"硬件,其他",112.89870478,28.21466355,全职,1-3年
15,4239504,5G射频工程师,东莞,2018-04-25 19:56:39,21.0,6927,OPPO,广东欧珀移动通信有限公司,2000人以上,东莞市市辖区,本科,不需要融资,移动互联网,0.0,0.0,全职,3-5年
16,4500152,射频工程师（二）,南京,2018-04-28 16:01:52,12.4,371790,江苏无线电厂,江苏无线电厂有限公司,500-2000人,秦淮区,本科,不需要融资,"硬件,其他",118.802097,31.99276,全职,3-5年
17,4403644,射频工程师,广州,2018-04-11 14:46:06,10.8,112981,海华电子,海华电子企业（中国）有限公司,150-500人,黄埔区,本科,未融资,"硬件,其他",113.453265,23.154301,全职,1-3年
18,4088821,射频高级工程师,上海,2018-04-02 14:39:27,34.0,1650,联想集团,联想（北京）有限公司,2000人以上,浦东新区,本科,上市公司,"移动互联网,数据服务",121.5855,31.202983,全职,5-10年
19,4397708,射频工程师,南京,2018-04-10 16:21:14,7.2,223180,本能科技,江苏本能科技有限公司,50-150人,建邺区,本科,未融资,移动互联网,118.732944,31.992079,全职,1-3年
20,4475358,射频工程师,深圳,2018-04-24 17:38:08,12.0,320149,研强物联,深圳市研强物联技术有限公司,50-150人,南山区,本科,不需要融资,其他,113.949574,22.530941,全职,3-5年
21,3196807,射频工程师,北京,2018-04-23 10:52:17,13.2,114241,兆讯微电子,兆讯恒达微电子技术（北京）有限公司,50-150人,海淀区,本科,上市公司,"电子商务,硬件",116.30719,39.976275,全职,3-5年
