,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,4502535,材料工程师,长沙,2018-04-30 10:02:40,14.0,343715,众云科技,湖南众云科技有限责任公司,少于15人,天心区,本科,未融资,移动互联网,112.965765,28.13298,全职,1-3年
1,3948574,材料工程师,广州,2018-04-27 15:13:57,7.6,194430,爱德医疗,广州爱德医疗科技有限公司,50-150人,海珠区,本科,不需要融资,"医疗健康,电子商务",113.292006,23.09274,全职,1-3年
2,4204844,高级材料工程师,东莞,2018-04-08 17:54:01,15.8,6927,OPPO,广东欧珀移动通信有限公司,2000人以上,东莞市市辖区,本科,不需要融资,移动互联网,113.78206,22.763895,全职,3-5年
3,4496125,材料研发工程师,上海,2018-04-27 18:30:20,14.0,120647,幂方,上海幂方电子科技有限公司,15-50人,松江区,硕士,A轮,硬件,121.316462,31.094638,全职,1年以下
4,3922218,材料计算工程师,成都,2018-04-28 11:29:10,7.6,122364,材智科技,成都材智科技有限公司,15-50人,高新区,硕士,不需要融资,"企业服务,数据服务",104.06471,30.547885,全职,不限
5,4304869,镀膜材料工程师,北京,2018-04-23 09:17:18,5.6,261124,蒂姆新材料,蒂姆（北京）新材料科技有限公司,少于15人,丰台区,大专,不需要融资,其他,116.319562,39.852523,全职,不限
6,3992072,材料产品工程师,广州,2018-04-26 10:18:20,11.2,116654,恒腾网络,恒腾网络集团有限公司,150-500人,天河区,本科,上市公司,"O2O,移动互联网",113.327384,23.126562,全职,1-3年
7,4475367,材料下单员,西安,2018-04-24 17:39:02,2.8,372564,英盛装饰,西安英盛建筑工程有限公司,50-150人,雁塔区,不限,未融资,生活服务、其他,109.011486,34.230785,全职,不限
8,4395414,生物材料研发工程师,杭州,2018-04-25 11:02:10,9.0,273782,Regenovo,杭州捷诺飞生物科技股份有限公司,15-50人,下沙,硕士,B轮,医疗健康,120.371787,30.303663,全职,不限
9,3465433,材料文员,北京,2018-04-28 17:45:27,6.2,71684,资质管家,资质管家（北京）信息技术有限公司,50-150人,通州区,本科,不需要融资,电子商务,116.656924,39.889638,全职,不限
10,4462584,光学材料工程师,成都,2018-04-23 10:11:40,8.8,27353,理想境界,成都理想境界科技有限公司,50-150人,高新区,硕士,A轮,移动互联网,104.07062,30.55119,全职,1-3年
11,4491137,材料采购,深圳,2018-04-27 09:34:12,12.0,144396,恒大珠三角公司,恒大地产集团珠三角房地产开发有限公司,2000人以上,南山区,本科,上市公司,"移动互联网,生活服务",113.942201,22.509847,全职,3-5年
12,4405865,电子材料主管,深圳,2018-04-11 17:20:00,9.6,357087,超利维实业,深圳市超利维实业有限公司,150-500人,宝安区,大专,不需要融资,企业服务,113.921496,22.644314,全职,1-3年
13,4387583,材料文员,合肥,2018-04-27 14:28:17,4.4,337515,柠檬树装饰,安徽柠檬树装饰设计工程有限公司,500-2000人,政务文化新区,大专,上市公司,"生活服务,其他",117.23358,31.815784,全职,应届毕业生
14,4385764,医学材料标注专员,杭州,2018-04-09 17:38:39,4.4,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,西湖区,大专,不需要融资,移动互联网,120.126046,30.272615,全职,1年以下
15,4289935,材料信息化专员,广州,2018-04-26 10:18:20,6.8,116654,恒腾网络,恒腾网络集团有限公司,150-500人,天河区,本科,上市公司,"O2O,移动互联网",113.327384,23.126562,全职,1-3年
16,3992735,建筑资质材料文员,北京,2018-04-28 17:45:27,6.2,71684,资质管家,资质管家（北京）信息技术有限公司,50-150人,通州区,大专,不需要融资,电子商务,116.656924,39.889638,全职,1-3年
17,4442230,材料员（家居顾问）,北京,2018-04-18 14:42:54,8.8,367490,艺境空间装饰,北京艺境空间装饰工程设计有限公司,50-150人,朝阳区,不限,A轮,生活服务,116.400562,39.983564,全职,1-3年
18,4430321,材料会计,上海,2018-04-28 09:14:16,5.8,51396,上业科技,上海上业信息科技股份有限公司,150-500人,闵行区,大专,未融资,"移动互联网,教育",121.521611,31.079208,全职,不限
19,4376041,材料文员,北京,2018-04-16 10:18:21,7.6,354216,红日东升,山东红日东升科技有限公司,2000人以上,丰台区,大专,未融资,硬件、企业服务,,,全职,1-3年
20,4449469,材料会计,扬州,2018-04-19 14:11:00,2.8,359824,扬州白洋山,扬州白洋山纺织有限公司,150-500人,仪征市,大专,不需要融资,生活服务,119.288181,32.424704,全职,1-3年
21,4365158,游戏编剧（信息沟通、材料整理）,北京,2018-04-28 17:35:23,11.2,24489,橙光游戏,北京六趣网络科技有限公司,150-500人,海淀区,本科,B轮,游戏,0.0,0.0,全职,1-3年
22,4297362,熔炼材料销售工程师,北京,2018-04-23 09:17:18,7.0,261124,蒂姆新材料,蒂姆（北京）新材料科技有限公司,少于15人,丰台区,大专,不需要融资,其他,116.319562,39.852523,全职,不限
