,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,1800963,电路设计,深圳,2018-04-28 10:04:28,14.0,128547,超节点,超节点创新科技（深圳）有限公司,15-50人,南山区,本科,不需要融资,"硬件,其他",113.970622,22.583731,全职,3-5年
1,3191844,电路设计工程师,北京,2018-04-26 10:46:27,27.2,175557,便利蜂,便利蜂商贸有限公司,2000人以上,朝阳区,本科,不需要融资,"移动互联网,生活服务",116.49388,39.978087,全职,3-5年
2,4436870,模拟电路设计工程师,深圳,2018-04-17 17:23:27,12.8,154711,国微电子成都分公司,深圳市国微电子有限公司,150-500人,南山区,硕士,不需要融资,硬件,113.950462,22.538115,全职,1-3年
3,3786083,模拟电路设计工程师,武汉,2018-04-26 15:47:28,11.4,148616,梦芯科技,武汉梦芯科技有限公司,50-150人,东湖新技术开发区,硕士,不需要融资,"移动互联网,硬件",114.399571,30.503089,全职,3-5年
4,4148618,电路设计/测试/项目助理,上海,2018-04-26 19:51:32,2.4,198442,millwonder,上海米哇达信息科技有限公司,15-50人,长宁区,不限,未融资,"硬件,移动互联网",121.396335,31.205251,实习,应届毕业生
5,4407799,硬件设计与电路设计工程师,长沙,2018-04-12 08:53:31,7.0,247013,北云科技,湖南北云科技有限公司,15-50人,岳麓区,本科,C轮,移动互联网,112.882369,28.230937,全职,不限
6,4123141,单片机 电路设计工程师,北京,2018-04-23 10:57:28,12.6,61860,触动力,北京源一盛世科技有限公司,少于15人,朝阳区,本科,不需要融资,其他,116.455101,39.948479,全职,3-5年
7,4487114,数字电路设计工程师,成都,2018-04-26 14:21:13,11.2,113359,新拓尼克,新新拓尼克（北京）科技研发中心有限公司,150-500人,高新区,本科,不需要融资,"硬件,企业服务",104.063426,30.541304,全职,3-5年
8,2529383,数字电路设计工程师,杭州,2018-04-25 20:01:52,14.0,64083,联芸科技,联芸科技（杭州）有限公司,50-150人,滨江区,本科,A轮,"硬件,其他",120.138994,30.179002,全职,不限
9,4394551,高级模拟电路设计工程师,上海,2018-04-26 10:29:01,33.0,113208,景略半导体,景略半导体（上海）有限公司,15-50人,浦东新区,硕士,不需要融资,硬件,0.0,0.0,全职,5-10年
10,3186578,电子电路设计师,北京,2018-04-25 13:05:25,19.0,207027,北京航天盛凯科技有限公司,北京航天盛凯科技有限公司,50-150人,海淀区,本科,未融资,"硬件,其他",116.176626,40.059382,全职,3-5年
11,4474340,数字电路设计高级工程师,武汉,2018-04-24 16:19:11,7.6,371595,中科创新,武汉中科创新技术股份有限公司,150-500人,东湖新技术开发区,本科,未融资,其他,114.532768,30.471967,全职,3-5年
12,4369149,硬件电路设计,上海,2018-04-23 18:19:20,5.6,358514,偲睿,上海偲睿科技有限公司,15-50人,闵行区,大专,未融资,"移动互联网,硬件",121.51221,31.086522,全职,1年以下
13,4192289,电子电路设计实习生,重庆,2018-04-23 14:00:30,1.4,309479,重庆凯迎,重庆凯迎电子科技有限公司,15-50人,渝北区,大专,未融资,硬件,106.553167,29.734905,全职,应届毕业生
14,3976316,模拟数字电路设计高级工程师（日本长期出差）,大连,2018-04-05 08:38:35,28.0,298527,伙伴,伙伴(大连)信息技术有限公司,15-50人,高新园区,本科,不需要融资,"数据服务,其他",121.543255,38.885838,全职,不限
15,4370567,无线通讯硬件电路设计工程师,深圳,2018-04-25 15:04:01,12.0,347413,戴升智能,深圳市戴升智能科技有限公司,少于15人,南山区,大专,天使轮,"移动互联网,硬件",113.952696,22.530438,全职,1-3年
16,4348382,集成电路设计工程师(IC Design Engin,深圳,2018-04-10 09:11:43,12.2,52469,康佳集团,康佳集团股份有限公司,2000人以上,南山区,本科,上市公司,其他,113.956965,22.539452,全职,3-5年
17,2952837,嵌入式硬件 PCB电路设计与开发,北京,2018-04-19 15:47:56,10.8,170833,安路普,安路普（北京）汽车技术有限公司,50-150人,昌平区,本科,不需要融资,"其他,数据服务",116.256651,40.144493,全职,1-3年
