,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,4483432,系统集成/运维工程师,郑州,2018-04-27 16:36:18,13.2,57353,中移在线服务有限公司,中移在线服务有限公司,2000人以上,高新区,本科,不需要融资,移动互联网,113.539949,34.804757,全职,3-5年
1,4354441,系统集成,北京,2018-04-02 18:43:20,28.0,139755,京东商城,北京京东世纪贸易有限公司,2000人以上,大兴区,硕士,上市公司,电子商务,116.50601,39.793232,全职,5-10年
2,3775150,系统集成,深圳,2018-04-28 16:49:10,9.2,31019,天华传媒,中广电传媒有限公司,150-500人,福田区,本科,不需要融资,文化娱乐,114.044136,22.518327,全职,1-3年
3,4445700,系统集成----实习工程师,广州,2018-04-26 13:25:50,2.4,10019,太极计算机股份有限公司,太极计算机股份有限公司,2000人以上,越秀区,本科,上市公司,企业服务,113.269787,23.114809,实习,不限
4,4394534,解决方案经理-系统集成,北京,2018-04-28 19:32:34,17.8,57682,爱可生,上海爱可生信息技术股份有限公司,150-500人,朝阳区,本科,B轮,数据服务,116.451299,39.960707,全职,3-5年
5,4248563,系统集成工程师,广州,2018-04-28 11:31:21,15.8,52553,海闻科技,海闻科技有限公司,500-2000人,天河区,大专,D轮及以上,"企业服务,金融",0.0,0.0,全职,5-10年
6,4494551,系统集成工程师,无锡,2018-04-29 17:51:12,4.8,233304,燃网络,南京网燃网络科技有限公司,少于15人,崇安区,大专,未融资,"移动互联网,游戏",120.307543,31.571228,全职,1年以下
7,4482489,系统集成/弱电系统销售,合肥,2018-04-28 17:40:35,4.2,343712,orioc,安徽奥里奥克科技股份有限公司,50-150人,高新区,不限,上市公司,移动互联网,117.189125,31.813625,全职,1-3年
8,4406204,系统集成工程师,上海,2018-04-28 10:21:50,15.2,27796,矩阵元,矩阵元技术（深圳）有限公司,50-150人,浦东新区,本科,A轮,"信息安全,金融",121.53233,31.21656,全职,3-5年
9,4448365,系统集成工程师,上海,2018-04-28 09:08:26,15.2,135284,森亿智能,上海森亿医疗科技有限公司,50-150人,浦东新区,本科,A轮,"数据服务,医疗健康",0.0,0.0,全职,1-3年
10,3129868,系统集成工程师,北京,2018-04-28 13:53:03,8.8,71494,北大医信,北大医疗信息技术有限公司,500-2000人,海淀区,本科,不需要融资,医疗健康,116.31312,39.984558,全职,3-5年
11,4358628,系统集成工程师,南京,2018-04-28 09:49:41,7.0,51512,东信北邮,杭州东信北邮信息技术有限公司,500-2000人,建邺区,本科,未融资,"移动互联网,其他",118.734131,31.979141,全职,1-3年
12,3483901,系统集成工程师,上海,2018-04-28 09:21:38,10.8,29211,圆通,圆通速递有限公司,2000人以上,青浦区,本科,上市公司,"企业服务,数据服务",121.252822,31.213373,全职,不限
13,4179532,系统集成工程师,广州,2018-04-28 08:38:14,9.6,62627,广东亿迅,广东亿迅科技有限公司,2000人以上,海珠区,不限,不需要融资,移动互联网,39.897445,116.331398,全职,3-5年
14,4296517,中高级运维/系统集成工程师,上海,2018-04-27 22:58:10,13.6,22862,上海中软华腾软件系统有限公司,上海中软华腾软件系统有限公司,2000人以上,浦东新区,本科,上市公司,"企业服务,金融",121.50329,31.23891,全职,3-5年
15,4494608,系统集成工程师（稳定高薪）,无锡,2018-04-29 17:51:11,4.8,233304,燃网络,南京网燃网络科技有限公司,少于15人,崇安区,大专,未融资,"移动互联网,游戏",120.307543,31.571228,全职,1年以下
16,4231561,系统集成工程师,北京,2018-04-28 09:49:42,7.0,51512,东信北邮,杭州东信北邮信息技术有限公司,500-2000人,海淀区,本科,未融资,"移动互联网,其他",116.349979,39.976913,全职,1-3年
17,3845878,系统集成工程师,北京,2018-04-28 13:53:03,13.2,71494,北大医信,北大医疗信息技术有限公司,500-2000人,海淀区,本科,不需要融资,医疗健康,116.31312,39.984558,全职,3-5年
18,3288758,系统集成工程师,深圳,2018-04-28 16:49:10,9.6,31019,天华传媒,中广电传媒有限公司,150-500人,福田区,大专,不需要融资,文化娱乐,114.044136,22.518327,全职,1-3年
19,4395998,系统集成工程师,广州,2018-04-27 09:58:52,15.8,150030,北京瑞友,北京瑞友科技股份有限公司,2000人以上,天河区,本科,上市公司,"移动互联网,电子商务",113.37208,23.12342,全职,3-5年
20,3207244,系统集成工程师,佛山,2018-04-13 09:37:20,19.0,166298,美的中央空调,广东美的暖通设备有限公司,2000人以上,顺德区,本科,上市公司,其他,113.207655,22.909009,全职,1-3年
21,3947487,系统集成工程师,深圳,2018-04-24 19:17:33,10.8,25317,金证股份,深圳市金证科技股份有限公司,2000人以上,南山区,本科,上市公司,金融,113.94759,22.535119,全职,3-5年
22,3538303,系统集成工程师,北京,2018-04-23 16:41:30,9.6,11553,中商流通生产力促进中心,中商流通生产力促进中心有限公司,50-150人,朝阳区,大专,未融资,"电子商务 ,分类信息",116.38121,40.0009,全职,3-5年
23,3165844,系统集成工程师,北京,2018-04-23 20:06:51,14.0,31590,四维图新,北京四维图新科技股份有限公司,2000人以上,海淀区,本科,上市公司,"移动互联网,生活服务",116.245368,40.072979,全职,1-3年
24,4419512,系统集成工程师,成都,2018-04-13 16:59:44,8.4,95229,四川长虹电器股份有限公司,四川长虹电器股份有限公司,2000人以上,高新区,本科,上市公司,硬件,104.0634,30.541738,全职,3-5年
25,4267117,系统集成工程师,杭州,2018-04-26 14:37:28,6.8,52954,鸿程系统,浙江鸿程计算机系统有限公司,500-2000人,滨江区,本科,不需要融资,"移动互联网,数据服务",120.15989,30.18499,全职,1-3年
26,4418196,系统集成工程师,深圳,2018-04-28 10:38:56,8.8,152840,cloud,深圳市科劳德科技有限公司,15-50人,福田区,本科,未融资,"硬件,信息安全",114.087924,22.547877,全职,5-10年
27,4348677,系统集成工程师,厦门,2018-04-27 08:38:51,10.8,70447,厦门节点,厦门市节点科技集团有限公司,50-150人,思明区,硕士,不需要融资,"其他,企业服务",118.175239,24.485642,全职,3-5年
28,4205500,系统集成工程师,武汉,2018-04-04 16:54:27,6.8,45951,博科资讯武汉分公司,上海博科资讯股份有限公司武汉分公司,500-2000人,江汉区,本科,D轮及以上,"移动互联网,数据服务",114.239031,30.625187,全职,1-3年
29,4464776,系统集成工程师,上海,2018-04-23 14:01:05,7.6,141154,妙果数码,上海妙果数码科技有限公司,15-50人,普陀区,不限,未融资,"移动互联网,其他",121.461602,31.24139,全职,不限
30,3357602,系统集成工程师,北京,2018-04-28 13:53:03,10.8,71494,北大医信,北大医疗信息技术有限公司,500-2000人,海淀区,大专,不需要融资,医疗健康,116.31312,39.984558,全职,1-3年
31,4274751,系统集成工程师,成都,2018-04-28 09:49:40,4.4,51512,东信北邮,杭州东信北邮信息技术有限公司,500-2000人,武侯区,本科,未融资,"移动互联网,其他",104.067931,30.615761,全职,不限
32,4162011,系统集成工程师,广州,2018-04-27 09:58:51,15.2,150030,北京瑞友,北京瑞友科技股份有限公司,2000人以上,天河区,本科,上市公司,"移动互联网,电子商务",113.371257,23.124448,全职,3-5年
33,1167674,系统集成工程师,上海,2018-04-23 10:09:31,8.0,100707,途锐科技,上海途锐智能科技有限公司,50-150人,普陀区,本科,不需要融资,信息安全,,,全职,3-5年
34,4478965,系统集成工程师,南京,2018-04-25 11:43:03,11.2,365203,亚太嘉园智慧空间,南京亚太嘉园智慧空间营造有限公司,500-2000人,雨花台区,大专,上市公司,广告营销,118.776011,32.040521,全职,3-5年
35,4372499,系统集成工程师,成都,2018-04-13 14:24:11,6.8,247420,唐源电气,成都唐源电气股份有限公司,150-500人,武侯区,大专,不需要融资,其他,103.972951,30.628924,全职,不限
36,4363784,销售代表-系统集成-曙光产品线-上海,上海,2018-04-03 09:23:43,7.8,334919,方正世纪,北京方正世纪信息系统有限公司,500-2000人,长宁区,本科,上市公司,"电子商务,硬件",121.423804,31.21089,全职,1-3年
37,4348977,系统集成工程师,扬州,2018-04-17 15:06:37,4.8,73266,明辰,扬州明辰信息科技有限公司,15-50人,邗江区,大专,未融资,"数据服务,其他",119.418304,32.360319,全职,3-5年
38,3467480,系统集成工程师,济南,2018-04-13 09:55:39,7.0,207902,奥新电子科技,山东奥新电子科技有限公司,50-150人,高新区,大专,不需要融资,"数据服务,硬件",117.145261,36.663061,全职,1-3年
39,4471128,系统集成工程师,广州,2018-04-28 09:24:12,14.0,90549,光大教育,广州光大教育软件科技股份有限公司,150-500人,萝岗区,本科,上市公司,"移动互联网,教育",0.0,0.0,全职,5-10年
