,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,4196073,自动化-培训专员,上海,2018-04-28 17:14:09,3.8,23348,中通快递,上海中通吉网络技术有限公司,2000人以上,青浦区,大专,上市公司,电子商务,120.993464,30.994061,全职,不限
1,2529586,自动化,南京,2018-04-26 16:31:32,2.8,70879,ZSPLAT,南京智数科技有限公司,15-50人,雨花台区,大专,未融资,"移动互联网,数据服务",118.75317993,31.97577999,全职,不限
2,4480063,自动化及性能测试工程师,广州,2018-04-28 14:02:46,16.8,284199,云联国骥,广东云联国骥投资管理有限公司,500-2000人,海珠区,本科,不需要融资,电子商务,113.385147,23.102207,全职,3-5年
3,3842328,自动化工程师,武汉,2018-04-23 16:26:32,9.0,151588,库柏特COBOT,武汉库柏特科技有限公司,50-150人,东湖新技术开发区,本科,B轮,其他,114.434903,30.499914,全职,3-5年
4,4392089,自动化工程师 5名,常州,2018-04-24 10:17:46,8.2,360840,南京量凯智能,南京量凯智能科技有限公司,少于15人,天宁区,本科,未融资,"硬件,其他",119.992775,31.811111,全职,3-5年
5,4388996,自动化工程师,成都,2018-04-28 10:24:47,8.4,309521,成都科连,成都科连自动化工程有限公司,500-2000人,高新区,大专,上市公司,移动互联网,104.066107,30.546197,全职,3-5年
6,4029988,自动化工程师/技术支持工程师,深圳,2018-04-28 21:13:02,7.0,82781,图麟科技,图麟信息科技（上海）有限公司,50-150人,南山区,本科,A轮,"移动互联网,硬件",0.0,0.0,全职,不限
7,4450830,自动化工程师,重庆,2018-04-23 11:09:16,7.6,49913,电子人物联网,重庆享控智能科技有限公司,50-150人,渝北区,大专,不需要融资,移动互联网,106.49132,29.615339,全职,3-5年
8,4373844,自动化工程师,南京,2018-04-25 10:38:30,8.8,316459,南京汇翔自动化,南京汇翔自动化系统工程有限公司,50-150人,江宁区,大专,未融资,其他,118.843303,31.951649,全职,1-3年
9,4502477,自动化软件工程师,珠海,2018-04-30 01:10:32,9.6,375975,珠海恒讯科技有限公司,珠海恒讯科技有限公司,15-50人,香洲区,本科,不需要融资,硬件,113.483138,22.303745,全职,1-3年
10,4138328,自动化工程师,广州,2018-04-18 15:00:09,4.2,312480,锐赛,广州市锐赛机电设备有限公司,15-50人,萝岗区,本科,不需要融资,"数据服务,硬件",113.434613,23.167442,全职,不限
11,4329819,机械，制造，自动化，信息，通信，转IT培训上岗,郑州,2018-04-23 18:55:26,4.8,311944,北京青柠檬科技有限公司,北京青柠檬科技有限公司,50-150人,管城回族区,大专,A轮,"移动互联网,企业服务",113.681304,34.751189,全职,1年以下
12,3680124,自动化工程师,东莞,2018-04-02 15:07:30,7.0,270592,精滤电子,东莞精滤电子科技有限公司,50-150人,东莞市市辖区,不限,不需要融资,其他,113.675232,23.004362,全职,1-3年
13,3989013,信息自动化岗,北京,2018-04-13 15:06:35,1.4,296181,保利地产北京公司,保利（北京）房地产开发有限公司,150-500人,海淀区,本科,上市公司,其他,0.0,0.0,实习,应届毕业生
14,4067118,自动化工程师,广州,2018-04-10 09:45:33,3.8,285058,广东车海洋,广东车海洋环保科技有限公司,50-150人,番禺区,大专,不需要融资,"移动互联网,硬件",113.459689,22.952412,全职,1-3年
15,4392090,自动化工程师 5名,南京,2018-04-24 10:17:49,8.2,360840,南京量凯智能,南京量凯智能科技有限公司,少于15人,江宁区,本科,未融资,"硬件,其他",118.888555,32.012388,全职,3-5年
16,4448417,自动化工程师,南京,2018-04-25 10:38:30,7.2,316459,南京汇翔自动化,南京汇翔自动化系统工程有限公司,50-150人,江宁区,大专,未融资,其他,118.843303,31.951649,全职,1-3年
17,4029986,自动化工程师/技术支持工程师,上海,2018-04-28 21:13:02,7.0,82781,图麟科技,图麟信息科技（上海）有限公司,50-150人,浦东新区,本科,A轮,"移动互联网,硬件",121.99341,30.994275,全职,不限
18,4095914,自动化工程师,重庆,2018-04-25 16:12:09,3.8,319606,凯际科技,重庆凯际科技有限公司,少于15人,渝北区,不限,未融资,其他,,,全职,不限
19,4197342,自动化工程师,深圳,2018-04-05 05:06:37,10.8,328208,扬名科技,深圳市扬名科技有限公司,少于15人,福田区,本科,不需要融资,其他,,,全职,5-10年
20,4013596,自动化软件工程师,北京,2018-04-26 18:04:14,14.0,47865,飞驰镁物,飞驰镁物（北京）信息服务有限公司,150-500人,朝阳区,本科,B轮,"移动互联网,数据服务",116.51052,39.89339007,全职,3-5年
21,4431768,自动化工程师,上海,2018-04-17 10:30:57,8.4,92550,北汇信息,上海北汇信息科技有限公司,50-150人,闵行区,大专,未融资,其他,121.382202,31.179837,全职,1-3年
22,4282019,自动化工程师,深圳,2018-04-26 17:57:35,15.2,157423,正业玖坤,深圳市正业玖坤信息技术有限公司,50-150人,南山区,大专,上市公司,其他,113.953445,22.537865,全职,3-5年
23,3866123,电气/自动化工程师,合肥,2018-04-24 15:36:31,6.2,99481,暖流,北京暖流科技有限公司,15-50人,高新区,大专,天使轮,"移动互联网,其他",117.203196,31.849414,全职,1-3年
24,4374542,自动化工程师/电气工程师,深圳,2018-04-25 11:47:42,10.8,161091,明锐理想,深圳明锐理想科技有限公司,50-150人,南山区,本科,A轮,其他,113.970765,22.583847,全职,1-3年
25,4474698,自动化运维,杭州,2018-04-24 16:45:22,10.8,330683,漠坦尼,杭州漠坦尼科技有限公司,15-50人,西湖区,大专,不需要融资,"企业服务,信息安全",120.137231,30.270192,全职,1-3年
26,4096325,自动化开发工程师,西安,2018-04-28 14:24:40,9.0,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,高新技术产业开发区,本科,不需要融资,移动互联网,0.0,0.0,全职,1-3年
27,4352273,自动化运维/讲师,北京,2018-04-08 11:14:00,19.0,6040,慕课网,北京奥鹏远程教育中心有限公司,50-150人,海淀区,不限,不需要融资,"移动互联网,教育",116.314673,39.956947,兼职,3-5年
28,4376733,急招自动化机构工程师,深圳,2018-04-06 00:00:22,9.0,119589,GIGALIGHT,深圳市易飞扬通信技术有限公司,500-2000人,宝安区,本科,未融资,"移动互联网,硬件",,,全职,3-5年
29,3812980,自动化工程师,深圳,2018-04-22 11:57:22,5.6,283051,熙和力,深圳市熙和力自动化设备有限公司,少于15人,宝安区,不限,不需要融资,其他,113.886786,22.569998,全职,不限
30,4499643,自动化工程师助理高薪,无锡,2018-04-29 15:22:43,4.8,233304,燃网络,南京网燃网络科技有限公司,少于15人,崇安区,大专,未融资,"移动互联网,游戏",120.307543,31.571228,全职,1年以下
