,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,3183495,驱动开发,武汉,2018-04-23 15:41:09,14.0,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,洪山区,本科,不需要融资,移动互联网,114.406936,30.478623,全职,3-5年
1,4387151,驱动开发工程师,杭州,2018-04-28 09:18:59,28.0,719,顺网科技,杭州顺网科技股份有限公司,500-2000人,西湖区,不限,上市公司,"游戏,文化娱乐",120.057035,30.286205,全职,3-5年
2,4008440,驱动开发工程师,上海,2018-04-28 11:14:03,21.0,103828,比领网络,上海比领网络科技有限公司,50-150人,徐汇区,本科,天使轮,"移动互联网,信息安全",0.0,0.0,全职,1-3年
3,4492535,驱动开发工程师,成都,2018-04-27 11:31:55,8.2,142626,CLPS,上海华钦信息科技股份有限公司,500-2000人,高新区,本科,未融资,"数据服务,金融",104.071493,30.539235,全职,1-3年
4,2995600,驱动开发,厦门,2018-04-23 10:07:04,19.0,53336,米冠网络,厦门米冠网络科技有限公司,50-150人,思明区,本科,不需要融资,"移动互联网,电子商务",,,全职,1-3年
5,1934971,驱动开发,深圳,2018-04-28 10:04:28,14.0,128547,超节点,超节点创新科技（深圳）有限公司,15-50人,南山区,本科,不需要融资,"硬件,其他",113.950928,22.57625199,全职,1-3年
6,4085226,软件工程师---通讯驱动开发,广州,2018-04-28 09:45:17,19.0,38655,白云电气,白云电气集团有限公司,2000人以上,白云区,本科,上市公司,企业服务,113.3353,23.29826,全职,3-5年
7,4363556,驱动开发,成都,2018-04-08 17:44:31,19.0,60135,华为技术,华为技术有限公司IT产品线,2000人以上,郫县,硕士,不需要融资,数据服务,103.895121,30.764941,全职,3-5年
8,4087914,驱动开发工程师,北京,2018-04-26 15:57:59,21.0,26557,锤子科技,锤子科技（北京）股份有限公司,500-2000人,朝阳区,本科,B轮,"移动互联网,硬件",116.479423,40.012226,全职,不限
9,3514262,Linux 内核/驱动开发工程师,长沙,2018-04-27 17:15:16,12.0,171591,天津麒麟,天津麒麟信息技术有限公司,150-500人,开福区,本科,不需要融资,"移动互联网,信息安全",112.996765,28.229219,全职,1-3年
10,4459515,电机驱动开发工程师,杭州,2018-04-25 12:21:18,21.0,135867,北京金网华威科技有限公司,北京金网华威科技有限公司,500-2000人,余杭区,本科,上市公司,其他,120.031071,30.242508,全职,3-5年
11,4126092,嵌入式/驱动开发工程师,北京,2018-04-28 16:45:22,19.0,141309,讯飞幻境,讯飞幻境（北京）科技有限公司,50-150人,海淀区,大专,A轮,教育,116.269931,40.048636,全职,3-5年
12,4402945,驱动开发工程师,深圳,2018-04-25 13:42:44,14.0,72405,仝安,深圳仝安技术有限公司,少于15人,龙华新区,本科,天使轮,移动互联网,114.046177,22.600929,全职,5-10年
13,4478884,驱动开发工程师,杭州,2018-04-25 11:37:36,28.0,176123,网足科技,杭州网足科技有限公司,15-50人,滨江区,不限,天使轮,"企业服务,数据服务",120.138631,30.186537,全职,3-5年
