,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,2990046,html5开发,北京,2018-05-02 10:09:13,14.0,41030,小肚皮App,北京九识佳科技有限公司,15-50人,朝阳区,本科,A轮,移动互联网,115.99339,39.99426,全职,不限,"['年度旅游', '美女CEO', '五险一金', '午餐补助']"
1,4423927,html5工程师,上海,2018-05-02 09:30:28,17.0,2380,浙江执御信息技术有限公司,浙江执御信息技术有限公司,2000人以上,长宁区,大专,B轮,"移动互联网,数据服务",121.35308,31.221759,全职,3-5年,"['五险一金', '带薪年假', '节日礼物', '年度旅游']"
2,4404281,HTML5开发工程师,深圳,2018-05-03 09:10:54,17.8,175085,海南新浪爱问普惠科技有限公司,海南新浪爱问普惠科技有限公司,50-150人,南山区,本科,未融资,金融,113.937903,22.545151,全职,5-10年,[]
3,522396,HTML5,深圳,2018-05-03 09:49:06,9.8,26399,云图TV,珠海云迈网络科技有限公司,50-150人,南山区,本科,A轮,移动互联网,113.90878594,22.54904639,全职,1-3年,"['带薪年假', '绩效奖金', '年度旅游', '扁平管理']"
4,3937141,HTML5开发工程师,广州,2018-05-02 11:29:35,10.8,160121,X-MEN,广州艾克斯曼网络科技有限公司,150-500人,天河区,大专,不需要融资,游戏,113.400444,23.119884,全职,1-3年,"['年底双薪', '技能培训', '管理规范', '五险一金']"
5,1996010,html5,深圳,2018-05-02 08:50:47,17.0,103077,智慧享联,深圳市智慧享联网络技术有限公司,150-500人,南山区,大专,不需要融资,"移动互联网,O2O",113.948626,22.52751599,全职,3-5年,"['绩效奖金', '带薪年假', '年度旅游', '年终分红']"
6,3844595,HTML5开发工程师,北京,2018-05-02 09:28:01,14.0,141955,嘀嗒出行,拼途（北京）信息技术有限公司,150-500人,朝阳区,本科,D轮及以上,"移动互联网,O2O",116.473119,40.019247,全职,应届毕业生,"['绩效奖金', '年底双薪', '交通补助', '管理规范']"
7,2274194,HTML5工程师,广州,2018-05-03 09:47:33,17.0,658,三七互娱,三七互娱（上海）科技有限公司,2000人以上,天河区,本科,上市公司,游戏,112.993461,22.994261,全职,3-5年,"['绩效奖金', '五险一金', '通讯津贴', '交通补助']"
8,3993477,HTML5开发工程师,广州,2018-05-02 09:41:27,11.2,46944,云智易,广州云湾信息技术有限公司,50-150人,海珠区,本科,B轮,"移动互联网,硬件",113.32924,23.07899,全职,1-3年,"['岗位晋升', '扁平管理', '年底双薪', '六险一金']"
9,4443799,HTML5开发工程师,成都,2018-05-02 11:03:29,7.6,96442,享多多,深圳市享多多网络技术有限公司,50-150人,高新区,本科,不需要融资,移动互联网,104.05643,30.550943,全职,1-3年,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']"
10,4404292,HTML5,广州,2018-05-02 11:30:06,9.8,142626,CLPS,上海华钦信息科技股份有限公司,500-2000人,天河区,本科,未融资,"数据服务,金融",113.332464,23.134217,全职,3-5年,"['专项奖金', '带薪年假', '定期体检', '交通补助']"
11,1250713,HTML5,长沙,2018-04-19 10:51:20,7.6,91446,纳联科技,长沙纳联网络科技有限公司,15-50人,天心区,大专,天使轮,"移动互联网,广告营销",112.972041,28.15041,全职,1-3年,"['年底双薪', '绩效奖金', '年度旅游', '扁平管理']"
12,4413506,HTML5开发,广州,2018-05-02 11:39:56,12.4,93656,火舞游戏,广州火舞软件开发股份有限公司,150-500人,天河区,大专,上市公司,游戏,112.993461,22.994261,全职,1-3年,"['年底双薪', '专项奖金', '带薪年假', '年终分红']"
13,4177303,HTML5开发,广州,2018-04-28 15:10:46,16.8,32684,屈臣氏,武汉屈臣氏个人用品商店有限公司广州分公司,2000人以上,越秀区,本科,D轮及以上,"电子商务,生活服务",39.897445,116.331398,全职,3-5年,"['年底双薪', '带薪年假', '定期体检', '补充商业保险']"
14,919478,HTML5资深开发师,上海,2018-05-03 09:13:14,15.2,48988,雅其信息技术（上海）有限公司,雅其信息技术（上海）有限公司,50-150人,普陀区,本科,不需要融资,"移动互联网,广告营销",121.414112,31.235788,全职,1-3年,"['年底双薪', '节日礼物', '带薪年假', '绩效奖金']"
15,4127510,前端/Html5开发工程师,福州,2018-05-02 17:08:52,7.6,175982,福建日报新媒体,福建报业新媒体发展有限公司,50-150人,鼓楼区,大专,未融资,"移动互联网,电子商务",119.299179,26.100988,全职,1-3年,[]
16,4151312,HTML5开发工程师（城西）,成都,2018-05-02 15:34:48,12.0,41710,四川商通实业有限公司,四川商通实业有限公司,150-500人,武侯区,本科,A轮,电子商务,0.0,0.0,全职,3-5年,"['技能培训', '节日礼物', '年底双薪', '带薪年假']"
17,437412,HTML5,北京,2018-05-02 09:39:44,19.0,51856,学部,北京易易信息技术有限公司,15-50人,海淀区,本科,天使轮,"移动互联网,教育",116.33742155,39.97853847,全职,1-3年,"['股票期权', '带薪年假', '扁平管理', '五险一金']"
18,2511417,html5,深圳,2018-04-25 10:52:06,21.0,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,龙岗区,大专,不需要融资,移动互联网,114.069975,22.659042,全职,5-10年,"['带薪年假', '计算机软件', '管理规范', '定期体检']"
19,3001544,html5实习,北京,2018-05-02 10:09:13,5.6,41030,小肚皮App,北京九识佳科技有限公司,15-50人,朝阳区,本科,A轮,移动互联网,116.473079,39.91331,实习,应届毕业生,"['年度旅游', '美女CEO', '五险一金', '午餐补助']"
20,2520406,HTML5工程师,佛山,2018-05-03 08:36:18,9.6,111780,管家乐,广东金发策划管理有限公司,500-2000人,,大专,不需要融资,电子商务,112.993461,22.994261,全职,1-3年,"['领导好', '带薪年假', '免费午餐', '健身房福利']"
