,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,4371808,移动开发经理,上海,2018-04-28 18:32:09,29.0,213202,仁辉科技,银川仁辉信息科技有限公司,50-150人,浦东新区,本科,不需要融资,金融,121.605961,31.180642,全职,5-10年
1,2361703,移动开发其它,北京,2018-04-09 11:21:32,21.0,280,畅游,北京畅游天下网络技术有限公司,2000人以上,石景山区,不限,上市公司,"移动互联网,游戏",116.212239,39.907388,全职,不限
2,2984568,移动开发,珠海,2018-04-26 10:30:21,21.0,23574,达人网络,珠海达人网络科技有限公司,50-150人,香洲区,不限,D轮及以上,游戏,113.56985,22.2474,全职,3-5年
3,3984512,移动开发经理,北京,2018-04-27 09:47:05,24.0,29337,和信贷,和信电子商务有限公司,150-500人,朝阳区,本科,上市公司,金融,116.47094,39.90763,全职,3-5年
4,3145192,移动开发工程师,上海,2018-04-28 15:14:42,19.0,56746,贝米钱包,上海贝涛金融信息服务有限公司,50-150人,徐汇区,本科,A轮,金融,121.446889,31.204067,全职,3-5年
5,4461875,移动开发,长沙,2018-04-22 21:02:03,7.0,319791,极客印,湖南极客印广告传媒有限公司,少于15人,岳麓区,大专,未融资,广告营销,,,全职,1-3年
6,4216514,移动开发工程师,长沙,2018-04-28 14:40:34,9.0,69072,蜂投网,深圳前海大众互联网金融服务有限公司湖南分公司,150-500人,天心区,本科,不需要融资,金融,112.991,28.06872,全职,3-5年
7,4457097,移动开发人员,深圳,2018-04-20 15:14:55,12.8,123723,佰仟金融,深圳市佰仟金融服务有限公司,2000人以上,福田区,本科,不需要融资,金融,114.069089,22.564591,全职,3-5年
8,4379834,移动开发工程师,广州,2018-04-27 15:48:49,12.0,97045,合利宝,广州合利宝支付科技有限公司,150-500人,天河区,本科,上市公司,"移动互联网,金融",113.326316,23.124065,全职,3-5年
9,4453473,移动开发,广州,2018-04-19 23:05:48,14.0,263518,圆医,广州圆医生物科技有限公司,15-50人,海珠区,本科,未融资,"医疗健康,移动互联网",113.369458,23.096879,全职,3-5年
10,4480858,移动开发工程师,深圳,2018-04-25 15:22:22,22.0,153033,英思奇,深圳市英思奇信息咨询有限公司,50-150人,宝安区,本科,未融资,"移动互联网,电子商务",113.859696,22.57025,全职,3-5年
11,4155814,移动开发工程师,上海,2018-04-19 15:41:30,26.0,140240,平安租赁,平安国际融资租赁有限公司,500-2000人,浦东新区,本科,不需要融资,金融,39.897445,116.331398,全职,3-5年
12,3582958,移动开发工程师,深圳,2018-04-28 10:55:12,10.8,124184,宇星科技,宇星科技发展（深圳）有限公司,500-2000人,南山区,本科,不需要融资,"其他,硬件",113.946335,22.553942,全职,3-5年
13,2670738,移动开发工程师,深圳,2018-04-28 09:29:24,16.0,62363,万科,珠海市万翼网络科技有限公司,2000人以上,南山区,本科,上市公司,"生活服务,硬件",113.941629,22.526905,全职,3-5年
14,3909880,移动开发工程师,南京,2018-04-28 10:05:49,10.8,94153,海云天科技,深圳市海云天科技股份有限公司,500-2000人,鼓楼区,大专,上市公司,"移动互联网,教育",118.738639,32.052755,全职,1-3年
15,2929096,移动开发经理,北京,2018-04-27 09:47:04,22.0,29337,和信贷,和信电子商务有限公司,150-500人,朝阳区,本科,上市公司,金融,116.47094,39.90763,全职,5-10年
16,4489908,移动开发经理 (MJ000764),上海,2018-04-26 17:54:17,35.0,132691,高顿教育集团,上海高顿教育培训有限公司,2000人以上,虹口区,本科,B轮,教育,121.475819,31.271218,全职,5-10年
17,4374176,移动开发工程师,深圳,2018-04-28 14:57:08,16.8,109565,深圳二三三数字科技有限公司,深圳二三三数字科技有限公司,15-50人,南山区,本科,A轮,"移动互联网,社交网络",113.993578,22.99368,全职,1-3年
18,4414090,移动开发工程师,上海,2018-04-20 10:24:18,12.0,54580,波罗蜜 日韩购,舶乐蜜电子商务（上海）有限公司,150-500人,普陀区,本科,B轮,"移动互联网,电子商务",121.444193,31.247384,全职,1-3年
19,4350963,移动开发工程师,武汉,2018-04-23 13:33:15,8.2,29870,联友科技,深圳联友科技有限公司,500-2000人,武汉经济技术开发区,本科,不需要融资,"移动互联网,数据服务",114.16208,30.491709,全职,3-5年
20,3724092,移动开发工程师,武汉,2018-04-26 15:01:49,8.2,38872,中科云华,北京中科云华科技股份有限公司,50-150人,东湖新技术开发区,本科,未融资,"企业服务,数据服务",114.406973,30.455643,全职,1-3年
21,4491139,移动开发工程师,东莞,2018-04-27 09:34:30,5.6,276580,东莞市进科检测有限公司,东莞市进科检测有限公司,15-50人,东莞市市辖区,本科,不需要融资,企业服务,113.728477,23.091157,全职,1-3年
22,3786011,移动开发工程师,苏州,2018-04-24 18:00:56,12.4,8288,网龙网络有限公司,福建网龙计算机网络信息技术有限公司,2000人以上,工业园区,本科,上市公司,"移动互联网,教育",120.732665,31.264799,全职,不限
23,3649198,移动开发经理,北京,2018-04-25 10:12:02,34.0,4188,INK 银客集团,银客未来科技（北京）有限公司,500-2000人,海淀区,本科,C轮,"移动互联网,金融",116.356033,40.046578,全职,5-10年
24,4492855,移动开发工程师,上海,2018-04-27 11:59:02,19.0,374810,上海爱你特科技,上海爱你特科技发展有限公司,15-50人,虹口区,本科,未融资,"移动互联网,企业服务",121.477713,31.275836,全职,3-5年
25,4416577,移动开发工程师,武汉,2018-04-13 11:37:05,7.6,252663,武汉盛典,武汉盛典网络科技有限公司,15-50人,洪山区,不限,不需要融资,"移动互联网,招聘",114.382896,30.503688,全职,3-5年
26,4297357,移动开发工程师,天津,2018-04-26 10:36:21,7.0,67933,金信通,天津金信通软件技术有限公司,15-50人,滨海新区,本科,未融资,"移动互联网,其他",117.737098,39.124748,全职,1-3年
27,3920347,移动开发工程师,长沙,2018-04-19 08:31:27,7.0,205343,汇赋科技,上海汇赋科技信息有限公司,15-50人,岳麓区,大专,未融资,"数据服务,企业服务",112.892602,28.213499,全职,1-3年
28,4352476,车行金服车行金服招移动开发,深圳,2018-04-27 11:02:17,12.6,217052,车行金服,深圳市捷豪互联网金融服务有限公司,15-50人,福田区,本科,未融资,"金融,移动互联网",114.10381,22.555351,全职,3-5年
29,1520221,移动开发工程师,上海,2018-04-27 12:08:05,12.0,116690,格林豪泰,格林豪泰酒店（中国）有限公司,2000人以上,长宁区,本科,不需要融资,企业服务,121.359015,31.188139,全职,1-3年
30,3378720,移动开发技术经理,北京,2018-03-31 11:24:47,28.0,171556,有光创新,有光创新（北京）信息技术有限公司,15-50人,海淀区,本科,天使轮,"移动互联网,数据服务",116.330747,39.9947,全职,3-5年
31,4203822,移动开发工程师,深圳,2018-04-12 15:26:43,16.2,115232,超级云妈,深圳市超级云妈网络科技有限公司,15-50人,罗湖区,本科,A轮,"生活服务,移动互联网",114.128466,22.545382,全职,3-5年
32,4213062,移动开发工程师,上海,2018-04-23 10:06:45,11.2,41238,景格科技,上海景格科技股份有限公司,150-500人,嘉定区,大专,上市公司,"移动互联网,教育",121.210699,31.281327,全职,1-3年
33,3823556,移动开发工程师,上海,2018-04-10 09:23:23,16.2,64684,融链科技,上海融链信息科技有限公司,50-150人,浦东新区,本科,A轮,"移动互联网,金融",121.99341,30.994275,全职,3-5年
34,2885760,移动开发工程师,北京,2018-04-23 10:30:04,22.0,171675,巨洲云科技,北京巨洲云科技有限公司,50-150人,朝阳区,本科,上市公司,"企业服务,数据服务",116.471314,39.907622,全职,3-5年
35,4364234,移动开发工程师,北京,2018-04-09 13:54:42,14.2,100315,安博,北京师大安博教育科技有限责任公司,500-2000人,石景山区,大专,上市公司,教育,116.184271,39.906014,全职,3-5年
36,4138447,移动开发经理,上海,2018-04-16 10:16:35,21.0,106132,灏月传媒,上海灏月传媒科技有限公司,150-500人,嘉定区,本科,未融资,金融,121.348828,31.258563,全职,5-10年
37,4437107,移动开发工程师,北京,2018-04-17 17:39:02,28.0,367608,本征科技,合肥本征科技有限公司,少于15人,海淀区,本科,天使轮,移动互联网 社交网络,116.314326,39.982115,全职,1-3年
38,4066434,前端开发/移动开发顾问,北京,2018-04-27 08:39:24,10.8,250467,龙创腾达,北京龙创腾达科技有限公司,15-50人,朝阳区,本科,不需要融资,"企业服务,移动互联网",116.309929,40.02723,全职,3-5年
39,3221414,高级移动开发工程师,深圳,2018-04-28 16:29:46,19.0,7232,亿车科技,深圳市前海亿车科技有限公司,150-500人,宝安区,本科,A轮,"移动互联网,数据服务",113.993578,22.99368,全职,3-5年
40,4407658,ionic移动开发工程师,苏州,2018-04-28 08:56:13,10.8,75213,南京思酷通讯科技有限公司,南京思酷通讯科技有限公司,15-50人,吴江区,本科,不需要融资,"移动互联网,电子商务",120.6421,31.143149,全职,1-3年
41,4485505,移动开发负责人,北京,2018-04-30 11:57:22,17.8,155217,全迹科技,北京全迹科技有限公司,15-50人,朝阳区,本科,天使轮,"硬件,其他",116.498254,39.975406,全职,3-5年
42,4465351,移动开发工程师,深圳,2018-04-27 14:36:58,14.0,184955,旅联商务,旅联商务有限公司,150-500人,南山区,本科,A轮,"金融,旅游",113.941832,22.51936,全职,3-5年
43,4098132,移动开发工程师（实习）,杭州,2018-04-26 17:33:08,3.8,10359,酷家乐,杭州群核信息技术有限公司,500-2000人,拱墅区,本科,D轮及以上,移动互联网,120.108647,30.293154,实习,不限
44,4480400,资深移动开发工程师,广州,2018-04-27 10:57:56,12.0,6558,明动软件,广州明动软件股份有限公司,150-500人,天河区,本科,上市公司,"企业服务,数据服务",113.350591,23.177721,全职,5-10年
45,4352696,高级移动开发工程师,深圳,2018-04-23 12:27:44,20.0,18057,易立德,上海易立德企业管理咨询有限公司,500-2000人,龙岗区,大专,不需要融资,"企业服务,数据服务",0.0,0.0,全职,5-10年
46,4031404,移动开发工程师（校招）,杭州,2018-04-26 17:33:07,14.0,10359,酷家乐,杭州群核信息技术有限公司,500-2000人,拱墅区,本科,D轮及以上,移动互联网,120.108647,30.293154,全职,应届毕业生
47,4189243,移动开发负责人,杭州,2018-04-27 08:31:24,22.0,251706,同花顺,浙江核新同花顺网络信息服务有限公司,2000人以上,余杭区,本科,上市公司,"移动互联网,金融",120.045424,30.291923,全职,5-10年
48,4296467,APP移动开发主管,上海,2018-04-28 16:10:40,20.8,50417,爱客CRM,上海微问家信息技术有限公司,50-150人,浦东新区,本科,A轮,移动互联网,121.602929,31.199045,全职,3-5年
49,4478881,高级移动开发工程师,北京,2018-04-25 11:37:30,17.0,729,中油龙慧北京信息技术分公司,中油龙慧自动化工程有限公司,50-150人,西城区,本科,不需要融资,"移动互联网,企业服务",116.35749,39.8903,全职,3-5年
50,4280796,移动开发经理（北京）,北京,2018-04-26 17:22:17,21.0,24748,平安科技,平安科技（深圳）有限公司,2000人以上,朝阳区,本科,不需要融资,金融,0.0,0.0,全职,不限
51,4426874,车行金服招聘前端开发，车行金服招聘移动开发,深圳,2018-04-24 16:48:38,11.8,217052,车行金服,深圳市捷豪互联网金融服务有限公司,15-50人,福田区,本科,未融资,"金融,移动互联网",114.10381,22.555351,全职,5-10年
52,3813829,高级移动开发经理,上海,2018-04-29 15:48:20,24.0,38329,云兜,上海云兜网络科技有限公司,50-150人,普陀区,本科,A轮,"电子商务,教育",121.437768,31.242574,全职,5-10年
53,4130390,高级移动开发经理,上海,2018-04-26 16:15:13,24.0,1403,爱回收,上海悦易网络信息技术有限公司,500-2000人,杨浦区,本科,D轮及以上,"电子商务,O2O",121.99341,30.994275,全职,5-10年
54,3254549,移动开发高级经理,北京,2018-04-28 16:35:41,31.0,193156,盒饭TV,天津星影聚合互联网科技有限公司,150-500人,朝阳区,本科,不需要融资,移动互联网,116.450819,39.905599,全职,5-10年
