,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,4447319,自然语言处理,上海,2018-04-19 10:35:23,38.8,39497,易鑫集团,北京看看车科技有限公司,2000人以上,静安区,本科,上市公司,企业服务,121.452581,31.226442,全职,不限
1,3830080,自然语言处理,北京,2018-04-19 09:55:54,21.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,本科,B轮,其他,116.357353,39.939211,全职,1-3年
2,3918128,算法工程师---自然语言处理,杭州,2018-04-18 09:49:48,21.0,106555,ZOOM,软视视频软件（杭州）有限公司,500-2000人,西湖区,硕士,D轮及以上,"移动互联网,社交网络",120.112127,30.287766,全职,不限
3,3944096,自然语言处理,北京,2018-04-18 14:48:10,28.0,82991,数美,北京数美时代科技有限公司,150-500人,朝阳区,本科,B轮,"企业服务,数据服务",116.465953,40.021083,全职,1-3年
4,4222179,NLP工程师,北京,2018-04-18 11:03:40,24.0,123070,零秒科技,北京零秒科技有限公司,15-50人,海淀区,硕士,A轮,"移动互联网,企业服务",116.308446,40.055569,全职,1-3年
5,4413545,自然语言处理研发工程师(NLP),北京,2018-04-18 23:42:16,26.0,109,马蜂窝,北京蚂蜂窝网络科技有限公司,500-2000人,朝阳区,本科,D轮及以上,"移动互联网,旅游",39.897445,116.331398,全职,1-3年
6,4211206,NLP,上海,2018-04-18 14:19:50,35.0,24995,泛微,上海泛微网络科技股份有限公司,2000人以上,闵行区,硕士,上市公司,"移动互联网,企业服务",0.0,0.0,全职,1-3年
7,2429497,自然语言处理,长沙,2018-04-19 10:14:59,16.8,139603,阡寻,长沙阡寻信息科技有限公司,15-50人,岳麓区,硕士,A轮,数据服务,112.882369,28.230937,全职,1-3年
8,3761835,自然语言处理,北京,2018-04-18 17:50:44,28.0,128115,爱狄特,北京爱狄特信息科技有限公司,150-500人,东城区,硕士,不需要融资,"数据服务,其他",116.44223134,39.93624601,全职,3-5年
9,3934471,NLP工程师,杭州,2018-04-19 10:11:01,21.0,59928,盈盈理财,杭州盈纳控股集团有限公司,500-2000人,下城区,本科,A轮,移动互联网,0.0,0.0,全职,1-3年
10,2209361,自然语言处理,北京,2018-04-17 18:04:36,28.0,142470,蓦然认知科技,北京蓦然认知科技有限公司,50-150人,海淀区,硕士,A轮,移动互联网,116.351887,40.009524,全职,1-3年
11,4306472,自然语言处理工程师,北京,2018-04-18 10:51:37,33.0,21732,FitTime睿健时代,北京飞拓互联科技有限公司,150-500人,朝阳区,本科,C轮,"移动互联网,社交网络",116.488426,40.000182,全职,1-3年
12,4031459,自然语言处理工程师,北京,2018-04-18 10:49:40,21.0,16869,朗播网,北京博智天下信息技术有限公司,150-500人,海淀区,本科,B轮,教育,116.31287,40.03445,全职,3-5年
13,3972208,NLP/自然语言处理,北京,2018-04-18 17:55:35,26.0,7835,金山办公软件,北京金山软件有限公司,2000人以上,海淀区,本科,上市公司,移动互联网,116.32274,40.036741,全职,3-5年
14,3716636,自然语言处理工程师,厦门,2018-04-19 10:02:07,14.0,9251,美柚,厦门美柚信息科技有限公司,500-2000人,思明区,硕士,D轮及以上,移动互联网,118.17884,24.48956,全职,1-3年
15,4312490,自然语言处理,北京,2018-04-19 09:55:55,42.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,硕士,B轮,其他,116.357353,39.939211,全职,5-10年
16,3850703,NLP,北京,2018-04-18 14:48:10,28.0,82991,数美,北京数美时代科技有限公司,150-500人,朝阳区,本科,B轮,"企业服务,数据服务",116.465953,40.021083,全职,1-3年
17,3991026,自然语言处理工程师,上海,2018-04-17 17:37:40,24.0,24995,泛微,上海泛微网络科技股份有限公司,2000人以上,闵行区,本科,上市公司,"移动互联网,企业服务",121.52396,31.07979,全职,1-3年
18,3729122,自然语言处理工程师,广州,2018-04-19 09:49:32,21.0,20473,广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,2000人以上,白云区,硕士,不需要融资,电子商务,113.271506,23.175202,全职,1-3年
19,4376614,自然语言处理研究员,北京,2018-04-18 10:41:56,42.0,195855,转转,北京转转精神科技有限责任公司,500-2000人,海淀区,本科,A轮,"移动互联网,生活服务",116.360315,40.039775,全职,3-5年
20,2387410,自然语言处理,北京,2018-04-18 10:17:25,33.0,57049,InnoTREE,北京因果树网络科技有限公司,50-150人,海淀区,本科,B轮,金融,116.30678995,39.98443439,全职,3-5年
21,4310247,NLP自然语言处理,上海,2018-04-18 15:34:22,19.0,144037,眸事网,上海脉豪商务信息咨询有限公司,150-500人,虹口区,本科,天使轮,"移动互联网,企业服务",120.993464,30.994061,全职,1-3年
22,3068179,自然语言处理工程师,北京,2018-04-17 14:26:22,35.0,56363,安易信,北京安易信科技有限公司,50-150人,海淀区,本科,上市公司,"金融,数据服务",116.351057,39.977249,全职,3-5年
23,4077520,算法工程师-NLP,北京,2018-04-19 10:34:18,35.0,88978,海知智能,上海海知智能科技有限公司,50-150人,海淀区,本科,A轮,"移动互联网,数据服务",0.0,0.0,全职,3-5年
24,3591061,自然语言处理工程师,上海,2018-04-19 10:35:31,28.0,259846,源杉FIR.ai,源杉信息技术（上海）有限公司,15-50人,杨浦区,硕士,天使轮,"数据服务,金融",121.50694,31.30379,全职,3-5年
25,2105186,自然语言处理,北京,2018-04-19 10:09:21,21.0,3038,Gridsum 国双,北京国双科技有限公司,500-2000人,海淀区,本科,上市公司,"数据服务,企业服务",116.33175,39.97599007,全职,3-5年
26,4246414,自然语言处理工程师,苏州,2018-04-18 11:35:16,21.0,94,思必驰科技,苏州思必驰信息科技有限公司,150-500人,工业园区,硕士,C轮,企业服务,120.723343,31.324036,全职,3-5年
27,4096659,策略算法高级工程师- 智能交互/NLP,北京,2018-04-18 09:59:31,35.0,50702,美团点评,北京三快在线科技有限公司,2000人以上,朝阳区,本科,D轮及以上,"移动互联网,O2O",116.488126,40.008776,全职,3-5年
28,3949550,自然语言处理工程师,深圳,2018-04-18 14:10:59,24.8,56,卖座网,深圳市华宇讯科技有限公司,500-2000人,南山区,本科,B轮,"移动互联网,电子商务",113.9422,22.54878,全职,3-5年
29,4312503,自然语言处理工程师,杭州,2018-04-18 09:30:27,19.0,35559,亲宝宝,杭州点望科技有限公司,150-500人,西湖区,硕士,B轮,"移动互联网,社交网络",120.097412,30.266811,全职,1-3年
30,4259819,NLP,北京,2018-04-19 09:29:04,28.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,硕士,B轮,其他,116.357122,39.939268,全职,1-3年
31,3776995,自然语言处理工程师,上海,2018-04-18 14:19:51,28.0,24995,泛微,上海泛微网络科技股份有限公司,2000人以上,闵行区,硕士,上市公司,"移动互联网,企业服务",121.525236,31.080356,全职,1-3年
32,3569377,自然语言处理工程师,北京,2018-04-18 10:17:25,35.0,57049,InnoTREE,北京因果树网络科技有限公司,50-150人,海淀区,本科,B轮,金融,116.306683,39.984791,全职,不限
33,3219496,自然语言处理/机器学习工程师,北京,2018-04-17 11:53:48,28.0,98197,Moka,北京希瑞亚斯科技有限公司,50-150人,海淀区,本科,A轮,企业服务,116.313161,39.984635,全职,3-5年
34,4265820,自然语言处理及-真格基金投资企业合作公司-三角兽,北京,2018-04-19 10:51:57,34.0,23702,真格基金,北京真格天成投资管理有限公司,50-150人,海淀区,本科,不需要融资,金融,116.424217,39.984589,全职,3-5年
35,2384736,自然语言处理工程师,北京,2018-04-18 14:12:29,35.0,50604,roobo,北京智能管家科技有限公司,150-500人,东城区,本科,B轮,移动互联网,116.433221,39.920718,全职,3-5年
36,1638591,自然语言处理工程师,北京,2018-04-19 10:09:21,21.0,3038,Gridsum 国双,北京国双科技有限公司,500-2000人,海淀区,本科,上市公司,"数据服务,企业服务",116.332441,39.976021,全职,3-5年
37,4135884,自然语言处理工程师,杭州,2018-04-18 10:24:17,24.0,134830,杭州明霖,杭州明霖信息技术有限公司,500-2000人,滨江区,本科,不需要融资,社交网络,120.213168,30.211897,全职,3-5年
