,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,752123,Ruby 工程师,成都,2018-05-01 23:35:14,17.2,50114,金数据,精硕世纪科技（北京）有限公司,15-50人,高新区,不限,不需要融资,企业服务,104.066018,30.548897,全职,3-5年,"['技能培训', '年底双薪', '带薪年假', '岗位晋升']"
1,4059435,ruby,上海,2018-04-30 15:49:55,10.8,50417,爱客CRM,上海微问家信息技术有限公司,50-150人,浦东新区,本科,A轮,移动互联网,121.602929,31.199045,全职,1-3年,"['节日礼物', '绩效奖金', '岗位晋升', '年度旅游']"
2,3843919,Ruby,北京,2018-05-02 09:07:22,13.2,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,本科,B轮,其他,116.357353,39.939211,全职,1-3年,"['股票期权', '高成长', '云服务', '高并发']"
3,3064660,Ruby工程师,上海,2018-05-02 09:40:36,19.0,16303,简书,上海佰集信息科技有限公司,50-150人,徐汇区,本科,B轮,"移动互联网,文化娱乐",121.427791,31.189944,全职,1-3年,"['Mac办公', '弹性工作', '带薪年假', '福利多多']"
4,4035265,Ruby研发工程师,上海,2018-04-30 09:12:30,12.0,37031,我奇,上海我奇网络科技有限公司,15-50人,宝山区,不限,未融资,"电子商务,文化娱乐",121.4973,31.340303,全职,1-3年,"['年底双薪', '节日礼物', '带薪年假', '绩效奖金']"
5,2086743,Ruby工程师,北京,2018-05-01 17:54:56,14.0,40618,盖娅互娱,北京盖娅互娱网络科技股份有限公司,500-2000人,朝阳区,不限,上市公司,"移动互联网,游戏",116.486103,40.00037806,全职,不限,"['史上最牛团队', '五险一金', '超豪华办公室', '弹性工作']"
6,4398518,Ruby工程师,上海,2018-05-02 11:20:29,21.0,263738,朝夕网络,上海朝夕网络技术有限公司,15-50人,浦东新区,本科,天使轮,"移动互联网,金融",121.60297,31.200983,全职,3-5年,"['年底双薪', '带薪年假', '定期体检', '区块链培训']"
7,1930557,Ruby 工程师,上海,2018-05-02 09:54:29,21.0,228,Strikingly,"Striking.ly, Inc.",150-500人,,不限,A轮,移动互联网,121.5084,31.30370988,全职,不限,"['国际化团队', '开放的氛围', '扁平管理', '乐于分享']"
8,1830004,Ruby工程师,上海,2018-04-28 16:30:11,21.0,1860,薄荷,上海薄荷信息科技有限公司,50-150人,浦东新区,本科,B轮,"移动互联网,电子商务",121.527241,31.227454,全职,1-3年,"['绩效奖金', '年度旅游', '五险一金', '股票期权']"
9,2532097,Ruby,杭州,2018-05-02 09:56:19,19.0,20091,中电博亚,北京中电博亚科技有限公司,50-150人,西湖区,本科,A轮,"电子商务,游戏",120.122109,30.27455,全职,3-5年,"['绩效奖金', '年底双薪', '五险一金', '通讯津贴']"
