,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,4096763,语音识别,北京,2018-04-19 09:55:55,38.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,硕士,B轮,其他,116.357353,39.939211,全职,3-5年
1,4281281,语音识别工程师,北京,2018-04-18 14:48:09,35.0,82991,数美,北京数美时代科技有限公司,150-500人,朝阳区,硕士,B轮,"企业服务,数据服务",116.465953,40.021083,全职,1-3年
2,4286288,语音识别专家,北京,2018-04-18 11:36:15,42.0,7030,触宝,上海触乐信息科技有限公司,150-500人,朝阳区,硕士,D轮及以上,"移动互联网,数据服务",116.454668,39.919657,全职,3-5年
3,3657996,语音识别工程师,上海,2018-04-18 10:19:30,20.0,98800,竹间智能科技(上海)有限公司,竹间智能科技（上海）有限公司,150-500人,徐汇区,硕士,B轮,"移动互联网,其他",121.41768,31.17509986,全职,不限
4,4327267,语音识别工程师,苏州,2018-04-18 11:35:17,21.0,94,思必驰科技,苏州思必驰信息科技有限公司,150-500人,工业园区,硕士,C轮,企业服务,120.723343,31.324036,全职,1-3年
5,2875958,语音识别工程师,北京,2018-04-18 00:45:25,38.0,36031,一起科技,上海一起作业信息科技有限公司,500-2000人,朝阳区,本科,D轮及以上,"移动互联网,教育",116.486624,40.000825,全职,1-3年
6,3842170,数据挖掘工程师-语音识别,北京,2018-04-17 09:51:54,28.0,136443,马上金融,马上消费金融股份有限公司,2000人以上,朝阳区,本科,不需要融资,"金融,移动互联网",116.47826581,39.91290348,全职,3-5年
7,3130150,语音识别工程师,北京,2018-04-18 14:12:29,38.0,50604,roobo,北京智能管家科技有限公司,150-500人,东城区,硕士,B轮,移动互联网,116.433221,39.920718,全职,3-5年
8,4362134,语音识别工程师,杭州,2018-04-18 16:15:41,29.0,272694,一知智能,杭州一知智能科技有限公司,15-50人,萧山区,硕士,天使轮,"移动互联网,数据服务",0.0,0.0,全职,不限
9,4014812,语音识别解码器,北京,2018-04-18 20:20:46,35.0,172285,猎户星空,北京猎户星空科技有限公司,150-500人,朝阳区,硕士,A轮,"移动互联网,硬件",116.458741,39.932851,全职,不限
10,3473723,语音识别研究员,上海,2018-04-17 18:02:46,35.0,3422,英语流利说,上海流利说信息技术有限公司,500-2000人,杨浦区,硕士,C轮,"移动互联网,教育",121.50712,31.265662,全职,不限
11,4281835,高级语音识别工程师,合肥,2018-04-19 08:32:13,18.2,106555,ZOOM,软视视频软件（杭州）有限公司,500-2000人,高新区,硕士,D轮及以上,"移动互联网,社交网络",117.139029,31.838828,全职,1-3年
12,3683082,语音识别工程师,苏州,2018-04-17 09:03:10,21.0,8288,网龙网络有限公司,福建网龙计算机网络信息技术有限公司,2000人以上,工业园区,硕士,上市公司,"移动互联网,教育",120.732665,31.264799,全职,1-3年
13,3391964,语音识别研究员,北京,2018-04-17 17:09:25,26.0,113715,东芝(中国)有限公司,东芝(中国)有限公司,150-500人,朝阳区,硕士,上市公司,"移动互联网,企业服务",115.99339,39.99426,全职,1-3年
14,3245434,人工智能工程师-语音识别,大连,2018-03-29 10:48:42,24.0,80771,乐天创研,乐天创研（北京）科技有限公司,2000人以上,高新园区,硕士,上市公司,"电子商务,旅游",0.0,0.0,全职,1-3年
15,4096764,语音识别,北京,2018-04-19 09:55:55,21.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,硕士,B轮,其他,116.357353,39.939211,全职,1-3年
16,3042205,语音识别实习生,北京,2018-04-18 00:45:26,6.6,36031,一起科技,上海一起作业信息科技有限公司,500-2000人,朝阳区,本科,D轮及以上,"移动互联网,教育",116.486624,40.000825,实习,不限
17,3745292,语音识别,苏州,2018-04-16 15:00:22,21.0,56995,意能通,苏州意能通信息技术有限公司,15-50人,工业园区,硕士,A轮,移动互联网,120.744999,31.269057,全职,3-5年
18,3684958,语音识别工程师—-声学模型方向,北京,2018-04-16 16:30:25,9.6,48188,普强信息,普强信息技术（北京）有限公司,150-500人,海淀区,本科,C轮,数据服务,116.245368,40.072979,实习,应届毕业生
19,3562714,语音识别工程师J10012,北京,2018-04-14 20:07:32,38.0,1880,快手,北京达佳互联信息技术有限公司,500-2000人,海淀区,硕士,D轮及以上,移动互联网,116.330747,39.9947,全职,不限
20,4192822,语音识别工程师,上海,2018-04-17 10:18:21,42.0,21775,DJI大疆创新,深圳市大疆创新科技有限公司,2000人以上,浦东新区,硕士,未融资,"移动互联网,硬件",121.583944,31.197664,全职,5-10年
21,3342599,语音识别/语音合成/语音技术研究员,北京,2018-04-17 17:09:25,26.0,113715,东芝(中国)有限公司,东芝(中国)有限公司,150-500人,朝阳区,硕士,上市公司,"移动互联网,企业服务",115.99339,39.99426,全职,3-5年
22,4441849,FreeSwitch语音识别工程师-仁信智清,北京,2018-04-18 14:18:31,19.0,23702,真格基金,北京真格天成投资管理有限公司,50-150人,海淀区,本科,不需要融资,金融,0.0,0.0,全职,3-5年
23,4243642,语音识别研究员,北京,2018-04-02 14:39:28,21.6,1650,联想集团,联想（北京）有限公司,2000人以上,海淀区,硕士,上市公司,"移动互联网,数据服务",116.29846,40.0534,全职,1-3年
24,3944494,语音识别工程师,北京,2018-04-12 14:22:21,42.0,62,字节跳动,北京字节跳动科技有限公司,2000人以上,海淀区,硕士,C轮,"移动互联网,数据服务",116.332602,39.971268,全职,3-5年
25,4222753,语音识别高级工程师,上海,2018-04-18 11:36:15,38.0,7030,触宝,上海触乐信息科技有限公司,150-500人,徐汇区,硕士,D轮及以上,"移动互联网,数据服务",121.393969,31.172406,全职,3-5年
26,3583621,语音识别工程师,北京,2018-04-09 16:07:33,26.0,8103,汽车之家,北京车之家信息技术有限公司,2000人以上,海淀区,本科,上市公司,"移动互联网,文化娱乐",116.311989,39.979473,全职,1-3年
27,3975108,语音识别技术开发和应用工程师,北京,2018-04-09 07:21:51,23.2,126499,机器学习,北京机器学习信息技术有限公司,15-50人,海淀区,不限,不需要融资,移动互联网,116.353944,40.001756,全职,3-5年
28,4116633,语音识别工程师,深圳,2018-04-18 09:46:28,28.0,6566,金蝶,金蝶软件（中国）有限公司,2000人以上,南山区,硕士,上市公司,"移动互联网,电子商务",113.95478984,22.53412317,全职,3-5年
29,3557381,语音识别工程师,北京,2018-04-16 10:37:38,42.0,148997,汉宇海阔,北京汉宇海阔软件科技有限公司,15-50人,海淀区,硕士,A轮,"移动互联网,电子商务",116.348589,39.975201,全职,3-5年
30,3787954,语音识别工程师-语言模型方向,北京,2018-04-16 16:30:25,19.0,48188,普强信息,普强信息技术（北京）有限公司,150-500人,海淀区,本科,C轮,数据服务,116.245368,40.072979,全职,1-3年
31,3937629,语音识别工程师,深圳,2018-04-08 16:16:10,20.8,21775,DJI大疆创新,深圳市大疆创新科技有限公司,2000人以上,南山区,硕士,未融资,"移动互联网,硬件",113.952984,22.537007,全职,3-5年
32,4327294,高级语音识别工程师,苏州,2018-04-18 11:35:16,28.0,94,思必驰科技,苏州思必驰信息科技有限公司,150-500人,工业园区,硕士,C轮,企业服务,120.723343,31.324036,全职,3-5年
33,3884182,语音识别及交互项目经理(J171122037),北京,2018-04-16 14:58:07,28.0,2474,滴滴出行,北京嘀嘀无限科技发展有限公司,2000人以上,海淀区,本科,不需要融资,移动互联网,40.04683,40.04683,全职,3-5年
34,4386742,语音识别工程师,北京,2018-04-09 10:53:32,27.0,16799,猿辅导,北京粉笔未来科技有限公司,500-2000人,朝阳区,本科,D轮及以上,"移动互联网,教育",116.4745,39.992592,全职,不限
35,4121173,语音识别与多轮交互算法科学家/工程师,北京,2018-04-18 15:54:07,42.0,320770,Aibee,爱笔（北京）智能科技有限公司,50-150人,海淀区,本科,天使轮,"移动互联网,企业服务",116.307879,40.03682,全职,1-3年
36,4329513,GY0-语音识别工程师,深圳,2018-04-17 14:12:58,21.0,451,腾讯,腾讯科技(深圳)有限公司,2000人以上,南山区,硕士,上市公司,"移动互联网 ,游戏",113.93362,22.540719,全职,3-5年
37,3767241,语音识别算法,深圳,2018-04-18 14:32:31,28.0,107664,AKULAKU,岩心科技（深圳）有限公司,150-500人,南山区,本科,B轮,"移动互联网,金融",113.943847,22.529035,全职,3-5年
38,3768702,语音识别负责人,北京,2018-04-19 09:56:29,35.0,50702,美团点评,北京三快在线科技有限公司,2000人以上,朝阳区,本科,D轮及以上,"移动互联网,O2O",116.48001,39.997249,全职,3-5年
39,4175658,语音识别研发软件工程师,上海,2018-04-18 17:57:54,16.2,40015,Nuance,纽昂司软件技术（北京）有限公司,2000人以上,浦东新区,硕士,上市公司,"移动互联网,数据服务",121.528295,31.226684,全职,应届毕业生
40,4107124,语音识别工程师实习生,北京,2018-04-17 09:29:50,5.6,5748,天润融通,北京天润融通科技有限公司,150-500人,大兴区,本科,不需要融资,"企业服务,数据服务",116.496718,39.783708,全职,不限
41,4119492,自动语音识别工程师,北京,2018-04-17 18:00:31,25.2,67118,达闼科技,达闼科技（北京）有限公司,150-500人,朝阳区,本科,B轮,移动互联网,116.479397,39.995298,全职,不限
42,4317722,语音识别工程师,南京,2018-03-24 08:03:14,21.0,263233,硅基智能,南京硅基智能科技有限公司,50-150人,雨花台区,硕士,天使轮,移动互联网,118.777605,31.975495,全职,3-5年
43,4079133,语音识别工程师,北京,2018-04-16 18:13:29,62.0,49650,深圳市福客餐饮管理服务有限公司,长城宽带网络服务有限公司深圳分公司,2000人以上,朝阳区,本科,上市公司,"数据服务,其他",116.487867,39.999765,全职,3-5年
44,3767396,语音识别工程师,深圳,2018-04-16 18:03:12,38.0,156484,华夏光彩,深圳市华夏光彩显示技术有限公司,150-500人,南山区,硕士,上市公司,硬件,113.950153,22.550392,全职,3-5年
45,4166938,语音识别工程师--声学模型方向,北京,2018-04-16 16:21:55,14.0,48188,普强信息,普强信息技术（北京）有限公司,150-500人,海淀区,硕士,C轮,数据服务,116.245368,40.072979,全职,1-3年
46,4222681,语音识别主任研究员,上海,2018-04-18 11:35:17,42.0,94,思必驰科技,苏州思必驰信息科技有限公司,150-500人,徐汇区,本科,C轮,企业服务,121.451012,31.16642,全职,3-5年
47,3424633,语音识别实习生-AI Lab,北京,2018-04-05 14:21:09,2.8,62,字节跳动,北京字节跳动科技有限公司,2000人以上,海淀区,本科,C轮,"移动互联网,数据服务",116.332602,39.971268,实习,不限
48,4036899,语音识别算法工程师,北京,2018-03-26 10:58:09,28.0,4188,INK 银客集团,银客未来科技（北京）有限公司,500-2000人,海淀区,本科,C轮,"移动互联网,金融",116.356355,40.047633,全职,3-5年
49,4031472,语音识别算法工程师,北京,2018-04-18 10:49:41,21.0,16869,朗播网,北京博智天下信息技术有限公司,150-500人,海淀区,本科,B轮,教育,116.31287,40.03445,全职,1-3年
50,4314798,语音识别研发工程师,上海,2018-04-17 11:17:20,19.0,151064,傲硕科技,上海傲硕信息科技有限公司,15-50人,浦东新区,硕士,B轮,移动互联网,121.515309,31.227638,全职,1-3年
51,2760942,语音识别算法工程师(ASR),北京,2018-04-18 15:41:14,28.0,356,捷通华声,北京捷通华声科技股份有限公司,150-500人,海淀区,本科,不需要融资,"移动互联网,数据服务",116.29632768,40.05177651,全职,1-3年
52,2736815,自动语音识别工程师,北京,2018-04-17 18:00:30,35.0,67118,达闼科技,达闼科技（北京）有限公司,150-500人,朝阳区,硕士,B轮,移动互联网,116.479397,39.995298,全职,3-5年
53,4171139,高级语音识别研究员,北京,2018-04-02 14:39:29,20.8,1650,联想集团,联想（北京）有限公司,2000人以上,海淀区,硕士,上市公司,"移动互联网,数据服务",0.0,0.0,全职,1-3年
54,2055685,语音识别研发工程师(J12431),北京,2018-04-16 14:58:08,28.0,2474,滴滴出行,北京嘀嘀无限科技发展有限公司,2000人以上,海淀区,本科,不需要融资,移动互联网,116.28895999,40.04373006,全职,3-5年
55,2868104,语音识别测评工程师,北京,2018-04-19 09:33:51,21.0,1121,智课网,北京创新伙伴教育科技有限公司,500-2000人,海淀区,本科,B轮,"移动互联网,教育",115.99339,39.99426,全职,3-5年
56,4237190,语音识别算法工程师,北京,2018-04-17 13:42:31,42.0,111139,NIO蔚来,上海蔚来汽车有限公司,2000人以上,朝阳区,本科,D轮及以上,"移动互联网,硬件",116.465947,40.021473,全职,3-5年
57,4146760,语音识别工程师-中国-00507,北京,2018-03-22 15:35:03,21.0,1249,出门问问,北京羽扇智信息科技有限公司,150-500人,海淀区,本科,D轮及以上,"移动互联网,O2O",116.315034,39.9784,全职,1-3年
58,4431496,语音识别算法工程师,杭州,2018-04-19 09:32:11,21.0,154789,数心科技,杭州数心网络科技有限公司,15-50人,余杭区,本科,A轮,企业服务,120.003852,30.291585,全职,3-5年
59,3528017,语音识别工程师,北京,2018-03-30 09:45:15,17.8,234712,帝派智能,北京帝派智能科技有限公司,15-50人,朝阳区,本科,未融资,"移动互联网,数据服务",116.417366,40.03195,全职,3-5年
60,4171173,高级语音识别研究员,北京,2018-04-02 14:39:27,35.0,1650,联想集团,联想（北京）有限公司,2000人以上,海淀区,硕士,上市公司,"移动互联网,数据服务",0.0,0.0,全职,3-5年
61,3268123,语音识别工程师,北京,2018-04-01 15:29:32,35.0,33016,Eyespage,页码（北京）科技有限公司,50-150人,朝阳区,本科,A轮,移动互联网,116.47598,39.99859,全职,3-5年
62,3927286,语音识别算法工程师,北京,2018-04-18 13:35:32,21.0,23004,图灵机器人,北京光年无限科技有限公司,150-500人,海淀区,硕士,B轮,移动互联网,116.311424,40.027368,全职,不限
63,4014807,语音识别算法工程师,北京,2018-04-18 20:20:46,35.0,172285,猎户星空,北京猎户星空科技有限公司,150-500人,朝阳区,本科,A轮,"移动互联网,硬件",116.458741,39.932851,全职,不限
