,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,3981996,CDN开发工程师,北京,2018-04-27 10:57:53,19.0,129,陌陌,北京陌陌科技有限公司,500-2000人,朝阳区,本科,上市公司,社交网络,115.99339,39.99426,全职,1-3年,"['岗位晋升', '帅哥多', '管理规范', '技能培训']"
1,4215313,CDN研发工程师,北京,2018-04-11 15:03:06,21.0,66824,SpeedyCloud,北京迅达云成科技有限公司,50-150人,朝阳区,本科,B轮,数据服务,116.49033,39.97426,全职,3-5年,"['节日礼物', '年底双薪', '绩效奖金', '岗位晋升']"
2,4402085,CDN工程师/架构师,北京,2018-04-25 15:50:36,21.0,1880,快手,北京达佳互联信息技术有限公司,500-2000人,海淀区,本科,D轮及以上,移动互联网,116.316508,39.984066,全职,1-3年,"['股票期权', '弹性工作', '定期体检', '岗位晋升']"
3,3608753,高级系统工程师-CDN研发,北京,2018-04-24 20:09:17,28.0,62,字节跳动,北京字节跳动科技有限公司,2000人以上,海淀区,本科,C轮,"移动互联网,数据服务",116.332602,39.971268,全职,3-5年,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']"
4,3476916,高级运维工程师-CDN方向,北京,2018-04-28 15:55:15,24.0,8103,汽车之家,北京车之家信息技术有限公司,2000人以上,海淀区,本科,上市公司,"移动互联网,文化娱乐",116.311989,39.979473,全职,3-5年,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']"
5,3011395,Java开发工程师-厦门CDN,厦门,2018-04-28 15:03:48,12.0,19313,网宿科技,网宿科技股份有限公司北京分公司,2000人以上,思明区,本科,上市公司,移动互联网,117.993493,23.994066,全职,3-5年,"['年底双薪', '五险一金', '交通补助', '带薪年假']"
6,4487991,CDN工程师,北京,2018-04-26 15:25:03,28.0,146581,武汉爱尚科言信息科技有限公司,武汉爱尚科言信息科技有限公司,15-50人,海淀区,本科,不需要融资,其他,116.337742,39.992894,全职,3-5年,"['绩效奖金', '年底双薪', '扁平管理', '弹性工作']"
7,3822326,cdn高级研发工程师,成都,2018-04-27 11:18:21,11.2,15899,谛听,成都谛听科技股份有限公司,50-150人,高新区,本科,上市公司,移动互联网,104.070101,30.550622,全职,3-5年,"['绩效奖金', '股票期权', '五险一金', '带薪年假']"
8,4304082,融合 CDN 研发工程师,武汉,2018-04-23 16:40:45,17.8,31164,青云,北京优帆科技有限公司,150-500人,洪山区,本科,D轮及以上,数据服务,0.0,0.0,全职,3-5年,"['技能培训', '股票期权', '带薪年假', '绩效奖金']"
9,4367319,CDN研发,广州,2018-04-03 15:22:21,8.8,205899,英达通信,深圳英达通信技术有限公司,15-50人,天河区,本科,未融资,"电子商务,企业服务",113.334935,23.132802,全职,3-5年,[]
10,4095196,CDN开发工程师-C/C++,上海,2018-04-25 12:00:11,21.0,30830,哔哩哔哩,上海幻电信息科技有限公司,2000人以上,杨浦区,本科,上市公司,"移动互联网,文化娱乐",121.506437,31.308258,全职,3-5年,"['带薪年假', '绩效奖金', '交通补助', '午餐补助']"
11,3390239,CDN运维,上海,2018-04-23 17:22:43,12.4,17291,PPTV聚力,上海聚力传媒技术有限公司,500-2000人,浦东新区,大专,D轮及以上,文化娱乐,121.583487,31.199996,全职,1-3年,"['技能培训', '绩效奖金', '岗位晋升', '扁平管理']"
12,4254125,创新型CDN调度职位,北京,2018-04-27 10:47:31,28.0,79086,网心科技,深圳市网心科技有限公司,150-500人,海淀区,本科,未融资,"移动互联网,企业服务",116.331999,39.977084,全职,不限,"['股票期权', '带薪年假', '绩效奖金', '定期体检']"
13,3989126,CDN调度开发工程师,北京,2018-04-09 15:49:43,24.0,163147,115科技,广东一一五科技股份有限公司,150-500人,海淀区,本科,B轮,移动互联网,116.300028,40.049517,全职,3-5年,[]
14,2671557,资深CDN系统/研发工程师（上海）,上海,2018-04-26 17:22:17,21.0,24748,平安科技,平安科技（深圳）有限公司,2000人以上,浦东新区,不限,不需要融资,金融,121.66697,31.237772,全职,不限,"['节日礼物', '年度旅游', '岗位晋升', '技能培训']"
15,4402046,CDN工程师/架构师,北京,2018-04-25 15:50:36,21.0,1880,快手,北京达佳互联信息技术有限公司,500-2000人,海淀区,本科,D轮及以上,移动互联网,116.316508,39.984066,全职,1-3年,"['股票期权', '弹性工作', '定期体检', '岗位晋升']"
16,4381362,CDN研发工程师,深圳,2018-04-08 13:54:03,14.0,133225,泽云科技,深圳市泽云科技有限公司,15-50人,南山区,本科,未融资,"硬件,其他",113.944963,22.557542,全职,1-3年,"['带薪年假', '定期体检', '五险一金', '岗位晋升']"
17,3932576,创新型CDN调度工程师,北京,2018-04-24 17:48:22,28.0,79086,网心科技,深圳市网心科技有限公司,150-500人,海淀区,本科,未融资,"移动互联网,企业服务",116.331999,39.977084,全职,3-5年,"['股票期权', '带薪年假', '绩效奖金', '定期体检']"
18,3843735,产品经理（CDN产品）,深圳,2018-04-28 14:23:43,14.0,29231,新华云帆,深圳市新华云帆科技有限公司,150-500人,南山区,本科,B轮,数据服务,113.952443,22.534929,全职,3-5年,"['年底双薪', '节日礼物', '春节16天假', '带薪年假']"
19,4200386,CDN研发工程师,北京,2018-04-09 15:33:28,26.0,1575,百度,百度在线网络技术（北京）有限公司,2000人以上,海淀区,本科,不需要融资,"移动互联网,数据服务",116.301396,40.050909,全职,3-5年,"['股票期权', '弹性工作', '五险一金', '免费班车']"
20,4267979,CDN缓存工程师,厦门,2018-04-25 16:24:46,19.0,270394,游天科技,厦门游天科技有限公司,15-50人,思明区,大专,未融资,移动互联网,118.194656,24.494659,全职,3-5年,"['年底双薪', '绩效奖金', '带薪年假', '年终分红']"
21,38922,系统开发工程师（偏 CDN 方向）,杭州,2018-04-24 10:44:09,18.2,126,又拍云,杭州又拍云科技有限公司,150-500人,西湖区,大专,B轮,生活服务,120.089003,30.28933,全职,1-3年,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']"
22,4224207,高级CDN研发系统工程师,北京,2018-04-24 20:12:15,28.0,62,字节跳动,北京字节跳动科技有限公司,2000人以上,海淀区,本科,C轮,"移动互联网,数据服务",116.332602,39.971268,全职,3-5年,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']"
23,3156258,CDN运维工程师（深圳）,深圳,2018-04-25 11:53:06,12.0,165,UCloud,上海优刻得信息科技有限公司,500-2000人,南山区,本科,D轮及以上,"数据服务,企业服务",113.940008,22.540521,全职,3-5年,"['节日礼物', '技能培训', '股权激励计划', '代码改变世界']"
24,4095164,CDN开发工程师-全栈开发,上海,2018-04-25 12:00:09,21.0,30830,哔哩哔哩,上海幻电信息科技有限公司,2000人以上,杨浦区,本科,上市公司,"移动互联网,文化娱乐",121.506437,31.308258,全职,3-5年,"['带薪年假', '绩效奖金', '交通补助', '午餐补助']"
25,2343654,CDN研发工程师,深圳,2018-04-17 08:43:06,10.8,133902,九河网络,深圳九河网络科技有限公司,15-50人,龙岗区,本科,未融资,"移动互联网,数据服务",114.129506,22.604448,全职,1-3年,"['带薪年假', '绩效奖金', '年终分红']"
26,4346256,CDN调度研发工程师,北京,2018-04-19 16:32:50,21.0,114110,乐视,乐视网信息技术（北京）股份有限公司,2000人以上,朝阳区,本科,上市公司,移动互联网,116.492605,39.934758,全职,3-5年,"['股票期权', '交通补助', '通讯津贴', '带薪年假']"
27,4269042,CDN运维工程师,上海,2018-04-27 18:47:58,11.4,26467,思华科技,上海思华科技股份有限公司,150-500人,浦东新区,本科,D轮及以上,移动互联网,121.60480567,31.20278946,全职,3-5年,"['节日礼物', '年底双薪', '专项奖金', '股票期权']"
