,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,3846035,IDC运维工程师,上海,2018-04-28 17:10:29,6.2,191872,Zenlayer,上海层峰网络科技有限公司,50-150人,静安区,本科,B轮,"数据服务,移动互联网",121.435759,31.292043,全职,1-3年,"['五险一金', '岗位晋升', '年度旅游', '定期体检']"
1,3516232,IDC运维工程师,北京,2018-05-01 20:08:47,21.0,62,字节跳动,北京字节跳动科技有限公司,2000人以上,海淀区,本科,C轮,"移动互联网,数据服务",116.332602,39.971268,全职,1-3年,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']"
2,4434054,IDC运维工程师,北京,2018-04-28 11:46:09,21.0,1880,快手,北京达佳互联信息技术有限公司,500-2000人,海淀区,本科,D轮及以上,移动互联网,116.338727,39.999302,全职,3-5年,"['股票期权', '弹性工作', '定期体检', '岗位晋升']"
3,4388083,IDC运维工程师,上海,2018-04-27 10:52:35,7.0,99341,盛付通,上海盛付通电子支付服务有限公司,150-500人,浦东新区,大专,不需要融资,"移动互联网,金融",39.897445,116.331398,全职,3-5年,"['带薪年假', '绩效奖金', '年度旅游', '定期体检']"
4,4296310,IDC运维工程师,杭州,2018-04-28 14:44:50,4.4,301949,杭州溥弛,杭州溥弛信息技术有限公司,50-150人,萧山区,大专,不需要融资,"移动互联网,硬件",120.205324,30.067198,全职,不限,"['通讯津贴', '绩效奖金', '技能培训', '管理规范']"
5,3561152,IDC运维,杭州,2018-04-27 09:34:47,16.8,255742,PingPong金融,杭州呯嘭智能技术有限公司,150-500人,滨江区,本科,B轮,"金融,电子商务",120.211816,30.20856,全职,3-5年,"['持牌金融机构', '跨境支付', '跨境金融', '国际化团队']"
6,4456949,IDC运维,杭州,2018-04-27 15:56:54,19.0,3864,51信用卡管家,杭州恩牛网络技术有限公司,500-2000人,西湖区,不限,C轮,"金融,数据服务",120.061872,30.289773,全职,5-10年,"['节日礼物', '专项奖金', '带薪年假', '扁平管理']"
7,3099540,OPL-IDC运维工程师,上海,2018-04-25 11:53:08,6.2,165,UCloud,上海优刻得信息科技有限公司,500-2000人,杨浦区,大专,D轮及以上,"数据服务,企业服务",121.542014,31.27616,全职,1-3年,"['节日礼物', '技能培训', '股权激励计划', '代码改变世界']"
8,4297141,IDC运维工程师,北京,2018-04-28 15:34:35,9.6,287849,弘道,北京弘道智慧中医技术有限公司,50-150人,海淀区,本科,不需要融资,"医疗健康,数据服务",116.3075,39.983783,全职,1-3年,"['""""']"
9,4400394,IDC,杭州,2018-04-28 10:14:52,5.6,117217,博悦科创,深圳市博悦科创科技有限公司,500-2000人,西湖区,本科,不需要融资,移动互联网,120.08773,30.12958,全职,1-3年,"['年底双薪', '定期体检', '绩效奖金', '技能培训']"
10,4406013,高级运维工程师（IDC系统）,北京,2018-04-26 14:09:20,21.0,956,金山云,北京金山云网络技术有限公司,500-2000人,海淀区,本科,C轮,"移动互联网,数据服务",116.32274,40.03674,全职,3-5年,"['技能培训', '节日礼物', '瑜伽房', '免费班车']"
11,4384436,IDC运维,深圳,2018-04-28 09:19:15,5.6,109833,云漫网络,深圳市云中漫网络科技有限公司,15-50人,宝安区,大专,不需要融资,"数据服务,电子商务",113.92919,22.682742,全职,1-3年,"['年底双薪', '带薪年假', '节日礼物', '岗位晋升']"
12,2863739,监控工程师（IDC运维-初级）,杭州,2018-04-24 15:24:31,4.8,719,顺网科技,杭州顺网科技股份有限公司,500-2000人,西湖区,大专,上市公司,"游戏,文化娱乐",0.0,0.0,全职,不限,"['技能培训', '节日礼物', '年度旅游', '岗位晋升']"
13,4494788,IDC网络运维工程师,北京,2018-04-27 16:10:25,14.0,33059,健客网,广东健客医药有限公司,500-2000人,朝阳区,本科,A轮,"电子商务,医疗健康",116.406994,39.975185,全职,3-5年,"['节日礼物', '技能培训', '绩效奖金', '年度旅游']"
14,4075342,IT运维工程师（IDC运维）,上海,2018-04-23 13:31:17,6.8,197847,国富光启,上海国富光启云计算科技股份有限公司,150-500人,宝山区,大专,上市公司,数据服务,121.424271,31.412098,全职,3-5年,[]
15,4400247,IDC,杭州,2018-04-11 09:09:55,8.2,117217,博悦科创,深圳市博悦科创科技有限公司,500-2000人,西湖区,大专,不需要融资,移动互联网,,,全职,1-3年,"['年底双薪', '定期体检', '绩效奖金', '技能培训']"
16,3810946,IDC工程师,上海,2018-04-28 17:10:28,6.2,191872,Zenlayer,上海层峰网络科技有限公司,50-150人,静安区,本科,B轮,"数据服务,移动互联网",121.435759,31.292043,全职,1-3年,"['五险一金', '岗位晋升', '年度旅游', '定期体检']"
