,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4352270,IT支持,深圳,2018-05-02 11:38:32,5.8,90570,Doo Holding,中国都会控股集团有限公司,50-150人,南山区,本科,A轮,金融,113.91389,22.540677,全职,1-3年,"['周末双休', '年轻团队', '朝十晚六', '技能培训']"
1,4056696,IT支持,上海,2018-05-03 09:48:43,6.8,128998,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,徐汇区,本科,不需要融资,"移动互联网,金融",121.462683,31.1871,全职,1-3年,[]
2,4003802,IT支持,杭州,2018-05-02 11:45:02,4.2,301949,杭州溥弛,杭州溥弛信息技术有限公司,50-150人,滨江区,本科,不需要融资,"移动互联网,硬件",0.0,0.0,全职,不限,"['通讯津贴', '绩效奖金', '技能培训', '管理规范']"
3,2039880,IT支持,无锡,2018-04-28 14:19:58,3.8,3246,帆软软件,南京帆软软件有限公司,500-2000人,南长区,大专,不需要融资,数据服务,120.31590364,31.556506858,全职,应届毕业生,"['技能培训', '股票期权', '带薪年假', '年度旅游']"
4,3581986,IT支持,上海,2018-04-27 18:03:26,6.2,82712,缔安,上海缔安科技股份有限公司,50-150人,长宁区,本科,B轮,移动互联网,121.356187,31.220756,全职,应届毕业生,"['技能培训', '节日礼物', '股票期权', '绩效奖金']"
5,2695546,IT支持,武汉,2018-05-03 09:30:10,4.8,7902,好巧,北京好巧国际旅行社有限公司,150-500人,东湖新技术开发区,大专,B轮,数据服务,114.425351,30.457034,全职,1-3年,"['五险一金', '弹性工作', '扁平管理', '百万医疗']"
6,4445451,IT支持,深圳,2018-04-26 15:47:12,6.6,117189,追一科技,深圳追一科技有限公司,150-500人,南山区,本科,B轮,"移动互联网,企业服务",113.946882,22.546157,全职,1年以下,"['期权激励', '年底双薪', '带薪年假', '节日礼物']"
7,1222544,IT支持,上海,2018-05-02 11:01:24,7.6,42899,小蚁,上海小蚁科技有限公司,150-500人,浦东新区,本科,C轮,"移动互联网,硬件",116.33346224,40.02762128,全职,1-3年,"['年底双薪', '节日礼物', '技能培训', '年度旅游']"
8,3815497,it支持,武汉,2018-04-12 09:24:16,4.8,119728,千硕教育,武汉千硕教育咨询有限公司,150-500人,洪山区,大专,未融资,移动互联网,114.375929,30.517239,全职,1-3年,"['带薪年假', '绩效奖金', '年度旅游', '美女多']"
9,2249655,IT支持,上海,2018-05-02 16:24:29,8.8,30830,哔哩哔哩,上海幻电信息科技有限公司,2000人以上,浦东新区,本科,上市公司,"移动互联网,文化娱乐",121.99341,30.994275,全职,1-3年,"['带薪年假', '绩效奖金', '交通补助', '午餐补助']"
10,2696160,高级IT支持,上海,2018-05-02 18:40:08,7.6,94027,斑马旅游,上海歌晨信息技术有限公司,150-500人,浦东新区,本科,A轮,"电子商务,旅游",121.99341,30.994275,全职,1-3年,"['技能培训', '股票期权', '带薪年假', '扁平管理']"
11,2274612,IT支持,深圳,2018-05-02 10:30:38,4.8,139904,Manpower,深圳市孩儿宝文化培训有限公司,2000人以上,南山区,大专,上市公司,"企业服务,数据服务",113.91750617,22.49508589,全职,不限,"['带薪年假', '交通补助', '定期体检', '年底双薪']"
12,4443431,IT支持工程师,珠海,2018-05-02 17:44:02,4.8,9365,西山居游戏,成都西山居互动娱乐科技有限公司珠海分公司,2000人以上,香洲区,大专,不需要融资,游戏,113.601232,22.34792,全职,1-3年,"['绩效奖金', '股票期权', '专项奖金', '年底双薪']"
13,4496463,IT支持工程师,广州,2018-05-02 20:39:43,6.6,146798,Bigo,广州市百果园网络科技有限公司,500-2000人,番禺区,大专,C轮,"移动互联网,社交网络",113.349112,23.007024,全职,不限,"['年底双薪', '五险一金', '年终奖', '班车接送']"
14,4283338,IT支持工程师,广州,2018-05-03 09:47:35,11.2,658,三七互娱,三七互娱（上海）科技有限公司,2000人以上,天河区,不限,上市公司,游戏,112.993461,22.994261,全职,1-3年,"['绩效奖金', '五险一金', '通讯津贴', '交通补助']"
15,3288472,IT支持,上海,2018-04-28 17:31:48,6.8,128998,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,静安区,大专,不需要融资,"移动互联网,金融",121.458959,31.266934,全职,1-3年,[]
16,3230313,IT支持,上海,2018-04-27 18:03:26,7.4,82712,缔安,上海缔安科技股份有限公司,50-150人,长宁区,本科,B轮,移动互联网,121.356187,31.220756,全职,1-3年,"['技能培训', '节日礼物', '股票期权', '绩效奖金']"
17,4009010,中高级IT支持,杭州,2018-05-02 11:45:02,4.8,301949,杭州溥弛,杭州溥弛信息技术有限公司,50-150人,滨江区,本科,不需要融资,"移动互联网,硬件",0.0,0.0,全职,不限,"['通讯津贴', '绩效奖金', '技能培训', '管理规范']"
18,2528455,IT支持,深圳,2018-04-28 17:57:50,6.8,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,南山区,大专,不需要融资,移动互联网,113.918359,22.494702,全职,应届毕业生,"['带薪年假', '计算机软件', '管理规范', '定期体检']"
19,4463524,IT支持主管,北京,2018-04-26 14:35:04,19.0,1561,Face++,北京旷视科技有限公司,500-2000人,海淀区,本科,C轮,"移动互联网,硬件",0.0,0.0,全职,3-5年,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']"
20,4454577,it支持,重庆,2018-04-20 10:41:28,3.4,369808,重庆保利皇冠假日酒店,保利（重庆）投资实业有限公司酒店管理分公司,150-500人,渝北区,本科,不需要融资,旅游,106.570845,29.664006,全职,1-3年,"['""""']"
21,4459073,it支持,上海,2018-04-20 18:28:28,5.6,366387,LESAK,上海砺视鲲泓信息科技有限公司,15-50人,浦东新区,本科,未融资,企业服务、医疗健康,,,全职,1-3年,"['""""']"
22,4224549,网络管理员/IT支持,深圳,2018-05-02 16:06:06,5.8,118612,科安数字,深圳市科安数字有限公司,150-500人,龙岗区,大专,上市公司,"移动互联网,电子商务",114.0695,22.624627,全职,1-3年,"['股票期权', '绩效奖金', '带薪年假', '年终分红']"
23,1915839,IT支持,北京,2018-04-28 15:38:42,5.6,129949,光华基金会,北京光华慈善基金会,少于15人,东城区,本科,不需要融资,其他,116.43058694,39.90857689,全职,应届毕业生,"['带薪年假', '午餐补助', '定期体检', '绩效奖金']"
24,4252649,IT支持,成都,2018-04-23 13:16:48,4.8,280515,千氪财经,成都千氪网络科技有限公司,50-150人,高新区,本科,A轮,"移动互联网,数据服务",0.0,0.0,全职,1-3年,"['定期体检', '午餐补助', '专项奖金', '年度旅游']"
25,4225777,IT支持,上海,2018-04-24 17:50:55,8.4,107784,拼多多,上海寻梦信息技术有限公司,500-2000人,长宁区,本科,C轮,"电子商务,移动互联网",121.402636,31.208967,全职,1-3年,"['股票期权', '专项奖金', '弹性工作', '扁平管理']"
26,4415805,it支持工程师,杭州,2018-04-13 10:37:23,7.6,56234,小泰科技,浙江小泰科技有限公司,150-500人,滨江区,不限,不需要融资,金融,120.201625,30.188864,全职,3-5年,"['全员持股', '技能培训', '互联网氛围', '五险一金']"
27,4009116,IT支持实习生,广州,2018-04-10 09:28:06,2.8,22790,网易游戏,广州博冠信息科技有限公司,2000人以上,天河区,本科,上市公司,游戏,112.993461,22.994261,实习,应届毕业生,"['绩效奖金', '年终分红', '专项奖金', '年底双薪']"
28,4184252,it支持,北京,2018-05-02 10:03:32,6.2,312419,吾好科技,北京吾好科技发展有限公司,50-150人,朝阳区,大专,A轮,教育 移动互联网,0.0,0.0,全职,1-3年,"['从0-1', '激情团队', '高速成长', '内部晋升']"
29,1378116,IT支持/实施工程师,南京,2018-04-23 11:52:12,7.0,111138,嵩讯科技,南京嵩讯科技开发有限公司,50-150人,江宁区,大专,未融资,"移动互联网,电子商务",118.77933982,31.95199043,全职,1-3年,"['年底双薪', '交通补助', '带薪年假', '午餐补助']"
30,3944886,IT支持工程师,广州,2018-04-10 09:27:57,8.4,22790,网易游戏,广州博冠信息科技有限公司,2000人以上,天河区,大专,上市公司,游戏,112.993461,22.994261,全职,1-3年,"['绩效奖金', '年终分红', '专项奖金', '年底双薪']"
31,3270040,IT支持工程师,上海,2018-04-24 10:14:15,14.0,6542,小红书,行吟信息科技（上海）有限公司,500-2000人,黄浦区,本科,C轮,"生活服务,电子商务",121.474421,31.215876,全职,1-3年,"['年度旅游', '节日礼物', '专项奖金', '带薪年假']"
32,4440026,IT支持工程师,上海,2018-05-02 10:56:06,14.0,13171,秒针系统,秒针信息技术有限公司,500-2000人,长宁区,本科,D轮及以上,"数据服务,广告营销",121.43024,31.21075,全职,3-5年,"['六险一金', '年底双薪', '绩效奖金', '完成E轮融资']"
33,3563576,IT支持工程师,北京,2018-05-02 23:11:58,7.2,84503,ARC,北京安锐卓越信息技术有限公司,50-150人,海淀区,本科,上市公司,"移动互联网,广告营销",116.317964,39.973508,全职,1-3年,"['节日礼物', '带薪年假', '绩效奖金', '年度旅游']"
34,2451274,IT支持,北京,2018-05-02 09:40:34,8.4,47519,圣博润,北京圣博润高新技术股份有限公司,150-500人,海淀区,本科,上市公司,信息安全,115.99339,39.99426,全职,1-3年,"['带薪年假', '五险一金', '管理规范', '岗位晋升']"
35,4291479,IT支持,深圳,2018-05-02 10:08:41,14.0,9253,富途证券,富途网络科技（深圳）有限公司,150-500人,南山区,本科,C轮,"移动互联网,金融",39.897445,116.331398,全职,3-5年,"['年底双薪', '腾讯系', '互联网金融', '年度体检']"
36,3838405,IT支持,上海,2018-05-02 14:46:01,5.8,169794,XNode,创限（上海）众创空间管理有限公司,15-50人,静安区,不限,不需要融资,"企业服务,其他",121.443766,31.219726,全职,不限,[]
37,3827369,IT支持/桌面运维工程师,北京,2018-05-02 13:30:22,5.8,25056,无二之旅,北京无二之旅科技有限公司,150-500人,朝阳区,大专,B轮,旅游,115.99339,39.99426,全职,1-3年,"['股票期权', '五险一金', '带薪年假', '弹性工作']"
38,3174251,桌面/基础工程师（IT支持）(001081),北京,2018-05-02 10:50:26,6.2,104947,国美控股集团,国美控股集团有限公司,2000人以上,朝阳区,大专,不需要融资,"移动互联网,电子商务",116.466458,39.959036,全职,1-3年,[]
39,4312561,IT支持/运维,北京,2018-05-02 10:00:40,8.8,43620,湘与香缘,北京与缘餐饮管理有限公司,50-150人,海淀区,本科,不需要融资,"社交网络,生活服务",116.30899,39.981654,全职,不限,"['节日礼物', '股票期权', '岗位晋升', '领导好']"
40,4461481,IT支持工程师,北京,2018-04-22 13:37:22,7.0,153644,小马快印,武汉小马云印信息技术有限公司北京分公司,500-2000人,朝阳区,不限,不需要融资,"移动互联网,生活服务",116.491646,39.899653,全职,不限,"['交通补助', '午餐补助', '弹性工作', '节日礼物']"
41,3785674,IT支持工程师,北京,2018-04-25 16:18:47,5.2,33893,渠道网络,北京市渠道网络技术开发有限公司,500-2000人,丰台区,本科,D轮及以上,"电子商务,O2O",116.28554,39.83047,全职,应届毕业生,"['技能培训', '节日礼物', '专项奖金', '免费班车']"
42,4445275,IT支持工程师,北京,2018-04-18 18:26:47,21.0,18139,京东集团,北京京东世纪贸易有限公司,2000人以上,通州区,本科,上市公司,"电子商务,数据服务",0.0,0.0,全职,3-5年,"['五险一金', '带薪年假', '免费班车', '定期体检']"
43,4460150,it支持,上海,2018-04-21 11:55:11,10.4,370749,钟薛高,钟薛高食品（上海）有限公司,50-150人,黄浦区,大专,A轮,电子商务 其他,121.462911,31.210562,全职,3-5年,"['""""']"
44,3973867,IT支持实习生,上海,2018-04-10 17:34:35,4.2,164989,哈罗单车,上海钧正网络科技有限公司,2000人以上,闵行区,大专,D轮及以上,"移动互联网,硬件",121.363974,31.12276,实习,1年以下,"['绩效奖金', '年底双薪', '股票期权', '交通补助']"
45,1276277,IT支持工程师,上海,2018-04-24 10:14:14,9.4,6542,小红书,行吟信息科技（上海）有限公司,500-2000人,黄浦区,大专,C轮,"生活服务,电子商务",121.47013999,31.21771986,全职,不限,"['年度旅游', '节日礼物', '专项奖金', '带薪年假']"
