,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4070140,系统安全工程师,西安,2018-05-02 10:56:48,18.2,20955,Yeahmobi,西安点告网络科技有限公司,150-500人,高新技术产业开发区,本科,上市公司,移动互联网,108.83696,34.207169,全职,3-5年,"['节日礼物', '技能培训', '绩效奖金', '年度旅游']"
1,2583589,系统安全工程师,哈尔滨,2018-05-02 11:18:32,4.8,38414,安天,哈尔滨安天科技股份有限公司,500-2000人,松北区,不限,未融资,信息安全,126.512155,45.798207,全职,3-5年,"['工程师文化', '年底双薪', '专项奖金', '免费班车']"
2,3264878,系统安全工程师,深圳,2018-05-02 09:51:45,17.0,179243,云集,浙江集商优选电子商务有限公司,500-2000人,宝安区,大专,B轮,"电子商务,移动互联网",113.864071,22.584243,全职,3-5年,"['绩效奖金', '股票期权', '五险一金', '午餐补助']"
3,4265450,系统安全工程师,北京,2018-05-03 00:14:29,28.0,36031,一起科技,上海一起作业信息科技有限公司,500-2000人,朝阳区,本科,D轮及以上,"移动互联网,教育",116.48597,40.000355,全职,5-10年,"['节日礼物', '岗位晋升', '扁平管理', '领导好']"
4,4233013,安全工程师（系统安全）-派遣岗J11087,西安,2018-05-02 10:17:04,15.8,30648,绿盟科技,北京神州绿盟信息安全科技股份有限公司,500-2000人,高新技术产业开发区,本科,上市公司,信息安全,108.893552,34.235398,全职,5-10年,"['技能培训', '节日礼物', '股票期权', '带薪年假']"
5,4483038,系统安全工程师,深圳,2018-05-02 09:17:15,24.0,165902,玖富证券,深圳市玖富网络科技有限公司,50-150人,南山区,本科,不需要融资,"移动互联网,金融",113.944775,22.546118,全职,5-10年,[]
6,4024454,系统安全工程师,北京,2018-05-02 10:52:45,24.0,29337,和信贷,和信电子商务有限公司,150-500人,朝阳区,本科,上市公司,金融,116.47094,39.90763,全职,3-5年,"['节日礼物', '专项奖金', '股票期权', '绩效奖金']"
7,4009348,系统安全工程师-无人车,北京,2018-05-02 10:10:43,26.0,50702,美团点评,北京三快在线科技有限公司,2000人以上,朝阳区,本科,D轮及以上,"移动互联网,O2O",116.486654,40.007208,全职,3-5年,"['技能培训', '绩效奖金', '岗位晋升', '领导好']"
8,4014609,系统安全工程师,北京,2018-04-26 15:58:20,21.0,262476,中化能源科技有限公司,中化石油有限公司,2000人以上,海淀区,本科,不需要融资,"移动互联网,电子商务",116.308811,39.983578,全职,5-10年,"['午餐补助', '年终分红']"
9,4181450,系统安全工程师,杭州,2018-05-02 09:07:16,14.0,21236,微医集团,浙江康健绿线网络技术有限公司,500-2000人,萧山区,本科,C轮,"移动互联网,医疗健康",120.247338,30.204082,全职,不限,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']"
10,4389060,系统安全工程师,北京,2018-05-02 18:06:20,24.0,27807,现在支付,现在（北京）支付股份有限公司,150-500人,西城区,本科,上市公司,移动互联网,116.365539,39.940422,全职,3-5年,"['五险一金', '岗位晋升', '美女多', '领导好']"
11,4191639,系统安全工程师,上海,2018-04-17 10:18:22,21.0,21775,DJI大疆创新,深圳市大疆创新科技有限公司,2000人以上,浦东新区,本科,未融资,"移动互联网,硬件",121.583944,31.197664,全职,不限,"['朝阳行业', '丰厚薪资待遇', '年终发车', '扁平管理']"
12,4333722,系统安全工程师,北京,2018-05-02 10:06:53,17.8,3786,宜信,普信恒业科技发展（北京）有限公司,2000人以上,朝阳区,本科,上市公司,金融,0.0,0.0,全职,3-5年,"['管理规范', '技能培训', '扁平管理', '弹性工作']"
13,2233566,系统安全开发工程师,广州,2018-05-02 10:20:59,12.0,92075,大圣科技,大圣科技股份有限公司,150-500人,荔湾区,本科,不需要融资,"移动互联网,O2O",113.241864,23.099835,全职,3-5年,"['五险一金', '扁平管理', '岗位晋升']"
14,4498328,系统安全工程师,西安,2018-04-28 11:37:54,19.6,126890,yeahmobi,西安点告网络科技有限公司,150-500人,高新技术产业开发区,本科,不需要融资,移动互联网,108.90781,34.239272,全职,5-10年,[]
15,4116841,系统安全工程师,哈尔滨,2018-04-23 10:05:51,4.8,38414,安天,哈尔滨安天科技股份有限公司,500-2000人,松北区,本科,未融资,信息安全,126.512372,45.797877,全职,不限,"['工程师文化', '年底双薪', '专项奖金', '免费班车']"
16,4246901,区块链-系统安全工程师,西安,2018-05-02 10:56:47,18.4,20955,Yeahmobi,西安点告网络科技有限公司,150-500人,高新技术产业开发区,本科,上市公司,移动互联网,108.83696,34.207169,全职,5-10年,"['节日礼物', '技能培训', '绩效奖金', '年度旅游']"
