,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4504988,系统工程师,上海,2018-05-02 11:25:50,13.2,84457,量投科技,上海量投网络科技有限公司,150-500人,浦东新区,本科,不需要融资,"移动互联网,金融",121.583268,31.199652,全职,3-5年,"['带薪年假', '绩效奖金', '节日福利', '年底双薪']"
1,4375306,系统工程师,广州,2018-05-02 09:47:31,7.2,166140,鼎捷软件,鼎捷软件股份有限公司,2000人以上,天河区,本科,上市公司,其他,113.347222,23.143984,实习,应届毕业生,"['带薪年假', '通讯津贴', '定期体检', '午餐补助']"
2,3522268,系统工程师,上海,2018-05-02 17:57:56,14.0,172297,国泰产险,国泰财产保险有限责任公司,500-2000人,浦东新区,本科,不需要融资,金融,121.522641,31.229847,全职,3-5年,[]
3,4070964,系统工程师,北京,2018-05-02 15:59:23,8.8,30648,绿盟科技,北京神州绿盟信息安全科技股份有限公司,500-2000人,海淀区,本科,上市公司,信息安全,116.30486001,39.94590007,全职,不限,"['技能培训', '节日礼物', '股票期权', '带薪年假']"
4,329838,系统工程师,北京,2018-05-03 09:43:35,21.0,534,京东金融,京东金融,2000人以上,通州区,本科,上市公司,金融,116.52117756,39.82198934,全职,3-5年,"['供应链金融', '消费金融', '众筹业务', '支付业务']"
5,2558798,系统工程师,深圳,2018-05-03 09:23:07,8.4,19313,网宿科技,网宿科技股份有限公司北京分公司,2000人以上,光明新区,大专,上市公司,移动互联网,113.895025,22.805262,全职,1-3年,"['年底双薪', '五险一金', '交通补助', '带薪年假']"
6,3656605,系统工程师,杭州,2018-05-02 12:13:33,7.0,83552,沃趣科技,杭州沃趣科技股份有限公司,50-150人,滨江区,本科,上市公司,"企业服务,数据服务",120.17566,30.18501,全职,1-3年,"['股票期权', '带薪年假', '绩效奖金', '年度旅游']"
7,4117110,系统工程师,上海,2018-05-02 10:25:14,14.0,38432,TutorABC英语,威比网络科技（上海）有限公司,2000人以上,虹口区,本科,C轮,"移动互联网,教育",0.0,0.0,全职,3-5年,"['技能培训', '年度旅游', '岗位晋升', '扁平管理']"
8,3924005,系统工程师,广州,2018-05-02 14:40:23,9.0,284199,云联国骥,广东云联国骥投资管理有限公司,500-2000人,海珠区,本科,不需要融资,电子商务,113.385147,23.102207,全职,3-5年,"['带薪年假', '餐费补贴', '交通补贴', '通讯补贴']"
9,4498581,系统工程师,杭州,2018-05-03 09:23:17,21.0,719,顺网科技,杭州顺网科技股份有限公司,500-2000人,西湖区,本科,上市公司,"游戏,文化娱乐",120.057035,30.286205,全职,3-5年,"['技能培训', '节日礼物', '年度旅游', '岗位晋升']"
10,4077711,系统工程师,北京,2018-05-03 10:26:25,28.0,67118,达闼科技,达闼科技（北京）有限公司,150-500人,朝阳区,本科,B轮,移动互联网,116.479397,39.995298,全职,3-5年,"['年底双薪', '技能培训', '绩效奖金', '岗位晋升']"
11,4309130,系统工程师,杭州,2018-05-02 19:41:07,21.0,166666,观远数据,杭州观数信息科技有限公司,15-50人,余杭区,本科,A轮,"企业服务,数据服务",120.017969,30.280435,全职,3-5年,"['股票期权', '绩效奖金', '带薪年假', '弹性工作']"
