,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,2905200,系统管理员,杭州,2018-04-28 11:22:17,6.8,9551,杭州悠可,杭州悠可化妆品有限公司,500-2000人,江干区,不限,上市公司,电子商务,119.993591,29.993662,全职,不限
1,4464303,系统管理员,深圳,2018-04-28 17:47:53,9.6,168101,CTAccel联捷科技,联捷计算科技（深圳）有限公司,50-150人,福田区,本科,A轮,"移动互联网,数据服务",114.062476,22.534205,全职,1-3年
2,2763739,系统管理员,上海,2018-04-28 10:38:53,31.0,6796,招商银行信用卡中心,招商银行股份有限公司信用卡中心,2000人以上,浦东新区,本科,上市公司,"移动互联网,金融",121.673868,31.247248,全职,3-5年
3,4439181,系统管理员,北京,2018-04-27 15:42:52,5.8,25096,空中网,北京空中信使信息技术有限公司,500-2000人,海淀区,本科,上市公司,"游戏,移动互联网",39.897445,116.331398,全职,1-3年
4,4406878,系统管理员,北京,2018-04-23 10:40:10,6.8,211711,麻辣诱惑,北京麻辣诱惑食品有限公司,500-2000人,朝阳区,大专,B轮,O2O、生活服务,116.50153,39.915173,全职,1-3年
5,2189116,系统管理员/网络管理员,上海,2018-04-28 16:33:40,7.6,42899,小蚁,上海小蚁科技有限公司,150-500人,浦东新区,大专,C轮,"移动互联网,硬件",121.60033634,31.20751102,全职,3-5年
6,4452580,系统管理员,深圳,2018-04-27 14:22:33,7.8,357416,华强方特集团,华强方特文化科技集团股份有限公司,2000人以上,南山区,本科,上市公司,文化娱乐,0.0,0.0,全职,1-3年
7,4492611,系统管理员,深圳,2018-04-27 11:38:30,5.8,111783,索信达,深圳索信达数据技术股份有限公司,150-500人,南山区,大专,上市公司,数据服务,113.95417,22.53554,全职,1-3年
8,4489132,系统管理员,长沙,2018-04-26 16:47:00,5.4,374292,湖南诚信旅游联盟,湖南旅乐旅游投资管理有限公司,15-50人,开福区,不限,不需要融资,旅游,112.986667,28.218829,全职,1-3年
9,4083915,系统管理员,东莞,2018-04-25 14:57:59,8.8,180060,东莞美宜佳,东莞市糖酒集团美宜佳便利店有限公司,500-2000人,东莞市市辖区,大专,不需要融资,其他,113.745011,23.024888,全职,1-3年
10,4464346,系统管理员,杭州,2018-04-23 13:04:33,4.8,254846,柔联物联网,深圳柔联物联网科技有限公司,15-50人,西湖区,大专,未融资,"移动互联网,硬件",120.129263,30.26772,全职,不限
11,4361991,系统管理员,广州,2018-04-26 14:33:23,8.4,174043,颉一软件,广州杰颉软件科技有限公司,15-50人,天河区,大专,A轮,"信息安全,数据服务",113.40631,23.150285,全职,1-3年
12,4433598,系统管理员,杭州,2018-04-17 13:18:08,3.8,65385,信雅达BPO,信雅达（杭州）计算机服务有限公司,2000人以上,下沙,大专,上市公司,金融,119.993591,29.993662,全职,1年以下
13,4413862,系统管理员,武汉,2018-04-12 18:03:00,5.8,159700,武汉巨人教育,武汉巨人大学城教育培训有限责任公司,2000人以上,武昌区,本科,不需要融资,教育,0.0,0.0,全职,1-3年
14,4197863,系统管理员,长沙,2018-04-20 17:13:00,8.2,332569,新环境房屋网,湖南新环境网络科技有限公司,2000人以上,雨花区,本科,不需要融资,其他 移动互联网,0.0,0.0,全职,应届毕业生
15,3956186,系统管理员,上海,2018-04-11 23:03:45,3.8,6796,招商银行信用卡中心,招商银行股份有限公司信用卡中心,2000人以上,浦东新区,本科,上市公司,"移动互联网,金融",121.673868,31.247248,全职,3-5年
16,3718098,系统管理员/网络管理员,深圳,2018-04-28 16:33:40,7.0,42899,小蚁,上海小蚁科技有限公司,150-500人,南山区,本科,C轮,"移动互联网,硬件",113.941102,22.543473,全职,3-5年
17,4210269,系统管理员/网络管理员,广州,2018-04-25 08:48:46,4.2,1175,灵机文化,广东灵机文化传播有限公司,150-500人,天河区,大专,不需要融资,"移动互联网,电子商务",113.382986,23.119591,全职,1-3年
18,4420232,系统管理员,成都,2018-04-27 18:58:19,2.4,32424,图丰信息-成都,图丰信息（成都）有限责任公司,50-150人,金牛区,本科,不需要融资,"移动互联网,数据服务",104.048562,30.683326,实习,应届毕业生
