,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4009886,网络安全,上海,2018-04-19 17:33:36,21.0,82635,上海华瑞银行,上海华瑞银行股份有限公司,150-500人,浦东新区,本科,不需要融资,金融,121.531673,31.216762,全职,3-5年,"['绩效奖金', '扁平管理', '领导好', '美女多']"
1,3698780,网络安全,厦门,2018-04-25 14:04:18,12.6,165492,10com,厦门视我科技有限公司,15-50人,思明区,本科,不需要融资,"移动互联网,电子商务",118.078948,24.46038,全职,3-5年,"['年底双薪', '专项奖金', '带薪年假', '午餐补助']"
2,4487786,网络安全工程师（高薪稳定）,无锡,2018-05-01 09:26:01,4.8,233304,燃网络,南京网燃网络科技有限公司,少于15人,崇安区,大专,未融资,"移动互联网,游戏",120.307543,31.571228,全职,1年以下,[]
3,4301736,网络安全J10845,深圳,2018-04-28 09:08:47,19.0,41178,货拉拉手机打车软件,深圳依时货拉拉科技有限公司,500-2000人,福田区,本科,C轮,"移动互联网,O2O",114.059631,22.569077,全职,3-5年,"['技能培训', '专项奖金', '绩效奖金', '扁平管理']"
4,4121415,网络安全工程师,北京,2018-04-24 16:24:53,14.0,31317,中国金融认证中心,中金金融认证中心有限公司,500-2000人,西城区,本科,不需要融资,"金融,数据服务",116.372843,39.878089,全职,1-3年,"['年底双薪', '绩效奖金', '管理规范', '定期体检']"
5,3811601,网络安全工程师,广州,2018-04-28 16:44:10,16.8,225111,合众财富,深圳合众财富金融投资管理有限公司广州分公司,150-500人,天河区,大专,不需要融资,"金融,移动互联网",113.33033,23.115885,全职,3-5年,[]
6,4106215,网络安全工程师,郑州,2018-04-27 18:07:10,14.0,116333,象聚集团,河南象聚实业有限公司,500-2000人,高新区,大专,不需要融资,"移动互联网,金融",113.566392,34.817257,全职,3-5年,"['定期体检', '派对旅游', '六险一金', '绩效奖金']"
7,4388290,网络安全工程师,成都,2018-04-28 09:43:21,8.8,40328,成都市米彩科技有限公司,成都市米彩科技有限公司,150-500人,高新区,本科,不需要融资,"移动互联网,生活服务",104.053658,30.58135,全职,3-5年,"['带薪年假', '节日礼物', '五险一金', '包三餐']"
8,3022350,网络安全工程师,深圳,2018-04-28 10:32:19,29.0,164474,欣贵隆科技,深圳市欣贵隆科技有限公司,50-150人,南山区,本科,天使轮,移动互联网,113.947593,22.546344,全职,3-5年,"['年底双薪', '带薪年假', '交通补助', '午餐补助']"
9,4436389,网络安全,昆明,2018-04-17 16:46:05,8.8,287416,掘数科技,昆明掘数科技有限公司,15-50人,五华区,不限,不需要融资,数据服务、企业服务,102.661148,25.063258,全职,1-3年,"['股票期权', '带薪年假', '全勤奖', 'B2B2C']"
10,4131048,网络安全工程师,南京,2018-04-27 10:39:36,12.0,68822,广电猫猫,南京广电猫猫新媒体有限公司,150-500人,秦淮区,大专,不需要融资,"移动互联网,电子商务",118.785568,32.008309,全职,1-3年,"['年底双薪', '带薪年假', '绩效奖金', '岗位晋升']"
11,3255080,网络安全工程师,佛山,2018-04-28 08:34:20,15.2,29157,联塑集团,广东联塑科技实业有限公司,2000人以上,顺德区,本科,上市公司,生活服务,113.090377,22.870499,全职,3-5年,"['技能培训', '岗位晋升', '管理规范', '上市公司']"
12,4057018,网络安全工程师,上海,2018-04-26 15:59:57,12.6,18469,联璧集团,上海联璧电子科技（集团）有限公司,500-2000人,松江区,本科,B轮,"移动互联网,O2O",121.161028,31.047255,全职,1-3年,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']"
13,2014235,网络安全,北京,2018-04-28 18:04:05,21.0,4286,竞技世界,竞技世界（北京）网络技术有限公司,500-2000人,,本科,不需要融资,"移动互联网,游戏",116.31214448,40.03737722,全职,3-5年,"['节日礼物', '技能培训', '年底双薪', '年度旅游']"
14,3715506,网络安全工程师,郑州,2018-04-28 11:32:56,7.6,274570,信息安全研究院,河南信息安全研究院有限公司,50-150人,高新区,本科,不需要融资,"信息安全,数据服务",113.564469,34.821121,全职,3-5年,[]
15,3948915,网络安全工程师,南宁,2018-04-27 15:59:54,5.6,88751,广州中软,广州中软信息技术有限公司,500-2000人,青秀区,大专,不需要融资,"数据服务,硬件",108.337837,22.818788,全职,不限,"['五险一金', '管理规范', '领导好', '通讯津贴']"
16,4115834,网络安全工程师,哈尔滨,2018-04-23 10:05:52,5.8,38414,安天,哈尔滨安天科技股份有限公司,500-2000人,松北区,本科,未融资,信息安全,126.512372,45.797877,全职,不限,"['工程师文化', '年底双薪', '专项奖金', '免费班车']"
17,4384688,网络安全工程师,北京,2018-04-24 11:09:21,20.2,3450,北京捷越联合,北京捷越联合信息咨询有限公司,2000人以上,东城区,本科,不需要融资,金融,116.433658,39.919802,全职,3-5年,"['技能培训', '节日礼物', '岗位晋升', '扁平管理']"
18,4231967,安全工程师（网络安全）-派遣岗J11086,西安,2018-04-28 09:11:37,15.8,30648,绿盟科技,北京神州绿盟信息安全科技股份有限公司,500-2000人,高新技术产业开发区,本科,上市公司,信息安全,108.893552,34.235398,全职,5-10年,"['技能培训', '节日礼物', '股票期权', '带薪年假']"
19,4090413,网络工程师/网络安全工程师,上海,2018-04-26 14:06:47,9.4,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,闸北区,大专,不需要融资,移动互联网,0.0,0.0,全职,3-5年,"['带薪年假', '计算机软件', '管理规范', '定期体检']"
20,4337815,网络安全工程师（上海）,上海,2018-04-27 09:56:29,21.0,31945,孩子王,孩子王儿童用品股份有限公司,2000人以上,静安区,本科,上市公司,生活服务,121.45731,31.29657,全职,3-5年,"['节日礼物', '技能培训', '年度旅游', '岗位晋升']"
