,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,1450425,运维经理,北京,2018-04-28 13:39:11,16.8,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,本科,B轮,其他,116.357122,39.939268,全职,3-5年
1,4479956,运维经理,北京,2018-04-27 19:30:22,19.0,587,伙伴网,伙伴聚力（北京）科技有限公司,50-150人,海淀区,大专,A轮,企业服务,116.308171,40.036235,全职,3-5年
2,4141142,运维经理,上海,2018-04-26 09:53:38,24.0,6044,拍拍贷,上海拍拍贷金融信息服务有限公司,2000人以上,浦东新区,本科,上市公司,金融,0.0,0.0,全职,5-10年
3,4252467,运维经理,上海,2018-04-28 09:51:03,25.6,14983,游族网络,上海游族信息技术有限公司,500-2000人,徐汇区,不限,上市公司,"移动互联网,游戏",39.897445,116.331398,全职,5-10年
4,4362076,运维经理,北京,2018-04-26 20:43:14,21.0,123763,斗米,北京斗米优聘科技发展有限公司,500-2000人,海淀区,本科,B轮,"移动互联网,O2O",0.0,0.0,全职,5-10年
5,4332900,运维经理,深圳,2018-04-28 15:03:47,21.0,19313,网宿科技,网宿科技股份有限公司北京分公司,2000人以上,南山区,本科,上市公司,移动互联网,113.94636,22.54393,全职,5-10年
6,4493119,运维经理,泰州,2018-04-27 13:14:31,13.2,267905,上海炽聚,上海炽聚网络科技有限公司,50-150人,靖江市,本科,A轮,"电子商务,企业服务",120.264304,32.018962,全职,1-3年
7,4447707,高级运维工程师/运维经理,郑州,2018-04-27 18:07:10,14.0,116333,象聚集团,河南象聚实业有限公司,500-2000人,高新区,大专,不需要融资,"移动互联网,金融",113.566392,34.817257,全职,5-10年
8,4477914,运维经理,上海,2018-04-28 15:56:02,19.0,232421,上海元聚,上海元聚网络科技有限公司,150-500人,闵行区,不限,B轮,移动互联网,121.387755,31.169253,全职,3-5年
9,4337804,运维经理,上海,2018-04-24 15:41:17,19.0,37850,GeexFinance,即科金融信息服务（上海）有限公司,150-500人,杨浦区,本科,A轮,金融,121.509865,31.30946,全职,3-5年
10,2663638,运维经理,北京,2018-04-28 10:49:31,22.0,115859,中再融,中再融（北京）科技有限公司,50-150人,朝阳区,大专,天使轮,"移动互联网,金融",116.466223,39.961997,全职,3-5年
11,4236291,运维经理,广州,2018-04-24 15:25:05,16.8,65038,支点网络,广州支点网络科技股份有限公司,50-150人,天河区,大专,B轮,"移动互联网,社交网络",113.348976,23.1796,全职,3-5年
12,4182113,运维经理,南京,2018-04-27 10:43:18,20.8,83712,中地控股,江苏中地控股集团有限公司,500-2000人,建邺区,大专,不需要融资,"移动互联网,金融",118.741733,31.995581,全职,5-10年
13,4332558,运维经理,武汉,2018-04-24 18:24:21,21.0,181025,Today今天连锁便利,武汉今天梦想商贸有限公司,500-2000人,硚口区,本科,B轮,生活服务,114.355664,30.536123,全职,5-10年
14,4364585,运维经理,广州,2018-04-26 14:21:20,12.0,16073,航天精一,航天精一（广东）信息科技有限公司,150-500人,天河区,本科,上市公司,"移动互联网,数据服务",113.37263,23.123252,全职,3-5年
15,3831713,运维经理,北京,2018-04-28 13:39:11,28.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,本科,B轮,其他,116.357353,39.939211,全职,5-10年
16,3995712,运维经理,北京,2018-04-28 11:01:53,17.0,3038,Gridsum 国双,北京国双科技有限公司,500-2000人,海淀区,本科,上市公司,"数据服务,企业服务",116.332441,39.976021,全职,5-10年
17,2654058,运维经理,上海,2018-04-28 09:01:09,24.0,82556,瑛麒动漫,上海瑛麒动漫科技有限公司,15-50人,徐汇区,大专,A轮,"移动互联网,文化娱乐",121.43174,31.18668986,全职,5-10年
18,1887933,运维经理,广州,2018-04-27 09:39:44,21.0,12195,要出发,广州酷旅旅行社有限公司,500-2000人,,本科,D轮及以上,"电子商务,生活服务",,,全职,5-10年
19,4390203,运维经理,上海,2018-04-25 17:51:53,24.0,181489,极盛科技,珠海横琴极盛科技有限公司,500-2000人,浦东新区,本科,上市公司,"移动互联网,金融",121.531728,31.216657,全职,5-10年
20,4398836,运维经理（遵义）,遵义,2018-04-28 17:05:33,12.0,243778,斐讯技术,四川斐讯信息技术有限公司,2000人以上,红花岗区,大专,不需要融资,"信息安全,硬件",107.022967,27.709347,全职,3-5年
21,3925690,运维经理,上海,2018-04-17 15:02:10,10.2,82790,上海软件中心,上海计算机软件技术开发中心,150-500人,闵行区,本科,不需要融资,"移动互联网,数据服务",121.99341,30.994275,全职,3-5年
22,3759637,运维经理,北京,2018-04-24 10:45:24,31.0,27298,蓝信移动（北京）科技有限公司,蓝信移动（北京）科技有限公司,150-500人,朝阳区,本科,B轮,移动互联网,116.490161,39.982669,全职,5-10年
23,1376700,运维经理,苏州,2018-04-27 09:00:56,12.0,102896,CGeel千格,苏州千格信息科技有限公司,50-150人,吴中区,本科,不需要融资,"移动互联网,电子商务",120.52922991,31.2789698,全职,3-5年
24,4058541,项目经理/项目管理/运维经理,合肥,2018-04-27 16:49:45,8.4,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,包河区,大专,不需要融资,移动互联网,0.0,0.0,全职,5-10年
25,4437540,高级运维经理,深圳,2018-04-28 18:06:09,22.0,252932,深圳金夸克数字科技有限公司,深圳金夸克数字科技有限公司,50-150人,罗湖区,本科,未融资,"移动互联网,金融",114.120147,22.581327,全职,3-5年
