,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,3740029,CTO,杭州,2018-05-03 10:41:44,38.0,73675,店家科技,杭州店家科技有限公司,50-150人,余杭区,本科,A轮,企业服务,119.999328,30.28781,全职,5-10年,"['年底双薪', '带薪年假', '定期体检', '五险一金']"
1,4189700,首席架构师,苏州,2018-05-02 11:50:11,38.0,35384,智慧芽,智慧芽信息科技（苏州）有限公司,150-500人,工业园区,本科,C轮,移动互联网,120.657481,31.292894,全职,10年以上,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']"
2,4177175,首席架构师,厦门,2018-05-02 18:00:06,38.0,84086,笨鸟社交,厦门笨鸟电子商务有限公司,150-500人,思明区,本科,B轮,企业服务,118.174043,24.48295,全职,5-10年,"['高新企业', '扁平管理', '五险一金', '股票期权']"
3,4342397,CTO,北京,2018-05-03 09:20:30,46.599999999999994,191811,数字营国,北京数字营国信息技术有限公司,50-150人,海淀区,本科,不需要融资,"移动互联网,其他",116.281873,40.045957,全职,5-10年,"['年底双薪', '带薪年假', '午餐补助', '定期体检']"
4,4348285,CTO,杭州,2018-05-02 10:29:24,42.0,185979,风数,杭州风数信息科技有限公司,50-150人,余杭区,硕士,A轮,移动互联网,120.006319,30.277877,全职,5-10年,"['午餐补助', '带薪年假', '股票期权']"
5,4074884,首席架构师,北京,2018-04-28 16:30:03,46.0,27298,蓝信移动（北京）科技有限公司,蓝信移动（北京）科技有限公司,150-500人,朝阳区,本科,B轮,移动互联网,116.4901,39.982669,全职,10年以上,"['技能培训', '食堂三餐美食', '细分领域第一', '实干型团队！']"
6,4106221,首席架构师,郑州,2018-05-02 18:22:56,24.0,116333,象聚集团,河南象聚实业有限公司,500-2000人,高新区,大专,不需要融资,"移动互联网,金融",113.566392,34.817257,全职,5-10年,"['定期体检', '派对旅游', '六险一金', '绩效奖金']"
7,4508473,CTO&amp;COO业务助理,北京,2018-05-02 17:27:12,19.0,7835,金山办公软件,北京金山软件有限公司,2000人以上,海淀区,本科,上市公司,移动互联网,116.32274,40.036741,全职,3-5年,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']"
8,3390355,CTO,厦门,2018-05-03 09:39:26,45.0,165492,10com,厦门视我科技有限公司,15-50人,思明区,本科,不需要融资,"移动互联网,电子商务",118.078948,24.46038,全职,5-10年,"['年底双薪', '专项奖金', '带薪年假', '午餐补助']"
9,3856550,CTO,北京,2018-05-03 10:21:41,62.0,46399,会分期,会找房（北京）网络技术有限公司,150-500人,海淀区,本科,C轮,移动互联网、金融,116.301362,40.054996,全职,5-10年,"['节日礼物', '股票期权', '带薪年假', '年度旅游']"
10,3945252,CTO,上海,2018-05-03 09:53:13,28.0,228279,上海应应互联网,上海应应互联网科技有限公司,15-50人,浦东新区,不限,天使轮,"移动互联网,企业服务",121.628489,31.20805,全职,应届毕业生,[]
