,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,3780892,技术总监,宁波,2018-04-28 15:10:47,31.0,78225,草料二维码,宁波邻家网络科技有限公司,50-150人,海曙区,本科,未融资,"移动互联网,其他",0.0,0.0,全职,3-5年
1,3981750,技术总监,杭州,2018-04-27 09:12:20,34.0,26983,浙江冰峰,浙江冰峰科技有限公司,50-150人,滨江区,大专,不需要融资,游戏,120.19195,30.19735,全职,5-10年
2,4500389,技术总监,武汉,2018-04-30 02:37:17,24.0,140572,佰益源,武汉佰益源信息科技有限公司,50-150人,硚口区,本科,天使轮,"移动互联网,企业服务",114.194181,30.604995,全职,5-10年
3,4235818,技术总监,郑州,2018-04-28 15:58:49,17.0,324006,钱通控股集团,河南钱通投资管理有限公司,50-150人,郑东新区,本科,未融资,金融,113.735209,34.772265,全职,5-10年
4,4483519,技术总监,武汉,2018-04-26 14:19:41,21.0,212032,尚德机构,北京尚德在线教育科技有限公司,2000人以上,洪山区,本科,上市公司,教育,0.0,0.0,全职,5-10年
5,3930701,技术总监,厦门,2018-04-28 17:58:45,29.0,26742,趣游（厦门）科技有限公司,趣游（厦门）科技有限公司,150-500人,湖里区,本科,不需要融资,移动互联网,118.156696,24.524271,全职,5-10年
6,3263596,技术总监,长沙,2018-04-28 11:11:07,12.0,94013,湖南交通物流,湖南交通物流信息服务有限公司,15-50人,岳麓区,本科,未融资,移动互联网,112.993417,27.994254,全职,5-10年
7,4441307,技术总监,深圳,2018-04-28 10:53:02,34.0,98800,竹间智能科技(上海)有限公司,竹间智能科技（上海）有限公司,150-500人,南山区,本科,B轮,"移动互联网,其他",113.952696,22.530438,全职,5-10年
8,4029545,技术总监,北京,2018-04-28 10:35:12,27.0,200111,锐文网,北京锐文网络科技有限公司,15-50人,海淀区,本科,A轮,"移动互联网,文化娱乐",116.315297,39.981511,全职,5-10年
9,4080868,技术总监,杭州,2018-04-12 08:59:59,35.0,26248,丁香园,观澜网络（杭州）有限公司,500-2000人,滨江区,不限,D轮及以上,"医疗健康,企业服务",0.0,0.0,全职,5-10年
10,3483948,技术总监,北京,2018-04-28 13:39:10,31.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,本科,B轮,其他,116.357353,39.939211,全职,5-10年
11,4105528,技术总监,郑州,2018-04-27 18:07:11,24.0,116333,象聚集团,河南象聚实业有限公司,500-2000人,高新区,大专,不需要融资,"移动互联网,金融",113.566392,34.817257,全职,5-10年
12,2736632,技术总监,武汉,2018-04-26 14:53:16,14.0,111175,ZingFront智线,智线云科技（北京）有限公司,50-150人,洪山区,本科,A轮,"移动互联网,数据服务",114.417855,30.500538,全职,3-5年
13,4158938,技术总监,杭州,2018-04-28 18:17:05,24.0,37818,万商汇,浙江万商汇网络科技有限公司,50-150人,萧山区,本科,A轮,电子商务,120.245446,30.238378,全职,5-10年
14,3077701,技术总监,成都,2018-04-27 11:18:20,16.4,15899,谛听,成都谛听科技股份有限公司,50-150人,武侯区,本科,上市公司,移动互联网,104.070101,30.550622,全职,5-10年
15,3739999,技术总监,杭州,2018-04-25 11:53:47,38.0,73675,店家科技,杭州店家科技有限公司,50-150人,余杭区,本科,A轮,企业服务,119.999328,30.28781,全职,5-10年
16,976460,技术总监,北京,2018-04-28 15:03:57,38.0,179,她理财,北京新工场投资顾问有限公司,50-150人,朝阳区,本科,A轮,"移动互联网,金融",116.47647185,39.90804497,全职,5-10年
17,4498416,技术总监,广州,2018-04-28 11:44:56,38.0,228143,广东瑞亚传媒,广东瑞亚传媒发展有限公司,150-500人,荔湾区,大专,天使轮,"移动互联网,文化娱乐",113.228065,23.056905,全职,3-5年
18,2802092,技术总监,上海,2018-04-28 09:51:02,21.6,14983,游族网络,上海游族信息技术有限公司,500-2000人,徐汇区,不限,上市公司,"移动互联网,游戏",39.897445,116.331398,全职,5-10年
19,4137499,技术总监,苏州,2018-04-28 18:00:22,31.0,23398,极课大数据,江苏曲速教育科技有限公司,150-500人,工业园区,本科,B轮,教育、移动互联网,120.66659,31.296259,全职,10年以上
20,3330287,技术总监,杭州,2018-04-28 10:04:53,34.0,49117,钱粒科技,浙江钱粒科技有限公司,150-500人,西湖区,本科,A轮,移动互联网,120.073823,30.289948,全职,5-10年
21,2680590,技术总监,北京,2018-04-27 10:10:42,29.0,53308,妙健康,北京妙医佳信息技术有限公司,50-150人,朝阳区,本科,B轮,移动互联网,116.47384,39.90257007,全职,5-10年
22,3153301,技术总监,上海,2018-04-28 17:32:10,38.0,134233,立木征信,上海康成电子商务有限公司,50-150人,浦东新区,本科,未融资,"金融,电子商务",121.510217,31.229108,全职,5-10年
23,4417402,技术总监/CTO,广州,2018-04-27 15:31:12,42.0,81576,卡宝宝,广州卡宝宝互联网金融信息服务股份有限公司,50-150人,萝岗区,本科,上市公司,"移动互联网,金融",112.993461,22.994261,全职,5-10年
24,3547874,技术总监,杭州,2018-04-12 08:59:59,34.0,26248,丁香园,观澜网络（杭州）有限公司,500-2000人,滨江区,本科,D轮及以上,"医疗健康,企业服务",120.202258,30.188678,全职,5-10年
