,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4507288,测试总监,广州,2018-05-02 15:49:48,24.0,97897,卓游科技,广州卓游信息科技有限公司,50-150人,海珠区,不限,不需要融资,"移动互联网,游戏",0.0,0.0,全职,5-10年,"['技能培训', '绩效奖金', '岗位晋升', '扁平管理']"
1,4068108,测试总监,北京,2018-05-02 18:03:10,24.0,53308,妙健康,北京妙医佳信息技术有限公司,50-150人,朝阳区,本科,B轮,移动互联网,116.47384,39.90257,全职,5-10年,"['年度旅游', '管理规范', '六险一金', '弹性工作']"
2,3994567,测试总监,北京,2018-05-02 18:40:47,27.0,28014,永洪科技,北京永洪商智科技有限公司,150-500人,朝阳区,本科,C轮,企业服务、数据服务,116.452067,39.914005,全职,5-10年,"['期权股激励', '领导好', '五险一金', '巨大成长空间']"
3,3825956,测试总监,北京,2018-05-03 10:19:44,38.0,7292,畅聊天下,北京畅聊天下科技有限公司,150-500人,海淀区,本科,B轮,移动互联网,116.308144,40.045415,全职,5-10年,"['年底双薪', '午餐补助', '带薪年假', '股票期权']"
4,3714533,测试总监,天津,2018-04-19 16:14:58,12.0,31444,神州商龙,天津市神州商龙科技股份有限公司,150-500人,南开区,大专,上市公司,"移动互联网,O2O",117.121911,39.090899,全职,5-10年,"['技能培训', '年底双薪', '节日礼物', '采暖费']"
5,4383387,测试总监,北京,2018-04-28 14:50:55,41.0,136978,玖富集团,玖富金科控股集团有限责任公司,2000人以上,朝阳区,本科,C轮,金融,116.480792,39.99613,全职,10年以上,"['绩效奖金', '免费班车', '五险一金', '部门旅游']"
6,3071851,测试总监,广州,2018-04-28 11:17:38,34.0,44841,PPmoney互联网金融平台,万惠投资管理有限公司,500-2000人,天河区,本科,上市公司,金融,113.320868,23.139189,全职,5-10年,"['互联网金融', '技能培训', '带薪年假', '充满挑战']"
7,3909406,测试总监,北京,2018-05-03 10:19:54,40.0,149208,田米科技,北京田米科技有限公司,2000人以上,海淀区,本科,D轮及以上,移动互联网,116.332861,40.040791,全职,5-10年,[]
8,4020652,测试总监,北京,2018-04-24 09:11:42,34.0,22391,翼龙贷网,北京同城翼龙网络科技有限公司,500-2000人,海淀区,本科,A轮,金融,116.32164,39.95403007,全职,10年以上,"['团队建设', '绩效奖金', '年度旅游', '岗位晋升']"
9,4466009,测试总监,南京,2018-05-02 17:29:36,19.6,23344,汇通达,汇通达网络有限公司,500-2000人,玄武区,本科,D轮及以上,"电子商务,O2O",118.87465,32.0392,全职,5-10年,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']"
10,3930847,测试总监,北京,2018-04-04 00:36:17,40.0,166829,小狗机器人,广州小狗机器人技术有限公司北京分公司,150-500人,朝阳区,本科,不需要融资,硬件,116.460635,39.89671,全职,5-10年,"['绩效奖金', '领导好', '扁平管理', '五险一金']"
11,3271744,测试总监,北京,2018-04-09 19:06:09,38.0,3786,宜信,普信恒业科技发展（北京）有限公司,2000人以上,朝阳区,本科,上市公司,金融,116.477415,39.913332,全职,5-10年,"['管理规范', '技能培训', '扁平管理', '弹性工作']"
12,4003805,测试总监,杭州,2018-04-27 09:19:37,14.0,279645,优斌电子,上海优斌电子商务有限公司,50-150人,西湖区,大专,不需要融资,"电子商务,移动互联网",0.0,0.0,全职,3-5年,[]
13,3501237,软件测试总监/测试经理/测试主管,北京,2018-05-02 10:30:20,35.0,356,捷通华声,北京捷通华声科技股份有限公司,150-500人,海淀区,本科,不需要融资,"移动互联网,数据服务",116.29632768,40.05177651,全职,5-10年,"['股票期权', '半年调薪', '绩效奖金多', '晋升空间大']"
14,4119679,【测试总监】,北京,2018-04-26 10:21:32,26.0,313704,微壳,北京微光果壳科技有限公司,150-500人,朝阳区,本科,不需要融资,"移动互联网,企业服务",116.417028,39.987836,全职,5-10年,"['六险一金', '年底双薪', '绩效奖金', '带薪年假']"
15,4503581,测试总监,北京,2018-05-02 00:36:23,28.0,7292,畅聊天下,北京畅聊天下科技有限公司,150-500人,海淀区,本科,B轮,移动互联网,116.308144,40.045415,全职,5-10年,"['年底双薪', '午餐补助', '带薪年假', '股票期权']"
16,4119680,高级测试经理/测试总监,北京,2018-05-02 20:15:11,38.0,77962,GrowingIO,北京易数科技有限公司,150-500人,朝阳区,不限,A轮,"企业服务,数据服务",116.47863,39.98840005,全职,不限,"['股票期权', '绩效奖金', '扁平管理', '弹性工作']"
17,3429500,测试总监,北京,2018-04-10 10:15:03,38.0,329,网易,网易（杭州）有限公司,2000人以上,海淀区,本科,上市公司,"电子商务,移动互联网",116.275949,40.042894,全职,3-5年,"['节日礼物', '技能培训', '免费班车', '带薪年假']"
18,4103120,软件测试总监/测试经理,北京,2018-05-02 09:13:36,35.0,356,捷通华声,北京捷通华声科技股份有限公司,150-500人,海淀区,本科,不需要融资,"移动互联网,数据服务",116.296196,40.051616,全职,5-10年,"['股票期权', '半年调薪', '绩效奖金多', '晋升空间大']"
19,3934060,测试总监,北京,2018-04-29 15:56:14,17.0,194178,小睿,北京小睿科技有限公司,50-150人,朝阳区,本科,A轮,硬件,116.460733,39.929643,全职,5-10年,"['带薪年假', '午餐补助', '通讯津贴', '交通补助']"
20,3601793,测试总监,北京,2018-04-24 09:11:42,34.0,22391,翼龙贷网,北京同城翼龙网络科技有限公司,500-2000人,海淀区,本科,A轮,金融,116.32164,39.95403007,全职,10年以上,"['团队建设', '绩效奖金', '年度旅游', '岗位晋升']"
21,4508953,测试总监,上海,2018-05-02 18:14:27,19.6,84387,运去哪,上海汇航捷讯网络科技有限公司,150-500人,浦东新区,本科,B轮,"电子商务,企业服务",0.0,0.0,全职,5-10年,"['节日礼物', '年底双薪', '带薪年假', '绩效奖金']"
22,3982280,测试总监,杭州,2018-05-03 08:59:54,42.0,43753,端点科技,杭州端点网络科技有限公司,150-500人,西湖区,本科,不需要融资,"电子商务,O2O",120.081186,30.129616,全职,5-10年,"['前沿技术', '氛围轻松', 'Geek', '股票期权']"
23,4381947,测试总监,北京,2018-05-02 09:21:31,22.0,61844,国信优易,国信优易数据有限公司,150-500人,丰台区,本科,B轮,数据服务,116.288308,39.826493,全职,5-10年,"['年底双薪', '技能培训', '绩效奖金', '岗位晋升']"
24,2925241,游戏测试总监,北京,2018-05-02 10:14:16,7.6,54730,木偶游戏,木偶星球（北京）科技有限公司,50-150人,海淀区,大专,A轮,游戏,116.33528,39.97653,全职,3-5年,"['专项奖金', '股票期权', '绩效奖金', '扁平管理']"
25,4178042,测试总监,北京,2018-04-26 10:46:27,46.0,175557,便利蜂,便利蜂商贸有限公司,2000人以上,朝阳区,本科,不需要融资,"移动互联网,生活服务",116.49388,39.978087,全职,5-10年,"['弹性工作', '美女多', '帅哥多', '领导好']"
26,3652900,测试总监,上海,2018-04-28 12:17:25,28.0,119645,一条视频,上海一条网络科技有限公司,150-500人,徐汇区,本科,C轮,电子商务,121.407124,31.169677,全职,10年以上,"['年底双薪', '带薪年假', '午餐补助', '定期体检']"
27,4378144,测试总监,北京,2018-04-07 15:29:31,49.0,320037,诚合泰,安徽诚合泰医疗器械有限公司,50-150人,朝阳区,本科,不需要融资,"硬件,其他",116.466998,39.927661,全职,5-10年,"['""""']"
