,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,3158898,运维总监,北京,2018-04-27 11:06:18,52.0,929,最右,北京小川在线网络技术有限公司,150-500人,海淀区,本科,B轮,移动互联网,116.368056,39.980092,全职,5-10年
1,4402759,运维总监,北京,2018-04-28 10:30:22,42.0,29795,罗辑思维,北京思维造物信息科技有限公司,150-500人,朝阳区,本科,B轮,"移动互联网,文化娱乐",115.99339,39.99426,全职,5-10年
2,2055474,运维总监,广州,2018-04-28 11:17:39,34.0,44841,PPmoney互联网金融平台,万惠投资管理有限公司,500-2000人,天河区,本科,上市公司,金融,113.326686,23.119559,全职,10年以上
3,4466978,全国运维总监,上海,2018-04-28 10:00:54,12.0,19241,容易网,上海容易网电子商务股份有限公司,150-500人,浦东新区,大专,上市公司,"电子商务,O2O",121.628321,31.209384,全职,5-10年
4,4239836,运维总监,北京,2018-04-28 10:15:27,24.8,148646,领主,北京领主科技有限公司,15-50人,海淀区,本科,A轮,"移动互联网,社交网络",116.30869,39.980635,全职,3-5年
5,3094641,运维总监,北京,2018-04-24 10:45:24,38.0,27298,蓝信移动（北京）科技有限公司,蓝信移动（北京）科技有限公司,150-500人,朝阳区,本科,B轮,移动互联网,116.490161,39.982669,全职,5-10年
6,4245315,运维总监,上海,2018-04-27 09:27:01,29.0,139645,河姆渡电子商务有限公司,上海河姆渡实业发展有限公司,500-2000人,浦东新区,本科,A轮,电子商务,121.54986,31.2026,全职,5-10年
7,4311114,运维总监,上海,2018-04-27 14:28:12,29.0,329,网易,网易（杭州）有限公司,2000人以上,浦东新区,本科,上市公司,"电子商务,移动互联网",0.0,0.0,全职,5-10年
8,4478321,运维总监,北京,2018-04-25 11:00:06,19.0,46965,中交兴路,北京中交兴路信息科技有限公司,500-2000人,海淀区,本科,未融资,"O2O,移动互联网",116.295054,40.049249,全职,5-10年
9,4375922,运维总监,上海,2018-04-25 15:45:34,35.0,341426,坦安信息,上海坦安信息技术有限公司,少于15人,浦东新区,本科,不需要融资,"社交网络,企业服务",121.583568,31.192078,全职,5-10年
10,3872687,运维经理/运维总监,广州,2018-04-10 14:18:45,19.0,50784,蓝盾信息安全技术股份有限公司,蓝盾信息安全技术股份有限公司,500-2000人,天河区,本科,上市公司,信息安全,113.37394,23.11910001,全职,5-10年
11,4382125,运维总监,杭州,2018-04-08 15:00:42,38.0,296144,融畅软件,苏州融畅软件科技有限公司,50-150人,江干区,本科,未融资,移动互联网,120.205001,30.257012,全职,5-10年
12,3149456,运维总监,上海,2018-04-23 17:22:43,34.8,17291,PPTV聚力,上海聚力传媒技术有限公司,500-2000人,浦东新区,本科,D轮及以上,文化娱乐,121.531728,31.216657,全职,10年以上
13,4054810,运维总监,北京,2018-04-10 13:53:14,27.0,33220,国家电网全资子公司北京汇通金财,北京汇通金财信息科技有限公司,500-2000人,西城区,本科,不需要融资,"电子商务,金融",116.35706,39.890989,全职,5-10年
14,4206493,运维总监（偏应用运维）,北京,2018-04-24 09:11:42,34.0,22391,翼龙贷网,北京同城翼龙网络科技有限公司,500-2000人,海淀区,大专,A轮,金融,116.32164,39.95403007,全职,10年以上
15,4032922,运维总监,北京,2018-04-13 10:03:11,28.0,27298,蓝信移动（北京）科技有限公司,蓝信移动（北京）科技有限公司,150-500人,朝阳区,本科,B轮,移动互联网,116.490161,39.982669,全职,5-10年
16,4342110,运维总监,成都,2018-04-27 17:50:06,28.0,67804,俊云科技,昆明俊云科技有限公司,50-150人,高新区,本科,不需要融资,"移动互联网,硬件",104.061037,30.540901,全职,5-10年
17,4413043,运维总监,北京,2018-04-24 14:11:14,17.0,311033,Trunkey,华夏云卫（北京）技术有限公司,50-150人,朝阳区,硕士,不需要融资,信息安全 移动互联网,116.461986,39.955114,全职,3-5年
18,4092632,运维总监/经理,广州,2018-04-24 15:16:33,21.0,36852,艾美网络科技,广州艾美网络科技有限公司,150-500人,番禺区,大专,B轮,"移动互联网,游戏",0.0,0.0,全职,5-10年
19,4370507,运维总监,长沙,2018-04-04 09:38:06,10.8,320414,光学传媒,湖南光学传媒有限公司,150-500人,开福区,大专,A轮,广告营销,112.971052,28.201303,全职,3-5年
20,4176129,【5Miles】运维总监,北京,2018-04-28 10:52:10,21.0,22139,第三石科技,北京第三石科技发展有限公司,50-150人,朝阳区,本科,B轮,"移动互联网,电子商务",116.481049,39.996796,全职,5-10年
